LOOPNr,ID,Easting_EURED,Northing_EUREF,Elevation,GEUS_FRI
DEMO,D6,502566,6273722,2.31,7.03
DEMO,D7,502232,6273737,13.69,6.11
LOOP2,1,532100,6290810,29,18.37
LOOP2,2,532123,6290598,21.9,8.58
LOOP2,2A,532114,6290217,18.77,4.95
LOOP2,3,532166,6289890,18.34,11.84
LOOP2,4,532766,6292068,32.46,17.21
LOOP3,1,551544,6204150,156.96,9.53
LOOP3,2,551423,6204972,141.91,10.1
LOOP3,3,550759,6205705,156.92,10.72
LOOP3,5,552546,6207063,52.98,9.41
LOOP3,6,552121,6206823,60.5,7.38
LOOP4,GeoW-2,610257,6110952,47.51,6.46
LOOP4,IS-1,612257,6110135,25.58,6.88
LOOP4,IS-2,612186,6110165,27.42,6.27
LOOP4,MS-1,612383,6109403,13.76,8.97
LOOP4,MS-2,612361,6109317,16.72,9.08
LOOP4,TL-1,610216,6110085,46.43,6.48
LOOP4,TL-2,610336,6110071,44.55,6.26
LOOP6,1,506998,6103248,26.42,12.32
LOOP6,2,507767,6103405,27.84,10.83
LOOP6,2A,507806,6103369,27.5,4.91
LOOP6,3,507361,6102278,27.3,11.39
LOOP6,4,511195,6104548,45.03,9.16
LOOP6,5,511069,6104072,41.12,19.35
LOOP6,6,510989,6103840,32.21,9.75
LOOP6,7,509983,6103873,31.27,15.21
