LOOPNr,ID,DGUnr,Depth (m),method,Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],pH [-],Cond [µS/cm],DO [mg/L],F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄³⁻ [mg/L],SO₄²⁻ [mg/L],δ¹⁸O [‰],δD [‰]
DEMO,D4,46.2002,4.5,SP15(0.25),0.05,0.02,69.81,0.3,2.52,7.27,0.2,10.66,0.08,0.2,8.03,432,0.7,0.04,12.36,0.05,17.19,0.02,10.81,-7.15,-47.89
DEMO,D4,46.2002,5,SP15(0.25),0.05,0.02,70.2,0.31,1.36,6.31,0.02,8.91,0.01,0.19,7.89,432,0.7,0.03,24.29,0.1,36.95,0.03,21.77,-7.35,-48.81
DEMO,D4,46.2002,5.5,SP15(0.25),0.05,0.01,77.78,0.53,1.92,6.67,0.03,9.69,0.01,0.21,7.78,471,0.7,0.04,22.63,0.09,27.56,0.01,39.05,-7.37,-48.88
DEMO,D4,46.2002,6,SP15(0.25),0.05,0.02,83.09,0.41,1.66,6.89,0.08,11.11,0.01,0.2,7.46,484,0.2,0.04,21.28,0.09,0.17,0.02,72.33,-7.21,-48.18
DEMO,D5,46.2004,12.3,SP15(0.25),0.06,0.04,88.2,0.4,3.58,5.93,0.3,20.26,0.01,0.21,,,,,,,,,,,
DEMO,D6,55.2815,6.6,SP15(0.25),0.06,0.05,21.22,0.29,0.92,7.68,0.16,11.85,0.03,0.15,6.62,249,6.3,0.08,20.43,0.12,36.78,,28.87,-7.06,-45.9
DEMO,D6,55.2815,7.1,SP15(0.25),0.06,0.05,40.84,0.46,1.87,11.17,0.25,13.25,0.03,0.24,7.22,355,5,0.31,22.03,0.13,39.77,0.01,31.33,-7.15,-45.89
DEMO,D6,55.2815,7.6,SP15(0.25),0.05,0.03,81.16,0.34,2.44,9.67,0.06,12.39,0.01,0.28,7.99,495,4,0.14,20.05,0.13,45.33,0.01,29.69,-7.05,-45.33
DEMO,D6,55.2815,8.6,SP15(0.25),0.06,0.04,85.83,0.78,2.87,4.32,0.09,18.51,0.02,0.24,8.04,503,0.3,0.12,34.85,0.15,6.49,,58.86,-7.27,-48.14
DEMO,D6,55.2815,9.6,SP15(0.25),0.05,0.04,108.91,2.34,2.29,4.65,0.14,28.9,0.01,0.32,8.08,677,0.1,0.11,52.81,0.18,0.01,,90.84,-7.61,-51.77
DEMO,D6,55.2815,11.6,SP15(0.25),0.06,0.03,103.2,3.25,4.41,5.02,0.27,32.81,0.03,0.3,8.14,689,0.1,0.11,49.69,0.18,0.06,,88.56,-7.91,-52.63
DEMO,D6,55.2815,13.6,SP15(0.25),0.06,0.04,109.19,3.66,2.49,5.12,0.25,33.17,0.02,0.32,7.94,690,0.1,0.11,53.24,0.18,0.01,,88.72,-7.79,-52.87
DEMO,D6,55.2815,15.6,SP15(0.25),0.06,0.03,94.17,3.2,2.42,4.66,0.23,31.02,0.02,0.3,8.02,609,0.1,0.09,43.4,0.16,0.01,,79.86,-8.14,-53.59
DEMO,D6,55.2815,17.6,SP15(0.25),0.06,0.03,87.64,2.5,2.23,4.22,0.2,24.75,0.02,0.28,8.13,559,0.1,0.1,38.4,0.15,0.01,,73.52,-7.95,-54.77
DEMO,D6,55.2815,19.6,SP15(0.25),0.05,0.03,90.27,2.5,2.23,4.48,0.17,24.87,0.01,0.29,8.01,570,0.3,0.11,38.88,0.15,0.01,,77.34,-8.06,-54.35
