LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],SO₄²⁻ [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
DEMO1,D1,GeoProbe,46.2,3.29,,,,,,,,,,,,,,,,,,,,,0.2,86.7,0
DEMO1,D1,GeoProbe,46.2,3.37,0.4,35.03,0.16,48,46.8084,672.79,,1.86,,,0.02,0.02,22.19,0.04,2.08,10.02,0.18,34.27,0.01,0.24,,,
DEMO1,D1,GeoProbe,46.2,4.42,,,,,,,,,,,,,,,,,,,,,0.1,113.7,0
DEMO1,D1,GeoProbe,46.2,5.63,,,,,,,,,,,,,,,,,,,,,0.6,90.9,0.01
DEMO1,D1,GeoProbe,46.2,6.77,,,,,,,,,,,,,,,,,,,,,0.4,112.9,0
DEMO1,D1,GeoProbe,46.2,6.91,0.2,20.28,0.12,36.13,27.63,267.3,17.19,5.81,-7.39,-47.76,,,,,,,,,,,,,
DEMO1,D1,GeoProbe,46.2,7.98,,,,,,,,,,,,,,,,,,,,,14.5,168.6,0.09
DEMO1,D1,GeoProbe,46.2,8.11,0.08,22.38,0.13,61.21,38.08,353.37,16.91,4.59,-7.38,-48.27,0.02,0.08,28.52,0.06,3.13,5.81,0.11,17.86,0.01,0.17,,,
DEMO1,D1,GeoProbe,46.2,9.44,,,,,,,,,,,,,,,,,,,,,40.6,194.1,0.21
DEMO1,D1,GeoProbe,46.2,9.52,0.13,31.11,0.17,66.55,41.6,932.18,20.34,5.9,-7.13,-46.65,0.09,0.11,34.8,0.09,5.04,7.4,0.75,23.46,0.01,0.21,,,
DEMO1,D1A,GeoProbe,46.2001,5.42,,,,,,,,,,,,,,,,,,,,,30.6,288.4,0.11
DEMO1,D1A,GeoProbe,46.2001,5.56,,,,,,,,,,,0.08,0.15,74.52,0.19,3.09,12.55,0.01,73.22,0.01,0.43,,,
