LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP3,P1,GeoProbe,98.2552,3.39,0.93,43.23,0.2,29.66,0.15,78.07,,14.12,,,,,0.1,80.09,,3.52,15.29,0.04,58.56,0.02,0.63,,,
LOOP3,P1,GeoProbe,98.2552,3.6,,,,,,,,,,,,,,,,,,,,,,116.7,215.4,0.54
LOOP3,P1,GeoProbe,98.2552,3.89,5.49,49.37,0.19,1.96,-0.05,106.17,,17.45,,,,,0.1,55.55,,4.56,12.2,0.02,65.86,0.02,0.43,,,
LOOP3,P1,GeoProbe,98.2552,4.0,,,,,,,,,,,,,,,,,,,,,,586.8,588.9,1.0
LOOP3,P1,GeoProbe,98.2552,7.16,3.45,79.14,0.26,1.9,-0.05,193.68,,,,,,,0.08,93.07,,4.12,13.39,0.04,97.81,0.04,0.75,,,
LOOP3,P1,GeoProbe,98.2552,7.3,,,,,,,,,,,,,,,,,,,,,,722.6,716.3,1.01
LOOP3,P1,GeoProbe,98.2552,7.3,,,,,,,,,,,,,,,,,,,,,,189.8,190.5,1.0
LOOP3,P1,GeoProbe,98.2552,7.6,0.23,26.02,0.06,0.11,0.1,77.79,13.31,,96.87,-8.1,-55.05,,0.03,65.11,,1.85,8.07,0.01,19.5,0.01,0.17,,,
LOOP3,P1,GeoProbe,98.2552,8.36,0.12,20.21,0.09,0.11,0.11,519.23,64.04,,54.94,-7.8,-55.02,,0.1,234.72,,4.27,14.88,0.05,21.41,0.01,0.47,,,
LOOP3,P1,GeoProbe,98.2552,8.4,,,,,,,,,,,,,,,,,,,,,,95.9,171.1,0.56
LOOP3,P2,GeoProbe,98.2553,3.01,1.42,25.14,-0.05,39.05,-0.05,81.33,,,,,,,0.08,61.83,,1.93,9.25,0.01,54.55,0.02,0.5,,,
LOOP3,P2,GeoProbe,98.2553,3.63,,,,,,,,,,,,,,,,,,,,,,347.3,341.8,1.02
LOOP3,P2,GeoProbe,98.2553,3.965,,,,,,,,,,,,,,,,,,,,,,345.1,348.2,0.99
LOOP3,P2,GeoProbe,98.2553,4.06,,,,,,,,,,,,,,,,,,,,,,484.9,443.9,1.09
LOOP3,P2,GeoProbe,98.2553,4.66,2.35,27.33,-0.05,0.67,-0.05,151.33,,,,,,0.05,0.07,65.95,,1.61,8.27,0.02,51.75,0.01,0.45,,,
LOOP3,P2,GeoProbe,98.2553,4.79,,,,,,,,,,,,,,,,,,,,,,449.4,447.0,1.01
LOOP3,P2,GeoProbe,98.2553,5.96,1.12,28.34,0.12,0.53,-0.05,183.52,,,,,,,0.08,81.82,,2.48,10.23,0.03,48.82,0.01,0.57,,,
LOOP3,P2,GeoProbe,98.2553,6.05,,,,,,,,,,,,,,,,,,,,,,563.6,530.2,1.06
LOOP3,P2,GeoProbe,98.2553,7.16,2.22,34.21,-0.05,0.9,-0.05,172.09,,,,,,0.0,0.07,72.92,,2.96,11.98,0.02,67.23,0.02,0.7,,,
LOOP3,P2,GeoProbe,98.2553,7.26,,,,,,,,,,,,,,,,,,,,,,550.7,579.2,0.95
LOOP3,P2,GeoProbe,98.2553,8.36,,,,,,,,,,,,,0.09,72.09,,4.95,14.38,0.03,62.85,0.02,1.02,,,
LOOP3,P2,GeoProbe,98.2553,8.47,,,,,,,,,,,,,,,,,,,,,,801.6,824.4,0.97
LOOP3,P2,GeoProbe,98.2553,9.56,2.34,35.05,-0.05,1.72,-0.05,146.63,,,,,,,0.07,57.91,,5.08,14.22,0.02,84.02,0.03,0.94,,,
LOOP3,P2,GeoProbe,98.2553,9.68,,,,,,,,,,,,,,,,,,,,,,713.7,739.9,0.96
LOOP3,P2,GeoProbe,98.2553,10.86,2.07,51.51,-0.05,2.08,-0.05,161.39,,,,,,,,,,,,,,,,,,
LOOP3,P2,GeoProbe,98.2553,10.94,,,,,,,,,,,,,,,,,,,,,,817.0,824.4,0.99
LOOP3,P2,GeoProbe,98.2553,11.86,6.04,43.95,0.28,2.33,-0.05,131.47,,,,,,,,,,,,,,,,,,
LOOP3,P2,GeoProbe,98.2553,11.95,,,,,,,,,,,,,,,,,,,,,,755.0,743.9,1.02
LOOP3,P3,GeoProbe,98.2554,2.4,,,,,,,,,,,,,,,,,,,,,,4.0,140.5,0.03
LOOP3,P3,GeoProbe,98.2554,2.61,0.94,18.64,-0.05,30.66,-0.05,33.25,211.7,,,,,,0.06,60.09,,0.93,6.21,0.03,27.24,0.01,0.26,,,
LOOP3,P3,GeoProbe,98.2554,3.46,6.02,33.7,-0.05,51.92,-0.05,74.69,,,,,,,,,,,,,,,,,,
LOOP3,P3,GeoProbe,98.2554,3.6,,,,,,,,,,,,,,,,,,,,,,38.6,268.0,0.14
LOOP3,P3,GeoProbe,98.2554,4.55,3.49,40.86,-0.05,28.32,-0.05,540.84,,,,,,,,,,,,,,,,,,
LOOP3,P3,GeoProbe,98.2554,4.8,,,,,,,,,,,,,,,,,,,,,,840.5,815.4,1.03
LOOP3,P3,GeoProbe,98.2554,5.96,3.35,34.66,-0.05,1.52,-0.05,189.48,,,,,,,,,,,,,,,,,,
LOOP3,P3,GeoProbe,98.2554,6.1,,,,,,,,,,,,,,,,,,,,,,699.4,667.1,1.05
LOOP3,P3.A,GeoProbe,98.2590,2.4,2.58,20.78,-0.05,37.81,-0.05,34.28,321.85,,,,,,0.09,69.48,,2.36,15.8,0.01,42.53,0.01,0.34,,,
LOOP3,P3.A,GeoProbe,98.2590,3.56,2.34,34.31,-0.05,30.4,-0.05,70.01,,,,,,,0.05,54.32,,1.47,4.04,0.01,53.89,0.02,0.29,,,
LOOP3,P3.A,GeoProbe,98.2590,4.6,3.67,29.84,-0.05,29.02,-0.05,73.23,,,,,,,0.08,61.41,,2.29,7.57,0.0,61.01,0.01,0.52,,,
LOOP3,P3.A,GeoProbe,98.2590,4.8,,,,,,,,,,,,,,,,,,,,,,1.0,98.4,0.01
LOOP3,P3.A,GeoProbe,98.2590,5.96,1.46,21.9,0.14,45.62,-0.05,29.01,66.3,,25.69,,,,0.04,48.43,,2.37,4.16,0.01,22.64,0.01,0.27,,,
LOOP3,P3.A,GeoProbe,98.2590,6.1,,,,,,,,,,,,,,,,,,,,,,5.4,167.4,0.03
