DateTime;UpDn;Depth;RE3Max
2021-10-14 13:19:47.026;Dn;0.000;35.6
2021-10-14 13:19:51.890;Dn;0.000;107.7
2021-10-14 13:19:53.521;Dn;0.015;318.6
2021-10-14 13:19:55.138;Dn;0.057;313.5
2021-10-14 13:19:56.770;Dn;0.107;326.8
2021-10-14 13:19:58.402;Dn;0.156;230.5
2021-10-14 13:20:00.024;Dn;0.206;219.3
2021-10-14 13:20:01.650;Dn;0.247;234.4
2021-10-14 13:20:03.303;Dn;0.296;240.7
2021-10-14 13:20:04.913;Dn;0.337;215.9
2021-10-14 13:20:06.544;Dn;0.394;284.5
2021-10-14 13:20:08.161;Dn;0.442;278.2
2021-10-14 13:20:09.794;Dn;0.502;259.7
2021-10-14 13:20:11.410;Dn;0.561;210.4
2021-10-14 13:20:13.043;Dn;0.620;208.5
2021-10-14 13:20:14.658;Dn;0.669;208.5
2021-10-14 13:21:01.778;Dn;0.678;100.8
2021-10-14 13:21:03.410;Dn;0.680;193.2
2021-10-14 13:21:05.025;Dn;0.726;175.6
2021-10-14 13:21:06.657;Dn;0.831;150.5
2021-10-14 13:21:08.307;Dn;0.906;161.5
2021-10-14 13:21:09.920;Dn;0.972;161.8
2021-10-14 13:21:11.522;Dn;1.029;184
2021-10-14 13:21:13.167;Dn;1.079;182.3
2021-10-14 13:21:14.769;Dn;1.158;197.8
2021-10-14 13:21:16.418;Dn;1.225;152
2021-10-14 13:21:18.018;Dn;1.282;155.1
2021-10-14 13:21:19.662;Dn;1.348;181.6
2021-10-14 13:21:21.277;Dn;1.405;194.8
2021-10-14 13:21:22.908;Dn;1.479;181.2
2021-10-14 13:21:24.544;Dn;1.544;183.9
2021-10-14 13:21:26.145;Dn;1.602;198.9
2021-10-14 13:21:27.761;Dn;1.661;206.8
2021-10-14 13:21:29.393;Dn;1.703;213.1
2021-10-14 13:21:31.026;Dn;1.782;224.6
2021-10-14 13:21:32.642;Dn;1.842;234.3
2021-10-14 13:22:24.639;Dn;1.879;228.7
2021-10-14 13:22:26.261;Dn;1.883;169.6
2021-10-14 13:22:27.911;Dn;1.959;187.5
2021-10-14 13:22:29.505;Dn;2.017;207.7
2021-10-14 13:22:31.123;Dn;2.082;221.2
2021-10-14 13:22:32.760;Dn;2.157;240.6
2021-10-14 13:22:34.387;Dn;2.217;263.6
2021-10-14 13:22:36.020;Dn;2.304;278.7
2021-10-14 13:22:37.636;Dn;2.370;273.3
2021-10-14 13:22:39.267;Dn;2.436;262
2021-10-14 13:22:40.897;Dn;2.485;273.8
2021-10-14 13:22:42.529;Dn;2.545;277
2021-10-14 13:22:44.177;Dn;2.603;270.4
2021-10-14 13:22:45.791;Dn;2.652;279.5
2021-10-14 13:22:47.410;Dn;2.709;259.2
2021-10-14 13:22:49.026;Dn;2.759;270.6
2021-10-14 13:22:50.671;Dn;2.815;301.8
2021-10-14 13:22:52.289;Dn;2.865;279.2
2021-10-14 13:22:53.922;Dn;2.905;336.1
2021-10-14 13:22:55.562;Dn;2.947;338.5
2021-10-14 13:22:57.169;Dn;2.972;341
2021-10-14 13:22:58.800;Dn;2.991;342
2021-10-14 13:23:00.418;Dn;3.024;333.9
2021-10-14 13:23:02.050;Dn;3.040;341.4
2021-10-14 13:23:03.681;Dn;3.090;321
2021-10-14 13:23:05.297;Dn;3.141;320.7
2021-10-14 13:23:45.988;Dn;3.148;222.6
2021-10-14 13:23:47.586;Dn;3.167;238.9
2021-10-14 13:23:49.202;Dn;3.233;297.1
2021-10-14 13:23:50.834;Dn;3.290;298.3
2021-10-14 13:23:52.465;Dn;3.332;264.8
2021-10-14 13:23:54.082;Dn;3.365;241.5
2021-10-14 13:23:55.713;Dn;3.390;208.6
2021-10-14 13:23:57.345;Dn;3.393;172
2021-10-14 13:23:58.991;Dn;3.395;143.6
2021-10-14 13:24:00.592;Dn;3.417;227.9
2021-10-14 13:24:02.225;Dn;3.485;237.8
2021-10-14 13:24:03.856;Dn;3.548;241.8
2021-10-14 13:24:05.488;Dn;3.631;268.5
2021-10-14 13:24:07.104;Dn;3.707;255.7
2021-10-14 13:24:08.737;Dn;3.768;260.8
2021-10-14 13:24:10.367;Dn;3.845;256.3
2021-10-14 13:24:11.984;Dn;3.921;235.4
2021-10-14 13:24:13.617;Dn;3.989;241
2021-10-14 13:24:15.234;Dn;4.048;236.8
2021-10-14 13:24:16.865;Dn;4.106;225.5
2021-10-14 13:24:18.527;Dn;4.175;262.8
2021-10-14 13:24:20.129;Dn;4.246;257
2021-10-14 13:24:21.774;Dn;4.313;250.2
2021-10-14 13:25:00.801;Dn;4.347;239.8
