DateTime;UpDn;Depth;SPMax
2021-10-14 13:19:46.241;Dn;0.000;436.4
2021-10-14 13:19:51.907;Dn;0.000;437
2021-10-14 13:19:52.723;Dn;0.001;436
2021-10-14 13:19:52.960;Dn;0.007;433.83
2021-10-14 13:19:53.314;Dn;0.015;430.77
2021-10-14 13:19:53.554;Dn;0.019;429.4
2021-10-14 13:19:53.650;Dn;0.024;427.5
2021-10-14 13:19:54.050;Dn;0.032;424.3
2021-10-14 13:19:54.355;Dn;0.039;421.97
2021-10-14 13:19:54.413;Dn;0.041;421.1
2021-10-14 13:19:54.706;Dn;0.049;418.07
2021-10-14 13:19:54.992;Dn;0.057;415
2021-10-14 13:19:55.185;Dn;0.061;413.53
2021-10-14 13:19:55.245;Dn;0.066;411.8
2021-10-14 13:19:55.489;Dn;0.074;408.6
2021-10-14 13:19:55.776;Dn;0.082;405.57
2021-10-14 13:19:55.986;Dn;0.088;403.47
2021-10-14 13:19:56.060;Dn;0.090;402.53
2021-10-14 13:19:56.321;Dn;0.099;399.5
2021-10-14 13:19:56.578;Dn;0.107;396.47
2021-10-14 13:19:56.818;Dn;0.111;394.77
2021-10-14 13:19:56.859;Dn;0.115;393.3
2021-10-14 13:19:57.116;Dn;0.123;390.2
2021-10-14 13:19:57.378;Dn;0.131;387.17
2021-10-14 13:19:57.617;Dn;0.137;385.17
2021-10-14 13:19:57.682;Dn;0.140;384.1
2021-10-14 13:19:57.922;Dn;0.148;381.03
2021-10-14 13:19:58.233;Dn;0.156;378
2021-10-14 13:19:58.402;Dn;0.160;376.43
2021-10-14 13:19:58.490;Dn;0.164;374.97
2021-10-14 13:19:58.737;Dn;0.172;371.9
2021-10-14 13:19:59.015;Dn;0.181;368.67
2021-10-14 13:19:59.234;Dn;0.185;366.93
2021-10-14 13:19:59.936;Dn;0.206;359.23
2021-10-14 13:20:00.049;Dn;0.207;359
2021-10-14 13:20:00.209;Dn;0.214;356.2
2021-10-14 13:20:00.540;Dn;0.222;353.07
2021-10-14 13:20:00.873;Dn;0.229;350.5
2021-10-14 13:20:00.904;Dn;0.230;350.03
2021-10-14 13:20:01.217;Dn;0.239;347
2021-10-14 13:20:01.458;Dn;0.247;343.97
2021-10-14 13:20:01.706;Dn;0.252;342.1
2021-10-14 13:20:01.756;Dn;0.255;340.9
2021-10-14 13:20:02.048;Dn;0.263;337.87
2021-10-14 13:20:02.406;Dn;0.271;334.77
2021-10-14 13:20:02.511;Dn;0.272;334.4
2021-10-14 13:20:02.721;Dn;0.280;331.63
2021-10-14 13:20:03.040;Dn;0.288;328.6
2021-10-14 13:20:03.234;Dn;0.296;325.5
2021-10-14 13:20:03.321;Dn;0.297;325.03
2021-10-14 13:20:03.569;Dn;0.304;322.33
2021-10-14 13:20:03.952;Dn;0.313;319.27
2021-10-14 13:20:04.102;Dn;0.317;317.6
2021-10-14 13:20:04.225;Dn;0.321;316.13
2021-10-14 13:20:04.542;Dn;0.329;313.1
2021-10-14 13:20:04.841;Dn;0.337;310.07
2021-10-14 13:20:04.913;Dn;0.338;309.87
2021-10-14 13:20:05.074;Dn;0.345;307.03
2021-10-14 13:20:05.327;Dn;0.353;304
2021-10-14 13:20:05.585;Dn;0.361;300.97
2021-10-14 13:20:05.750;Dn;0.365;299.53
2021-10-14 13:20:05.818;Dn;0.369;297.93
2021-10-14 13:20:06.050;Dn;0.378;294.73
2021-10-14 13:20:06.245;Dn;0.386;291.63
2021-10-14 13:20:06.484;Dn;0.394;288.6
2021-10-14 13:20:06.552;Dn;0.395;288.3
2021-10-14 13:20:06.690;Dn;0.403;285.33
2021-10-14 13:20:06.946;Dn;0.411;282.27
2021-10-14 13:20:07.155;Dn;0.419;279.2
2021-10-14 13:20:07.379;Dn;0.424;277.4
2021-10-14 13:20:08.096;Dn;0.442;270.73
2021-10-14 13:20:08.197;Dn;0.455;266.03
2021-10-14 13:20:08.305;Dn;0.460;263.9
2021-10-14 13:20:08.532;Dn;0.468;260.8
2021-10-14 13:20:08.802;Dn;0.478;257.4
2021-10-14 13:20:08.981;Dn;0.482;255.87
2021-10-14 13:20:09.058;Dn;0.486;254.23
2021-10-14 13:20:09.314;Dn;0.494;251.2
2021-10-14 13:20:09.554;Dn;0.502;248.1
2021-10-14 13:20:09.794;Dn;0.510;245.13
2021-10-14 13:20:09.864;Dn;0.511;244.67
2021-10-14 13:20:09.979;Dn;0.520;241.57
