DateTime;UpDn;Depth;TempMax
2021-10-14 13:19:46.271;Dn;0.000;10.72
2021-10-14 13:19:51.953;Dn;0.000;10.72
2021-10-14 13:19:52.723;Dn;0.001;10.72
2021-10-14 13:19:52.980;Dn;0.007;10.72
2021-10-14 13:19:53.346;Dn;0.015;10.72
2021-10-14 13:19:53.554;Dn;0.019;10.72
2021-10-14 13:19:53.696;Dn;0.024;10.72
2021-10-14 13:19:54.096;Dn;0.032;10.72
2021-10-14 13:19:54.386;Dn;0.039;10.72
2021-10-14 13:19:54.413;Dn;0.041;10.72
2021-10-14 13:19:54.746;Dn;0.049;10.72
2021-10-14 13:19:55.012;Dn;0.057;10.72
2021-10-14 13:19:55.215;Dn;0.061;10.72
2021-10-14 13:19:55.261;Dn;0.066;10.72
2021-10-14 13:19:55.522;Dn;0.074;10.72
2021-10-14 13:19:55.792;Dn;0.082;10.72
2021-10-14 13:19:56.011;Dn;0.088;10.72
2021-10-14 13:19:56.110;Dn;0.090;10.72
2021-10-14 13:19:56.353;Dn;0.099;10.72
2021-10-14 13:19:56.609;Dn;0.107;10.72
2021-10-14 13:19:56.832;Dn;0.111;10.72
2021-10-14 13:19:56.877;Dn;0.115;10.72
2021-10-14 13:19:57.138;Dn;0.123;10.72
2021-10-14 13:19:57.409;Dn;0.131;10.72
2021-10-14 13:19:57.617;Dn;0.137;10.72
2021-10-14 13:19:57.729;Dn;0.140;10.72
2021-10-14 13:19:57.959;Dn;0.148;10.72
2021-10-14 13:19:58.258;Dn;0.156;10.72
2021-10-14 13:19:58.450;Dn;0.160;10.72
2021-10-14 13:19:58.517;Dn;0.164;10.72
2021-10-14 13:19:58.774;Dn;0.172;10.72
2021-10-14 13:19:59.057;Dn;0.181;10.72
2021-10-14 13:19:59.908;Dn;0.185;10.72
2021-10-14 13:19:59.976;Dn;0.206;10.72
2021-10-14 13:20:00.064;Dn;0.207;10.72
2021-10-14 13:20:00.244;Dn;0.214;10.72
2021-10-14 13:20:00.569;Dn;0.222;10.72
2021-10-14 13:20:00.879;Dn;0.229;10.72
2021-10-14 13:20:00.924;Dn;0.230;10.72
2021-10-14 13:20:01.217;Dn;0.239;10.72
2021-10-14 13:20:01.504;Dn;0.247;10.72
2021-10-14 13:20:01.708;Dn;0.252;10.72
2021-10-14 13:20:01.787;Dn;0.255;10.72
2021-10-14 13:20:02.071;Dn;0.263;10.72
2021-10-14 13:20:02.438;Dn;0.271;10.72
2021-10-14 13:20:02.511;Dn;0.272;10.72
2021-10-14 13:20:02.770;Dn;0.280;10.72
2021-10-14 13:20:03.069;Dn;0.288;10.72
2021-10-14 13:20:03.281;Dn;0.296;10.72
2021-10-14 13:20:03.321;Dn;0.297;10.72
2021-10-14 13:20:03.602;Dn;0.304;10.72
2021-10-14 13:20:03.984;Dn;0.313;10.72
2021-10-14 13:20:04.156;Dn;0.317;10.72
2021-10-14 13:20:04.257;Dn;0.321;10.72
2021-10-14 13:20:04.562;Dn;0.329;10.72
2021-10-14 13:20:04.869;Dn;0.337;10.72
2021-10-14 13:20:04.946;Dn;0.338;10.72
2021-10-14 13:20:05.106;Dn;0.345;10.72
2021-10-14 13:20:05.344;Dn;0.353;10.72
2021-10-14 13:20:05.617;Dn;0.361;10.72
2021-10-14 13:20:05.769;Dn;0.365;10.72
2021-10-14 13:20:05.843;Dn;0.369;10.72
2021-10-14 13:20:06.084;Dn;0.378;10.72
2021-10-14 13:20:06.273;Dn;0.386;10.72
2021-10-14 13:20:06.515;Dn;0.394;10.72
2021-10-14 13:20:06.584;Dn;0.395;10.72
2021-10-14 13:20:06.722;Dn;0.403;10.72
2021-10-14 13:20:06.966;Dn;0.411;10.72
2021-10-14 13:20:07.200;Dn;0.419;10.72
2021-10-14 13:20:08.049;Dn;0.424;10.72
2021-10-14 13:20:08.097;Dn;0.442;10.72
2021-10-14 13:20:08.214;Dn;0.455;10.72
2021-10-14 13:20:08.338;Dn;0.460;10.72
2021-10-14 13:20:08.573;Dn;0.468;10.72
2021-10-14 13:20:08.802;Dn;0.478;10.72
2021-10-14 13:20:09.015;Dn;0.482;10.72
2021-10-14 13:20:09.089;Dn;0.486;10.72
2021-10-14 13:20:09.314;Dn;0.494;10.72
2021-10-14 13:20:09.571;Dn;0.502;10.72
2021-10-14 13:20:09.836;Dn;0.510;10.72
2021-10-14 13:20:09.884;Dn;0.511;10.72
2021-10-14 13:20:10.003;Dn;0.520;10.72
2021-10-14 13:20:10.274;Dn;0.528;10.72
2021-10-14 13:20:10.529;Dn;0.536;10.72
2021-10-14 13:20:10.663;Dn;0.540;10.72
2021-10-14 13:20:10.737;Dn;0.545;10.72
2021-10-14 13:20:10.946;Dn;0.553;10.72
2021-10-14 13:20:11.199;Dn;0.561;10.72
2021-10-14 13:20:11.456;Dn;0.568;10.72
2021-10-14 13:20:11.462;Dn;0.570;10.72
2021-10-14 13:20:11.712;Dn;0.578;10.72
2021-10-14 13:20:11.906;Dn;0.587;10.72
2021-10-14 13:20:12.175;Dn;0.595;10.72
2021-10-14 13:20:12.275;Dn;0.597;10.72
2021-10-14 13:20:12.402;Dn;0.604;10.72
2021-10-14 13:20:12.677;Dn;0.612;10.72
2021-10-14 13:20:12.928;Dn;0.620;10.72
2021-10-14 13:20:13.095;Dn;0.624;10.72
2021-10-14 13:20:13.135;Dn;0.628;10.72
2021-10-14 13:20:13.393;Dn;0.636;10.72
2021-10-14 13:20:13.650;Dn;0.645;10.72
2021-10-14 13:20:13.897;Dn;0.650;10.72
2021-10-14 13:20:14.002;Dn;0.653;10.72
2021-10-14 13:20:14.241;Dn;0.661;10.72
2021-10-14 13:20:14.451;Dn;0.669;10.72
2021-10-14 13:20:14.703;Dn;0.676;10.72
2021-10-14 13:21:03.067;Dn;0.678;10.72
2021-10-14 13:21:03.266;Dn;0.680;10.72
2021-10-14 13:21:03.440;Dn;0.685;10.72
2021-10-14 13:21:03.539;Dn;0.688;10.72
2021-10-14 13:21:03.744;Dn;0.697;10.72
2021-10-14 13:21:03.926;Dn;0.705;10.72
2021-10-14 13:21:04.159;Dn;0.713;10.72
2021-10-14 13:21:04.924;Dn;0.716;10.72
2021-10-14 13:21:04.960;Dn;0.726;10.72
2021-10-14 13:21:05.076;Dn;0.752;10.72
2021-10-14 13:21:05.094;Dn;0.757;10.72
2021-10-14 13:21:05.266;Dn;0.765;10.72
2021-10-14 13:21:05.427;Dn;0.773;10.72
2021-10-14 13:21:05.609;Dn;0.781;10.72
2021-10-14 13:21:05.760;Dn;0.790;10.72
2021-10-14 13:21:05.874;Dn;0.793;10.72
2021-10-14 13:21:05.959;Dn;0.798;10.72
2021-10-14 13:21:06.145;Dn;0.807;10.72
2021-10-14 13:21:06.308;Dn;0.815;10.72
2021-10-14 13:21:06.466;Dn;0.823;10.72
2021-10-14 13:21:06.626;Dn;0.831;10.72
2021-10-14 13:21:06.690;Dn;0.833;10.72
2021-10-14 13:21:06.739;Dn;0.840;10.72
2021-10-14 13:21:06.930;Dn;0.848;10.72
2021-10-14 13:21:07.075;Dn;0.856;10.72
2021-10-14 13:21:07.249;Dn;0.864;10.72
2021-10-14 13:21:07.456;Dn;0.872;10.72
2021-10-14 13:21:07.507;Dn;0.873;10.72
2021-10-14 13:21:07.682;Dn;0.881;10.72
2021-10-14 13:21:07.842;Dn;0.889;10.72
2021-10-14 13:21:08.056;Dn;0.897;10.72
2021-10-14 13:21:08.261;Dn;0.906;10.72
2021-10-14 13:21:08.339;Dn;0.907;10.72
2021-10-14 13:21:08.416;Dn;0.914;10.72
2021-10-14 13:21:08.610;Dn;0.922;10.72
2021-10-14 13:21:08.821;Dn;0.930;10.72
2021-10-14 13:21:08.993;Dn;0.938;10.72
2021-10-14 13:21:09.122;Dn;0.943;10.72
2021-10-14 13:21:09.206;Dn;0.947;10.72
2021-10-14 13:21:09.457;Dn;0.955;10.72
2021-10-14 13:21:09.650;Dn;0.963;10.72
2021-10-14 13:21:09.855;Dn;0.972;10.72
2021-10-14 13:21:09.937;Dn;0.973;10.72
2021-10-14 13:21:10.055;Dn;0.980;10.72
2021-10-14 13:21:10.288;Dn;0.988;10.72
2021-10-14 13:21:10.486;Dn;0.996;10.72
2021-10-14 13:21:10.690;Dn;1.005;10.72
2021-10-14 13:21:10.754;Dn;1.006;10.72
2021-10-14 13:21:10.945;Dn;1.013;10.72
2021-10-14 13:21:11.103;Dn;1.021;10.72
2021-10-14 13:21:11.347;Dn;1.029;10.72
2021-10-14 13:21:11.568;Dn;1.036;10.72
2021-10-14 13:21:11.587;Dn;1.038;10.72
2021-10-14 13:21:11.762;Dn;1.046;10.72
2021-10-14 13:21:12.018;Dn;1.055;10.72
2021-10-14 13:21:12.259;Dn;1.063;10.72
2021-10-14 13:21:13.041;Dn;1.066;10.72
2021-10-14 13:21:13.074;Dn;1.079;10.72
2021-10-14 13:21:13.184;Dn;1.096;10.72
2021-10-14 13:21:13.250;Dn;1.101;10.72
2021-10-14 13:21:13.489;Dn;1.109;10.72
2021-10-14 13:21:13.666;Dn;1.117;10.72
2021-10-14 13:21:13.876;Dn;1.125;10.72
2021-10-14 13:21:14.017;Dn;1.129;10.72
2021-10-14 13:21:14.050;Dn;1.133;10.72
2021-10-14 13:21:14.291;Dn;1.141;10.72
2021-10-14 13:21:14.496;Dn;1.150;10.72
2021-10-14 13:21:14.673;Dn;1.158;10.72
2021-10-14 13:21:14.833;Dn;1.161;10.72
2021-10-14 13:21:14.864;Dn;1.166;10.72
2021-10-14 13:21:15.106;Dn;1.175;10.72
2021-10-14 13:21:15.355;Dn;1.183;10.72
2021-10-14 13:21:15.549;Dn;1.191;10.72
2021-10-14 13:21:15.616;Dn;1.193;10.72
2021-10-14 13:21:15.748;Dn;1.200;10.72
2021-10-14 13:21:15.955;Dn;1.208;10.72
2021-10-14 13:21:16.198;Dn;1.217;10.72
2021-10-14 13:21:16.448;Dn;1.225;10.72
2021-10-14 13:21:16.595;Dn;1.233;10.72
2021-10-14 13:21:16.785;Dn;1.242;10.72
2021-10-14 13:21:17.014;Dn;1.250;10.72
2021-10-14 13:21:17.217;Dn;1.258;10.72
2021-10-14 13:21:17.249;Dn;1.258;10.72
2021-10-14 13:21:17.447;Dn;1.266;10.72
2021-10-14 13:21:17.650;Dn;1.274;10.72
2021-10-14 13:21:17.891;Dn;1.282;10.72
2021-10-14 13:21:18.078;Dn;1.288;10.72
2021-10-14 13:21:18.080;Dn;1.291;10.72
2021-10-14 13:21:18.312;Dn;1.299;10.72
2021-10-14 13:21:18.482;Dn;1.307;10.72
2021-10-14 13:21:18.729;Dn;1.315;10.72
2021-10-14 13:21:18.883;Dn;1.320;10.72
2021-10-14 13:21:18.979;Dn;1.324;10.72
2021-10-14 13:21:19.154;Dn;1.332;10.72
2021-10-14 13:21:19.395;Dn;1.340;10.72
2021-10-14 13:21:19.603;Dn;1.348;10.72
2021-10-14 13:21:19.682;Dn;1.350;10.72
2021-10-14 13:21:19.778;Dn;1.356;10.72
2021-10-14 13:21:20.002;Dn;1.365;10.72
2021-10-14 13:21:20.193;Dn;1.373;10.72
2021-10-14 13:21:20.402;Dn;1.382;10.72
2021-10-14 13:21:21.168;Dn;1.384;10.72
2021-10-14 13:21:21.201;Dn;1.405;10.72
2021-10-14 13:21:21.324;Dn;1.415;10.72
2021-10-14 13:21:21.409;Dn;1.421;10.72
2021-10-14 13:21:21.634;Dn;1.430;10.72
2021-10-14 13:21:21.874;Dn;1.438;10.72
2021-10-14 13:21:22.076;Dn;1.446;10.72
2021-10-14 13:21:22.109;Dn;1.448;10.72
2021-10-14 13:21:22.292;Dn;1.454;10.72
2021-10-14 13:21:22.482;Dn;1.462;10.72
2021-10-14 13:21:22.693;Dn;1.470;10.72
2021-10-14 13:21:22.898;Dn;1.479;10.72
2021-10-14 13:21:22.944;Dn;1.479;10.72
2021-10-14 13:21:23.091;Dn;1.487;10.72
2021-10-14 13:21:23.266;Dn;1.495;10.72
2021-10-14 13:21:23.457;Dn;1.503;10.72
2021-10-14 13:21:23.683;Dn;1.511;10.72
2021-10-14 13:21:23.759;Dn;1.512;10.72
2021-10-14 13:21:23.890;Dn;1.520;10.72
2021-10-14 13:21:24.113;Dn;1.528;10.72
2021-10-14 13:21:24.324;Dn;1.536;10.72
2021-10-14 13:21:24.574;Dn;1.544;10.72
2021-10-14 13:21:24.723;Dn;1.552;10.72
2021-10-14 13:21:24.945;Dn;1.561;10.72
2021-10-14 13:21:25.136;Dn;1.569;10.72
2021-10-14 13:21:25.376;Dn;1.576;10.72
2021-10-14 13:21:25.409;Dn;1.578;10.72
2021-10-14 13:21:25.633;Dn;1.586;10.72
2021-10-14 13:21:25.856;Dn;1.594;10.72
2021-10-14 13:21:26.089;Dn;1.602;10.72
2021-10-14 13:21:26.194;Dn;1.605;10.72
2021-10-14 13:21:26.288;Dn;1.611;10.72
2021-10-14 13:21:26.530;Dn;1.619;10.72
2021-10-14 13:21:26.754;Dn;1.627;10.72
2021-10-14 13:21:26.992;Dn;1.635;10.72
2021-10-14 13:21:27.037;Dn;1.636;10.72
2021-10-14 13:21:27.234;Dn;1.645;10.72
2021-10-14 13:21:27.473;Dn;1.653;10.72
2021-10-14 13:21:27.671;Dn;1.661;10.72
2021-10-14 13:21:27.821;Dn;1.664;10.72
2021-10-14 13:21:27.888;Dn;1.669;10.72
2021-10-14 13:21:28.129;Dn;1.678;10.72
2021-10-14 13:21:28.321;Dn;1.686;10.72
2021-10-14 13:21:28.546;Dn;1.694;10.72
2021-10-14 13:21:29.281;Dn;1.696;10.72
2021-10-14 13:21:29.350;Dn;1.703;10.72
2021-10-14 13:21:29.454;Dn;1.727;10.72
2021-10-14 13:21:29.538;Dn;1.732;10.72
2021-10-14 13:21:29.751;Dn;1.741;10.72
2021-10-14 13:21:29.938;Dn;1.749;10.72
2021-10-14 13:21:30.168;Dn;1.757;10.72
2021-10-14 13:21:30.257;Dn;1.759;10.72
2021-10-14 13:21:30.383;Dn;1.766;10.72
2021-10-14 13:21:30.610;Dn;1.774;10.72
2021-10-14 13:21:30.815;Dn;1.782;10.72
2021-10-14 13:21:31.058;Dn;1.790;10.72
2021-10-14 13:21:31.120;Dn;1.792;10.72
2021-10-14 13:21:31.298;Dn;1.800;10.72
2021-10-14 13:21:31.533;Dn;1.809;10.72
2021-10-14 13:21:31.750;Dn;1.817;10.72
2021-10-14 13:21:31.881;Dn;1.820;10.72
2021-10-14 13:21:32.016;Dn;1.825;10.72
2021-10-14 13:21:32.194;Dn;1.833;10.72
2021-10-14 13:21:32.448;Dn;1.842;10.72
2021-10-14 13:21:32.688;Dn;1.849;10.72
2021-10-14 13:21:32.734;Dn;1.851;10.72
2021-10-14 13:21:32.932;Dn;1.859;10.72
2021-10-14 13:21:33.154;Dn;1.868;10.72
2021-10-14 13:21:33.376;Dn;1.876;10.72
2021-10-14 13:22:26.145;Dn;1.879;10.72
2021-10-14 13:22:26.162;Dn;1.883;10.72
2021-10-14 13:22:26.306;Dn;1.900;10.72
2021-10-14 13:22:26.480;Dn;1.909;10.72
2021-10-14 13:22:26.762;Dn;1.918;10.72
2021-10-14 13:22:26.993;Dn;1.926;10.72
2021-10-14 13:22:27.112;Dn;1.930;10.72
2021-10-14 13:22:27.185;Dn;1.934;10.72
2021-10-14 13:22:27.461;Dn;1.943;10.72
2021-10-14 13:22:27.633;Dn;1.951;10.72
2021-10-14 13:22:27.878;Dn;1.959;10.72
2021-10-14 13:22:27.944;Dn;1.959;10.72
2021-10-14 13:22:28.077;Dn;1.968;10.72
2021-10-14 13:22:28.256;Dn;1.976;10.72
2021-10-14 13:22:28.459;Dn;1.984;10.72
2021-10-14 13:22:28.677;Dn;1.992;10.72
2021-10-14 13:22:28.734;Dn;1.994;10.72
2021-10-14 13:22:28.897;Dn;2.000;10.72
2021-10-14 13:22:29.153;Dn;2.008;10.72
2021-10-14 13:22:29.426;Dn;2.017;10.72
2021-10-14 13:22:29.553;Dn;2.020;10.72
2021-10-14 13:22:29.633;Dn;2.025;10.72
2021-10-14 13:22:29.874;Dn;2.033;10.72
2021-10-14 13:22:30.113;Dn;2.041;10.72
2021-10-14 13:22:30.308;Dn;2.049;10.72
2021-10-14 13:22:30.374;Dn;2.050;10.72
2021-10-14 13:22:30.529;Dn;2.058;10.72
2021-10-14 13:22:30.691;Dn;2.066;10.72
2021-10-14 13:22:30.884;Dn;2.074;10.72
2021-10-14 13:22:31.073;Dn;2.082;10.72
2021-10-14 13:22:31.168;Dn;2.086;10.72
2021-10-14 13:22:31.190;Dn;2.090;10.72
2021-10-14 13:22:31.408;Dn;2.099;10.72
2021-10-14 13:22:31.606;Dn;2.107;10.72
2021-10-14 13:22:31.806;Dn;2.116;10.72
2021-10-14 13:22:32.001;Dn;2.123;10.72
2021-10-14 13:22:32.023;Dn;2.124;10.72
2021-10-14 13:22:32.195;Dn;2.132;10.72
2021-10-14 13:22:32.356;Dn;2.140;10.72
2021-10-14 13:22:32.556;Dn;2.149;10.72
2021-10-14 13:22:32.738;Dn;2.157;10.72
2021-10-14 13:22:32.822;Dn;2.159;10.72
2021-10-14 13:22:32.896;Dn;2.165;10.72
2021-10-14 13:22:33.057;Dn;2.174;10.72
2021-10-14 13:22:33.256;Dn;2.182;10.72
2021-10-14 13:22:33.427;Dn;2.191;10.72
2021-10-14 13:22:34.274;Dn;2.198;10.72
2021-10-14 13:22:34.321;Dn;2.217;10.72
2021-10-14 13:22:34.445;Dn;2.233;10.72
2021-10-14 13:22:34.466;Dn;2.236;10.72
2021-10-14 13:22:34.642;Dn;2.245;10.72
2021-10-14 13:22:34.836;Dn;2.253;10.72
2021-10-14 13:22:35.010;Dn;2.262;10.72
2021-10-14 13:22:35.169;Dn;2.271;10.72
2021-10-14 13:22:35.237;Dn;2.272;10.72
2021-10-14 13:22:35.386;Dn;2.279;10.72
2021-10-14 13:22:35.538;Dn;2.287;10.72
2021-10-14 13:22:35.770;Dn;2.295;10.72
2021-10-14 13:22:35.970;Dn;2.304;10.72
2021-10-14 13:22:36.051;Dn;2.306;10.72
2021-10-14 13:22:36.167;Dn;2.312;10.72
2021-10-14 13:22:36.386;Dn;2.320;10.72
2021-10-14 13:22:36.568;Dn;2.329;10.72
2021-10-14 13:22:36.768;Dn;2.337;10.72
2021-10-14 13:22:36.864;Dn;2.340;10.72
2021-10-14 13:22:36.961;Dn;2.345;10.72
2021-10-14 13:22:37.191;Dn;2.354;10.72
2021-10-14 13:22:37.396;Dn;2.362;10.72
2021-10-14 13:22:37.600;Dn;2.370;10.72
2021-10-14 13:22:37.718;Dn;2.373;10.72
2021-10-14 13:22:37.742;Dn;2.378;10.72
2021-10-14 13:22:37.905;Dn;2.386;10.72
2021-10-14 13:22:38.112;Dn;2.395;10.72
2021-10-14 13:22:38.299;Dn;2.403;10.72
2021-10-14 13:22:38.450;Dn;2.411;10.72
2021-10-14 13:22:38.517;Dn;2.412;10.72
2021-10-14 13:22:38.667;Dn;2.420;10.72
2021-10-14 13:22:38.883;Dn;2.428;10.72
2021-10-14 13:22:39.200;Dn;2.436;10.72
2021-10-14 13:22:39.335;Dn;2.439;10.72
2021-10-14 13:22:39.441;Dn;2.444;10.72
2021-10-14 13:22:39.689;Dn;2.453;10.72
2021-10-14 13:22:39.948;Dn;2.461;10.72
2021-10-14 13:22:40.122;Dn;2.466;10.72
2021-10-14 13:22:40.215;Dn;2.469;10.72
2021-10-14 13:22:40.465;Dn;2.477;10.72
2021-10-14 13:22:40.714;Dn;2.485;10.72
2021-10-14 13:22:40.959;Dn;2.492;10.72
2021-10-14 13:22:40.981;Dn;2.495;10.72
2021-10-14 13:22:41.186;Dn;2.503;10.72
2021-10-14 13:22:41.442;Dn;2.511;10.72
2021-10-14 13:22:41.679;Dn;2.519;10.72
2021-10-14 13:22:42.418;Dn;2.520;10.72
2021-10-14 13:22:42.464;Dn;2.545;10.72
2021-10-14 13:22:42.580;Dn;2.548;10.72
2021-10-14 13:22:42.641;Dn;2.553;10.72
2021-10-14 13:22:42.912;Dn;2.562;10.72
2021-10-14 13:22:43.161;Dn;2.570;10.72
2021-10-14 13:22:43.375;Dn;2.576;10.72
2021-10-14 13:22:43.417;Dn;2.578;10.72
2021-10-14 13:22:43.651;Dn;2.586;10.72
2021-10-14 13:22:43.889;Dn;2.595;10.72
2021-10-14 13:22:44.115;Dn;2.603;10.72
2021-10-14 13:22:44.226;Dn;2.604;10.72
2021-10-14 13:22:44.319;Dn;2.611;10.72
2021-10-14 13:22:44.620;Dn;2.620;10.72
2021-10-14 13:22:44.866;Dn;2.628;10.72
2021-10-14 13:22:45.044;Dn;2.631;10.72
2021-10-14 13:22:45.164;Dn;2.636;10.72
2021-10-14 13:22:45.380;Dn;2.644;10.72
2021-10-14 13:22:45.642;Dn;2.652;10.72
2021-10-14 13:22:45.840;Dn;2.657;10.72
2021-10-14 13:22:45.840;Dn;2.660;10.72
2021-10-14 13:22:46.076;Dn;2.668;10.72
2021-10-14 13:22:46.310;Dn;2.676;10.72
2021-10-14 13:22:46.546;Dn;2.684;10.72
2021-10-14 13:22:46.625;Dn;2.685;10.72
2021-10-14 13:22:46.792;Dn;2.693;10.72
2021-10-14 13:22:47.041;Dn;2.701;10.72
2021-10-14 13:22:47.292;Dn;2.709;10.72
2021-10-14 13:22:47.461;Dn;2.714;10.72
2021-10-14 13:22:47.525;Dn;2.718;10.72
2021-10-14 13:22:47.775;Dn;2.726;10.72
2021-10-14 13:22:48.002;Dn;2.734;10.72
2021-10-14 13:22:48.257;Dn;2.740;10.72
2021-10-14 13:22:48.354;Dn;2.743;10.72
2021-10-14 13:22:48.562;Dn;2.751;10.72
2021-10-14 13:22:48.840;Dn;2.759;10.72
2021-10-14 13:22:49.090;Dn;2.766;10.72
2021-10-14 13:22:49.140;Dn;2.767;10.72
2021-10-14 13:22:49.324;Dn;2.775;10.72
2021-10-14 13:22:49.555;Dn;2.784;10.72
2021-10-14 13:22:49.839;Dn;2.792;10.72
2021-10-14 13:22:50.546;Dn;2.792;10.72
2021-10-14 13:22:50.608;Dn;2.815;10.72
2021-10-14 13:22:50.739;Dn;2.818;10.72
