DateTime;UpDn;Depth;RE1Max
2021-10-14 12:33:47.342;Dn;0.005;309.7
2021-10-14 12:33:47.342;Dn;0.005;309.7
2021-10-14 12:33:48.973;Dn;0.063;276.1
2021-10-14 12:33:50.589;Dn;0.129;234.5
2021-10-14 12:33:52.225;Dn;0.187;271.6
2021-10-14 12:33:53.839;Dn;0.250;289
2021-10-14 12:33:55.468;Dn;0.315;248.6
2021-10-14 12:33:57.102;Dn;0.382;207.8
2021-10-14 12:33:58.734;Dn;0.457;163.9
2021-10-14 12:34:00.350;Dn;0.524;118.3
2021-10-14 12:34:01.982;Dn;0.594;135.3
2021-10-14 12:34:03.613;Dn;0.661;157.8
2021-10-14 12:34:05.246;Dn;0.735;122.4
2021-10-14 12:34:53.950;Dn;0.767;108
2021-10-14 12:34:55.566;Dn;0.843;-28.7
2021-10-14 12:34:57.210;Dn;0.926;-47.9
2021-10-14 12:34:58.858;Dn;1.002;-33.8
2021-10-14 12:35:00.430;Dn;1.068;-29.6
2021-10-14 12:35:02.062;Dn;1.144;-23.2
2021-10-14 12:35:03.677;Dn;1.209;-15.9
2021-10-14 12:35:05.310;Dn;1.259;-6.9
2021-10-14 12:35:06.926;Dn;1.311;-7.4
2021-10-14 12:35:08.558;Dn;1.368;-7.4
2021-10-14 12:35:10.174;Dn;1.419;-8.7
2021-10-14 12:35:11.801;Dn;1.477;-10.1
2021-10-14 12:35:13.423;Dn;1.526;-2.9
2021-10-14 12:35:15.037;Dn;1.582;-1
2021-10-14 12:35:16.654;Dn;1.640;1.5
2021-10-14 12:35:18.285;Dn;1.698;13.6
2021-10-14 12:35:19.918;Dn;1.756;29.5
2021-10-14 12:35:21.535;Dn;1.813;45.8
2021-10-14 12:35:23.184;Dn;1.875;55.2
2021-10-14 12:35:24.797;Dn;1.933;14.3
2021-10-14 12:36:10.271;Dn;1.934;32.7
2021-10-14 12:36:11.869;Dn;1.991;-30.7
2021-10-14 12:36:13.486;Dn;2.040;-11.7
2021-10-14 12:36:15.118;Dn;2.080;33.5
2021-10-14 12:36:16.718;Dn;2.130;23.7
2021-10-14 12:36:18.366;Dn;2.173;68
2021-10-14 12:36:19.982;Dn;2.220;73.7
2021-10-14 12:36:21.615;Dn;2.261;81.6
2021-10-14 12:36:23.231;Dn;2.311;90
2021-10-14 12:36:24.857;Dn;2.360;98.8
2021-10-14 12:36:26.479;Dn;2.402;109.2
2021-10-14 12:36:28.105;Dn;2.454;111.3
2021-10-14 12:36:29.711;Dn;2.495;120
2021-10-14 12:36:31.385;Dn;2.545;117.5
2021-10-14 12:36:32.991;Dn;2.587;116.1
2021-10-14 12:36:34.606;Dn;2.636;123.1
2021-10-14 12:36:36.237;Dn;2.685;116.6
2021-10-14 12:36:37.853;Dn;2.726;135.5
2021-10-14 12:36:39.485;Dn;2.767;148.7
2021-10-14 12:36:41.142;Dn;2.800;133.3
2021-10-14 12:36:42.721;Dn;2.824;201
2021-10-14 12:36:44.367;Dn;2.850;199.3
2021-10-14 12:36:46.003;Dn;2.928;269.8
2021-10-14 12:36:47.629;Dn;2.970;256.6
2021-10-14 12:36:49.245;Dn;3.011;243
2021-10-14 12:36:50.871;Dn;3.060;234.7
2021-10-14 12:36:52.512;Dn;3.104;187
2021-10-14 12:37:39.550;Dn;3.116;161.1
2021-10-14 12:37:41.181;Dn;3.117;74.1
2021-10-14 12:37:42.813;Dn;3.125;98.4
2021-10-14 12:37:44.446;Dn;3.135;105
2021-10-14 12:37:46.062;Dn;3.183;149.1
2021-10-14 12:37:47.693;Dn;3.204;120.8
2021-10-14 12:37:52.573;Dn;3.206;123.8
2021-10-14 12:37:54.205;Dn;3.250;144.3
2021-10-14 12:37:55.806;Dn;3.299;183.4
2021-10-14 12:37:57.455;Dn;3.337;172.9
2021-10-14 12:37:59.086;Dn;3.371;161.7
2021-10-14 12:38:00.686;Dn;3.465;177.6
2021-10-14 12:38:02.334;Dn;3.467;164.8
2021-10-14 12:38:03.965;Dn;3.468;162
2021-10-14 12:38:05.598;Dn;3.481;145.3
2021-10-14 12:38:07.214;Dn;3.514;141.5
2021-10-14 12:38:08.830;Dn;3.586;171.5
2021-10-14 12:38:10.478;Dn;3.665;158.7
2021-10-14 12:38:12.093;Dn;3.715;177.8
2021-10-14 12:38:13.725;Dn;3.756;184.6
2021-10-14 12:38:15.358;Dn;3.801;159.9
2021-10-14 12:38:16.989;Dn;3.844;146.8
2021-10-14 12:38:18.605;Dn;3.888;135.4
2021-10-14 12:38:20.237;Dn;3.930;151.5
2021-10-14 12:38:21.863;Dn;3.962;149.5
2021-10-14 12:38:23.502;Dn;3.996;163.2
2021-10-14 12:38:25.118;Dn;4.022;145.5
2021-10-14 12:38:26.739;Dn;4.056;136.1
2021-10-14 12:38:28.366;Dn;4.098;133.8
2021-10-14 12:38:29.997;Dn;4.137;161.1
2021-10-14 12:38:31.629;Dn;4.179;126.4
2021-10-14 12:38:33.245;Dn;4.213;135.6
2021-10-14 12:38:34.862;Dn;4.246;128.8
2021-10-14 12:38:36.510;Dn;4.288;96.5
2021-10-14 12:38:38.125;Dn;4.331;80.8
2021-10-14 12:38:39.743;Dn;4.357;68.6
2021-10-14 12:40:28.541;Dn;4.365;-14.4
2021-10-14 12:40:33.405;Dn;4.370;-24.4
2021-10-14 12:40:35.021;Dn;4.405;16.4
2021-10-14 12:40:36.638;Dn;4.455;68.1
2021-10-14 12:40:38.261;Dn;4.505;59.5
2021-10-14 12:40:39.906;Dn;4.547;60
2021-10-14 12:40:41.502;Dn;4.579;64.4
2021-10-14 12:40:43.142;Dn;4.621;56.5
2021-10-14 12:40:44.781;Dn;4.664;48.9
2021-10-14 12:40:46.397;Dn;4.699;48.7
2021-10-14 12:40:48.028;Dn;4.731;46.3
2021-10-14 12:40:49.647;Dn;4.774;77
2021-10-14 12:40:51.277;Dn;4.810;42.4
2021-10-14 12:40:52.893;Dn;4.852;6.8
2021-10-14 12:40:54.525;Dn;4.886;34.1
2021-10-14 12:40:56.157;Dn;4.926;33.5
2021-10-14 12:40:57.784;Dn;4.961;29.8
2021-10-14 12:40:59.405;Dn;5.003;43.4
2021-10-14 12:41:01.022;Dn;5.045;62.4
2021-10-14 12:41:02.666;Dn;5.087;57.5
2021-10-14 12:41:04.285;Dn;5.125;52.7
2021-10-14 12:41:05.902;Dn;5.168;57.3
2021-10-14 12:41:07.549;Dn;5.211;63.3
2021-10-14 12:41:09.165;Dn;5.252;56.1
2021-10-14 12:41:10.797;Dn;5.296;64.8
2021-10-14 12:41:12.413;Dn;5.344;82.4
2021-10-14 12:41:14.042;Dn;5.393;58.7
2021-10-14 12:41:15.692;Dn;5.445;73.5
2021-10-14 12:41:17.326;Dn;5.489;72.2
2021-10-14 12:41:18.924;Dn;5.523;80.5
2021-10-14 12:42:04.398;Dn;5.530;28.8
2021-10-14 12:42:06.030;Dn;5.539;8.4
2021-10-14 12:42:07.646;Dn;5.590;76.6
2021-10-14 12:42:09.278;Dn;5.626;52.8
2021-10-14 12:42:10.894;Dn;5.663;42.6
2021-10-14 12:42:12.526;Dn;5.689;55.5
2021-10-14 12:42:14.158;Dn;5.722;53.9
2021-10-14 12:42:15.774;Dn;5.756;57.2
2021-10-14 12:42:17.406;Dn;5.793;48.4
2021-10-14 12:42:19.022;Dn;5.827;40.9
2021-10-14 12:42:20.639;Dn;5.861;58.1
2021-10-14 12:42:22.269;Dn;5.895;71.6
2021-10-14 12:42:23.902;Dn;5.920;91.1
2021-10-14 12:42:25.534;Dn;5.961;61.2
2021-10-14 12:42:27.150;Dn;5.994;66.8
2021-10-14 12:42:28.781;Dn;6.038;70.8
2021-10-14 12:42:30.414;Dn;6.073;73.7
2021-10-14 12:42:32.046;Dn;6.115;68.8
2021-10-14 12:42:33.662;Dn;6.150;77.2
2021-10-14 12:42:35.294;Dn;6.192;63.5
2021-10-14 12:42:36.926;Dn;6.234;104.4
2021-10-14 12:42:38.541;Dn;6.268;63.9
2021-10-14 12:42:40.174;Dn;6.293;46.8
2021-10-14 12:42:41.790;Dn;6.301;-13.1
2021-10-14 12:42:43.422;Dn;6.309;51.6
2021-10-14 12:42:45.037;Dn;6.343;54.6
2021-10-14 12:42:46.670;Dn;6.367;61.2
2021-10-14 12:42:48.285;Dn;6.392;58.8
2021-10-14 12:42:49.918;Dn;6.421;79.8
2021-10-14 12:42:51.550;Dn;6.471;57
2021-10-14 12:42:53.166;Dn;6.514;32.8
2021-10-14 12:42:54.798;Dn;6.556;55.4
2021-10-14 12:42:56.413;Dn;6.608;34
2021-10-14 12:42:58.045;Dn;6.647;7.5
2021-10-14 12:42:59.666;Dn;6.690;0.4
2021-10-14 12:43:01.294;Dn;6.733;-8.8
2021-10-14 12:43:02.909;Dn;6.799;-15.6
2021-10-14 12:43:46.765;Dn;6.808;-12.5
2021-10-14 12:43:48.397;Dn;6.811;24.2
2021-10-14 12:43:50.030;Dn;6.815;15.8
2021-10-14 12:43:51.646;Dn;6.836;6.6
2021-10-14 12:43:53.277;Dn;6.871;0.3
2021-10-14 12:43:54.892;Dn;6.906;1.3
2021-10-14 12:43:56.525;Dn;6.948;-12.5
2021-10-14 12:43:58.158;Dn;6.982;-18.9
2021-10-14 12:43:59.774;Dn;7.025;36
2021-10-14 12:44:01.405;Dn;7.067;11.1
2021-10-14 12:44:03.022;Dn;7.103;5.6
2021-10-14 12:44:04.653;Dn;7.137;-1
2021-10-14 12:44:06.286;Dn;7.179;-32.1
2021-10-14 12:44:07.902;Dn;7.222;-22.4
2021-10-14 12:44:09.534;Dn;7.265;-66.3
2021-10-14 12:44:11.149;Dn;7.308;-82.2
2021-10-14 12:44:12.781;Dn;7.344;-111
2021-10-14 12:44:14.413;Dn;7.387;-146.9
2021-10-14 12:44:16.030;Dn;7.430;-172.7
2021-10-14 12:44:17.646;Dn;7.465;-190.8
2021-10-14 12:44:19.277;Dn;7.505;-204.2
2021-10-14 12:44:20.893;Dn;7.547;-221.2
