DateTime;UpDn;Depth;SPMax
2021-10-14 12:33:45.727;Dn;0.000;428.3
2021-10-14 12:33:46.542;Dn;0.000;428.77
2021-10-14 12:33:47.118;Dn;0.005;426.57
2021-10-14 12:33:47.358;Dn;0.011;424.23
2021-10-14 12:33:47.391;Dn;0.013;423.53
2021-10-14 12:33:47.613;Dn;0.021;420.47
2021-10-14 12:33:47.869;Dn;0.030;417.23
2021-10-14 12:33:48.092;Dn;0.038;414.2
2021-10-14 12:33:48.157;Dn;0.039;414
2021-10-14 12:33:48.301;Dn;0.046;411.1
2021-10-14 12:33:48.541;Dn;0.055;408
2021-10-14 12:33:48.781;Dn;0.063;404.93
2021-10-14 12:33:48.973;Dn;0.069;402.6
2021-10-14 12:33:49.046;Dn;0.071;401.8
2021-10-14 12:33:49.260;Dn;0.079;398.7
2021-10-14 12:33:49.484;Dn;0.088;395.37
2021-10-14 12:33:49.692;Dn;0.097;392.27
2021-10-14 12:33:49.798;Dn;0.099;391.3
2021-10-14 12:33:49.901;Dn;0.105;389.13
2021-10-14 12:33:50.077;Dn;0.113;386.1
2021-10-14 12:33:50.300;Dn;0.121;383.07
2021-10-14 12:33:50.508;Dn;0.129;380
2021-10-14 12:33:50.610;Dn;0.132;378.87
2021-10-14 12:33:50.725;Dn;0.137;376.97
2021-10-14 12:33:50.942;Dn;0.146;373.8
2021-10-14 12:33:51.198;Dn;0.154;370.67
2021-10-14 12:33:51.427;Dn;0.161;367.93
2021-10-14 12:33:51.438;Dn;0.163;367.5
2021-10-14 12:33:51.631;Dn;0.171;364.47
2021-10-14 12:33:51.901;Dn;0.179;361.33
2021-10-14 12:33:52.158;Dn;0.187;358.3
2021-10-14 12:33:52.256;Dn;0.189;357.43
2021-10-14 12:33:52.944;Dn;0.203;352.43
2021-10-14 12:33:53.072;Dn;0.220;345.93
2021-10-14 12:33:53.102;Dn;0.225;344.13
2021-10-14 12:33:53.326;Dn;0.233;341.07
2021-10-14 12:33:53.501;Dn;0.241;338
2021-10-14 12:33:53.725;Dn;0.250;334.93
2021-10-14 12:33:53.839;Dn;0.254;333.37
2021-10-14 12:33:53.950;Dn;0.258;331.87
2021-10-14 12:33:54.143;Dn;0.266;328.7
2021-10-14 12:33:54.360;Dn;0.274;325.67
2021-10-14 12:33:54.532;Dn;0.282;322.63
2021-10-14 12:33:54.688;Dn;0.286;321.17
2021-10-14 12:33:54.749;Dn;0.291;319.5
2021-10-14 12:33:54.911;Dn;0.299;316.43
2021-10-14 12:33:55.133;Dn;0.307;313.33
2021-10-14 12:33:55.325;Dn;0.315;310.27
2021-10-14 12:33:55.493;Dn;0.320;308.63
2021-10-14 12:33:55.537;Dn;0.323;307.2
