DateTime;UpDn;Depth;TempMax
2021-10-14 12:33:45.755;Dn;0.000;10.66
2021-10-14 12:33:46.564;Dn;0.000;10.66
2021-10-14 12:33:47.146;Dn;0.005;10.66
2021-10-14 12:33:47.358;Dn;0.011;10.66
2021-10-14 12:33:47.416;Dn;0.013;10.66
2021-10-14 12:33:47.633;Dn;0.021;10.66
2021-10-14 12:33:47.887;Dn;0.030;10.66
2021-10-14 12:33:48.111;Dn;0.038;10.66
2021-10-14 12:33:48.190;Dn;0.039;10.66
2021-10-14 12:33:48.319;Dn;0.046;10.66
2021-10-14 12:33:48.580;Dn;0.055;10.66
2021-10-14 12:33:48.781;Dn;0.063;10.66
2021-10-14 12:33:49.002;Dn;0.069;10.66
2021-10-14 12:33:49.075;Dn;0.071;10.66
2021-10-14 12:33:49.278;Dn;0.079;10.66
2021-10-14 12:33:49.513;Dn;0.088;10.66
2021-10-14 12:33:49.721;Dn;0.097;10.66
2021-10-14 12:33:49.818;Dn;0.099;10.66
2021-10-14 12:33:49.930;Dn;0.105;10.66
2021-10-14 12:33:50.097;Dn;0.113;10.66
2021-10-14 12:33:50.301;Dn;0.121;10.66
2021-10-14 12:33:50.509;Dn;0.129;10.66
2021-10-14 12:33:50.624;Dn;0.132;10.66
2021-10-14 12:33:50.750;Dn;0.137;10.66
2021-10-14 12:33:50.958;Dn;0.146;10.66
2021-10-14 12:33:51.198;Dn;0.154;10.66
2021-10-14 12:33:51.438;Dn;0.161;10.66
2021-10-14 12:33:51.458;Dn;0.163;10.66
2021-10-14 12:33:51.631;Dn;0.171;10.66
2021-10-14 12:33:51.918;Dn;0.179;10.66
2021-10-14 12:33:52.175;Dn;0.187;10.66
2021-10-14 12:33:52.923;Dn;0.189;10.66
2021-10-14 12:33:52.970;Dn;0.203;10.66
2021-10-14 12:33:53.072;Dn;0.220;10.66
2021-10-14 12:33:53.122;Dn;0.225;10.66
2021-10-14 12:33:53.356;Dn;0.233;10.66
2021-10-14 12:33:53.544;Dn;0.241;10.66
2021-10-14 12:33:53.756;Dn;0.250;10.66
2021-10-14 12:33:53.872;Dn;0.254;10.66
2021-10-14 12:33:53.950;Dn;0.258;10.66
2021-10-14 12:33:54.175;Dn;0.266;10.66
2021-10-14 12:33:54.383;Dn;0.274;10.66
2021-10-14 12:33:54.558;Dn;0.282;10.66
2021-10-14 12:33:54.689;Dn;0.286;10.66
2021-10-14 12:33:54.767;Dn;0.291;10.66
2021-10-14 12:33:54.942;Dn;0.299;10.66
2021-10-14 12:33:55.152;Dn;0.307;10.66
2021-10-14 12:33:55.354;Dn;0.315;10.66
2021-10-14 12:33:55.505;Dn;0.320;10.66
2021-10-14 12:33:55.566;Dn;0.323;10.66
2021-10-14 12:33:55.741;Dn;0.332;10.66
2021-10-14 12:33:55.934;Dn;0.340;10.66
2021-10-14 12:33:56.134;Dn;0.348;10.66
2021-10-14 12:33:56.334;Dn;0.354;10.66
2021-10-14 12:33:56.335;Dn;0.356;10.66
2021-10-14 12:33:56.543;Dn;0.365;10.66
2021-10-14 12:33:56.726;Dn;0.373;10.66
2021-10-14 12:33:56.912;Dn;0.382;10.66
2021-10-14 12:33:57.119;Dn;0.388;10.66
2021-10-14 12:33:57.152;Dn;0.390;10.66
2021-10-14 12:33:57.343;Dn;0.399;10.66
2021-10-14 12:33:57.535;Dn;0.407;10.66
2021-10-14 12:33:57.730;Dn;0.415;10.66
2021-10-14 12:33:57.951;Dn;0.423;10.66
2021-10-14 12:33:57.969;Dn;0.423;10.66
2021-10-14 12:33:58.117;Dn;0.431;10.66
2021-10-14 12:33:58.302;Dn;0.440;10.66
2021-10-14 12:33:58.499;Dn;0.448;10.66
2021-10-14 12:33:58.702;Dn;0.457;10.66
2021-10-14 12:33:58.751;Dn;0.458;10.66
2021-10-14 12:33:58.864;Dn;0.465;10.66
2021-10-14 12:33:59.101;Dn;0.474;10.66
2021-10-14 12:33:59.302;Dn;0.482;10.66
2021-10-14 12:33:59.500;Dn;0.490;10.66
2021-10-14 12:33:59.567;Dn;0.494;10.66
2021-10-14 12:33:59.617;Dn;0.499;10.66
2021-10-14 12:33:59.822;Dn;0.507;10.66
2021-10-14 12:34:00.050;Dn;0.515;10.66
2021-10-14 12:34:00.190;Dn;0.524;10.66
2021-10-14 12:34:01.054;Dn;0.530;10.66
2021-10-14 12:34:01.086;Dn;0.536;10.66
2021-10-14 12:34:01.208;Dn;0.564;10.66
2021-10-14 12:34:01.266;Dn;0.569;10.66
2021-10-14 12:34:01.488;Dn;0.577;10.66
2021-10-14 12:34:01.678;Dn;0.586;10.66
2021-10-14 12:34:01.888;Dn;0.594;10.66
2021-10-14 12:34:02.025;Dn;0.597;10.66
2021-10-14 12:34:02.121;Dn;0.603;10.66
2021-10-14 12:34:02.322;Dn;0.611;10.66
2021-10-14 12:34:02.515;Dn;0.619;10.66
2021-10-14 12:34:02.697;Dn;0.627;10.66
2021-10-14 12:34:02.840;Dn;0.631;10.66
2021-10-14 12:34:02.896;Dn;0.636;10.66
2021-10-14 12:34:03.054;Dn;0.644;10.66
2021-10-14 12:34:03.279;Dn;0.652;10.66
2021-10-14 12:34:03.479;Dn;0.661;10.66
2021-10-14 12:34:03.655;Dn;0.666;10.66
2021-10-14 12:34:03.690;Dn;0.669;10.66
2021-10-14 12:34:03.867;Dn;0.677;10.66
2021-10-14 12:34:04.079;Dn;0.686;10.66
2021-10-14 12:34:04.257;Dn;0.694;10.66
2021-10-14 12:34:04.460;Dn;0.701;10.66
2021-10-14 12:34:04.497;Dn;0.703;10.66
2021-10-14 12:34:04.662;Dn;0.711;10.66
2021-10-14 12:34:04.829;Dn;0.719;10.66
2021-10-14 12:34:05.030;Dn;0.727;10.66
2021-10-14 12:34:05.245;Dn;0.735;10.66
2021-10-14 12:34:05.262;Dn;0.736;10.66
2021-10-14 12:34:05.439;Dn;0.744;10.66
2021-10-14 12:34:05.622;Dn;0.752;10.66
2021-10-14 12:34:05.807;Dn;0.760;10.66
2021-10-14 12:34:54.159;Dn;0.767;10.66
2021-10-14 12:34:54.302;Dn;0.768;10.66
2021-10-14 12:34:54.430;Dn;0.784;10.66
2021-10-14 12:34:54.526;Dn;0.801;10.66
2021-10-14 12:34:54.734;Dn;0.818;10.66
2021-10-14 12:34:54.798;Dn;0.819;10.66
2021-10-14 12:34:55.088;Dn;0.827;10.66
2021-10-14 12:34:55.295;Dn;0.835;10.66
2021-10-14 12:34:55.438;Dn;0.843;10.66
2021-10-14 12:34:55.605;Dn;0.849;10.66
2021-10-14 12:34:55.648;Dn;0.851;10.66
2021-10-14 12:34:55.821;Dn;0.860;10.66
2021-10-14 12:34:56.059;Dn;0.868;10.66
2021-10-14 12:34:56.193;Dn;0.876;10.66
2021-10-14 12:34:56.344;Dn;0.884;10.66
2021-10-14 12:34:56.400;Dn;0.886;10.66
2021-10-14 12:34:56.495;Dn;0.893;10.66
2021-10-14 12:34:56.654;Dn;0.901;10.66
2021-10-14 12:34:56.846;Dn;0.909;10.66
2021-10-14 12:34:57.044;Dn;0.918;10.66
2021-10-14 12:34:57.184;Dn;0.926;10.66
2021-10-14 12:34:57.886;Dn;0.926;10.66
2021-10-14 12:34:57.929;Dn;0.951;10.66
2021-10-14 12:34:58.042;Dn;0.963;10.66
2021-10-14 12:34:58.078;Dn;0.968;10.66
2021-10-14 12:34:58.293;Dn;0.976;10.66
2021-10-14 12:34:58.464;Dn;0.984;10.66
2021-10-14 12:34:58.630;Dn;0.993;10.66
2021-10-14 12:34:58.879;Dn;1.002;10.66
2021-10-14 12:34:59.031;Dn;1.011;10.66
2021-10-14 12:34:59.216;Dn;1.019;10.66
2021-10-14 12:34:59.392;Dn;1.027;10.66
2021-10-14 12:34:59.591;Dn;1.035;10.66
2021-10-14 12:34:59.649;Dn;1.038;10.66
2021-10-14 12:34:59.757;Dn;1.044;10.66
2021-10-14 12:34:59.927;Dn;1.052;10.66
2021-10-14 12:35:00.108;Dn;1.060;10.66
2021-10-14 12:35:00.293;Dn;1.068;10.66
2021-10-14 12:35:00.462;Dn;1.075;10.66
2021-10-14 12:35:00.507;Dn;1.076;10.66
2021-10-14 12:35:00.656;Dn;1.085;10.66
2021-10-14 12:35:00.847;Dn;1.093;10.66
2021-10-14 12:35:01.040;Dn;1.102;10.66
2021-10-14 12:35:01.206;Dn;1.110;10.66
2021-10-14 12:35:01.279;Dn;1.112;10.66
