DateTime;UpDn;Depth;REMax
2020-09-21 11:36:58.468;Dn;0.037;116.5
2020-09-21 11:36:58.468;Dn;0.037;116.5
2020-09-21 11:36:59.509;Dn;0.088;133.2
2020-09-21 11:37:00.538;Dn;0.131;126.1
2020-09-21 11:37:01.594;Dn;0.173;143
2020-09-21 11:37:02.636;Dn;0.208;126.9
2020-09-21 11:37:03.695;Dn;0.251;124.7
2020-09-21 11:37:04.708;Dn;0.299;130.7
2020-09-21 11:37:05.763;Dn;0.333;136
2020-09-21 11:37:06.805;Dn;0.363;162
2020-09-21 11:37:07.848;Dn;0.395;172.6
2020-09-21 11:37:08.895;Dn;0.437;186.5
2020-09-21 11:37:09.909;Dn;0.499;164.8
2020-09-21 11:37:10.974;Dn;0.528;150.5
2020-09-21 11:37:12.016;Dn;0.557;137.7
2020-09-21 11:37:13.059;Dn;0.579;145.9
2020-09-21 11:37:14.100;Dn;0.613;107.4
2020-09-21 11:37:15.120;Dn;0.645;131.5
2020-09-21 11:37:16.185;Dn;0.680;129.5
2020-09-21 11:37:17.228;Dn;0.720;124
2020-09-21 11:37:18.270;Dn;0.776;118.3
2020-09-21 11:37:19.310;Dn;0.822;123.8
2020-09-21 11:37:20.372;Dn;0.859;131.2
2020-09-21 11:37:21.397;Dn;0.888;107
2020-09-21 11:37:22.436;Dn;0.920;99.7
2020-09-21 11:37:23.496;Dn;0.952;106.1
2020-09-21 11:37:28.698;Dn;1.019;127.1
2020-09-21 11:37:31.815;Dn;1.022;86.1
2020-09-21 11:37:32.860;Dn;1.059;140.4
2020-09-21 11:37:33.901;Dn;1.104;144.4
2020-09-21 11:38:11.417;Dn;1.174;162.8
2020-09-21 11:38:12.459;Dn;1.218;121.9
2020-09-21 11:38:13.500;Dn;1.239;106.1
2020-09-21 11:38:14.520;Dn;1.282;148.3
2020-09-21 11:38:15.586;Dn;1.311;171.6
2020-09-21 11:38:16.627;Dn;1.338;190.5
2020-09-21 11:38:17.669;Dn;1.370;195.4
2020-09-21 11:38:18.711;Dn;1.407;196
2020-09-21 11:38:19.730;Dn;1.452;197.3
2020-09-21 11:38:20.795;Dn;1.500;212.5
2020-09-21 11:38:21.838;Dn;1.548;232.5
2020-09-21 11:38:22.899;Dn;1.594;221.9
2020-09-21 11:38:23.912;Dn;1.647;223.7
2020-09-21 11:38:24.963;Dn;1.690;212
2020-09-21 11:38:26.006;Dn;1.735;170.6
2020-09-21 11:38:27.048;Dn;1.780;170
2020-09-21 11:38:28.099;Dn;1.826;222.2
2020-09-21 11:38:29.111;Dn;1.874;277.1
2020-09-21 11:38:30.174;Dn;1.919;300.3
2020-09-21 11:38:31.216;Dn;1.965;310.5
2020-09-21 11:38:32.258;Dn;2.013;325.2
2020-09-21 11:38:33.300;Dn;2.061;329.7
2020-09-21 11:38:34.318;Dn;2.117;337.8
2020-09-21 11:38:35.384;Dn;2.159;331.5
2020-09-21 11:38:36.425;Dn;2.205;318.7
2020-09-21 11:38:37.468;Dn;2.250;315.9
2020-09-21 11:38:38.509;Dn;2.295;327.8
2020-09-21 11:39:14.986;Dn;2.354;352.9
2020-09-21 11:39:16.029;Dn;2.371;240.5
2020-09-21 11:39:17.071;Dn;2.427;259.4
2020-09-21 11:39:18.112;Dn;2.483;246.2
2020-09-21 11:39:19.133;Dn;2.545;201.7
2020-09-21 11:39:20.198;Dn;2.593;190.8
2020-09-21 11:39:21.241;Dn;2.630;187.6
2020-09-21 11:39:23.318;Dn;2.681;191
2020-09-21 11:39:44.187;Dn;2.721;207.4
2020-09-21 11:39:45.213;Dn;2.745;126.9
2020-09-21 11:39:46.256;Dn;2.779;194.8
2020-09-21 11:39:47.308;Dn;2.854;165.2
2020-09-21 11:39:48.320;Dn;2.945;151.4
2020-09-21 11:39:49.383;Dn;3.019;198.9
2020-09-21 11:39:51.468;Dn;3.078;164
2020-09-21 11:39:52.508;Dn;3.110;147.2
2020-09-21 11:39:53.529;Dn;3.161;185.9
2020-09-21 11:39:54.594;Dn;3.212;139.7
2020-09-21 11:39:55.637;Dn;3.257;104.6
2020-09-21 11:39:56.677;Dn;3.273;87.6
2020-09-21 11:40:02.920;Dn;3.345;160.5
2020-09-21 11:40:03.981;Dn;3.398;109.7
2020-09-21 11:40:05.016;Dn;3.441;83.2
2020-09-21 11:40:06.059;Dn;3.473;57.4
2020-09-21 11:40:07.110;Dn;3.502;55.3
2020-09-21 11:40:08.122;Dn;3.540;38.5
2020-09-21 11:40:09.189;Dn;3.566;28.8
2020-09-21 11:40:10.228;Dn;3.601;26.2
2020-09-21 11:42:01.757;Dn;3.649;7.9
2020-09-21 11:42:02.787;Dn;3.661;-177.5
2020-09-21 11:42:03.828;Dn;3.674;-263.5
2020-09-21 11:42:04.870;Dn;3.688;-272.5
2020-09-21 11:42:05.919;Dn;3.789;-62.1
2020-09-21 11:42:06.932;Dn;3.832;-43
2020-09-21 11:42:07.991;Dn;3.885;37.8
2020-09-21 11:42:09.033;Dn;3.912;37.7
2020-09-21 11:42:10.075;Dn;3.925;33.4
2020-09-21 11:42:11.143;Dn;4.034;6.2
2020-09-21 11:42:13.202;Dn;4.093;23
2020-09-21 11:42:14.244;Dn;4.101;41.1
2020-09-21 11:42:15.286;Dn;4.146;26.9
2020-09-21 11:42:16.348;Dn;4.178;5.1
2020-09-21 11:42:17.369;Dn;4.240;0.5
2020-09-21 11:42:18.412;Dn;4.277;12.8
2020-09-21 11:42:19.454;Dn;4.317;21.8
2020-09-21 11:42:20.499;Dn;4.360;125.9
2020-09-21 11:42:21.532;Dn;4.413;151.1
2020-09-21 11:42:22.606;Dn;4.456;128.2
2020-09-21 11:42:23.625;Dn;4.493;136.6
2020-09-21 11:42:24.667;Dn;4.531;158.3
2020-09-21 11:42:25.720;Dn;4.565;163.6
2020-09-21 11:42:26.733;Dn;4.603;131.1
2020-09-21 11:42:27.793;Dn;4.629;123.1
2020-09-21 11:42:28.835;Dn;4.648;108.1
2020-09-21 11:42:29.875;Dn;4.669;93.1
2020-09-21 11:42:30.920;Dn;4.699;102.2
2020-09-21 11:42:31.938;Dn;4.731;102
2020-09-21 11:42:33.002;Dn;4.760;19.7
2020-09-21 11:42:34.043;Dn;4.789;-0.8
2020-09-21 11:43:39.699;Dn;4.841;181.1
2020-09-21 11:43:40.741;Dn;4.852;45.3
2020-09-21 11:43:41.762;Dn;4.892;43.5
2020-09-21 11:43:42.828;Dn;4.919;-10.1
2020-09-21 11:43:43.870;Dn;4.945;-47
2020-09-21 11:43:44.932;Dn;4.972;-111.4
2020-09-21 11:43:45.944;Dn;5.009;-92.9
2020-09-21 11:43:46.996;Dn;5.036;-55.1
2020-09-21 11:43:48.035;Dn;5.071;-8.8
2020-09-21 11:43:49.079;Dn;5.103;-34.7
2020-09-21 11:43:50.131;Dn;5.132;-110.4
2020-09-21 11:43:51.170;Dn;5.167;-141.9
2020-09-21 11:43:52.206;Dn;5.196;-96.7
2020-09-21 11:43:53.247;Dn;5.223;-54
2020-09-21 11:43:54.290;Dn;5.252;-22.6
2020-09-21 11:43:55.332;Dn;5.284;-48
2020-09-21 11:43:56.350;Dn;5.324;-30
2020-09-21 11:43:57.416;Dn;5.361;-66.9
2020-09-21 11:43:58.460;Dn;5.393;-136.9
2020-09-21 11:43:59.501;Dn;5.428;-37
2020-09-21 11:44:00.540;Dn;5.460;-4.9
2020-09-21 11:44:01.560;Dn;5.495;16
2020-09-21 11:44:02.625;Dn;5.524;-3.8
2020-09-21 11:44:03.670;Dn;5.556;-19.1
2020-09-21 11:44:04.733;Dn;5.588;-26.9
2020-09-21 11:44:05.745;Dn;5.628;-26.7
2020-09-21 11:44:06.809;Dn;5.663;-35.8
2020-09-21 11:44:07.840;Dn;5.698;-60.5
2020-09-21 11:44:08.882;Dn;5.730;-88
2020-09-21 11:44:09.932;Dn;5.756;-119.3
2020-09-21 11:44:10.974;Dn;5.786;-108.9
2020-09-21 11:44:12.012;Dn;5.812;-122.2
2020-09-21 11:44:13.054;Dn;5.839;-106.4
2020-09-21 11:44:14.094;Dn;5.866;-78.7
2020-09-21 11:44:16.155;Dn;5.900;-85.9
2020-09-21 11:44:17.224;Dn;5.919;-140.3
2020-09-21 11:44:18.267;Dn;5.951;-151.8
2020-09-21 11:44:19.306;Dn;5.980;-32.1
2020-09-21 11:44:20.346;Dn;6.012;-30.8
2020-09-21 11:45:08.307;Dn;6.064;-10.2
2020-09-21 11:45:09.347;Dn;6.078;-133.6
2020-09-21 11:45:10.393;Dn;6.110;-151.5
2020-09-21 11:45:11.435;Dn;6.134;-116.9
2020-09-21 11:45:12.478;Dn;6.158;-111.7
2020-09-21 11:45:13.538;Dn;6.187;-135.9
2020-09-21 11:45:14.594;Dn;6.224;-169.9
2020-09-21 11:45:15.623;Dn;6.259;-174.9
2020-09-21 11:45:16.648;Dn;6.291;-178.7
2020-09-21 11:45:17.691;Dn;6.326;-205.8
2020-09-21 11:45:18.738;Dn;6.358;-202.9
2020-09-21 11:45:19.802;Dn;6.398;-214
2020-09-21 11:45:20.819;Dn;6.427;-236.3
2020-09-21 11:45:21.860;Dn;6.459;-231.6
2020-09-21 11:45:22.903;Dn;6.494;-223.8
2020-09-21 11:45:23.943;Dn;6.526;-219.3
2020-09-21 11:45:25.021;Dn;6.563;-225.3
2020-09-21 11:45:26.030;Dn;6.595;-229.7
2020-09-21 11:45:27.072;Dn;6.624;-257.1
2020-09-21 11:45:28.115;Dn;6.656;-282.7
2020-09-21 11:45:29.152;Dn;6.688;-251.7
2020-09-21 11:45:30.222;Dn;6.712;-198.6
2020-09-21 11:45:31.242;Dn;6.736;-198.2
2020-09-21 11:45:32.284;Dn;6.761;-160.8
2020-09-21 11:45:33.339;Dn;6.785;-186.2
2020-09-21 11:45:34.410;Dn;6.811;-214.7
2020-09-21 11:45:35.431;Dn;6.835;-256.8
2020-09-21 11:45:36.452;Dn;6.859;-266.6
2020-09-21 11:45:37.494;Dn;6.881;-272.1
2020-09-21 11:45:38.539;Dn;6.899;-287.4
2020-09-21 11:45:39.580;Dn;6.923;-278.3
2020-09-21 11:45:40.620;Dn;6.945;-286.6
2020-09-21 11:45:41.662;Dn;6.963;-278.9
2020-09-21 11:45:42.705;Dn;6.985;-289.3
2020-09-21 11:45:43.744;Dn;7.006;-279.4
2020-09-21 11:45:44.798;Dn;7.035;-268.7
2020-09-21 11:45:45.832;Dn;7.059;-276.9
2020-09-21 11:45:46.873;Dn;7.081;-275.1
2020-09-21 11:45:47.915;Dn;7.102;-275.4
2020-09-21 11:45:48.953;Dn;7.129;-270.4
2020-09-21 11:45:50.003;Dn;7.150;-284.6
2020-09-21 11:45:51.041;Dn;7.171;-294.7
2020-09-21 11:45:52.083;Dn;7.193;-304.1
2020-09-21 11:45:53.140;Dn;7.211;-293
2020-09-21 11:46:49.410;Dn;7.269;-319.6
2020-09-21 11:46:50.433;Dn;7.271;-504.9
2020-09-21 11:46:51.474;Dn;7.287;-488.1
2020-09-21 11:46:52.517;Dn;7.306;-473.1
2020-09-21 11:46:53.556;Dn;7.327;-455.5
2020-09-21 11:46:54.613;Dn;7.346;-436.9
2020-09-21 11:46:55.642;Dn;7.365;-401.5
2020-09-21 11:46:56.684;Dn;7.381;-360.1
2020-09-21 11:46:57.744;Dn;7.399;-338.6
2020-09-21 11:46:58.755;Dn;7.423;-322.5
2020-09-21 11:46:59.826;Dn;7.445;-321.4
2020-09-21 11:47:00.851;Dn;7.466;-322.2
2020-09-21 11:47:01.893;Dn;7.485;-332.3
2020-09-21 11:47:02.944;Dn;7.506;-353.6
2020-09-21 11:47:04.009;Dn;7.527;-313.6
2020-09-21 11:47:05.021;Dn;7.543;-310.3
2020-09-21 11:47:06.061;Dn;7.562;-314.3
2020-09-21 11:47:07.103;Dn;7.581;-303.8
2020-09-21 11:47:08.147;Dn;7.602;-294.6
2020-09-21 11:47:09.221;Dn;7.623;-289.5
2020-09-21 11:47:10.230;Dn;7.645;-258.1
2020-09-21 11:47:11.271;Dn;7.661;-246.5
2020-09-21 11:47:12.313;Dn;7.679;-249.9
