DateTime;UpDn;Depth;REMax
2020-04-01 10:23:48.064;Dn;0.013;313.9
2020-04-01 10:23:48.064;Dn;0.013;313.9
2020-04-01 10:23:49.104;Dn;0.077;259.4
2020-04-01 10:23:50.144;Dn;0.139;316.6
2020-04-01 10:23:51.184;Dn;0.208;293
2020-04-01 10:23:53.267;Dn;0.293;265.9
2020-04-01 10:23:54.307;Dn;0.371;121.8
2020-04-01 10:23:55.346;Dn;0.413;90.1
2020-04-01 10:23:56.387;Dn;0.483;38.8
2020-04-01 10:23:57.430;Dn;0.533;8.9
2020-04-01 10:23:58.470;Dn;0.608;-96.2
2020-04-01 10:23:59.513;Dn;0.667;-133.4
2020-04-01 10:24:00.553;Dn;0.723;-136.9
2020-04-01 10:24:01.595;Dn;0.779;-164.9
2020-04-01 10:24:02.649;Dn;0.862;-212.1
2020-04-01 10:24:03.675;Dn;0.926;-200.1
2020-04-01 10:24:04.715;Dn;0.987;-144.8
2020-04-01 10:24:05.756;Dn;1.048;-166.3
2020-04-01 10:24:06.816;Dn;1.107;-176
2020-04-01 10:25:29.029;Dn;1.174;-180.7
2020-04-01 10:25:30.069;Dn;1.218;-336.1
2020-04-01 10:25:31.092;Dn;1.268;-389.5
2020-04-01 10:25:32.132;Dn;1.314;-398.2
2020-04-01 10:25:33.173;Dn;1.362;-403.2
2020-04-01 10:25:34.228;Dn;1.423;-401.9
2020-04-01 10:25:35.255;Dn;1.479;-413.4
2020-04-01 10:25:36.295;Dn;1.538;-335.7
2020-04-01 10:25:37.335;Dn;1.588;-312.9
2020-04-01 10:25:38.376;Dn;1.642;-327.6
2020-04-01 10:25:39.433;Dn;1.700;-328.7
2020-04-01 10:25:40.457;Dn;1.748;-325.6
2020-04-01 10:25:41.497;Dn;1.794;-385.8
2020-04-01 10:25:42.539;Dn;1.839;-395
2020-04-01 10:25:44.656;Dn;1.890;-390.5
2020-04-01 10:25:45.661;Dn;1.973;-344.6
2020-04-01 10:25:46.702;Dn;2.034;-378.8
2020-04-01 10:25:47.743;Dn;2.087;-366.1
2020-04-01 10:25:48.784;Dn;2.135;-373.5
2020-04-01 10:25:49.832;Dn;2.197;-392.8
2020-04-01 10:25:50.867;Dn;2.253;-396.8
2020-04-01 10:25:51.906;Dn;2.306;-403.6
2020-04-01 10:25:52.947;Dn;2.357;-423.7
2020-04-01 10:26:40.855;Dn;2.449;-370
2020-04-01 10:26:41.866;Dn;2.454;-455.3
2020-04-01 10:26:42.904;Dn;2.494;-435
2020-04-01 10:26:43.944;Dn;2.569;-390.8
2020-04-01 10:26:44.986;Dn;2.614;-377
2020-04-01 10:26:46.038;Dn;2.649;-382.1
2020-04-01 10:26:47.077;Dn;2.678;-387.7
