DateTime;UpDn;Depth;SPMax
2020-04-01 10:23:47.820;Dn;0.005;614
2020-04-01 10:23:47.820;Dn;0.005;614
2020-04-01 10:23:48.021;Dn;0.013;611
2020-04-01 10:23:48.221;Dn;0.024;607
2020-04-01 10:23:48.420;Dn;0.037;602
2020-04-01 10:23:48.621;Dn;0.051;597
2020-04-01 10:23:48.821;Dn;0.064;592
2020-04-01 10:23:49.020;Dn;0.077;587
2020-04-01 10:23:49.221;Dn;0.091;582
2020-04-01 10:23:49.420;Dn;0.101;578
2020-04-01 10:23:49.621;Dn;0.115;573
2020-04-01 10:23:49.821;Dn;0.123;570
2020-04-01 10:23:50.021;Dn;0.139;564
2020-04-01 10:23:50.220;Dn;0.152;559
2020-04-01 10:23:50.419;Dn;0.163;555
2020-04-01 10:23:50.621;Dn;0.176;550
2020-04-01 10:23:50.820;Dn;0.192;544
2020-04-01 10:23:51.020;Dn;0.208;538
2020-04-01 10:23:51.220;Dn;0.221;533
2020-04-01 10:23:51.420;Dn;0.232;529
2020-04-01 10:23:51.620;Dn;0.240;526
2020-04-01 10:23:51.821;Dn;0.248;523
2020-04-01 10:23:52.021;Dn;0.256;520
2020-04-01 10:23:52.229;Dn;0.261;518
2020-04-01 10:23:52.421;Dn;0.264;517
2020-04-01 10:23:52.620;Dn;0.267;516
2020-04-01 10:23:52.820;Dn;0.288;508
2020-04-01 10:23:53.221;Dn;0.293;506
2020-04-01 10:23:53.421;Dn;0.304;502
2020-04-01 10:23:53.620;Dn;0.320;496
2020-04-01 10:23:53.821;Dn;0.339;489
2020-04-01 10:23:54.020;Dn;0.355;483
2020-04-01 10:23:54.220;Dn;0.371;477
2020-04-01 10:23:54.421;Dn;0.384;472
2020-04-01 10:23:54.620;Dn;0.397;467
2020-04-01 10:23:54.820;Dn;0.403;465
2020-04-01 10:23:55.021;Dn;0.405;464
2020-04-01 10:23:55.221;Dn;0.413;461
2020-04-01 10:23:55.420;Dn;0.427;456
2020-04-01 10:23:55.621;Dn;0.448;448
2020-04-01 10:23:55.821;Dn;0.469;440
2020-04-01 10:23:56.020;Dn;0.477;437
2020-04-01 10:23:56.221;Dn;0.483;435
2020-04-01 10:23:56.421;Dn;0.491;432
2020-04-01 10:23:56.620;Dn;0.504;427
2020-04-01 10:23:56.819;Dn;0.520;421
2020-04-01 10:23:57.021;Dn;0.525;419
2020-04-01 10:23:57.220;Dn;0.528;418
2020-04-01 10:23:57.430;Dn;0.533;416
2020-04-01 10:23:57.620;Dn;0.544;412
2020-04-01 10:23:57.820;Dn;0.549;410
2020-04-01 10:23:58.020;Dn;0.557;407
2020-04-01 10:23:58.221;Dn;0.581;398
2020-04-01 10:23:58.421;Dn;0.608;388
2020-04-01 10:23:58.620;Dn;0.627;381
2020-04-01 10:23:58.821;Dn;0.637;377
2020-04-01 10:23:59.021;Dn;0.645;374
2020-04-01 10:23:59.220;Dn;0.656;370
2020-04-01 10:23:59.421;Dn;0.667;366
2020-04-01 10:23:59.621;Dn;0.678;362
2020-04-01 10:23:59.819;Dn;0.688;358
2020-04-01 10:24:00.019;Dn;0.699;354
2020-04-01 10:24:00.220;Dn;0.712;349
2020-04-01 10:24:00.420;Dn;0.723;345
2020-04-01 10:24:00.620;Dn;0.734;341
2020-04-01 10:24:00.820;Dn;0.744;337
2020-04-01 10:24:01.021;Dn;0.758;332
2020-04-01 10:24:01.220;Dn;0.768;328
2020-04-01 10:24:01.421;Dn;0.779;324
2020-04-01 10:24:01.629;Dn;0.792;319
2020-04-01 10:24:01.820;Dn;0.803;315
2020-04-01 10:24:02.021;Dn;0.819;309
2020-04-01 10:24:02.221;Dn;0.832;304
2020-04-01 10:24:02.420;Dn;0.848;298
2020-04-01 10:24:02.621;Dn;0.862;293
2020-04-01 10:24:02.821;Dn;0.875;288
2020-04-01 10:24:03.020;Dn;0.888;283
2020-04-01 10:24:03.220;Dn;0.902;278
2020-04-01 10:24:03.421;Dn;0.912;274
2020-04-01 10:24:03.620;Dn;0.926;269
2020-04-01 10:24:03.820;Dn;0.939;264
2020-04-01 10:24:04.021;Dn;0.952;259
2020-04-01 10:24:04.220;Dn;0.963;255
2020-04-01 10:24:04.419;Dn;0.976;250
2020-04-01 10:24:04.620;Dn;0.987;246
2020-04-01 10:24:04.819;Dn;1.000;241
2020-04-01 10:24:05.019;Dn;1.011;237
2020-04-01 10:24:05.220;Dn;1.024;232
2020-04-01 10:24:05.420;Dn;1.035;228
2020-04-01 10:24:05.619;Dn;1.048;223
2020-04-01 10:24:05.819;Dn;1.059;219
2020-04-01 10:24:06.020;Dn;1.072;214
2020-04-01 10:24:06.219;Dn;1.083;210
2020-04-01 10:24:06.419;Dn;1.094;206
2020-04-01 10:24:06.620;Dn;1.107;201
2020-04-01 10:24:06.816;Dn;1.118;197
2020-04-01 10:24:07.019;Dn;1.128;193
2020-04-01 10:24:07.220;Dn;1.139;189
2020-04-01 10:24:07.420;Dn;1.152;184
2020-04-01 10:24:07.619;Dn;1.163;180
2020-04-01 10:25:29.029;Dn;1.174;715
2020-04-01 10:25:29.219;Dn;1.180;629
2020-04-01 10:25:29.419;Dn;1.188;626
2020-04-01 10:25:29.619;Dn;1.202;621
2020-04-01 10:25:29.819;Dn;1.212;617
2020-04-01 10:25:30.019;Dn;1.218;615
2020-04-01 10:25:30.219;Dn;1.228;611
2020-04-01 10:25:30.419;Dn;1.239;607
2020-04-01 10:25:30.619;Dn;1.250;603
2020-04-01 10:25:30.819;Dn;1.258;600
2020-04-01 10:25:31.020;Dn;1.268;596
2020-04-01 10:25:31.218;Dn;1.276;593
2020-04-01 10:25:31.419;Dn;1.287;589
2020-04-01 10:25:31.619;Dn;1.295;586
2020-04-01 10:25:31.819;Dn;1.303;583
2020-04-01 10:25:32.019;Dn;1.314;579
2020-04-01 10:25:32.219;Dn;1.322;576
2020-04-01 10:25:32.419;Dn;1.330;573
2020-04-01 10:25:32.619;Dn;1.340;569
2020-04-01 10:25:32.818;Dn;1.351;565
2020-04-01 10:25:33.019;Dn;1.362;561
2020-04-01 10:25:33.219;Dn;1.372;557
2020-04-01 10:25:33.418;Dn;1.380;554
2020-04-01 10:25:33.619;Dn;1.391;550
2020-04-01 10:25:33.819;Dn;1.402;546
2020-04-01 10:25:34.018;Dn;1.412;542
2020-04-01 10:25:34.228;Dn;1.423;538
2020-04-01 10:25:34.418;Dn;1.434;534
2020-04-01 10:25:34.619;Dn;1.444;530
2020-04-01 10:25:34.819;Dn;1.455;526
2020-04-01 10:25:35.019;Dn;1.466;522
2020-04-01 10:25:35.219;Dn;1.479;517
2020-04-01 10:25:35.419;Dn;1.492;512
2020-04-01 10:25:35.619;Dn;1.506;507
2020-04-01 10:25:35.819;Dn;1.516;503
2020-04-01 10:25:36.018;Dn;1.527;499
2020-04-01 10:25:36.219;Dn;1.538;495
2020-04-01 10:25:36.419;Dn;1.548;491
2020-04-01 10:25:36.619;Dn;1.559;487
2020-04-01 10:25:36.819;Dn;1.570;483
2020-04-01 10:25:37.019;Dn;1.580;479
2020-04-01 10:25:37.219;Dn;1.588;476
2020-04-01 10:25:37.419;Dn;1.599;472
2020-04-01 10:25:37.619;Dn;1.610;468
2020-04-01 10:25:37.818;Dn;1.620;464
2020-04-01 10:25:38.020;Dn;1.631;460
2020-04-01 10:25:38.219;Dn;1.642;456
2020-04-01 10:25:38.419;Dn;1.652;452
2020-04-01 10:25:38.619;Dn;1.660;449
2020-04-01 10:25:38.819;Dn;1.671;445
2020-04-01 10:25:39.018;Dn;1.682;441
