DateTime;UpDn;Depth;REMax
2020-04-01 11:00:42.203;Dn;0.019;278
2020-04-01 11:00:42.203;Dn;0.019;278
2020-04-01 11:00:43.245;Dn;0.075;184.6
2020-04-01 11:00:44.287;Dn;0.128;241.6
2020-04-01 11:00:46.391;Dn;0.181;320.7
2020-04-01 11:00:47.413;Dn;0.187;330.4
2020-04-01 11:00:48.453;Dn;0.224;295.1
2020-04-01 11:00:49.494;Dn;0.237;294.8
2020-04-01 11:00:50.536;Dn;0.243;280.6
2020-04-01 11:00:51.598;Dn;0.248;167.6
2020-04-01 11:00:52.619;Dn;0.288;219.6
2020-04-01 11:00:53.660;Dn;0.323;193.8
2020-04-01 11:00:54.702;Dn;0.368;183.9
2020-04-01 11:00:55.740;Dn;0.387;93.3
2020-04-01 11:00:56.803;Dn;0.445;-10.1
2020-04-01 11:00:57.845;Dn;0.499;-42.9
2020-04-01 11:00:58.868;Dn;0.541;-84.2
2020-04-01 11:00:59.911;Dn;0.579;-121.4
2020-04-01 11:01:00.953;Dn;0.616;-147.8
2020-04-01 11:01:02.007;Dn;0.667;-172.3
2020-04-01 11:01:03.047;Dn;0.734;-191.4
2020-04-01 11:01:04.077;Dn;0.814;-200.3
2020-04-01 11:01:05.119;Dn;0.904;-212.2
2020-04-01 11:01:06.160;Dn;1.006;-195.9
2020-04-01 11:01:07.208;Dn;1.126;-115.2
2020-04-01 11:01:43.656;Dn;1.206;-109.6
2020-04-01 11:01:44.698;Dn;1.223;-157.5
2020-04-01 11:01:45.738;Dn;1.258;-148.9
2020-04-01 11:01:53.030;Dn;1.367;-207.3
2020-04-01 11:01:54.071;Dn;1.375;-231.3
2020-04-01 11:01:55.112;Dn;1.428;-282.1
2020-04-01 11:01:56.154;Dn;1.482;-287.5
2020-04-01 11:01:57.212;Dn;1.548;-274.2
2020-04-01 11:01:58.238;Dn;1.604;-272.3
2020-04-01 11:01:59.278;Dn;1.658;-279.6
2020-04-01 11:02:00.320;Dn;1.716;-274.6
2020-04-01 11:02:01.362;Dn;1.778;-279
2020-04-01 11:02:02.412;Dn;1.858;-286.1
2020-04-01 11:02:03.444;Dn;1.922;-280.7
2020-04-01 11:02:04.486;Dn;1.989;-281.9
2020-04-01 11:02:05.528;Dn;2.058;-312.1
2020-04-01 11:02:06.569;Dn;2.125;-308.9
2020-04-01 11:02:07.612;Dn;2.207;-296.3
2020-04-01 11:02:46.152;Dn;2.291;-282.8
2020-04-01 11:02:47.211;Dn;2.339;-305.8
2020-04-01 11:02:48.237;Dn;2.385;-313.2
2020-04-01 11:02:49.277;Dn;2.430;-318.3
2020-04-01 11:02:50.319;Dn;2.491;-318.3
2020-04-01 11:02:51.361;Dn;2.558;-308.5
2020-04-01 11:02:52.415;Dn;2.651;-312.2
2020-04-01 11:02:53.445;Dn;2.729;-352.5
2020-04-01 11:02:54.486;Dn;2.787;-422.9
2020-04-01 11:02:55.529;Dn;2.843;-439
2020-04-01 11:02:56.571;Dn;2.899;-444.3
2020-04-01 11:02:57.614;Dn;2.963;-450.9
2020-04-01 11:02:58.655;Dn;3.017;-463.3
2020-04-01 11:02:59.696;Dn;3.070;-474.4
2020-04-01 11:03:00.738;Dn;3.124;-484.6
2020-04-01 11:03:01.780;Dn;3.177;-489
2020-04-01 11:03:02.822;Dn;3.238;-480.6
2020-04-01 11:03:03.862;Dn;3.284;-438.1
2020-04-01 11:03:04.904;Dn;3.316;-415.5
2020-04-01 11:03:05.946;Dn;3.388;-434.2
2020-04-01 11:03:07.007;Dn;3.417;-441.8
2020-04-01 11:03:08.031;Dn;3.460;-451.8
2020-04-01 11:03:09.071;Dn;3.505;-425.9
2020-04-01 11:03:47.629;Dn;3.596;-406.1
2020-04-01 11:03:51.769;Dn;3.624;-460
2020-04-01 11:03:52.820;Dn;3.717;-509.5
2020-04-01 11:03:53.853;Dn;3.776;-496.2
2020-04-01 11:03:54.893;Dn;3.866;-462.4
2020-04-01 11:03:58.036;Dn;4.008;-426.2
2020-04-01 11:03:59.059;Dn;4.021;-445.8
2020-04-01 11:04:00.099;Dn;4.098;-471.2
2020-04-01 11:04:01.140;Dn;4.192;-495.5
2020-04-01 11:04:02.181;Dn;4.274;-480
2020-04-01 11:04:03.236;Dn;4.368;-481.6
2020-04-01 11:04:04.263;Dn;4.443;-482.3
2020-04-01 11:04:05.305;Dn;4.520;-472.4
2020-04-01 11:04:06.346;Dn;4.589;-466.2
2020-04-01 11:04:07.407;Dn;4.653;-464.4
2020-04-01 11:04:08.432;Dn;4.725;-463.5
2020-04-01 11:04:52.170;Dn;4.803;-451.4
2020-04-01 11:04:55.294;Dn;4.823;-492.4
2020-04-01 11:04:58.442;Dn;4.839;-518.8
2020-04-01 11:04:59.460;Dn;4.924;-533.1
2020-04-01 11:05:00.502;Dn;4.951;-493.1
2020-04-01 11:05:04.668;Dn;5.084;-451.5
2020-04-01 11:05:05.709;Dn;5.113;-460.6
2020-04-01 11:05:06.751;Dn;5.169;-471
2020-04-01 11:05:07.812;Dn;5.281;-425.3
2020-04-01 11:05:08.854;Dn;5.377;-430.3
2020-04-01 11:05:09.876;Dn;5.444;-463.7
2020-04-01 11:05:10.918;Dn;5.497;-476.1
2020-04-01 11:05:11.959;Dn;5.556;-469.8
2020-04-01 11:05:13.020;Dn;5.620;-447.6
2020-04-01 11:05:14.043;Dn;5.692;-437.7
2020-04-01 11:05:15.084;Dn;5.746;-448.3
2020-04-01 11:05:16.126;Dn;5.804;-448.9
2020-04-01 11:05:17.168;Dn;5.852;-433.5
2020-04-01 11:05:18.227;Dn;5.911;-413.7
2020-04-01 11:05:55.711;Dn;5.954;-439.2
2020-04-01 11:05:58.838;Dn;5.974;-481.7
2020-04-01 11:05:59.879;Dn;6.054;-469.8
2020-04-01 11:06:00.921;Dn;6.118;-486.6
2020-04-01 11:06:01.963;Dn;6.206;-495.7
2020-04-01 11:06:03.023;Dn;6.291;-455.7
2020-04-01 11:06:04.046;Dn;6.390;-460.4
2020-04-01 11:06:05.088;Dn;6.472;-468.5
2020-04-01 11:06:06.130;Dn;6.547;-467.1
2020-04-01 11:06:07.172;Dn;6.600;-465.2
2020-04-01 11:06:08.227;Dn;6.656;-462.7
2020-04-01 11:06:09.259;Dn;6.710;-460.2
2020-04-01 11:06:10.296;Dn;6.763;-446.4
2020-04-01 11:06:11.338;Dn;6.814;-455
2020-04-01 11:06:12.379;Dn;6.867;-465.3
2020-04-01 11:06:13.430;Dn;6.929;-462.7
2020-04-01 11:06:14.463;Dn;6.977;-466.7
2020-04-01 11:06:15.494;Dn;7.019;-465.7
2020-04-01 11:06:16.546;Dn;7.070;-456.5
2020-04-01 11:06:51.966;Dn;7.166;-444.8
2020-04-01 11:06:53.027;Dn;7.191;-462.8
2020-04-01 11:06:54.054;Dn;7.197;-457.5
2020-04-01 11:06:55.090;Dn;7.242;-443
2020-04-01 11:06:56.131;Dn;7.293;-430.5
2020-04-01 11:06:57.174;Dn;7.341;-418.3
2020-04-01 11:06:58.233;Dn;7.415;-413.2
2020-04-01 11:06:59.256;Dn;7.482;-433.4
2020-04-01 11:07:00.298;Dn;7.541;-453.5
2020-04-01 11:07:01.340;Dn;7.597;-465
2020-04-01 11:07:02.382;Dn;7.653;-472.1
2020-04-01 11:07:03.436;Dn;7.722;-473
