DateTime;UpDn;Depth;SPMax
2020-04-01 11:00:41.793;Dn;0.003;624
2020-04-01 11:00:41.793;Dn;0.003;624
2020-04-01 11:00:41.993;Dn;0.011;621
2020-04-01 11:00:42.202;Dn;0.019;618
2020-04-01 11:00:42.393;Dn;0.029;614
2020-04-01 11:00:42.593;Dn;0.043;609
2020-04-01 11:00:42.793;Dn;0.053;605
2020-04-01 11:00:42.993;Dn;0.064;601
2020-04-01 11:00:43.193;Dn;0.075;597
2020-04-01 11:00:43.392;Dn;0.085;593
2020-04-01 11:00:43.593;Dn;0.096;589
2020-04-01 11:00:43.793;Dn;0.107;585
2020-04-01 11:00:43.993;Dn;0.117;581
2020-04-01 11:00:44.193;Dn;0.128;577
2020-04-01 11:00:44.393;Dn;0.136;574
2020-04-01 11:00:44.593;Dn;0.144;571
2020-04-01 11:00:44.793;Dn;0.152;568
2020-04-01 11:00:44.993;Dn;0.163;564
2020-04-01 11:00:45.192;Dn;0.173;560
2020-04-01 11:00:47.192;Dn;0.181;558
2020-04-01 11:00:47.593;Dn;0.187;555
2020-04-01 11:00:47.792;Dn;0.200;550
2020-04-01 11:00:47.993;Dn;0.208;547
2020-04-01 11:00:48.193;Dn;0.216;544
2020-04-01 11:00:48.392;Dn;0.224;541
2020-04-01 11:00:48.593;Dn;0.229;539
2020-04-01 11:00:48.793;Dn;0.232;538
2020-04-01 11:00:49.193;Dn;0.235;537
2020-04-01 11:00:50.193;Dn;0.237;536
2020-04-01 11:00:50.592;Dn;0.243;534
2020-04-01 11:00:51.194;Dn;0.245;533
2020-04-01 11:00:51.392;Dn;0.248;532
2020-04-01 11:00:51.598;Dn;0.251;531
2020-04-01 11:00:51.793;Dn;0.253;530
2020-04-01 11:00:51.993;Dn;0.261;527
2020-04-01 11:00:52.192;Dn;0.272;523
2020-04-01 11:00:52.393;Dn;0.280;520
2020-04-01 11:00:52.593;Dn;0.288;517
2020-04-01 11:00:52.793;Dn;0.299;513
2020-04-01 11:00:52.993;Dn;0.307;510
2020-04-01 11:00:53.193;Dn;0.315;507
2020-04-01 11:00:53.393;Dn;0.320;505
2020-04-01 11:00:53.593;Dn;0.323;504
2020-04-01 11:00:53.993;Dn;0.325;503
2020-04-01 11:00:54.192;Dn;0.333;500
2020-04-01 11:00:54.393;Dn;0.349;494
2020-04-01 11:00:54.593;Dn;0.368;487
2020-04-01 11:00:55.193;Dn;0.376;484
2020-04-01 11:00:55.393;Dn;0.384;481
2020-04-01 11:00:55.993;Dn;0.387;480
2020-04-01 11:00:56.193;Dn;0.389;479
2020-04-01 11:00:56.393;Dn;0.405;473
2020-04-01 11:00:56.593;Dn;0.432;463
2020-04-01 11:00:56.803;Dn;0.445;458
2020-04-01 11:00:56.995;Dn;0.453;455
2020-04-01 11:00:57.194;Dn;0.467;450
2020-04-01 11:00:57.394;Dn;0.477;446
2020-04-01 11:00:57.595;Dn;0.488;442
2020-04-01 11:00:57.794;Dn;0.499;438
2020-04-01 11:00:57.994;Dn;0.509;434
2020-04-01 11:00:58.195;Dn;0.517;431
2020-04-01 11:00:58.394;Dn;0.525;428
2020-04-01 11:00:58.594;Dn;0.533;425
2020-04-01 11:00:58.795;Dn;0.541;422
2020-04-01 11:00:58.995;Dn;0.549;419
2020-04-01 11:00:59.195;Dn;0.557;416
2020-04-01 11:00:59.395;Dn;0.565;413
2020-04-01 11:00:59.595;Dn;0.573;410
2020-04-01 11:00:59.795;Dn;0.579;408
2020-04-01 11:00:59.995;Dn;0.587;405
2020-04-01 11:01:00.196;Dn;0.595;402
2020-04-01 11:01:00.395;Dn;0.600;400
2020-04-01 11:01:00.595;Dn;0.608;397
2020-04-01 11:01:00.796;Dn;0.616;394
2020-04-01 11:01:00.995;Dn;0.621;392
2020-04-01 11:01:01.195;Dn;0.629;389
2020-04-01 11:01:01.396;Dn;0.637;386
2020-04-01 11:01:01.596;Dn;0.645;383
2020-04-01 11:01:01.794;Dn;0.656;379
2020-04-01 11:01:02.004;Dn;0.667;375
2020-04-01 11:01:02.195;Dn;0.678;371
2020-04-01 11:01:02.394;Dn;0.691;366
2020-04-01 11:01:02.595;Dn;0.704;361
2020-04-01 11:01:02.795;Dn;0.718;356
2020-04-01 11:01:02.995;Dn;0.734;350
2020-04-01 11:01:03.195;Dn;0.750;344
2020-04-01 11:01:03.395;Dn;0.766;338
2020-04-01 11:01:03.595;Dn;0.782;332
2020-04-01 11:01:03.794;Dn;0.798;326
