DateTime;UpDn;Depth;SPMax
2020-04-01 13:16:56.454;Dn;0.003;620
2020-04-01 13:16:56.853;Dn;0.003;620
2020-04-01 13:16:57.253;Dn;0.005;619
2020-04-01 13:16:57.452;Dn;0.013;616
2020-04-01 13:16:57.653;Dn;0.021;613
2020-04-01 13:16:57.853;Dn;0.029;610
2020-04-01 13:16:58.052;Dn;0.037;607
2020-04-01 13:16:58.254;Dn;0.045;604
2020-04-01 13:16:58.463;Dn;0.053;601
2020-04-01 13:16:58.653;Dn;0.061;598
2020-04-01 13:16:58.853;Dn;0.069;595
2020-04-01 13:16:59.053;Dn;0.077;592
2020-04-01 13:16:59.253;Dn;0.085;589
2020-04-01 13:16:59.454;Dn;0.091;587
2020-04-01 13:16:59.654;Dn;0.099;584
2020-04-01 13:16:59.853;Dn;0.107;581
2020-04-01 13:17:00.052;Dn;0.112;579
2020-04-01 13:17:00.254;Dn;0.117;577
2020-04-01 13:17:00.453;Dn;0.125;574
2020-04-01 13:17:00.653;Dn;0.131;572
2020-04-01 13:17:00.853;Dn;0.136;570
2020-04-01 13:17:01.053;Dn;0.144;567
2020-04-01 13:17:01.253;Dn;0.149;565
2020-04-01 13:17:01.454;Dn;0.155;563
2020-04-01 13:17:01.653;Dn;0.160;561
2020-04-01 13:17:01.853;Dn;0.165;559
2020-04-01 13:17:02.054;Dn;0.171;557
2020-04-01 13:17:02.253;Dn;0.176;555
2020-04-01 13:17:02.453;Dn;0.181;553
2020-04-01 13:17:02.653;Dn;0.189;550
2020-04-01 13:17:02.853;Dn;0.195;548
2020-04-01 13:17:03.053;Dn;0.203;545
2020-04-01 13:17:03.253;Dn;0.208;543
2020-04-01 13:17:03.453;Dn;0.213;541
2020-04-01 13:17:03.653;Dn;0.219;539
2020-04-01 13:17:03.852;Dn;0.227;536
2020-04-01 13:17:04.054;Dn;0.232;534
2020-04-01 13:17:04.253;Dn;0.240;531
2020-04-01 13:17:04.453;Dn;0.245;529
2020-04-01 13:17:04.654;Dn;0.253;526
2020-04-01 13:17:04.853;Dn;0.259;524
2020-04-01 13:17:05.052;Dn;0.264;522
2020-04-01 13:17:05.254;Dn;0.269;520
2020-04-01 13:17:05.453;Dn;0.275;518
2020-04-01 13:17:05.653;Dn;0.280;516
2020-04-01 13:17:05.854;Dn;0.285;514
2020-04-01 13:17:06.053;Dn;0.291;512
2020-04-01 13:17:06.253;Dn;0.296;510
2020-04-01 13:17:06.452;Dn;0.301;508
2020-04-01 13:17:06.653;Dn;0.309;505
2020-04-01 13:17:06.853;Dn;0.315;503
2020-04-01 13:17:07.053;Dn;0.320;501
2020-04-01 13:17:07.253;Dn;0.325;499
2020-04-01 13:17:07.453;Dn;0.331;497
2020-04-01 13:17:07.653;Dn;0.336;495
2020-04-01 13:17:07.853;Dn;0.341;493
2020-04-01 13:17:08.053;Dn;0.349;490
2020-04-01 13:17:08.253;Dn;0.352;489
2020-04-01 13:17:08.454;Dn;0.360;486
2020-04-01 13:17:08.653;Dn;0.365;484
2020-04-01 13:17:08.853;Dn;0.371;482
2020-04-01 13:17:09.054;Dn;0.379;479
2020-04-01 13:17:09.253;Dn;0.387;476
2020-04-01 13:17:09.453;Dn;0.392;474
2020-04-01 13:17:09.653;Dn;0.400;471
2020-04-01 13:17:09.853;Dn;0.408;468
2020-04-01 13:17:10.053;Dn;0.413;466
2020-04-01 13:17:10.253;Dn;0.419;464
2020-04-01 13:17:10.453;Dn;0.440;456
2020-04-01 13:17:10.853;Dn;0.453;451
2020-04-01 13:17:11.253;Dn;0.456;450
2020-04-01 13:17:11.453;Dn;0.459;449
2020-04-01 13:17:11.654;Dn;0.461;448
2020-04-01 13:17:11.853;Dn;0.464;447
2020-04-01 13:17:12.053;Dn;0.467;446
2020-04-01 13:17:12.254;Dn;0.469;445
2020-04-01 13:17:12.453;Dn;0.475;443
