DateTime;UpDn;Depth;SPMax
2020-09-17 13:58:32.057;Dn;0.008;660
2020-09-17 13:58:32.057;Dn;0.008;660
2020-09-17 13:58:32.244;Dn;0.016;657
2020-09-17 13:58:32.458;Dn;0.024;654
2020-09-17 13:58:32.658;Dn;0.029;652
2020-09-17 13:58:32.858;Dn;0.040;648
2020-09-17 13:58:33.058;Dn;0.045;646
2020-09-17 13:58:33.259;Dn;0.053;643
2020-09-17 13:58:33.458;Dn;0.061;640
2020-09-17 13:58:33.658;Dn;0.067;638
2020-09-17 13:58:33.858;Dn;0.075;635
2020-09-17 13:58:34.058;Dn;0.080;633
2020-09-17 13:58:34.258;Dn;0.088;630
2020-09-17 13:58:34.457;Dn;0.093;628
2020-09-17 13:58:34.658;Dn;0.101;625
2020-09-17 13:58:34.858;Dn;0.107;623
2020-09-17 13:58:35.058;Dn;0.112;621
2020-09-17 13:58:35.258;Dn;0.120;618
2020-09-17 13:58:35.458;Dn;0.125;616
2020-09-17 13:58:35.658;Dn;0.131;614
2020-09-17 13:58:35.858;Dn;0.139;611
2020-09-17 13:58:36.058;Dn;0.144;609
2020-09-17 13:58:36.258;Dn;0.152;606
2020-09-17 13:58:36.435;Dn;0.157;604
2020-09-17 13:58:36.658;Dn;0.163;602
2020-09-17 13:58:36.858;Dn;0.171;599
2020-09-17 13:58:37.059;Dn;0.176;597
2020-09-17 13:58:37.258;Dn;0.184;594
2020-09-17 13:58:37.445;Dn;0.189;592
2020-09-17 13:58:37.658;Dn;0.197;589
2020-09-17 13:58:37.859;Dn;0.208;585
2020-09-17 13:58:38.057;Dn;0.213;583
2020-09-17 13:58:38.257;Dn;0.216;582
2020-09-17 13:58:38.459;Dn;0.224;579
2020-09-17 13:58:38.657;Dn;0.232;576
2020-09-17 13:58:38.858;Dn;0.243;572
2020-09-17 13:58:39.059;Dn;0.251;569
2020-09-17 13:58:39.258;Dn;0.259;566
2020-09-17 13:58:39.458;Dn;0.269;562
2020-09-17 13:58:39.659;Dn;0.277;559
2020-09-17 13:58:39.858;Dn;0.288;555
2020-09-17 13:58:40.058;Dn;0.296;552
2020-09-17 13:58:40.259;Dn;0.301;550
2020-09-17 13:58:40.458;Dn;0.309;547
2020-09-17 13:58:40.658;Dn;0.320;543
2020-09-17 13:58:40.858;Dn;0.328;540
2020-09-17 13:58:41.058;Dn;0.333;538
2020-09-17 13:58:41.258;Dn;0.344;534
2020-09-17 13:58:41.458;Dn;0.352;531
2020-09-17 13:58:41.634;Dn;0.363;527
2020-09-17 13:58:41.858;Dn;0.371;524
2020-09-17 13:58:42.057;Dn;0.379;521
2020-09-17 13:58:42.259;Dn;0.387;518
2020-09-17 13:58:42.458;Dn;0.395;515
2020-09-17 13:58:42.651;Dn;0.403;512
2020-09-17 13:58:42.857;Dn;0.411;509
2020-09-17 13:58:43.057;Dn;0.419;506
2020-09-17 13:58:43.257;Dn;0.424;504
2020-09-17 13:58:43.458;Dn;0.432;501
2020-09-17 13:58:43.658;Dn;0.443;497
2020-09-17 13:58:43.858;Dn;0.448;495
2020-09-17 13:58:44.058;Dn;0.456;492
2020-09-17 13:58:44.258;Dn;0.464;489
2020-09-17 13:58:44.458;Dn;0.472;486
2020-09-17 13:58:44.658;Dn;0.477;484
2020-09-17 13:58:44.858;Dn;0.485;481
2020-09-17 13:58:45.058;Dn;0.493;478
2020-09-17 13:58:45.257;Dn;0.504;474
2020-09-17 13:58:45.459;Dn;0.509;472
2020-09-17 13:58:45.658;Dn;0.515;470
2020-09-17 13:58:45.857;Dn;0.523;467
2020-09-17 13:58:46.058;Dn;0.531;464
2020-09-17 13:58:46.258;Dn;0.536;462
2020-09-17 13:58:46.458;Dn;0.541;460
2020-09-17 13:58:46.659;Dn;0.552;456
2020-09-17 13:58:46.839;Dn;0.555;455
2020-09-17 13:58:47.058;Dn;0.563;452
2020-09-17 13:58:47.258;Dn;0.571;449
2020-09-17 13:58:47.459;Dn;0.573;448
2020-09-17 13:58:47.658;Dn;0.581;445
2020-09-17 13:58:47.859;Dn;0.587;443
2020-09-17 13:58:48.059;Dn;0.595;440
2020-09-17 13:58:48.258;Dn;0.600;438
2020-09-17 13:58:48.458;Dn;0.605;436
2020-09-17 13:58:48.659;Dn;0.613;433
2020-09-17 13:58:48.859;Dn;0.621;430
2020-09-17 13:58:49.057;Dn;0.627;428
2020-09-17 13:58:49.259;Dn;0.632;426
2020-09-17 13:58:49.458;Dn;0.640;423
2020-09-17 13:58:49.658;Dn;0.648;420
2020-09-17 13:58:49.859;Dn;0.653;418
2020-09-17 13:58:50.058;Dn;0.661;415
2020-09-17 13:58:50.258;Dn;0.667;413
2020-09-17 13:58:50.458;Dn;0.675;410
2020-09-17 13:58:50.659;Dn;0.680;408
2020-09-17 13:58:50.859;Dn;0.688;405
2020-09-17 13:58:51.057;Dn;0.696;402
2020-09-17 13:58:51.259;Dn;0.702;400
2020-09-17 13:58:51.458;Dn;0.707;398
2020-09-17 13:58:51.658;Dn;0.715;395
2020-09-17 13:58:51.859;Dn;0.720;393
2020-09-17 13:58:52.047;Dn;0.731;389
2020-09-17 13:58:52.259;Dn;0.736;387
2020-09-17 13:58:52.460;Dn;0.742;385
2020-09-17 13:58:52.660;Dn;0.750;382
2020-09-17 13:58:52.859;Dn;0.755;380
2020-09-17 13:58:53.066;Dn;0.763;377
2020-09-17 13:58:53.260;Dn;0.768;375
2020-09-17 13:58:53.459;Dn;0.776;372
2020-09-17 13:58:53.659;Dn;0.784;369
2020-09-17 13:58:53.860;Dn;0.792;366
2020-09-17 13:58:54.059;Dn;0.798;364
2020-09-17 13:58:54.259;Dn;0.803;362
2020-09-17 13:58:54.459;Dn;0.811;359
2020-09-17 13:58:54.660;Dn;0.816;357
2020-09-17 13:58:54.859;Dn;0.824;354
2020-09-17 13:58:55.060;Dn;0.832;351
2020-09-17 13:58:55.259;Dn;0.838;349
2020-09-17 13:58:55.459;Dn;0.843;347
2020-09-17 13:58:55.660;Dn;0.854;343
2020-09-17 13:58:55.860;Dn;0.856;342
2020-09-17 13:58:56.059;Dn;0.864;339
2020-09-17 13:58:56.236;Dn;0.872;336
2020-09-17 13:58:56.460;Dn;0.875;335
2020-09-17 13:58:56.660;Dn;0.883;332
2020-09-17 13:58:56.859;Dn;0.891;329
2020-09-17 13:58:57.059;Dn;0.896;327
2020-09-17 13:58:57.247;Dn;0.904;324
2020-09-17 13:58:57.459;Dn;0.912;321
2020-09-17 13:58:57.659;Dn;0.915;320
2020-09-17 13:58:57.859;Dn;0.923;317
2020-09-17 13:58:58.059;Dn;0.931;314
2020-09-17 13:58:58.260;Dn;0.936;312
2020-09-17 13:58:58.460;Dn;0.944;309
2020-09-17 13:58:58.659;Dn;0.952;306
2020-09-17 13:58:58.860;Dn;0.958;304
2020-09-17 13:58:59.060;Dn;0.968;300
2020-09-17 13:58:59.260;Dn;0.976;297
2020-09-17 13:58:59.459;Dn;0.984;294
2020-09-17 13:58:59.660;Dn;0.990;292
2020-09-17 13:58:59.859;Dn;1.000;288
2020-09-17 13:59:00.058;Dn;1.011;284
2020-09-17 13:59:00.259;Dn;1.016;282
2020-09-17 13:59:00.458;Dn;1.024;279
2020-09-17 13:59:00.659;Dn;1.035;275
2020-09-17 13:59:00.860;Dn;1.043;272
2020-09-17 13:59:01.060;Dn;1.048;270
2020-09-17 13:59:01.259;Dn;1.056;267
2020-09-17 13:59:01.436;Dn;1.064;264
2020-09-17 13:59:01.660;Dn;1.070;262
2020-09-17 13:59:01.860;Dn;1.080;258
2020-09-17 13:59:02.060;Dn;1.086;256
2020-09-17 13:59:02.260;Dn;1.091;254
2020-09-17 13:59:02.447;Dn;1.102;250
2020-09-17 13:59:02.660;Dn;1.107;248
2020-09-17 13:59:02.860;Dn;1.115;245
2020-09-17 13:59:03.060;Dn;1.120;243
2020-09-17 13:59:03.259;Dn;1.128;240
2020-09-17 13:59:03.460;Dn;1.134;238
2020-09-17 13:59:03.661;Dn;1.142;235
2020-09-17 13:59:03.860;Dn;1.147;233
2020-09-17 13:59:04.060;Dn;1.155;230
2020-09-17 13:59:04.261;Dn;1.160;228
2020-09-17 13:59:04.460;Dn;1.168;225
2020-09-17 13:59:04.660;Dn;1.174;223
2020-09-17 13:59:04.861;Dn;1.182;220
2020-09-17 13:59:05.060;Dn;1.190;217
2020-09-17 13:59:05.260;Dn;1.195;215
2020-09-17 13:59:05.461;Dn;1.200;213
2020-09-17 13:59:05.660;Dn;1.208;210
2020-09-17 13:59:05.860;Dn;1.211;209
2020-09-17 13:59:06.061;Dn;1.214;208
2020-09-17 13:59:06.261;Dn;1.216;207
2020-09-17 13:59:55.263;Dn;1.219;724
2020-09-17 13:59:55.464;Dn;1.223;660
2020-09-17 13:59:55.663;Dn;1.228;658
2020-09-17 14:00:02.064;Dn;1.231;657
2020-09-17 14:00:02.664;Dn;1.234;656
2020-09-17 14:00:02.852;Dn;1.244;652
2020-09-17 14:00:03.063;Dn;1.255;648
2020-09-17 14:00:03.264;Dn;1.266;644
2020-09-17 14:00:03.463;Dn;1.276;640
2020-09-17 14:00:03.664;Dn;1.284;637
2020-09-17 14:00:03.864;Dn;1.298;632
2020-09-17 14:00:04.064;Dn;1.308;628
2020-09-17 14:00:04.264;Dn;1.316;625
2020-09-17 14:00:04.464;Dn;1.327;621
2020-09-17 14:00:04.663;Dn;1.335;618
2020-09-17 14:00:04.864;Dn;1.346;614
2020-09-17 14:00:05.064;Dn;1.356;610
2020-09-17 14:00:05.264;Dn;1.367;606
2020-09-17 14:00:05.464;Dn;1.375;603
2020-09-17 14:00:05.664;Dn;1.386;599
2020-09-17 14:00:05.863;Dn;1.394;596
2020-09-17 14:00:06.064;Dn;1.404;592
2020-09-17 14:00:06.264;Dn;1.415;588
2020-09-17 14:00:06.464;Dn;1.426;584
2020-09-17 14:00:06.663;Dn;1.434;581
2020-09-17 14:00:06.864;Dn;1.447;576
2020-09-17 14:00:07.040;Dn;1.455;573
2020-09-17 14:00:07.263;Dn;1.468;568
2020-09-17 14:00:07.464;Dn;1.476;565
2020-09-17 14:00:07.663;Dn;1.487;561
2020-09-17 14:00:07.863;Dn;1.495;558
2020-09-17 14:00:08.052;Dn;1.508;553
2020-09-17 14:00:08.263;Dn;1.519;549
2020-09-17 14:00:08.463;Dn;1.532;544
2020-09-17 14:00:08.663;Dn;1.538;542
2020-09-17 14:00:08.863;Dn;1.548;538
2020-09-17 14:00:09.063;Dn;1.562;533
2020-09-17 14:00:09.264;Dn;1.572;529
2020-09-17 14:00:09.463;Dn;1.580;526
2020-09-17 14:00:09.663;Dn;1.591;522
2020-09-17 14:00:09.863;Dn;1.602;518
2020-09-17 14:00:10.063;Dn;1.615;513
2020-09-17 14:00:10.263;Dn;1.626;509
2020-09-17 14:00:10.463;Dn;1.634;506
2020-09-17 14:00:10.664;Dn;1.647;501
2020-09-17 14:00:10.863;Dn;1.655;498
2020-09-17 14:00:11.063;Dn;1.668;493
2020-09-17 14:00:11.264;Dn;1.679;489
2020-09-17 14:00:11.463;Dn;1.692;484
2020-09-17 14:00:11.663;Dn;1.700;481
2020-09-17 14:00:11.864;Dn;1.711;477
2020-09-17 14:00:12.063;Dn;1.724;472
2020-09-17 14:00:12.240;Dn;1.732;469
2020-09-17 14:00:12.464;Dn;1.740;466
2020-09-17 14:00:12.663;Dn;1.748;463
2020-09-17 14:00:12.863;Dn;1.759;459
2020-09-17 14:00:13.062;Dn;1.770;455
2020-09-17 14:00:13.259;Dn;1.780;451
2020-09-17 14:00:13.463;Dn;1.794;446
2020-09-17 14:00:13.663;Dn;1.804;442
2020-09-17 14:00:13.863;Dn;1.815;438
2020-09-17 14:00:14.063;Dn;1.828;433
2020-09-17 14:00:14.263;Dn;1.839;429
2020-09-17 14:00:14.464;Dn;1.852;424
2020-09-17 14:00:14.663;Dn;1.863;420
2020-09-17 14:00:14.864;Dn;1.874;416
2020-09-17 14:00:15.064;Dn;1.885;412
2020-09-17 14:00:15.264;Dn;1.898;407
2020-09-17 14:00:15.464;Dn;1.909;403
2020-09-17 14:00:15.664;Dn;1.919;399
2020-09-17 14:00:15.864;Dn;1.927;396
2020-09-17 14:00:16.064;Dn;1.938;392
2020-09-17 14:00:16.263;Dn;1.951;387
2020-09-17 14:00:16.464;Dn;1.959;384
2020-09-17 14:00:16.664;Dn;1.970;380
2020-09-17 14:00:16.863;Dn;1.983;375
2020-09-17 14:00:17.064;Dn;1.997;370
2020-09-17 14:00:17.263;Dn;2.007;366
2020-09-17 14:00:17.448;Dn;2.021;361
2020-09-17 14:00:17.665;Dn;2.031;357
2020-09-17 14:00:17.864;Dn;2.039;354
2020-09-17 14:00:18.063;Dn;2.053;349
2020-09-17 14:00:18.265;Dn;2.063;345
2020-09-17 14:00:18.467;Dn;2.077;340
2020-09-17 14:00:18.664;Dn;2.085;337
2020-09-17 14:00:18.865;Dn;2.095;333
2020-09-17 14:00:19.064;Dn;2.103;330
2020-09-17 14:00:19.264;Dn;2.117;325
2020-09-17 14:00:19.463;Dn;2.127;321
2020-09-17 14:00:19.663;Dn;2.135;318
2020-09-17 14:00:19.864;Dn;2.146;314
2020-09-17 14:00:20.064;Dn;2.159;309
2020-09-17 14:00:20.265;Dn;2.167;306
2020-09-17 14:00:20.464;Dn;2.175;303
2020-09-17 14:00:20.664;Dn;2.186;299
2020-09-17 14:00:20.865;Dn;2.199;294
2020-09-17 14:00:21.065;Dn;2.207;291
2020-09-17 14:00:21.263;Dn;2.218;287
2020-09-17 14:00:21.464;Dn;2.229;283
