DateTime;UpDn;Depth;SPMax
2020-04-01 09:18:19.241;Dn;0.003;626
2020-04-01 09:18:19.241;Dn;0.003;626
2020-04-01 09:18:19.442;Dn;0.005;625
2020-04-01 09:18:19.649;Dn;0.008;624
2020-04-01 09:18:19.841;Dn;0.013;622
2020-04-01 09:18:20.041;Dn;0.019;620
2020-04-01 09:18:20.242;Dn;0.024;618
2020-04-01 09:18:20.441;Dn;0.027;617
2020-04-01 09:18:20.642;Dn;0.032;615
2020-04-01 09:18:20.841;Dn;0.035;614
2020-04-01 09:18:33.243;Dn;0.037;613
2020-04-01 09:18:33.442;Dn;0.040;612
2020-04-01 09:18:33.643;Dn;0.045;610
2020-04-01 09:18:33.843;Dn;0.053;607
2020-04-01 09:18:34.042;Dn;0.061;604
2020-04-01 09:18:34.243;Dn;0.075;599
2020-04-01 09:18:34.442;Dn;0.088;594
2020-04-01 09:18:34.642;Dn;0.101;589
2020-04-01 09:18:34.843;Dn;0.112;585
2020-04-01 09:18:35.043;Dn;0.123;581
2020-04-01 09:18:35.251;Dn;0.133;577
2020-04-01 09:18:35.443;Dn;0.141;574
2020-04-01 09:18:35.643;Dn;0.152;570
2020-04-01 09:18:35.842;Dn;0.163;566
2020-04-01 09:18:36.043;Dn;0.173;562
2020-04-01 09:18:36.243;Dn;0.184;558
2020-04-01 09:18:36.442;Dn;0.192;555
2020-04-01 09:18:36.642;Dn;0.203;551
2020-04-01 09:18:36.843;Dn;0.213;547
2020-04-01 09:18:37.043;Dn;0.219;545
2020-04-01 09:18:37.242;Dn;0.227;542
2020-04-01 09:18:37.443;Dn;0.237;538
2020-04-01 09:18:37.643;Dn;0.243;536
2020-04-01 09:18:37.842;Dn;0.253;532
2020-04-01 09:18:38.043;Dn;0.259;530
2020-04-01 09:18:38.242;Dn;0.264;528
2020-04-01 09:18:38.443;Dn;0.272;525
2020-04-01 09:18:38.643;Dn;0.280;522
2020-04-01 09:18:38.842;Dn;0.288;519
2020-04-01 09:18:39.042;Dn;0.296;516
2020-04-01 09:18:39.242;Dn;0.304;513
2020-04-01 09:18:39.443;Dn;0.309;511
2020-04-01 09:18:39.642;Dn;0.317;508
2020-04-01 09:18:39.842;Dn;0.323;506
2020-04-01 09:18:40.043;Dn;0.331;503
2020-04-01 09:18:40.242;Dn;0.339;500
2020-04-01 09:18:40.451;Dn;0.347;497
2020-04-01 09:18:40.642;Dn;0.355;494
2020-04-01 09:18:40.842;Dn;0.363;491
2020-04-01 09:18:41.041;Dn;0.371;488
2020-04-01 09:18:41.242;Dn;0.381;484
2020-04-01 09:18:41.442;Dn;0.389;481
2020-04-01 09:18:41.642;Dn;0.397;478
2020-04-01 09:18:41.843;Dn;0.408;474
2020-04-01 09:18:42.042;Dn;0.416;471
2020-04-01 09:18:42.245;Dn;0.424;468
2020-04-01 09:18:42.443;Dn;0.432;465
2020-04-01 09:18:42.643;Dn;0.443;461
2020-04-01 09:18:42.842;Dn;0.451;458
2020-04-01 09:18:43.042;Dn;0.459;455
2020-04-01 09:18:43.242;Dn;0.467;452
2020-04-01 09:18:43.442;Dn;0.472;450
2020-04-01 09:18:43.642;Dn;0.480;447
2020-04-01 09:18:43.843;Dn;0.496;441
2020-04-01 09:18:44.042;Dn;0.501;439
2020-04-01 09:18:44.242;Dn;0.520;432
2020-04-01 09:18:44.443;Dn;0.528;429
2020-04-01 09:18:44.642;Dn;0.531;428
2020-04-01 09:18:44.842;Dn;0.539;425
2020-04-01 09:18:45.043;Dn;0.555;419
2020-04-01 09:18:45.242;Dn;0.568;414
2020-04-01 09:18:45.442;Dn;0.581;409
2020-04-01 09:18:45.642;Dn;0.592;405
2020-04-01 09:18:45.842;Dn;0.605;400
2020-04-01 09:18:46.042;Dn;0.619;395
2020-04-01 09:18:46.242;Dn;0.629;391
2020-04-01 09:18:46.442;Dn;0.643;386
2020-04-01 09:18:46.641;Dn;0.648;384
2020-04-01 09:18:46.842;Dn;0.653;382
2020-04-01 09:18:47.042;Dn;0.659;380
2020-04-01 09:18:47.242;Dn;0.661;379
2020-04-01 09:18:47.442;Dn;0.664;378
2020-04-01 09:18:47.643;Dn;0.670;376
2020-04-01 09:18:47.842;Dn;0.675;374
2020-04-01 09:18:48.042;Dn;0.680;372
2020-04-01 09:18:48.243;Dn;0.683;371
2020-04-01 09:18:48.442;Dn;0.688;369
2020-04-01 09:18:48.642;Dn;0.691;368
2020-04-01 09:18:48.842;Dn;0.694;367
2020-04-01 09:18:49.042;Dn;0.699;365
2020-04-01 09:18:49.441;Dn;0.702;364
2020-04-01 09:18:49.843;Dn;0.704;363
2020-04-01 09:18:50.442;Dn;0.707;362
2020-04-01 09:18:50.841;Dn;0.710;361
2020-04-01 09:18:51.042;Dn;0.712;360
2020-04-01 09:18:51.242;Dn;0.715;359
2020-04-01 09:18:51.442;Dn;0.718;358
2020-04-01 09:18:51.642;Dn;0.747;347
2020-04-01 09:18:52.442;Dn;0.752;346
2020-04-01 09:18:52.641;Dn;0.768;339
2020-04-01 09:18:52.842;Dn;0.811;323
2020-04-01 09:18:53.841;Dn;0.819;321
2020-04-01 09:18:54.042;Dn;0.822;319
2020-04-01 09:18:54.242;Dn;0.827;317
2020-04-01 09:18:54.442;Dn;0.840;312
2020-04-01 09:18:54.642;Dn;0.843;311
2020-04-01 09:18:54.842;Dn;0.848;309
2020-04-01 09:18:55.048;Dn;0.856;306
2020-04-01 09:18:55.241;Dn;0.859;305
2020-04-01 09:18:55.442;Dn;0.867;302
2020-04-01 09:18:55.641;Dn;0.875;299
2020-04-01 09:18:55.841;Dn;0.883;296
2020-04-01 09:18:56.042;Dn;0.891;293
2020-04-01 09:18:56.242;Dn;0.899;290
2020-04-01 09:18:56.441;Dn;0.910;286
2020-04-01 09:18:56.642;Dn;0.918;283
2020-04-01 09:18:56.842;Dn;0.926;280
2020-04-01 09:18:57.041;Dn;0.936;276
2020-04-01 09:18:57.242;Dn;0.944;273
2020-04-01 09:18:57.441;Dn;0.952;270
2020-04-01 09:18:57.641;Dn;0.960;267
2020-04-01 09:18:57.842;Dn;0.968;264
2020-04-01 09:18:58.041;Dn;0.974;262
2020-04-01 09:18:58.242;Dn;0.982;259
2020-04-01 09:18:58.442;Dn;0.990;256
2020-04-01 09:18:58.642;Dn;0.998;253
2020-04-01 09:18:58.841;Dn;1.003;251
2020-04-01 09:18:59.041;Dn;1.011;248
2020-04-01 09:18:59.242;Dn;1.019;245
2020-04-01 09:18:59.441;Dn;1.027;242
2020-04-01 09:18:59.641;Dn;1.035;239
2020-04-01 09:18:59.842;Dn;1.040;237
2020-04-01 09:19:00.041;Dn;1.048;234
2020-04-01 09:19:00.252;Dn;1.056;231
2020-04-01 09:19:00.443;Dn;1.064;228
2020-04-01 09:19:00.643;Dn;1.070;226
2020-04-01 09:19:00.842;Dn;1.075;224
2020-04-01 09:19:01.043;Dn;1.083;221
2020-04-01 09:19:01.242;Dn;1.091;218
2020-04-01 09:19:01.442;Dn;1.094;217
2020-04-01 09:19:01.643;Dn;1.102;214
2020-04-01 09:19:01.842;Dn;1.110;211
2020-04-01 09:19:02.042;Dn;1.112;210
2020-04-01 09:19:02.242;Dn;1.120;207
2020-04-01 09:19:02.442;Dn;1.126;205
2020-04-01 09:19:02.642;Dn;1.131;203
2020-04-01 09:19:02.842;Dn;1.136;201
2020-04-01 09:19:03.043;Dn;1.144;198
2020-04-01 09:19:03.242;Dn;1.150;196
2020-04-01 09:19:03.442;Dn;1.155;194
2020-04-01 09:19:03.643;Dn;1.163;191
2020-04-01 09:19:03.842;Dn;1.171;188
2020-04-01 09:19:04.042;Dn;1.179;185
2020-04-01 09:19:04.243;Dn;1.187;182
2020-04-01 09:19:04.442;Dn;1.192;180
2020-04-01 09:19:04.642;Dn;1.195;179
2020-04-01 09:19:04.843;Dn;1.198;178
2020-04-01 09:19:05.042;Dn;1.200;177
2020-04-01 09:19:05.451;Dn;1.203;176
2020-04-01 09:19:05.842;Dn;1.206;175
2020-04-01 09:19:06.042;Dn;1.208;174
2020-04-01 09:19:50.040;Dn;1.211;746
2020-04-01 09:19:50.240;Dn;1.212;628
2020-04-01 09:19:50.441;Dn;1.218;626
2020-04-01 09:19:50.640;Dn;1.223;624
2020-04-01 09:19:50.839;Dn;1.226;623
2020-04-01 09:19:56.639;Dn;1.231;622
2020-04-01 09:19:56.840;Dn;1.234;620
2020-04-01 09:19:57.040;Dn;1.244;616
2020-04-01 09:19:57.239;Dn;1.258;611
2020-04-01 09:19:57.440;Dn;1.268;607
2020-04-01 09:19:57.640;Dn;1.279;603
2020-04-01 09:19:57.840;Dn;1.282;602
2020-04-01 09:19:58.040;Dn;1.284;601
2020-04-01 09:19:58.240;Dn;1.290;599
2020-04-01 09:19:58.440;Dn;1.298;596
2020-04-01 09:19:58.640;Dn;1.306;593
2020-04-01 09:19:58.840;Dn;1.311;591
2020-04-01 09:19:59.039;Dn;1.316;589
2020-04-01 09:19:59.240;Dn;1.324;586
2020-04-01 09:19:59.440;Dn;1.330;584
2020-04-01 09:19:59.640;Dn;1.335;582
2020-04-01 09:19:59.839;Dn;1.343;579
2020-04-01 09:20:00.040;Dn;1.348;577
2020-04-01 09:20:00.240;Dn;1.356;574
2020-04-01 09:20:00.439;Dn;1.362;572
2020-04-01 09:20:00.643;Dn;1.370;569
2020-04-01 09:20:00.840;Dn;1.378;566
2020-04-01 09:20:01.039;Dn;1.383;564
2020-04-01 09:20:01.240;Dn;1.391;561
2020-04-01 09:20:01.440;Dn;1.396;559
2020-04-01 09:20:01.640;Dn;1.404;556
2020-04-01 09:20:01.840;Dn;1.412;553
2020-04-01 09:20:02.040;Dn;1.420;550
2020-04-01 09:20:02.239;Dn;1.431;546
2020-04-01 09:20:02.440;Dn;1.434;545
2020-04-01 09:20:02.640;Dn;1.439;543
2020-04-01 09:20:02.839;Dn;1.444;541
2020-04-01 09:20:03.039;Dn;1.450;539
2020-04-01 09:20:03.239;Dn;1.455;537
2020-04-01 09:20:03.439;Dn;1.466;533
2020-04-01 09:20:03.639;Dn;1.474;530
2020-04-01 09:20:03.840;Dn;1.482;527
2020-04-01 09:20:04.039;Dn;1.490;524
2020-04-01 09:20:04.639;Dn;1.503;519
2020-04-01 09:20:05.040;Dn;1.506;518
2020-04-01 09:20:05.439;Dn;1.508;517
2020-04-01 09:20:05.640;Dn;1.514;515
2020-04-01 09:20:05.849;Dn;1.519;513
2020-04-01 09:20:06.039;Dn;1.522;512
2020-04-01 09:20:06.239;Dn;1.527;510
2020-04-01 09:20:06.439;Dn;1.535;507
2020-04-01 09:20:06.639;Dn;1.540;505
2020-04-01 09:20:06.839;Dn;1.548;502
2020-04-01 09:20:07.039;Dn;1.554;500
2020-04-01 09:20:07.239;Dn;1.559;498
2020-04-01 09:20:07.439;Dn;1.564;496
2020-04-01 09:20:07.639;Dn;1.572;493
2020-04-01 09:20:07.840;Dn;1.578;491
2020-04-01 09:20:08.039;Dn;1.580;490
2020-04-01 09:20:08.240;Dn;1.588;487
2020-04-01 09:20:08.439;Dn;1.591;486
2020-04-01 09:20:08.639;Dn;1.596;484
2020-04-01 09:20:08.840;Dn;1.602;482
2020-04-01 09:20:09.039;Dn;1.607;480
2020-04-01 09:20:09.239;Dn;1.610;479
2020-04-01 09:20:09.439;Dn;1.620;475
2020-04-01 09:20:09.640;Dn;1.626;473
2020-04-01 09:20:09.839;Dn;1.631;471
2020-04-01 09:20:10.039;Dn;1.639;468
2020-04-01 09:20:10.240;Dn;1.650;464
2020-04-01 09:20:10.439;Dn;1.655;462
2020-04-01 09:20:10.639;Dn;1.663;459
2020-04-01 09:20:10.840;Dn;1.671;456
2020-04-01 09:20:11.048;Dn;1.676;454
2020-04-01 09:20:11.239;Dn;1.682;452
2020-04-01 09:20:11.440;Dn;1.684;451
2020-04-01 09:20:11.639;Dn;1.690;449
2020-04-01 09:20:11.839;Dn;1.695;447
2020-04-01 09:20:12.040;Dn;1.703;444
2020-04-01 09:20:12.239;Dn;1.711;441
2020-04-01 09:20:12.439;Dn;1.714;440
2020-04-01 09:20:12.639;Dn;1.722;437
2020-04-01 09:20:12.839;Dn;1.727;435
2020-04-01 09:20:13.039;Dn;1.730;434
2020-04-01 09:20:13.239;Dn;1.735;432
2020-04-01 09:20:13.439;Dn;1.740;430
2020-04-01 09:20:13.639;Dn;1.743;429
2020-04-01 09:20:13.839;Dn;1.748;427
2020-04-01 09:20:14.040;Dn;1.754;425
2020-04-01 09:20:14.239;Dn;1.762;422
2020-04-01 09:20:14.439;Dn;1.767;420
2020-04-01 09:20:14.640;Dn;1.778;416
2020-04-01 09:20:14.839;Dn;1.783;414
2020-04-01 09:20:15.039;Dn;1.788;412
2020-04-01 09:20:15.240;Dn;1.794;410
2020-04-01 09:20:15.439;Dn;1.802;407
2020-04-01 09:20:15.639;Dn;1.807;405
2020-04-01 09:20:15.839;Dn;1.812;403
2020-04-01 09:20:16.039;Dn;1.820;400
2020-04-01 09:20:16.248;Dn;1.826;398
2020-04-01 09:20:16.439;Dn;1.834;395
2020-04-01 09:20:16.639;Dn;1.839;393
2020-04-01 09:20:16.839;Dn;1.844;391
2020-04-01 09:20:17.039;Dn;1.852;388
2020-04-01 09:20:17.239;Dn;1.855;387
2020-04-01 09:20:17.439;Dn;1.863;384
2020-04-01 09:20:17.639;Dn;1.868;382
2020-04-01 09:20:17.839;Dn;1.874;380
2020-04-01 09:20:18.039;Dn;1.882;377
2020-04-01 09:20:18.239;Dn;1.887;375
2020-04-01 09:20:18.439;Dn;1.893;373
2020-04-01 09:20:18.639;Dn;1.903;369
2020-04-01 09:20:18.839;Dn;1.909;367
2020-04-01 09:20:19.038;Dn;1.917;364
2020-04-01 09:20:19.239;Dn;1.925;361
2020-04-01 09:20:19.439;Dn;1.930;359
2020-04-01 09:20:19.638;Dn;1.941;355
2020-04-01 09:20:19.839;Dn;1.949;352
2020-04-01 09:20:20.039;Dn;1.954;350
2020-04-01 09:20:20.238;Dn;1.962;347
2020-04-01 09:20:20.440;Dn;1.970;344
2020-04-01 09:20:20.639;Dn;1.978;341
2020-04-01 09:20:20.839;Dn;1.983;339
2020-04-01 09:20:21.039;Dn;1.994;335
2020-04-01 09:20:21.239;Dn;2.007;330
2020-04-01 09:20:21.448;Dn;2.015;327
2020-04-01 09:20:21.639;Dn;2.023;324
2020-04-01 09:20:21.839;Dn;2.031;321
2020-04-01 09:20:22.039;Dn;2.039;318
2020-04-01 09:20:22.238;Dn;2.047;315
2020-04-01 09:20:22.441;Dn;2.055;312
2020-04-01 09:20:22.639;Dn;2.066;308
2020-04-01 09:20:22.838;Dn;2.069;307
2020-04-01 09:20:23.039;Dn;2.074;305
2020-04-01 09:20:23.238;Dn;2.079;303
2020-04-01 09:20:23.438;Dn;2.082;302
2020-04-01 09:20:23.838;Dn;2.095;297
2020-04-01 09:20:24.238;Dn;2.109;292
2020-04-01 09:20:24.638;Dn;2.125;286
2020-04-01 09:20:25.038;Dn;2.141;280
2020-04-01 09:20:25.238;Dn;2.154;275
2020-04-01 09:20:25.438;Dn;2.157;274
2020-04-01 09:20:25.636;Dn;2.167;270
2020-04-01 09:20:25.838;Dn;2.170;269
2020-04-01 09:20:26.038;Dn;2.178;266
2020-04-01 09:20:26.638;Dn;2.186;264
2020-04-01 09:20:26.839;Dn;2.189;262
2020-04-01 09:20:27.038;Dn;2.194;260
2020-04-01 09:20:27.439;Dn;2.197;259
2020-04-01 09:20:27.639;Dn;2.202;257
2020-04-01 09:20:27.838;Dn;2.213;253
2020-04-01 09:20:28.438;Dn;2.215;253
2020-04-01 09:20:28.638;Dn;2.226;248
2020-04-01 09:20:29.038;Dn;2.231;246
2020-04-01 09:20:29.238;Dn;2.234;245
2020-04-01 09:20:29.439;Dn;2.247;240
2020-04-01 09:20:30.039;Dn;2.255;237
2020-04-01 09:20:30.238;Dn;2.263;234
2020-04-01 09:20:30.639;Dn;2.271;231
2020-04-01 09:20:30.843;Dn;2.274;230
2020-04-01 09:20:31.038;Dn;2.285;226
2020-04-01 09:20:31.438;Dn;2.287;225
2020-04-01 09:20:31.638;Dn;2.293;223
2020-04-01 09:20:31.838;Dn;2.301;220
2020-04-01 09:20:32.638;Dn;2.303;220
2020-04-01 09:20:32.838;Dn;2.322;212
2020-04-01 09:20:33.839;Dn;2.351;202
2020-04-01 09:20:34.038;Dn;2.362;197
2020-04-01 09:20:34.238;Dn;2.381;190
2020-04-01 09:20:34.439;Dn;2.399;183
2020-04-01 09:20:34.638;Dn;2.405;181
2020-04-01 09:20:34.838;Dn;2.410;179
2020-04-01 09:20:35.038;Dn;2.415;177
2020-04-01 09:20:35.238;Dn;2.418;176
2020-04-01 09:21:21.037;Dn;2.421;777
2020-04-01 09:21:21.238;Dn;2.435;625
2020-04-01 09:21:25.438;Dn;2.441;624
2020-04-01 09:21:25.637;Dn;2.446;621
2020-04-01 09:21:25.838;Dn;2.473;611
2020-04-01 09:21:26.237;Dn;2.483;607
2020-04-01 09:21:26.438;Dn;2.486;606
2020-04-01 09:21:26.837;Dn;2.489;605
2020-04-01 09:21:27.038;Dn;2.494;603
2020-04-01 09:21:27.238;Dn;2.502;600
2020-04-01 09:21:27.438;Dn;2.518;594
2020-04-01 09:21:27.638;Dn;2.542;585
