DateTime;UpDn;Depth;REMax
2020-09-17 10:14:35.536;Dn;0.035;159.4
2020-09-17 10:14:35.536;Dn;0.035;159.4
2020-09-17 10:14:36.587;Dn;0.112;152
2020-09-17 10:14:37.618;Dn;0.165;154.6
2020-09-17 10:14:38.659;Dn;0.216;162.1
2020-09-17 10:14:39.701;Dn;0.253;239.2
2020-09-17 10:14:40.742;Dn;0.301;241.1
2020-09-17 10:14:41.786;Dn;0.371;204.8
2020-09-17 10:14:42.824;Dn;0.413;120
2020-09-17 10:14:43.866;Dn;0.467;143.2
2020-09-17 10:14:44.907;Dn;0.528;182.8
2020-09-17 10:14:45.948;Dn;0.592;214.5
2020-09-17 10:14:46.987;Dn;0.656;201.7
2020-09-17 10:14:48.029;Dn;0.704;188.7
2020-09-17 10:14:49.071;Dn;0.744;175
2020-09-17 10:14:50.112;Dn;0.784;201.9
2020-09-17 10:14:51.153;Dn;0.822;150.2
2020-09-17 10:14:52.202;Dn;0.862;155
2020-09-17 10:14:53.235;Dn;0.902;116.7
2020-09-17 10:14:54.276;Dn;0.939;191.6
2020-09-17 10:14:55.318;Dn;0.987;165.2
2020-09-17 10:14:56.379;Dn;1.035;133
2020-09-17 10:14:57.400;Dn;1.094;127.8
2020-09-17 10:16:10.289;Dn;1.146;259.7
2020-09-17 10:16:11.329;Dn;1.202;142.9
2020-09-17 10:16:12.389;Dn;1.242;86.3
2020-09-17 10:16:13.430;Dn;1.284;55.7
2020-09-17 10:16:14.451;Dn;1.316;36.2
2020-09-17 10:16:15.492;Dn;1.351;15.5
2020-09-17 10:16:16.533;Dn;1.383;94.4
2020-09-17 10:16:17.593;Dn;1.423;122.1
2020-09-17 10:16:18.618;Dn;1.458;108.3
2020-09-17 10:16:19.659;Dn;1.492;145.2
2020-09-17 10:16:20.700;Dn;1.527;160.2
2020-09-17 10:16:21.742;Dn;1.564;153.6
2020-09-17 10:16:22.792;Dn;1.607;85.1
2020-09-17 10:16:23.818;Dn;1.642;8.7
2020-09-17 10:16:24.864;Dn;1.679;-54.5
2020-09-17 10:16:25.908;Dn;1.716;-92.1
2020-09-17 10:16:26.948;Dn;1.754;-97
2020-09-17 10:16:28.016;Dn;1.804;-140.7
2020-09-17 10:16:29.032;Dn;1.847;-194.2
2020-09-17 10:16:30.073;Dn;1.890;-247.9
2020-09-17 10:16:31.115;Dn;1.933;-255.7
2020-09-17 10:16:32.156;Dn;1.973;-293.8
2020-09-17 10:16:33.198;Dn;2.005;-263
