DateTime;UpDn;Depth;REMax
2020-09-17 10:59:15.114;Dn;0.029;575.7
2020-09-17 10:59:15.114;Dn;0.029;575.7
2020-09-17 10:59:16.155;Dn;0.067;443.9
2020-09-17 10:59:17.202;Dn;0.099;342.1
2020-09-17 10:59:18.213;Dn;0.141;352.1
2020-09-17 10:59:19.278;Dn;0.179;332
2020-09-17 10:59:20.320;Dn;0.219;337.2
2020-09-17 10:59:21.362;Dn;0.275;331.2
2020-09-17 10:59:22.402;Dn;0.339;313.5
2020-09-17 10:59:23.420;Dn;0.416;272
2020-09-17 10:59:24.485;Dn;0.483;242.6
2020-09-17 10:59:25.526;Dn;0.544;284.7
2020-09-17 10:59:26.567;Dn;0.605;302.5
2020-09-17 10:59:27.607;Dn;0.659;289.7
2020-09-17 10:59:28.626;Dn;0.712;263.5
2020-09-17 10:59:29.691;Dn;0.747;241.6
2020-09-17 10:59:30.732;Dn;0.787;221.8
2020-09-17 10:59:31.774;Dn;0.830;206.7
2020-09-17 10:59:32.813;Dn;0.872;182.3
2020-09-17 10:59:33.832;Dn;0.904;185.4
2020-09-17 10:59:34.898;Dn;0.934;179.6
2020-09-17 10:59:35.939;Dn;0.960;164.4
2020-09-17 10:59:36.981;Dn;0.987;153.9
2020-09-17 10:59:38.013;Dn;1.024;143.7
2020-09-17 10:59:39.064;Dn;1.056;136
2020-09-17 10:59:40.104;Dn;1.094;130
2020-09-17 10:59:41.146;Dn;1.128;141.6
2020-09-17 10:59:42.202;Dn;1.166;142.4
2020-09-17 10:59:43.213;Dn;1.206;145.6
2020-09-17 10:59:44.270;Dn;1.238;122.8
2020-09-17 10:59:45.309;Dn;1.272;79.7
2020-09-17 11:00:47.804;Dn;1.330;221.6
2020-09-17 11:00:48.816;Dn;1.359;114.8
2020-09-17 11:00:49.874;Dn;1.394;99.6
2020-09-17 11:00:50.918;Dn;1.428;122.8
2020-09-17 11:00:51.959;Dn;1.463;155.2
2020-09-17 11:00:53.003;Dn;1.500;142.9
2020-09-17 11:00:54.018;Dn;1.548;165.7
2020-09-17 11:00:55.082;Dn;1.586;211.8
2020-09-17 11:00:56.125;Dn;1.620;215
2020-09-17 11:00:57.166;Dn;1.655;176.8
2020-09-17 11:00:58.206;Dn;1.695;128.4
2020-09-17 11:00:59.225;Dn;1.743;103.1
2020-09-17 11:01:00.287;Dn;1.786;94.8
2020-09-17 11:01:01.330;Dn;1.828;104.3
2020-09-17 11:01:02.370;Dn;1.874;60.5
2020-09-17 11:01:03.412;Dn;1.914;-12.5
2020-09-17 11:01:04.457;Dn;1.967;-111
2020-09-17 11:01:05.498;Dn;2.015;-176.4
2020-09-17 11:01:06.539;Dn;2.058;-213.1
2020-09-17 11:01:07.580;Dn;2.101;-234.4
2020-09-17 11:01:08.619;Dn;2.149;-240.1
2020-09-17 11:01:09.663;Dn;2.191;-253.8
2020-09-17 11:01:10.704;Dn;2.234;-266.7
2020-09-17 11:01:11.745;Dn;2.279;-276.8
2020-09-17 11:01:12.805;Dn;2.317;-285.4
2020-09-17 11:01:13.845;Dn;2.359;-291.2
2020-09-17 11:01:14.885;Dn;2.391;-299.5
2020-09-17 11:01:15.910;Dn;2.418;-284.6
2020-09-17 11:01:16.952;Dn;2.442;-279
2020-09-17 11:01:18.007;Dn;2.469;-282.6
2020-09-17 11:02:03.810;Dn;2.498;-239
2020-09-17 11:02:05.894;Dn;2.529;-250.3
2020-09-17 11:02:06.935;Dn;2.550;-286.9
2020-09-17 11:02:07.977;Dn;2.601;-365.5
2020-09-17 11:02:09.015;Dn;2.649;-369.3
2020-09-17 11:02:10.059;Dn;2.710;-390.1
2020-09-17 11:02:11.100;Dn;2.761;-360.3
2020-09-17 11:02:12.142;Dn;2.814;-344.5
2020-09-17 11:02:13.183;Dn;2.870;-358.8
2020-09-17 11:02:14.221;Dn;2.937;-356.6
2020-09-17 11:02:15.266;Dn;2.995;-340.3
2020-09-17 11:02:16.307;Dn;3.051;-358
2020-09-17 11:02:17.348;Dn;3.108;-390
2020-09-17 11:02:18.409;Dn;3.164;-405.5
2020-09-17 11:02:19.470;Dn;3.236;-428.7
2020-09-17 11:02:20.498;Dn;3.292;-416.6
2020-09-17 11:02:21.513;Dn;3.350;-420.3
2020-09-17 11:02:22.553;Dn;3.406;-430.2
2020-09-17 11:02:23.611;Dn;3.462;-417.9
2020-09-17 11:02:24.648;Dn;3.534;-416.4
2020-09-17 11:02:25.694;Dn;3.590;-411.6
2020-09-17 11:02:26.718;Dn;3.644;-397
2020-09-17 11:03:53.138;Dn;3.694;-382.8
2020-09-17 11:03:54.179;Dn;3.730;-411.5
2020-09-17 11:03:55.218;Dn;3.736;-427.3
2020-09-17 11:03:56.266;Dn;3.808;-421
2020-09-17 11:03:57.302;Dn;3.850;-448.3
2020-09-17 11:03:58.344;Dn;3.893;-435.8
2020-09-17 11:03:59.385;Dn;3.933;-433.4
2020-09-17 11:04:00.424;Dn;3.973;-452
2020-09-17 11:04:01.467;Dn;4.024;-442.1
2020-09-17 11:04:02.509;Dn;4.061;-429.4
2020-09-17 11:04:03.549;Dn;4.098;-435.3
2020-09-17 11:04:04.591;Dn;4.146;-443.4
2020-09-17 11:04:05.627;Dn;4.197;-406.5
2020-09-17 11:04:06.673;Dn;4.240;-417.9
2020-09-17 11:04:07.714;Dn;4.282;-432.8
2020-09-17 11:04:08.755;Dn;4.328;-434.8
2020-09-17 11:04:09.814;Dn;4.373;-406.8
2020-09-17 11:04:10.826;Dn;4.429;-394.7
2020-09-17 11:04:11.880;Dn;4.483;-400
2020-09-17 11:04:12.920;Dn;4.539;-387.5
2020-09-17 11:04:13.961;Dn;4.584;-398.8
2020-09-17 11:04:15.014;Dn;4.632;-407.8
2020-09-17 11:04:16.067;Dn;4.696;-427.3
2020-09-17 11:04:17.100;Dn;4.747;-435.1
2020-09-17 11:04:18.126;Dn;4.797;-435.1
2020-09-17 11:04:19.167;Dn;4.845;-444.3
2020-09-17 11:04:54.564;Dn;4.912;-430.5
2020-09-17 11:04:55.616;Dn;4.937;-489.3
2020-09-17 11:04:56.677;Dn;4.959;-458
2020-09-17 11:04:57.687;Dn;5.004;-424.2
2020-09-17 11:04:58.727;Dn;5.057;-428.5
2020-09-17 11:04:59.769;Dn;5.108;-417.5
2020-09-17 11:05:00.818;Dn;5.156;-371.2
2020-09-17 11:05:01.872;Dn;5.220;-353.9
2020-09-17 11:05:02.892;Dn;5.263;-339.4
2020-09-17 11:05:03.933;Dn;5.297;-348.6
2020-09-17 11:05:04.974;Dn;5.332;-359
2020-09-17 11:05:06.021;Dn;5.380;-351.3
2020-09-17 11:05:07.060;Dn;5.441;-356.5
2020-09-17 11:05:08.100;Dn;5.484;-330.5
2020-09-17 11:05:09.137;Dn;5.530;-357.3
2020-09-17 11:05:10.178;Dn;5.572;-365.6
2020-09-17 11:05:11.220;Dn;5.618;-404.2
2020-09-17 11:05:12.275;Dn;5.682;-436.9
2020-09-17 11:05:13.301;Dn;5.727;-428.3
2020-09-17 11:05:14.342;Dn;5.775;-440.9
2020-09-17 11:05:15.382;Dn;5.823;-446.6
2020-09-17 11:05:16.421;Dn;5.871;-442.2
2020-09-17 11:05:17.464;Dn;5.932;-450.4
2020-09-17 11:05:18.501;Dn;5.978;-436.1
2020-09-17 11:05:19.546;Dn;6.023;-428.1
2020-09-17 11:05:20.587;Dn;6.074;-414.5
