DateTime;UpDn;Depth;RE2Max
2020-11-11 09:36:48.294;Dn;0.074;27.6
2020-11-11 09:36:48.294;Dn;0.074;27.6
2020-11-11 09:36:50.285;Dn;0.164;65
2020-11-11 09:36:52.406;Dn;0.246;81.9
2020-11-11 09:36:55.771;Dn;0.294;106
2020-11-11 09:36:59.015;Dn;0.360;82.2
2020-11-11 09:37:01.281;Dn;0.467;-31.8
2020-11-11 09:37:03.569;Dn;0.565;17.8
2020-11-11 09:37:05.804;Dn;0.626;53.2
2020-11-11 09:37:54.704;Dn;0.716;87.7
2020-11-11 09:37:57.555;Dn;0.783;90.8
2020-11-11 09:37:59.547;Dn;0.890;144.6
2020-11-11 09:38:01.627;Dn;0.972;167.9
2020-11-11 09:38:03.576;Dn;1.079;161.5
2020-11-11 09:38:05.534;Dn;1.194;105.2
2020-11-11 09:38:07.469;Dn;1.293;90.7
2020-11-11 09:38:09.511;Dn;1.390;101.2
2020-11-11 09:38:11.507;Dn;1.489;145.6
2020-11-11 09:38:13.407;Dn;1.586;170
2020-11-11 09:38:15.384;Dn;1.685;165.9
2020-11-11 09:38:17.312;Dn;1.784;163.3
2020-11-11 09:38:19.447;Dn;1.900;93.1
2020-11-11 09:39:17.980;Dn;1.941;146
2020-11-11 09:39:20.124;Dn;2.006;118
2020-11-11 09:39:22.109;Dn;2.105;-46.8
2020-11-11 09:39:24.237;Dn;2.195;-65.3
2020-11-11 09:39:26.170;Dn;2.275;-76.8
2020-11-11 09:39:28.180;Dn;2.357;-15.9
2020-11-11 09:39:30.226;Dn;2.447;2.3
2020-11-11 09:39:32.338;Dn;2.545;-8.1
2020-11-11 09:39:34.363;Dn;2.634;-21.3
2020-11-11 09:39:36.443;Dn;2.732;-34.6
2020-11-11 09:39:38.316;Dn;2.798;-34.5
2020-11-11 09:39:40.451;Dn;2.872;-54.9
2020-11-11 09:39:42.626;Dn;2.953;-70.9
2020-11-11 09:39:44.494;Dn;3.027;-91.5
2020-11-11 09:39:46.568;Dn;3.126;-110.9
2020-11-11 09:40:33.903;Dn;3.134;-328.7
2020-11-11 09:40:36.721;Dn;3.184;-298.8
2020-11-11 09:40:38.751;Dn;3.282;-394.7
2020-11-11 09:40:40.757;Dn;3.381;-362.9
2020-11-11 09:40:42.822;Dn;3.478;-316.6
2020-11-11 09:40:44.813;Dn;3.560;-313.1
2020-11-11 09:40:46.768;Dn;3.633;-298.7
2020-11-11 09:40:48.796;Dn;3.715;-327.7
2020-11-11 09:40:50.823;Dn;3.795;-349.7
2020-11-11 09:40:52.945;Dn;3.861;-345.7
2020-11-11 09:40:55.030;Dn;3.942;-330.1
2020-11-11 09:40:57.077;Dn;4.024;-284.6
2020-11-11 09:40:59.123;Dn;4.105;-274.9
2020-11-11 09:41:01.296;Dn;4.187;-268.9
2020-11-11 09:41:03.267;Dn;4.270;-253
2020-11-11 09:42:09.263;Dn;4.352;-270.5
2020-11-11 09:42:12.624;Dn;4.417;-378.2
2020-11-11 09:42:14.595;Dn;4.499;-374.4
2020-11-11 09:42:16.780;Dn;4.573;-355.1
2020-11-11 09:42:18.954;Dn;4.655;-300.5
2020-11-11 09:42:20.946;Dn;4.736;-280
2020-11-11 09:42:23.135;Dn;4.801;-274.3
2020-11-11 09:42:25.070;Dn;4.868;-257.2
2020-11-11 09:42:27.163;Dn;4.941;-249.3
2020-11-11 09:42:29.360;Dn;5.007;-241.2
2020-11-11 09:42:31.315;Dn;5.055;-252.9
2020-11-11 09:42:33.326;Dn;5.104;-270.3
2020-11-11 09:42:35.621;Dn;5.145;-290.3
2020-11-11 09:42:38.097;Dn;5.194;-298.7
2020-11-11 09:42:40.319;Dn;5.235;-303.5
2020-11-11 09:42:43.058;Dn;5.276;-297
2020-11-11 09:42:45.408;Dn;5.308;-299.6
2020-11-11 09:42:47.550;Dn;5.349;-305.6
2020-11-11 09:42:49.759;Dn;5.390;-331.9
2020-11-11 09:42:51.704;Dn;5.423;-346.2
2020-11-11 09:42:54.410;Dn;5.471;-363.8
2020-11-11 09:42:56.712;Dn;5.512;-377.1
2020-11-11 09:42:58.773;Dn;5.561;-373.3
2020-11-11 09:43:54.476;Dn;5.585;-379
2020-11-11 09:43:56.437;Dn;5.585;-528.1
2020-11-11 09:44:03.213;Dn;5.630;-434.3
2020-11-11 09:44:09.884;Dn;5.701;-445.3
2020-11-11 09:44:12.247;Dn;5.751;-440
2020-11-11 09:44:14.482;Dn;5.809;-429.7
2020-11-11 09:44:16.778;Dn;5.873;-413.7
2020-11-11 09:44:19.063;Dn;5.939;-416.6
2020-11-11 09:44:21.158;Dn;5.996;-427.9
2020-11-11 09:44:23.554;Dn;6.063;-421.6
2020-11-11 09:44:25.820;Dn;6.129;-419.6
2020-11-11 09:44:28.177;Dn;6.196;-426
2020-11-11 09:44:30.401;Dn;6.252;-427.3
2020-11-11 09:44:32.336;Dn;6.302;-426.2
2020-11-11 09:44:34.464;Dn;6.351;-420.1
2020-11-11 09:44:36.487;Dn;6.400;-422.7
2020-11-11 09:44:38.581;Dn;6.448;-418.5
2020-11-11 09:44:40.688;Dn;6.497;-422.4
2020-11-11 09:44:42.913;Dn;6.547;-427.8
2020-11-11 09:44:45.269;Dn;6.596;-429.2
2020-11-11 09:44:47.586;Dn;6.645;-436.3
2020-11-11 09:44:49.589;Dn;6.694;-443.1
2020-11-11 09:44:51.622;Dn;6.743;-446.6
2020-11-11 09:45:49.918;Dn;6.792;-449.8
2020-11-11 09:46:06.165;Dn;6.842;-513.6
2020-11-11 09:46:08.478;Dn;6.882;-483.3
2020-11-11 09:46:10.736;Dn;6.932;-470.7
2020-11-11 09:46:12.936;Dn;6.981;-454.6
2020-11-11 09:46:15.069;Dn;7.030;-442.2
2020-11-11 09:46:17.271;Dn;7.079;-470.6
2020-11-11 09:46:19.529;Dn;7.128;-513.6
2020-11-11 09:46:21.687;Dn;7.169;-517.4
2020-11-11 09:46:23.706;Dn;7.202;-515.8
2020-11-11 09:46:26.254;Dn;7.251;-476.8
2020-11-11 09:46:28.841;Dn;7.300;-454.2
2020-11-11 09:46:31.309;Dn;7.349;-458.8
2020-11-11 09:46:33.697;Dn;7.398;-444.9
2020-11-11 09:46:35.894;Dn;7.438;-455.3
2020-11-11 09:46:38.136;Dn;7.479;-466.2
2020-11-11 09:46:40.143;Dn;7.511;-459.4
2020-11-11 09:46:42.128;Dn;7.544;-470.5
2020-11-11 09:46:44.016;Dn;7.576;-502
2020-11-11 09:46:45.925;Dn;7.609;-501.1
2020-11-11 09:46:47.911;Dn;7.642;-464.9
2020-11-11 09:46:49.969;Dn;7.676;-450.7
2020-11-11 09:46:51.928;Dn;7.708;-494.3
2020-11-11 09:46:54.121;Dn;7.741;-438.3
2020-11-11 09:46:56.226;Dn;7.773;-537
2020-11-11 09:46:58.211;Dn;7.806;-544.3
2020-11-11 09:47:00.210;Dn;7.839;-557.2
2020-11-11 09:47:02.648;Dn;7.881;-543.3
