DateTime;UpDn;Depth;REMax
2020-11-13 08:57:49.630;Dn;0.011;202.2
2020-11-13 08:57:49.630;Dn;0.011;202.2
2020-11-13 08:57:50.692;Dn;0.027;208.7
2020-11-13 08:57:51.713;Dn;0.040;190
2020-11-13 08:57:52.755;Dn;0.056;98.7
2020-11-13 08:57:55.893;Dn;0.077;56.6
2020-11-13 08:57:56.917;Dn;0.085;-0.9
2020-11-13 08:57:57.960;Dn;0.096;-15.3
2020-11-13 08:57:58.999;Dn;0.109;-2.6
2020-11-13 08:58:00.039;Dn;0.120;29
2020-11-13 08:58:01.093;Dn;0.141;53.8
2020-11-13 08:58:02.123;Dn;0.157;43.6
2020-11-13 08:58:03.164;Dn;0.173;60.8
2020-11-13 08:58:04.208;Dn;0.189;64.9
2020-11-13 08:58:06.299;Dn;0.224;120.3
2020-11-13 08:58:07.332;Dn;0.237;133.8
2020-11-13 08:58:09.414;Dn;0.259;139.9
2020-11-13 08:58:10.456;Dn;0.269;152.1
2020-11-13 08:58:11.497;Dn;0.283;157.3
2020-11-13 08:58:12.538;Dn;0.293;164.9
2020-11-13 08:58:13.579;Dn;0.307;158.1
2020-11-13 08:58:14.621;Dn;0.320;167.3
2020-11-13 08:58:15.674;Dn;0.331;172.7
2020-11-13 08:58:16.713;Dn;0.347;182.5
2020-11-13 08:58:17.744;Dn;0.357;192
2020-11-13 08:58:18.786;Dn;0.368;207.5
2020-11-13 08:58:19.827;Dn;0.381;215.4
2020-11-13 08:58:20.889;Dn;0.392;235.3
2020-11-13 08:58:21.910;Dn;0.405;231.4
2020-11-13 08:58:22.951;Dn;0.416;222
2020-11-13 08:58:27.116;Dn;0.461;206.4
2020-11-13 08:58:28.158;Dn;0.472;193.9
2020-11-13 08:58:30.241;Dn;0.491;200.5
2020-11-13 08:58:31.292;Dn;0.507;207.5
2020-11-13 08:58:32.323;Dn;0.520;208.4
2020-11-13 08:58:34.406;Dn;0.544;214.2
2020-11-13 08:58:35.447;Dn;0.557;218
2020-11-13 08:58:36.499;Dn;0.589;218.2
2020-11-13 08:58:37.530;Dn;0.613;208.2
2020-11-13 08:58:38.571;Dn;0.637;192.2
2020-11-13 08:58:39.612;Dn;0.661;186.5
2020-11-13 08:58:40.654;Dn;0.686;195.6
2020-11-13 08:58:41.699;Dn;0.718;186.6
