DateTime;UpDn;Depth;REMax
2020-11-13 11:08:46.140;Dn;0.003;442.3
2020-11-13 11:08:46.140;Dn;0.003;442.3
2020-11-13 11:08:47.161;Dn;0.043;417.4
2020-11-13 11:08:48.202;Dn;0.080;415.5
2020-11-13 11:08:49.243;Dn;0.115;410.1
2020-11-13 11:08:50.285;Dn;0.144;401.2
2020-11-13 11:08:51.347;Dn;0.179;399.8
2020-11-13 11:08:52.389;Dn;0.208;400.3
2020-11-13 11:08:53.410;Dn;0.237;397.8
2020-11-13 11:08:54.454;Dn;0.264;395.5
2020-11-13 11:08:55.493;Dn;0.291;389.3
2020-11-13 11:08:56.546;Dn;0.320;386.6
2020-11-13 11:08:57.585;Dn;0.341;385.2
2020-11-13 11:08:58.618;Dn;0.363;385.7
2020-11-13 11:08:59.659;Dn;0.387;383.8
2020-11-13 11:09:00.701;Dn;0.411;381.7
2020-11-13 11:09:01.746;Dn;0.440;379.4
2020-11-13 11:09:02.784;Dn;0.461;376.8
2020-11-13 11:09:03.826;Dn;0.483;375.8
2020-11-13 11:09:04.868;Dn;0.504;373
2020-11-13 11:09:05.910;Dn;0.525;371.4
2020-11-13 11:09:06.951;Dn;0.552;373.5
2020-11-13 11:09:07.993;Dn;0.571;371.3
2020-11-13 11:09:09.035;Dn;0.592;370.3
2020-11-13 11:09:10.076;Dn;0.611;363.7
2020-11-13 11:09:11.141;Dn;0.629;363
2020-11-13 11:09:12.177;Dn;0.653;361
2020-11-13 11:09:54.860;Dn;0.680;360.5
2020-11-13 11:09:55.902;Dn;0.692;275.1
2020-11-13 11:09:56.944;Dn;0.751;322.8
2020-11-13 11:09:57.985;Dn;0.775;309.6
2020-11-13 11:09:59.026;Dn;0.791;305.1
2020-11-13 11:10:00.067;Dn;0.810;304.1
2020-11-13 11:10:01.109;Dn;0.831;301.2
2020-11-13 11:10:02.152;Dn;0.855;303.1
2020-11-13 11:10:03.192;Dn;0.874;292.5
2020-11-13 11:10:04.233;Dn;0.890;289.7
2020-11-13 11:10:05.275;Dn;0.906;288.2
2020-11-13 11:10:06.336;Dn;0.922;286.8
2020-11-13 11:10:07.358;Dn;0.940;285.4
2020-11-13 11:10:08.398;Dn;0.956;291.3
2020-11-13 11:10:09.440;Dn;0.978;295.9
2020-11-13 11:10:10.481;Dn;1.002;284.9
2020-11-13 11:10:11.543;Dn;1.020;291.6
2020-11-13 11:10:12.581;Dn;1.047;292.6
2020-11-13 11:10:13.606;Dn;1.066;295.3
2020-11-13 11:10:14.647;Dn;1.087;290.2
2020-11-13 11:10:15.689;Dn;1.103;290
2020-11-13 11:10:16.746;Dn;1.122;299.2
2020-11-13 11:10:17.790;Dn;1.140;297.9
2020-11-13 11:10:18.813;Dn;1.159;308.8
2020-11-13 11:10:19.853;Dn;1.178;318.1
2020-11-13 11:10:20.896;Dn;1.196;320.1
2020-11-13 11:10:21.946;Dn;1.218;325.2
2020-11-13 11:10:22.980;Dn;1.236;325
2020-11-13 11:10:24.019;Dn;1.258;328.3
2020-11-13 11:10:25.060;Dn;1.276;339.2
2020-11-13 11:10:26.100;Dn;1.295;342.1
2020-11-13 11:10:27.145;Dn;1.319;348.2
2020-11-13 11:10:28.183;Dn;1.340;354.6
2020-11-13 11:10:29.224;Dn;1.359;359.4
2020-11-13 11:10:30.264;Dn;1.378;359.3
2020-11-13 11:10:31.306;Dn;1.396;359.8
2020-11-13 11:10:32.345;Dn;1.420;357.3
2020-11-13 11:10:33.387;Dn;1.447;365.9
2020-11-13 11:10:34.428;Dn;1.471;363
2020-11-13 11:10:35.470;Dn;1.495;362.9
2020-11-13 11:10:36.510;Dn;1.516;361.6
2020-11-13 11:10:37.552;Dn;1.540;345.1
2020-11-13 11:10:38.592;Dn;1.559;317.1
2020-11-13 11:10:39.633;Dn;1.583;321.8
2020-11-13 11:10:40.674;Dn;1.602;303.6
2020-11-13 11:10:41.736;Dn;1.618;306.7
2020-11-13 11:10:43.797;Dn;1.644;287.8
2020-11-13 11:10:44.839;Dn;1.682;319.1
2020-11-13 11:10:45.880;Dn;1.711;323.7
2020-11-13 11:10:46.941;Dn;1.735;295.9
2020-11-13 11:10:47.962;Dn;1.762;281
2020-11-13 11:10:49.002;Dn;1.778;276.5
2020-11-13 11:10:50.044;Dn;1.796;264.6
2020-11-13 11:10:51.085;Dn;1.812;258.4
2020-11-13 11:10:52.145;Dn;1.826;240.2
2020-11-13 11:10:53.186;Dn;1.839;243.4
2020-11-13 11:10:54.208;Dn;1.850;230.1
2020-11-13 11:10:55.249;Dn;1.860;228.4
2020-11-13 11:10:56.290;Dn;1.871;221.1
2020-11-13 11:10:57.347;Dn;1.882;220.5
2020-11-13 11:10:58.371;Dn;1.893;214.3
2020-11-13 11:10:59.413;Dn;1.903;219.6
2020-11-13 11:11:48.353;Dn;1.966;235
2020-11-13 11:11:49.394;Dn;1.982;244.6
2020-11-13 11:11:50.436;Dn;2.009;269.3
2020-11-13 11:11:51.477;Dn;2.038;264.8
2020-11-13 11:11:52.539;Dn;2.070;258.7
2020-11-13 11:11:54.601;Dn;2.123;294.8
2020-11-13 11:11:55.642;Dn;2.129;287.6
2020-11-13 11:11:56.684;Dn;2.145;273.7
2020-11-13 11:11:57.745;Dn;2.163;272
2020-11-13 11:11:58.793;Dn;2.209;274.4
2020-11-13 11:11:59.808;Dn;2.249;294.1
2020-11-13 11:12:00.850;Dn;2.291;283.6
2020-11-13 11:12:01.891;Dn;2.331;289.9
2020-11-13 11:12:02.945;Dn;2.366;294.3
2020-11-13 11:12:03.985;Dn;2.390;286.2
2020-11-13 11:12:05.015;Dn;2.411;256.6
2020-11-13 11:12:06.056;Dn;2.435;246.9
2020-11-13 11:12:07.096;Dn;2.459;239.9
2020-11-13 11:12:08.145;Dn;2.489;240.4
2020-11-13 11:12:09.180;Dn;2.521;233.2
2020-11-13 11:12:10.220;Dn;2.553;214.3
2020-11-13 11:12:11.262;Dn;2.585;223
2020-11-13 11:12:12.303;Dn;2.614;226.3
2020-11-13 11:12:13.344;Dn;2.643;218.7
2020-11-13 11:12:14.386;Dn;2.678;204.6
2020-11-13 11:12:15.427;Dn;2.707;182.8
2020-11-13 11:12:16.468;Dn;2.734;263.7
2020-11-13 11:12:17.509;Dn;2.771;277.9
2020-11-13 11:12:18.551;Dn;2.806;273.5
2020-11-13 11:12:19.592;Dn;2.841;251.7
2020-11-13 11:12:20.633;Dn;2.870;234.7
2020-11-13 11:12:21.674;Dn;2.902;202.9
2020-11-13 11:12:22.736;Dn;2.939;123.8
2020-11-13 11:12:23.757;Dn;2.974;163.9
2020-11-13 11:12:24.798;Dn;3.009;115.7
2020-11-13 11:12:25.839;Dn;3.038;109.9
2020-11-13 11:12:26.878;Dn;3.073;75.5
2020-11-13 11:13:00.202;Dn;3.146;223.6
2020-11-13 11:13:01.243;Dn;3.154;219.6
2020-11-13 11:13:02.285;Dn;3.165;214
2020-11-13 11:13:03.345;Dn;3.186;206.8
2020-11-13 11:13:04.385;Dn;3.213;193.9
2020-11-13 11:13:05.409;Dn;3.237;186.6
2020-11-13 11:13:06.449;Dn;3.261;181.9
2020-11-13 11:13:07.491;Dn;3.282;178.8
2020-11-13 11:13:08.545;Dn;3.357;173.7
2020-11-13 11:13:09.574;Dn;3.360;171.2
2020-11-13 11:13:10.615;Dn;3.370;151.9
2020-11-13 11:13:11.656;Dn;3.394;123.5
2020-11-13 11:13:12.698;Dn;3.424;121.5
2020-11-13 11:13:13.744;Dn;3.458;126.9
2020-11-13 11:13:14.797;Dn;3.488;128
2020-11-13 11:13:15.822;Dn;3.514;138.3
2020-11-13 11:13:16.864;Dn;3.541;147.8
2020-11-13 11:13:17.905;Dn;3.578;141.5
2020-11-13 11:13:18.944;Dn;3.610;139.3
2020-11-13 11:13:19.994;Dn;3.637;148
2020-11-13 11:13:21.029;Dn;3.666;154.8
2020-11-13 11:13:22.070;Dn;3.696;155.5
2020-11-13 11:13:23.111;Dn;3.725;153.2
2020-11-13 11:13:24.155;Dn;3.757;153.5
2020-11-13 11:13:25.193;Dn;3.784;148.2
2020-11-13 11:13:26.235;Dn;3.808;146.2
2020-11-13 11:13:27.276;Dn;3.829;143.6
2020-11-13 11:13:28.338;Dn;3.853;157.6
2020-11-13 11:13:29.375;Dn;3.880;184.7
2020-11-13 11:13:30.399;Dn;3.904;212.9
2020-11-13 11:13:31.441;Dn;3.922;229.6
2020-11-13 11:13:32.482;Dn;3.944;253.8
2020-11-13 11:13:33.544;Dn;3.970;268.3
2020-11-13 11:13:34.597;Dn;3.992;276.3
2020-11-13 11:13:35.607;Dn;4.010;300.4
2020-11-13 11:13:36.647;Dn;4.026;302.7
2020-11-13 11:13:37.689;Dn;4.045;315.4
