DateTime;UpDn;Depth;RE1Max
2020-12-02 09:46:12.577;Dn;0.005;428.6
2020-12-02 09:46:12.577;Dn;0.005;428.6
2020-12-02 09:46:14.211;Dn;0.088;284.8
2020-12-02 09:46:15.830;Dn;0.198;273.1
2020-12-02 09:46:17.456;Dn;0.232;282.3
2020-12-02 09:46:19.083;Dn;0.274;275.5
2020-12-02 09:46:20.707;Dn;0.304;276.1
2020-12-02 09:46:22.332;Dn;0.305;278.7
2020-12-02 09:46:23.957;Dn;0.349;270.8
2020-12-02 09:46:25.583;Dn;0.450;258.3
2020-12-02 09:46:27.209;Dn;0.552;248.1
2020-12-02 09:46:28.835;Dn;0.644;248.5
2020-12-02 09:46:30.461;Dn;0.720;245.7
2020-12-02 09:47:24.103;Dn;0.724;285.8
2020-12-02 09:47:25.735;Dn;0.765;289.7
2020-12-02 09:47:27.356;Dn;0.824;282
2020-12-02 09:47:28.980;Dn;0.875;277.8
2020-12-02 09:47:30.611;Dn;0.908;279.7
2020-12-02 09:47:32.235;Dn;0.933;280.9
2020-12-02 09:47:33.856;Dn;1.017;277.9
2020-12-02 09:47:35.482;Dn;1.070;282.3
2020-12-02 09:47:37.108;Dn;1.078;285
2020-12-02 09:47:38.734;Dn;1.128;282.4
2020-12-02 09:47:40.359;Dn;1.161;310.5
2020-12-02 09:47:41.984;Dn;1.166;307.1
2020-12-02 09:47:45.234;Dn;1.166;305.8
2020-12-02 09:47:46.860;Dn;1.170;306
2020-12-02 09:47:48.487;Dn;1.204;328.8
2020-12-02 09:47:50.113;Dn;1.296;321.6
2020-12-02 09:47:51.754;Dn;1.388;350.3
2020-12-02 09:47:53.362;Dn;1.470;346
2020-12-02 09:47:54.987;Dn;1.554;347.1
2020-12-02 09:47:56.613;Dn;1.629;346.7
2020-12-02 09:47:58.240;Dn;1.703;349.1
2020-12-02 09:47:59.866;Dn;1.787;359.3
2020-12-02 09:48:01.492;Dn;1.863;356.4
2020-12-02 09:48:03.116;Dn;1.935;344.5
2020-12-02 09:49:00.010;Dn;1.940;371
2020-12-02 09:49:01.642;Dn;1.952;366.8
2020-12-02 09:49:03.260;Dn;1.952;317.2
2020-12-02 09:49:04.887;Dn;1.960;305.1
2020-12-02 09:49:06.512;Dn;1.978;316
2020-12-02 09:49:08.139;Dn;2.019;319.2
2020-12-02 09:49:09.764;Dn;2.020;297.7
2020-12-02 09:49:11.389;Dn;2.020;283.6
2020-12-02 09:49:13.014;Dn;2.027;311.5
2020-12-02 09:49:14.639;Dn;2.044;313
2020-12-02 09:49:16.265;Dn;2.049;307.5
2020-12-02 09:49:17.891;Dn;2.061;312.4
2020-12-02 09:49:19.518;Dn;2.127;355.6
2020-12-02 09:49:21.146;Dn;2.259;365.2
2020-12-02 09:49:22.775;Dn;2.474;325.5
2020-12-02 09:49:24.393;Dn;2.586;198.3
2020-12-02 09:49:26.018;Dn;2.688;215
2020-12-02 09:49:27.644;Dn;2.789;299.4
2020-12-02 09:49:29.271;Dn;2.907;265.1
2020-12-02 09:49:30.898;Dn;2.999;273.8
2020-12-02 09:49:32.529;Dn;3.101;235.6
2020-12-02 09:50:19.671;Dn;3.152;320.1
2020-12-02 09:50:21.303;Dn;3.181;328.7
2020-12-02 09:50:22.911;Dn;3.276;299.6
2020-12-02 09:50:24.538;Dn;3.394;235.3
2020-12-02 09:50:26.187;Dn;3.478;216.5
2020-12-02 09:50:27.798;Dn;3.613;231.5
2020-12-02 09:50:29.416;Dn;3.706;245.4
2020-12-02 09:50:31.041;Dn;3.900;292.3
2020-12-02 09:50:32.688;Dn;3.992;296.1
2020-12-02 09:50:34.290;Dn;4.076;311.5
2020-12-02 09:50:35.917;Dn;4.168;331.3
2020-12-02 09:50:37.543;Dn;4.260;344.9
2020-12-02 09:51:23.058;Dn;4.311;430.4
2020-12-02 09:51:24.684;Dn;4.339;429.8
2020-12-02 09:51:26.328;Dn;4.405;399
2020-12-02 09:51:27.935;Dn;4.471;385.3
2020-12-02 09:51:29.561;Dn;4.546;356.1
2020-12-02 09:51:31.201;Dn;4.639;324
2020-12-02 09:51:32.831;Dn;4.731;304.6
2020-12-02 09:51:34.437;Dn;4.815;342.3
2020-12-02 09:51:36.064;Dn;4.902;339.4
2020-12-02 09:51:37.690;Dn;4.985;301.6
2020-12-02 09:51:39.314;Dn;5.076;267.3
2020-12-02 09:51:40.939;Dn;5.168;251.6
2020-12-02 09:51:42.564;Dn;5.226;264.4
2020-12-02 09:51:44.190;Dn;5.268;253.5
2020-12-02 09:51:45.816;Dn;5.329;208.1
2020-12-02 09:51:47.453;Dn;5.389;144.8
2020-12-02 09:51:49.068;Dn;5.439;127.4
2020-12-02 09:51:50.698;Dn;5.531;122.7
2020-12-02 09:52:52.413;Dn;5.581;176.1
2020-12-02 09:52:54.037;Dn;5.597;98.9
2020-12-02 09:52:55.660;Dn;5.631;-15.3
2020-12-02 09:52:57.284;Dn;5.697;-119.7
2020-12-02 09:52:58.908;Dn;5.731;-135.1
2020-12-02 09:53:00.554;Dn;5.782;-209.4
2020-12-02 09:53:02.157;Dn;5.824;-235.2
2020-12-02 09:53:03.779;Dn;5.873;-177.7
2020-12-02 09:53:05.401;Dn;5.940;-163.8
2020-12-02 09:53:07.024;Dn;6.018;-181.2
2020-12-02 09:53:08.646;Dn;6.060;-230.6
2020-12-02 09:53:10.276;Dn;6.102;-244
2020-12-02 09:53:11.910;Dn;6.145;-236.3
2020-12-02 09:53:13.516;Dn;6.179;-261.2
2020-12-02 09:53:15.140;Dn;6.221;-225.2
2020-12-02 09:53:16.765;Dn;6.264;-217
2020-12-02 09:53:18.389;Dn;6.305;-233.7
2020-12-02 09:53:20.012;Dn;6.347;-246.9
2020-12-02 09:53:21.635;Dn;6.389;-289.2
2020-12-02 09:53:23.257;Dn;6.424;-337
2020-12-02 09:53:24.880;Dn;6.474;-365.2
2020-12-02 09:53:26.502;Dn;6.524;-384.6
2020-12-02 09:53:28.124;Dn;6.558;-344.7
2020-12-02 09:53:29.746;Dn;6.607;-299.2
2020-12-02 09:53:31.371;Dn;6.650;-301
2020-12-02 09:53:32.995;Dn;6.657;-298.3
2020-12-02 09:53:37.867;Dn;6.657;-288.8
2020-12-02 09:53:39.490;Dn;6.667;-315.4
2020-12-02 09:53:41.112;Dn;6.726;-341.8
2020-12-02 09:53:42.735;Dn;6.783;-328.7
2020-12-02 09:54:29.816;Dn;6.813;-233.6
2020-12-02 09:54:31.427;Dn;6.818;-233.4
2020-12-02 09:54:33.050;Dn;6.822;-258.9
2020-12-02 09:54:34.675;Dn;6.879;-326.1
2020-12-02 09:54:36.300;Dn;6.946;-332.3
2020-12-02 09:54:37.946;Dn;7.029;-325.4
2020-12-02 09:54:39.544;Dn;7.098;-284.5
2020-12-02 09:54:41.217;Dn;7.174;-329.3
2020-12-02 09:54:42.811;Dn;7.240;-343.9
2020-12-02 09:54:44.413;Dn;7.308;-359.2
2020-12-02 09:54:46.038;Dn;7.369;-309
2020-12-02 09:54:47.669;Dn;7.429;-196
2020-12-02 09:54:49.287;Dn;7.479;-179.9
2020-12-02 09:54:50.912;Dn;7.549;-238.5
2020-12-02 09:54:52.537;Dn;7.600;-252.6
2020-12-02 09:54:54.158;Dn;7.641;-270.2
2020-12-02 09:54:55.780;Dn;7.699;-216.1
2020-12-02 09:54:57.404;Dn;7.749;-257.3
2020-12-02 09:54:59.025;Dn;7.799;-280
2020-12-02 09:55:00.648;Dn;7.867;-297.8
2020-12-02 09:55:02.280;Dn;7.926;-244.6
2020-12-02 09:55:03.896;Dn;7.969;-294.5
2020-12-02 09:55:55.837;Dn;8.003;-297.7
2020-12-02 09:55:57.460;Dn;8.017;-401.6
2020-12-02 09:55:59.084;Dn;8.067;-377
2020-12-02 09:56:00.709;Dn;8.125;-368.7
2020-12-02 09:56:02.357;Dn;8.192;-330.9
2020-12-02 09:56:03.957;Dn;8.225;-370.7
2020-12-02 09:56:05.581;Dn;8.250;-356.4
2020-12-02 09:56:07.203;Dn;8.267;-343.1
2020-12-02 09:56:08.826;Dn;8.292;-341.6
2020-12-02 09:56:10.448;Dn;8.316;-344.6
2020-12-02 09:56:12.070;Dn;8.333;-347.7
2020-12-02 09:56:13.692;Dn;8.358;-383
2020-12-02 09:56:15.315;Dn;8.383;-387.8
2020-12-02 09:56:16.939;Dn;8.416;-380.6
2020-12-02 09:56:18.563;Dn;8.466;-327.6
2020-12-02 09:56:20.187;Dn;8.508;-267.2
2020-12-02 09:56:21.828;Dn;8.559;-281.8
2020-12-02 09:56:23.435;Dn;8.601;-315.6
2020-12-02 09:56:25.059;Dn;8.643;-335.9
2020-12-02 09:56:26.689;Dn;8.684;-377.8
2020-12-02 09:56:28.303;Dn;8.717;-419.5
2020-12-02 09:56:29.925;Dn;8.767;-424.7
2020-12-02 09:56:31.553;Dn;8.817;-407.1
2020-12-02 09:56:33.170;Dn;8.850;-403.4
2020-12-02 09:56:34.793;Dn;8.882;-394.5
2020-12-02 09:56:36.417;Dn;8.925;-401.2
2020-12-02 09:56:38.041;Dn;8.966;-309.5
2020-12-02 09:56:39.665;Dn;9.007;-364.6
2020-12-02 09:56:41.298;Dn;9.057;-359.2
2020-12-02 09:56:42.914;Dn;9.100;-359
2020-12-02 09:56:44.536;Dn;9.141;-382.1
2020-12-02 09:56:46.158;Dn;9.182;-389.4
2020-12-02 09:56:47.780;Dn;9.224;-400.6
2020-12-02 09:59:54.444;Dn;9.235;-389.1
2020-12-02 09:59:56.067;Dn;9.236;-427.4
2020-12-02 09:59:57.689;Dn;9.244;-459.1
2020-12-02 09:59:59.311;Dn;9.245;-485.6
2020-12-02 10:00:00.934;Dn;9.296;-449.1
2020-12-02 10:00:02.558;Dn;9.354;-439.8
2020-12-02 10:00:04.210;Dn;9.413;-402.2
2020-12-02 10:00:05.807;Dn;9.463;-421.8
2020-12-02 10:00:07.431;Dn;9.514;-418.4
2020-12-02 10:00:09.071;Dn;9.582;-394.5
2020-12-02 10:00:10.677;Dn;9.642;-405.6
2020-12-02 10:00:12.309;Dn;9.711;-404.1
2020-12-02 10:00:13.922;Dn;9.771;-409.4
2020-12-02 10:00:15.544;Dn;9.832;-415.2
2020-12-02 10:00:17.166;Dn;9.901;-416.7
2020-12-02 10:00:18.789;Dn;9.976;-375.8
2020-12-02 10:00:20.414;Dn;10.059;-386.5
2020-12-02 10:00:22.038;Dn;10.127;-361.4
2020-12-02 10:00:23.662;Dn;10.176;-354.6
2020-12-02 10:00:25.286;Dn;10.237;-367
2020-12-02 10:00:26.911;Dn;10.286;-374
2020-12-02 10:00:28.556;Dn;10.352;-351.3
2020-12-02 10:00:30.155;Dn;10.402;-280.5
2020-12-02 10:00:33.399;Dn;10.436;-353.2
2020-12-02 10:01:36.719;Dn;10.436;-409.1
2020-12-02 10:01:38.326;Dn;10.444;-460.2
2020-12-02 10:01:39.953;Dn;10.469;-405.9
2020-12-02 10:01:41.575;Dn;10.503;-399.3
2020-12-02 10:01:43.198;Dn;10.536;-393.3
2020-12-02 10:01:44.819;Dn;10.577;-392
2020-12-02 10:01:46.441;Dn;10.619;-398
2020-12-02 10:01:48.064;Dn;10.662;-401
2020-12-02 10:01:49.687;Dn;10.703;-388.9
2020-12-02 10:01:51.309;Dn;10.745;-389.4
2020-12-02 10:01:52.940;Dn;10.795;-393.5
2020-12-02 10:01:54.558;Dn;10.836;-390.8
2020-12-02 10:01:56.181;Dn;10.887;-390.2
2020-12-02 10:01:57.813;Dn;10.938;-410.8
2020-12-02 10:01:59.430;Dn;10.981;-411.4
2020-12-02 10:02:01.059;Dn;11.040;-388
2020-12-02 10:02:02.676;Dn;11.090;-404.2
2020-12-02 10:02:04.298;Dn;11.140;-393.3
2020-12-02 10:02:05.920;Dn;11.181;-398.9
2020-12-02 10:02:07.543;Dn;11.231;-419.6
2020-12-02 10:02:09.166;Dn;11.281;-384
2020-12-02 10:02:10.816;Dn;11.330;-348.6
2020-12-02 10:02:12.412;Dn;11.372;-339.6
2020-12-02 10:02:14.035;Dn;11.423;-353.4
2020-12-02 10:02:15.659;Dn;11.473;-388.9
2020-12-02 10:02:17.290;Dn;11.531;-311.8
2020-12-02 10:02:18.907;Dn;11.573;-304.2
2020-12-02 10:02:20.530;Dn;11.614;-361.2
2020-12-02 10:02:22.152;Dn;11.673;-387.1
2020-12-02 10:03:09.223;Dn;11.681;-397.3
2020-12-02 10:03:10.847;Dn;11.693;-461.4
2020-12-02 10:03:12.471;Dn;11.710;-413.7
2020-12-02 10:03:14.096;Dn;11.743;-401.3
2020-12-02 10:03:15.719;Dn;11.785;-406.2
2020-12-02 10:03:17.358;Dn;11.826;-382.5
2020-12-02 10:03:18.963;Dn;11.867;-347
2020-12-02 10:03:20.585;Dn;11.908;-429.5
2020-12-02 10:03:22.224;Dn;11.958;-386.9
2020-12-02 10:03:23.830;Dn;11.999;-411.3
2020-12-02 10:03:25.461;Dn;12.040;-428.2
2020-12-02 10:03:27.083;Dn;12.083;-391.1
2020-12-02 10:03:28.701;Dn;12.124;-383.9
2020-12-02 10:03:30.347;Dn;12.194;-374.7
2020-12-02 10:03:31.950;Dn;12.252;-405.6
2020-12-02 10:03:33.574;Dn;12.320;-380.4
2020-12-02 10:03:35.216;Dn;12.387;-402.8
2020-12-02 10:03:36.843;Dn;12.455;-378.2
2020-12-02 10:03:38.441;Dn;12.515;-403.1
2020-12-02 10:03:40.095;Dn;12.582;-400
2020-12-02 10:03:41.685;Dn;12.640;-383.1
2020-12-02 10:03:43.307;Dn;12.709;-395.9
2020-12-02 10:03:44.931;Dn;12.784;-367.7
2020-12-02 10:03:46.556;Dn;12.851;-369.9
2020-12-02 10:04:33.628;Dn;12.886;-387.1
2020-12-02 10:04:35.251;Dn;12.896;-433.1
2020-12-02 10:04:36.873;Dn;12.904;-460.9
2020-12-02 10:04:38.495;Dn;12.937;-429.3
2020-12-02 10:04:40.118;Dn;12.997;-428.9
2020-12-02 10:04:41.743;Dn;13.063;-421.9
2020-12-02 10:04:43.392;Dn;13.131;-395.6
2020-12-02 10:04:44.991;Dn;13.198;-418.2
2020-12-02 10:04:46.615;Dn;13.265;-378.6
2020-12-02 10:04:48.257;Dn;13.326;-383.6
2020-12-02 10:04:49.862;Dn;13.384;-356.7
2020-12-02 10:04:51.518;Dn;13.450;-378.7
2020-12-02 10:04:53.108;Dn;13.509;-382
2020-12-02 10:04:54.740;Dn;13.575;-383.2
2020-12-02 10:04:56.351;Dn;13.635;-378.9
2020-12-02 10:04:57.972;Dn;13.694;-384.9
