DateTime;UpDn;Depth;SPMax
2020-12-02 09:46:10.994;Dn;0.000;439.5
2020-12-02 09:46:11.807;Dn;0.000;439.67
2020-12-02 09:46:12.438;Dn;0.005;437.5
2020-12-02 09:46:12.624;Dn;0.011;435.23
2020-12-02 09:46:12.624;Dn;0.014;434.27
2020-12-02 09:46:12.846;Dn;0.022;431.13
2020-12-02 09:46:13.018;Dn;0.030;428.1
2020-12-02 09:46:13.183;Dn;0.039;425.03
2020-12-02 09:46:13.355;Dn;0.047;421.87
2020-12-02 09:46:13.431;Dn;0.049;421.3
2020-12-02 09:46:13.529;Dn;0.056;418.7
2020-12-02 09:46:13.741;Dn;0.064;415.6
2020-12-02 09:46:13.858;Dn;0.072;412.53
2020-12-02 09:46:14.016;Dn;0.080;409.47
2020-12-02 09:46:14.176;Dn;0.088;406.37
2020-12-02 09:46:14.211;Dn;0.090;405.77
2020-12-02 09:46:14.336;Dn;0.097;403.3
2020-12-02 09:46:14.460;Dn;0.105;400.2
2020-12-02 09:46:14.583;Dn;0.114;396.97
2020-12-02 09:46:14.693;Dn;0.122;393.93
2020-12-02 09:46:14.830;Dn;0.130;390.8
2020-12-02 09:46:14.933;Dn;0.138;387.67
2020-12-02 09:46:15.051;Dn;0.145;385.23
2020-12-02 09:46:15.051;Dn;0.147;384.47
2020-12-02 09:46:15.169;Dn;0.155;381.3
2020-12-02 09:46:15.287;Dn;0.164;378.17
2020-12-02 09:46:15.411;Dn;0.172;374.97
2020-12-02 09:46:15.528;Dn;0.181;371.63
2020-12-02 09:46:15.652;Dn;0.190;368.37
2020-12-02 09:46:15.763;Dn;0.198;365.2
2020-12-02 09:46:15.863;Dn;0.203;363.3
2020-12-02 09:46:15.863;Dn;0.207;361.8
2020-12-02 09:46:15.993;Dn;0.216;358.7
2020-12-02 09:46:16.103;Dn;0.224;355.67
2020-12-02 09:46:16.685;Dn;0.232;352.53
2020-12-02 09:46:17.497;Dn;0.233;352.07
2020-12-02 09:46:18.130;Dn;0.240;349.4
2020-12-02 09:46:18.309;Dn;0.245;347.53
2020-12-02 09:46:18.310;Dn;0.249;346.33
2020-12-02 09:46:18.592;Dn;0.257;343.2
2020-12-02 09:46:18.797;Dn;0.265;340
2020-12-02 09:46:18.982;Dn;0.274;336.73
2020-12-02 09:46:19.134;Dn;0.280;334.43
2020-12-02 09:46:19.134;Dn;0.283;333.6
2020-12-02 09:46:19.279;Dn;0.291;330.57
2020-12-02 09:46:19.430;Dn;0.299;327.43
2020-12-02 09:46:19.936;Dn;0.304;325.47
2020-12-02 09:46:22.372;Dn;0.305;325.43
2020-12-02 09:46:23.080;Dn;0.307;324.37
2020-12-02 09:46:23.185;Dn;0.309;323.57
2020-12-02 09:46:23.307;Dn;0.316;321.1
2020-12-02 09:46:23.465;Dn;0.324;317.93
2020-12-02 09:46:23.624;Dn;0.333;314.7
2020-12-02 09:46:23.754;Dn;0.341;311.67
2020-12-02 09:46:23.884;Dn;0.349;308.57
2020-12-02 09:46:23.995;Dn;0.354;306.8
2020-12-02 09:46:23.995;Dn;0.358;305.43
2020-12-02 09:46:24.162;Dn;0.366;302.23
2020-12-02 09:46:24.306;Dn;0.375;299.07
2020-12-02 09:46:24.430;Dn;0.383;295.87
2020-12-02 09:46:24.567;Dn;0.392;292.63
2020-12-02 09:46:24.683;Dn;0.400;289.5
2020-12-02 09:46:24.803;Dn;0.406;287.47
2020-12-02 09:46:24.803;Dn;0.408;286.47
2020-12-02 09:46:24.947;Dn;0.417;283.23
2020-12-02 09:46:25.091;Dn;0.425;280.1
2020-12-02 09:46:25.228;Dn;0.434;276.9
2020-12-02 09:46:25.365;Dn;0.442;273.77
2020-12-02 09:46:25.496;Dn;0.450;270.67
2020-12-02 09:46:25.617;Dn;0.455;268.97
2020-12-02 09:46:25.617;Dn;0.459;267.57
2020-12-02 09:46:25.775;Dn;0.467;264.27
2020-12-02 09:46:25.919;Dn;0.476;261.03
2020-12-02 09:46:26.044;Dn;0.484;257.93
2020-12-02 09:46:26.190;Dn;0.493;254.77
2020-12-02 09:46:26.322;Dn;0.501;251.73
2020-12-02 09:46:26.429;Dn;0.505;250.1
2020-12-02 09:46:26.429;Dn;0.509;248.67
2020-12-02 09:46:26.585;Dn;0.517;245.53
2020-12-02 09:46:26.729;Dn;0.527;242.13
2020-12-02 09:46:26.872;Dn;0.535;238.97
2020-12-02 09:46:27.002;Dn;0.543;235.77
2020-12-02 09:46:27.138;Dn;0.552;232.63
2020-12-02 09:46:27.242;Dn;0.557;230.77
2020-12-02 09:46:27.242;Dn;0.560;229.5
2020-12-02 09:46:27.408;Dn;0.568;226.4
2020-12-02 09:46:27.544;Dn;0.577;223.37
2020-12-02 09:46:27.681;Dn;0.585;220.2
2020-12-02 09:46:27.811;Dn;0.594;217
2020-12-02 09:46:27.954;Dn;0.602;213.9
2020-12-02 09:46:28.064;Dn;0.605;212.73
2020-12-02 09:46:28.064;Dn;0.610;210.87
2020-12-02 09:46:28.245;Dn;0.618;207.77
2020-12-02 09:46:28.402;Dn;0.627;204.47
2020-12-02 09:46:28.551;Dn;0.636;201.23
2020-12-02 09:46:28.701;Dn;0.644;197.97
2020-12-02 09:46:28.886;Dn;0.651;195.37
2020-12-02 09:46:28.886;Dn;0.654;194.47
2020-12-02 09:46:29.011;Dn;0.662;191.43
2020-12-02 09:46:29.168;Dn;0.670;188.37
2020-12-02 09:46:29.299;Dn;0.678;185.3
2020-12-02 09:46:29.455;Dn;0.687;182.07
2020-12-02 09:46:29.592;Dn;0.695;178.83
2020-12-02 09:46:29.689;Dn;0.698;177.87
2020-12-02 09:46:29.761;Dn;0.704;175.63
2020-12-02 09:46:29.889;Dn;0.712;172.57
2020-12-02 09:46:30.039;Dn;0.720;169.5
2020-12-02 09:47:23.893;Dn;0.724;757.47
2020-12-02 09:47:24.144;Dn;0.726;622.8
2020-12-02 09:47:24.676;Dn;0.732;620.67
2020-12-02 09:47:24.888;Dn;0.740;617.6
2020-12-02 09:47:24.924;Dn;0.740;617.43
2020-12-02 09:47:25.297;Dn;0.748;614.57
2020-12-02 09:47:25.513;Dn;0.756;611.47
2020-12-02 09:47:25.701;Dn;0.765;608.37
2020-12-02 09:47:25.735;Dn;0.765;608.2
2020-12-02 09:47:25.940;Dn;0.773;605.3
2020-12-02 09:47:26.149;Dn;0.781;602.23
2020-12-02 09:47:26.346;Dn;0.789;599.17
2020-12-02 09:47:26.578;Dn;0.797;596.17
2020-12-02 09:47:26.578;Dn;0.799;595.37
2020-12-02 09:47:26.832;Dn;0.808;592.2
2020-12-02 09:47:27.116;Dn;0.816;589.1
2020-12-02 09:47:27.319;Dn;0.824;586
2020-12-02 09:47:27.396;Dn;0.826;585.4
2020-12-02 09:47:27.516;Dn;0.833;582.87
2020-12-02 09:47:27.732;Dn;0.841;579.77
2020-12-02 09:47:27.948;Dn;0.849;576.73
2020-12-02 09:47:28.202;Dn;0.857;573.9
2020-12-02 09:47:28.202;Dn;0.858;573.37
2020-12-02 09:47:28.555;Dn;0.866;570.23
2020-12-02 09:47:28.872;Dn;0.875;567
2020-12-02 09:47:29.026;Dn;0.879;565.6
2020-12-02 09:47:29.115;Dn;0.883;563.93
2020-12-02 09:47:29.357;Dn;0.891;560.9
2020-12-02 09:47:29.834;Dn;0.897;558.83
2020-12-02 09:47:30.455;Dn;0.899;557.87
2020-12-02 09:47:30.577;Dn;0.908;554.7
2020-12-02 09:47:30.633;Dn;0.910;553.9
2020-12-02 09:47:31.458;Dn;0.911;553.5
2020-12-02 09:47:31.915;Dn;0.916;551.53
2020-12-02 09:47:32.064;Dn;0.924;548.47
2020-12-02 09:47:32.201;Dn;0.933;545.43
2020-12-02 09:47:32.235;Dn;0.933;545.17
2020-12-02 09:47:32.437;Dn;0.941;542.3
2020-12-02 09:47:32.559;Dn;0.949;539.2
2020-12-02 09:47:32.675;Dn;0.958;535.9
2020-12-02 09:47:32.864;Dn;0.966;532.73
2020-12-02 09:47:33.103;Dn;0.970;531.37
