DateTime;UpDn;Depth;SPMax
2020-12-02 12:21:15.760;Dn;0.001;414.37
2020-12-02 12:21:16.575;Dn;0.001;414.6
2020-12-02 12:21:17.316;Dn;0.013;409.57
2020-12-02 12:21:17.391;Dn;0.018;407.87
2020-12-02 12:21:17.451;Dn;0.032;402.73
2020-12-02 12:21:17.586;Dn;0.049;396.27
2020-12-02 12:21:17.703;Dn;0.066;389.97
2020-12-02 12:21:17.827;Dn;0.083;383.33
2020-12-02 12:21:17.958;Dn;0.101;376.7
2020-12-02 12:21:18.082;Dn;0.118;370.2
2020-12-02 12:21:18.214;Dn;0.130;365.87
2020-12-02 12:21:18.214;Dn;0.136;363.53
2020-12-02 12:21:18.344;Dn;0.153;357.3
2020-12-02 12:21:18.488;Dn;0.171;350.57
2020-12-02 12:21:18.619;Dn;0.188;344.1
2020-12-02 12:21:18.743;Dn;0.205;337.57
2020-12-02 12:21:18.867;Dn;0.224;330.57
2020-12-02 12:21:19.025;Dn;0.240;324.73
2020-12-02 12:21:19.025;Dn;0.244;323
2020-12-02 12:21:19.136;Dn;0.261;316.7
2020-12-02 12:21:19.259;Dn;0.279;310.13
2020-12-02 12:21:19.376;Dn;0.295;303.83
2020-12-02 12:21:19.507;Dn;0.313;297.2
2020-12-02 12:21:19.631;Dn;0.330;290.77
2020-12-02 12:21:19.754;Dn;0.348;284.2
2020-12-02 12:21:19.823;Dn;0.352;282.43
2020-12-02 12:21:19.889;Dn;0.366;277.33
2020-12-02 12:21:20.003;Dn;0.383;271.1
2020-12-02 12:21:20.128;Dn;0.400;264.57
2020-12-02 12:21:20.259;Dn;0.417;258.2
2020-12-02 12:21:20.370;Dn;0.433;252.1
2020-12-02 12:21:20.493;Dn;0.451;245.5
2020-12-02 12:21:20.614;Dn;0.465;240.2
2020-12-02 12:21:20.661;Dn;0.468;239.23
2020-12-02 12:21:20.749;Dn;0.486;232.5
2020-12-02 12:21:20.872;Dn;0.503;225.83
