DateTime;UpDn;Depth;RE3Max
2021-03-09 12:00:59.433;Dn;0.001;304.6
2021-03-09 12:00:59.433;Dn;0.001;304.6
2021-03-09 12:01:04.298;Dn;0.001;275.7
2021-03-09 12:01:05.922;Dn;0.015;217.7
2021-03-09 12:01:07.578;Dn;0.073;186.4
2021-03-09 12:01:09.163;Dn;0.139;205.3
2021-03-09 12:01:10.824;Dn;0.223;217.8
2021-03-09 12:01:12.423;Dn;0.293;200.6
2021-03-09 12:01:14.055;Dn;0.375;88.6
2021-03-09 12:01:15.658;Dn;0.450;69.7
2021-03-09 12:01:17.273;Dn;0.526;77.1
2021-03-09 12:01:18.889;Dn;0.595;80.9
2021-03-09 12:02:04.297;Dn;0.644;183.1
2021-03-09 12:02:05.930;Dn;0.690;144.1
2021-03-09 12:02:07.546;Dn;0.749;155.8
2021-03-09 12:02:09.177;Dn;0.800;153.2
2021-03-09 12:02:10.797;Dn;0.867;176.7
2021-03-09 12:02:12.439;Dn;0.925;175
2021-03-09 12:02:14.058;Dn;0.982;171.3
2021-03-09 12:02:15.673;Dn;1.040;179.8
2021-03-09 12:02:17.310;Dn;1.100;166.4
2021-03-09 12:02:18.922;Dn;1.150;144.8
2021-03-09 12:02:20.553;Dn;1.199;158.7
2021-03-09 12:02:22.170;Dn;1.249;162
2021-03-09 12:02:23.803;Dn;1.306;132.4
2021-03-09 12:02:25.424;Dn;1.341;111.6
2021-03-09 12:02:27.089;Dn;1.415;97.9
2021-03-09 12:02:28.649;Dn;1.466;75.5
2021-03-09 12:02:30.282;Dn;1.523;61.1
2021-03-09 12:02:31.914;Dn;1.581;62.8
2021-03-09 12:02:33.543;Dn;1.630;26
2021-03-09 12:02:35.160;Dn;1.690;15.3
2021-03-09 12:02:36.824;Dn;1.756;25
2021-03-09 12:02:38.394;Dn;1.807;18.5
2021-03-09 12:02:40.008;Dn;1.857;6.3
2021-03-09 12:03:26.985;Dn;1.860;6.3
2021-03-09 12:03:28.618;Dn;1.906;10.2
2021-03-09 12:03:30.234;Dn;1.958;-26.7
2021-03-09 12:03:31.881;Dn;2.016;-50.9
2021-03-09 12:03:33.484;Dn;2.077;-55.1
2021-03-09 12:03:35.111;Dn;2.138;-13.4
2021-03-09 12:03:36.747;Dn;2.190;-101.4
2021-03-09 12:03:38.346;Dn;2.237;-80.8
2021-03-09 12:03:40.015;Dn;2.290;-89.6
2021-03-09 12:03:41.593;Dn;2.341;-30.6
2021-03-09 12:03:43.233;Dn;2.400;-56
2021-03-09 12:03:44.829;Dn;2.450;-50.3
2021-03-09 12:03:46.471;Dn;2.499;-62.2
2021-03-09 12:03:48.074;Dn;2.566;-57.4
2021-03-09 12:03:49.714;Dn;2.634;-114
2021-03-09 12:03:51.306;Dn;2.692;-76
2021-03-09 12:03:52.953;Dn;2.759;-59.9
2021-03-09 12:03:54.556;Dn;2.807;-28.3
2021-03-09 12:03:56.211;Dn;2.887;15.2
2021-03-09 12:03:57.815;Dn;2.946;44
2021-03-09 12:03:59.416;Dn;3.012;66.7
2021-03-09 12:04:01.049;Dn;3.062;81.5
2021-03-09 12:04:41.628;Dn;3.068;76.9
2021-03-09 12:04:43.272;Dn;3.097;76.5
2021-03-09 12:04:44.920;Dn;3.190;89.1
2021-03-09 12:04:46.506;Dn;3.257;91.2
2021-03-09 12:04:48.144;Dn;3.371;103
2021-03-09 12:04:49.770;Dn;3.472;87.9
2021-03-09 12:04:51.370;Dn;3.526;97.4
2021-03-09 12:04:53.002;Dn;3.635;144.8
2021-03-09 12:04:54.633;Dn;3.677;150.2
2021-03-09 12:04:56.264;Dn;3.711;173.6
2021-03-09 12:04:57.882;Dn;3.753;179
2021-03-09 12:04:59.500;Dn;3.781;158.1
2021-03-09 12:05:01.130;Dn;3.828;106.8
2021-03-09 12:05:02.759;Dn;3.871;65.7
2021-03-09 12:05:04.402;Dn;3.904;82.9
2021-03-09 12:05:06.014;Dn;3.940;41.1
2021-03-09 12:05:07.608;Dn;3.972;13.5
2021-03-09 12:05:09.273;Dn;4.006;-6.7
2021-03-09 12:05:10.858;Dn;4.032;-6.9
