DateTime;UpDn;Depth;RE1Max
2021-03-09 12:22:26.175;Dn;0.001;41.6
2021-03-09 12:22:26.175;Dn;0.001;41.6
2021-03-09 12:22:27.805;Dn;0.001;43.6
2021-03-09 12:22:29.424;Dn;0.010;26
2021-03-09 12:22:31.039;Dn;0.052;55.9
2021-03-09 12:22:32.672;Dn;0.103;25.1
2021-03-09 12:22:34.305;Dn;0.168;88.2
2021-03-09 12:22:35.933;Dn;0.234;108.7
2021-03-09 12:22:37.535;Dn;0.300;88.9
2021-03-09 12:22:39.172;Dn;0.375;144.6
2021-03-09 12:22:40.783;Dn;0.452;104.8
2021-03-09 12:22:42.438;Dn;0.530;90.6
2021-03-09 12:22:44.040;Dn;0.596;-1.5
2021-03-09 12:23:29.457;Dn;0.645;0.9
2021-03-09 12:23:31.120;Dn;0.709;0
2021-03-09 12:23:32.718;Dn;0.767;-2.3
2021-03-09 12:23:34.337;Dn;0.825;-57.7
2021-03-09 12:23:35.952;Dn;0.892;1.3
2021-03-09 12:23:37.598;Dn;0.958;-19
2021-03-09 12:23:39.199;Dn;1.022;-19.1
2021-03-09 12:23:40.842;Dn;1.079;-10.4
2021-03-09 12:23:42.448;Dn;1.145;-14.3
2021-03-09 12:23:44.074;Dn;1.211;-13.8
2021-03-09 12:23:45.697;Dn;1.277;9.7
2021-03-09 12:23:47.313;Dn;1.344;-8.3
2021-03-09 12:23:48.944;Dn;1.411;-36.2
2021-03-09 12:23:50.564;Dn;1.478;-45.2
2021-03-09 12:23:52.193;Dn;1.544;-27.1
2021-03-09 12:23:53.824;Dn;1.611;-53.9
2021-03-09 12:23:55.431;Dn;1.679;-49.6
2021-03-09 12:23:57.107;Dn;1.739;-50.3
2021-03-09 12:23:58.687;Dn;1.772;-48.3
2021-03-09 12:24:00.289;Dn;1.830;-69.6
2021-03-09 12:24:01.923;Dn;1.875;-40.1
2021-03-09 12:24:45.746;Dn;1.882;-39.9
2021-03-09 12:24:47.360;Dn;1.915;-105.7
2021-03-09 12:24:48.992;Dn;1.976;-121.1
2021-03-09 12:24:50.619;Dn;2.034;-141.8
2021-03-09 12:24:52.226;Dn;2.090;-105.8
2021-03-09 12:24:53.855;Dn;2.149;-104
2021-03-09 12:24:55.486;Dn;2.207;-117.3
2021-03-09 12:24:57.116;Dn;2.258;-148.4
2021-03-09 12:24:58.721;Dn;2.325;-149.2
2021-03-09 12:25:00.376;Dn;2.390;-161.7
2021-03-09 12:25:01.981;Dn;2.424;-170.6
2021-03-09 12:25:03.600;Dn;2.476;-204.4
2021-03-09 12:25:05.217;Dn;2.528;-94.2
2021-03-09 12:25:06.833;Dn;2.579;-34.6
2021-03-09 12:25:08.523;Dn;2.630;-55.4
2021-03-09 12:25:10.120;Dn;2.672;-49.8
2021-03-09 12:25:11.707;Dn;2.714;-10.4
2021-03-09 12:25:13.329;Dn;2.767;-44.4
2021-03-09 12:25:14.945;Dn;2.818;2.4
2021-03-09 12:25:16.582;Dn;2.871;25.1
2021-03-09 12:25:18.207;Dn;2.921;51.2
2021-03-09 12:25:19.840;Dn;2.973;81.4
2021-03-09 12:25:21.456;Dn;3.034;109.2
2021-03-09 12:25:23.088;Dn;3.086;123.5
2021-03-09 12:26:06.919;Dn;3.090;162.2
2021-03-09 12:26:08.528;Dn;3.127;-41.1
2021-03-09 12:26:10.145;Dn;3.201;-3.2
2021-03-09 12:26:11.811;Dn;3.295;61.9
2021-03-09 12:26:13.450;Dn;3.384;120.8
2021-03-09 12:26:15.035;Dn;3.476;160.4
2021-03-09 12:26:16.667;Dn;3.576;150.9
2021-03-09 12:26:18.305;Dn;3.635;158.4
2021-03-09 12:26:19.904;Dn;3.730;161.8
2021-03-09 12:26:21.521;Dn;3.785;203.2
2021-03-09 12:26:23.166;Dn;3.835;219
2021-03-09 12:26:24.799;Dn;3.879;128.5
2021-03-09 12:26:26.412;Dn;3.921;70.6
2021-03-09 12:26:28.030;Dn;3.964;56.8
2021-03-09 12:26:29.649;Dn;4.001;29.6
2021-03-09 12:26:31.264;Dn;4.042;-17.2
2021-03-09 12:26:32.902;Dn;4.084;-51.7
2021-03-09 12:26:34.513;Dn;4.135;-68.6
2021-03-09 12:26:36.133;Dn;4.196;-80.6
2021-03-09 12:26:37.775;Dn;4.249;-75.7
2021-03-09 12:26:39.390;Dn;4.292;-48.4
2021-03-09 12:27:24.832;Dn;4.293;54.7
2021-03-09 12:27:26.453;Dn;4.307;57.6
2021-03-09 12:27:28.139;Dn;4.340;1.2
2021-03-09 12:27:29.702;Dn;4.375;17.3
2021-03-09 12:27:31.327;Dn;4.425;-1.6
