DateTime;UpDn;Depth;TempMax
2021-03-09 10:39:19.919;Dn;0.000;0.63
2021-03-09 10:39:23.295;Dn;0.000;0.63
2021-03-09 10:39:24.912;Dn;0.001;0.63
2021-03-09 10:39:25.732;Dn;0.002;0.63
2021-03-09 10:39:26.063;Dn;0.008;0.63
2021-03-09 10:39:26.399;Dn;0.016;0.63
2021-03-09 10:39:26.562;Dn;0.019;0.63
2021-03-09 10:39:26.656;Dn;0.024;0.63
2021-03-09 10:39:26.949;Dn;0.033;0.63
2021-03-09 10:39:27.202;Dn;0.041;0.63
2021-03-09 10:39:28.017;Dn;0.043;0.63
2021-03-09 10:39:28.047;Dn;0.051;0.63
2021-03-09 10:39:28.180;Dn;0.067;0.63
2021-03-09 10:39:28.288;Dn;0.072;0.63
2021-03-09 10:39:28.679;Dn;0.080;0.63
2021-03-09 10:39:28.895;Dn;0.088;0.63
2021-03-09 10:39:28.994;Dn;0.090;0.63
2021-03-09 10:39:29.153;Dn;0.097;0.63
2021-03-09 10:39:29.427;Dn;0.105;0.63
2021-03-09 10:39:29.681;Dn;0.114;0.63
2021-03-09 10:39:29.805;Dn;0.116;0.63
2021-03-09 10:39:29.878;Dn;0.122;0.63
2021-03-09 10:39:30.160;Dn;0.130;0.63
2021-03-09 10:39:30.350;Dn;0.138;0.63
2021-03-09 10:39:30.609;Dn;0.145;0.63
2021-03-09 10:39:30.639;Dn;0.147;0.63
2021-03-09 10:39:30.847;Dn;0.155;0.63
2021-03-09 10:39:31.076;Dn;0.163;0.63
2021-03-09 10:39:31.310;Dn;0.171;0.63
2021-03-09 10:39:31.427;Dn;0.173;0.63
2021-03-09 10:39:31.543;Dn;0.180;0.63
2021-03-09 10:39:31.776;Dn;0.188;0.63
2021-03-09 10:39:31.967;Dn;0.196;0.63
2021-03-09 10:39:32.278;Dn;0.204;0.63
2021-03-09 10:39:32.412;Dn;0.213;0.63
2021-03-09 10:39:32.674;Dn;0.221;0.63
2021-03-09 10:39:32.864;Dn;0.229;0.63
2021-03-09 10:39:33.057;Dn;0.233;0.63
2021-03-09 10:39:33.092;Dn;0.238;0.63
2021-03-09 10:39:33.297;Dn;0.246;0.63
2021-03-09 10:39:33.540;Dn;0.254;0.63
2021-03-09 10:39:33.792;Dn;0.263;0.63
2021-03-09 10:39:33.839;Dn;0.264;0.63
2021-03-09 10:39:34.039;Dn;0.271;0.63
2021-03-09 10:39:34.255;Dn;0.280;0.63
2021-03-09 10:39:34.473;Dn;0.288;0.63
2021-03-09 10:39:34.689;Dn;0.294;0.63
2021-03-09 10:39:34.690;Dn;0.296;0.63
2021-03-09 10:39:34.897;Dn;0.304;0.63
2021-03-09 10:39:35.139;Dn;0.313;0.63
2021-03-09 10:39:35.407;Dn;0.322;0.63
2021-03-09 10:39:36.138;Dn;0.323;0.63
2021-03-09 10:39:36.187;Dn;0.332;0.63
2021-03-09 10:39:36.298;Dn;0.351;0.63
2021-03-09 10:39:36.405;Dn;0.357;0.63
2021-03-09 10:39:36.640;Dn;0.366;0.63
2021-03-09 10:39:36.880;Dn;0.374;0.63
2021-03-09 10:39:37.087;Dn;0.380;0.63
2021-03-09 10:39:37.148;Dn;0.382;0.63
2021-03-09 10:39:37.353;Dn;0.391;0.63
2021-03-09 10:39:37.587;Dn;0.399;0.63
2021-03-09 10:39:37.786;Dn;0.407;0.63
2021-03-09 10:39:37.936;Dn;0.412;0.63
2021-03-09 10:39:37.953;Dn;0.415;0.63
2021-03-09 10:39:38.175;Dn;0.424;0.63
2021-03-09 10:39:38.369;Dn;0.432;0.63
2021-03-09 10:39:38.652;Dn;0.440;0.63
2021-03-09 10:39:38.727;Dn;0.442;0.63
2021-03-09 10:39:38.881;Dn;0.448;0.63
2021-03-09 10:39:39.135;Dn;0.456;0.63
2021-03-09 10:39:39.383;Dn;0.464;0.63
2021-03-09 10:39:39.557;Dn;0.468;0.63
2021-03-09 10:39:39.557;Dn;0.473;0.63
2021-03-09 10:39:39.791;Dn;0.481;0.63
2021-03-09 10:39:40.035;Dn;0.489;0.63
2021-03-09 10:39:40.239;Dn;0.497;0.63
2021-03-09 10:39:40.335;Dn;0.500;0.63
2021-03-09 10:39:40.500;Dn;0.506;0.63
2021-03-09 10:39:40.734;Dn;0.514;0.63
2021-03-09 10:39:40.999;Dn;0.523;0.63
2021-03-09 10:39:41.183;Dn;0.528;0.63
2021-03-09 10:39:41.200;Dn;0.531;0.63
2021-03-09 10:39:41.439;Dn;0.539;0.63
2021-03-09 10:39:41.665;Dn;0.548;0.63
2021-03-09 10:39:41.874;Dn;0.556;0.63
2021-03-09 10:39:42.000;Dn;0.558;0.63
2021-03-09 10:39:42.138;Dn;0.565;0.63
2021-03-09 10:39:42.351;Dn;0.573;0.63
2021-03-09 10:39:42.648;Dn;0.581;0.63
2021-03-09 10:39:42.804;Dn;0.586;0.63
2021-03-09 10:39:42.817;Dn;0.590;0.63
2021-03-09 10:39:43.102;Dn;0.598;0.63
2021-03-09 10:39:43.351;Dn;0.606;0.63
2021-03-09 10:39:44.257;Dn;0.612;0.63
2021-03-09 10:39:44.287;Dn;0.615;0.63
2021-03-09 10:39:44.427;Dn;0.639;0.63
2021-03-09 10:40:34.737;Dn;0.646;0.63
2021-03-09 10:40:34.882;Dn;0.649;0.57
2021-03-09 10:40:35.185;Dn;0.657;0.57
2021-03-09 10:40:35.346;Dn;0.665;0.57
2021-03-09 10:40:35.518;Dn;0.672;0.57
2021-03-09 10:40:35.563;Dn;0.674;0.57
2021-03-09 10:40:35.712;Dn;0.682;0.57
2021-03-09 10:40:35.879;Dn;0.690;0.57
2021-03-09 10:40:36.063;Dn;0.698;0.57
2021-03-09 10:40:36.246;Dn;0.706;0.57
2021-03-09 10:40:36.319;Dn;0.708;0.57
2021-03-09 10:40:36.496;Dn;0.714;0.57
2021-03-09 10:40:36.704;Dn;0.722;0.57
2021-03-09 10:40:36.911;Dn;0.731;0.57
2021-03-09 10:40:37.177;Dn;0.739;0.57
2021-03-09 10:40:37.360;Dn;0.747;0.57
2021-03-09 10:40:37.577;Dn;0.756;0.57
2021-03-09 10:40:37.810;Dn;0.764;0.57
2021-03-09 10:40:37.975;Dn;0.769;0.57
2021-03-09 10:40:37.975;Dn;0.773;0.57
2021-03-09 10:40:38.210;Dn;0.781;0.57
2021-03-09 10:40:38.353;Dn;0.789;0.57
2021-03-09 10:40:38.575;Dn;0.798;0.57
2021-03-09 10:40:38.784;Dn;0.804;0.57
2021-03-09 10:40:38.792;Dn;0.806;0.57
2021-03-09 10:40:39.008;Dn;0.814;0.57
2021-03-09 10:40:39.242;Dn;0.822;0.57
2021-03-09 10:40:39.475;Dn;0.830;0.57
2021-03-09 10:40:39.592;Dn;0.834;0.57
2021-03-09 10:40:39.641;Dn;0.839;0.57
2021-03-09 10:40:39.850;Dn;0.847;0.57
2021-03-09 10:40:40.095;Dn;0.855;0.57
2021-03-09 10:40:40.341;Dn;0.863;0.57
2021-03-09 10:40:41.044;Dn;0.865;0.63
2021-03-09 10:40:41.096;Dn;0.887;0.63
2021-03-09 10:40:41.212;Dn;0.892;0.63
2021-03-09 10:40:41.238;Dn;0.895;0.63
2021-03-09 10:40:41.456;Dn;0.903;0.63
2021-03-09 10:40:41.693;Dn;0.911;0.63
2021-03-09 10:40:41.931;Dn;0.919;0.63
2021-03-09 10:40:42.032;Dn;0.922;0.63
2021-03-09 10:40:42.175;Dn;0.928;0.63
2021-03-09 10:40:42.439;Dn;0.936;0.63
2021-03-09 10:40:42.672;Dn;0.945;0.63
2021-03-09 10:40:42.838;Dn;0.948;0.63
2021-03-09 10:40:42.879;Dn;0.954;0.63
2021-03-09 10:40:43.188;Dn;0.962;0.63
2021-03-09 10:40:43.407;Dn;0.970;0.63
2021-03-09 10:40:43.631;Dn;0.977;0.63
2021-03-09 10:40:43.712;Dn;0.979;0.63
2021-03-09 10:40:43.936;Dn;0.987;0.63
2021-03-09 10:40:44.175;Dn;0.995;0.63
2021-03-09 10:40:44.475;Dn;1.004;0.63
2021-03-09 10:40:44.642;Dn;1.012;0.63
2021-03-09 10:40:44.872;Dn;1.020;0.63
2021-03-09 10:40:45.119;Dn;1.028;0.63
2021-03-09 10:40:45.273;Dn;1.031;0.63
2021-03-09 10:40:45.376;Dn;1.036;0.63
2021-03-09 10:40:45.663;Dn;1.045;0.63
2021-03-09 10:40:45.890;Dn;1.053;0.63
2021-03-09 10:40:46.086;Dn;1.057;0.63
2021-03-09 10:40:46.146;Dn;1.061;0.63
2021-03-09 10:40:46.385;Dn;1.070;0.63
2021-03-09 10:40:46.607;Dn;1.078;0.63
2021-03-09 10:40:46.903;Dn;1.086;0.63
2021-03-09 10:40:47.105;Dn;1.094;0.63
2021-03-09 10:40:47.367;Dn;1.103;0.63
2021-03-09 10:40:47.617;Dn;1.111;0.63
2021-03-09 10:40:47.702;Dn;1.112;0.63
2021-03-09 10:40:47.817;Dn;1.119;0.63
2021-03-09 10:40:48.033;Dn;1.127;0.63
2021-03-09 10:40:48.288;Dn;1.135;0.63
2021-03-09 10:40:49.173;Dn;1.141;0.63
2021-03-09 10:40:49.199;Dn;1.151;0.63
2021-03-09 10:40:49.325;Dn;1.167;0.63
2021-03-09 10:40:49.454;Dn;1.174;0.63
2021-03-09 10:40:49.736;Dn;1.182;0.63
2021-03-09 10:40:50.036;Dn;1.191;0.63
2021-03-09 10:40:50.131;Dn;1.193;0.63
2021-03-09 10:40:50.448;Dn;1.199;0.63
2021-03-09 10:40:50.815;Dn;1.207;0.63
2021-03-09 10:40:50.937;Dn;1.209;0.63
2021-03-09 10:40:51.137;Dn;1.216;0.63
2021-03-09 10:40:51.393;Dn;1.224;0.63
2021-03-09 10:40:51.751;Dn;1.231;0.63
2021-03-09 10:40:51.780;Dn;1.232;0.63
2021-03-09 10:40:52.034;Dn;1.240;0.63
2021-03-09 10:40:52.351;Dn;1.249;0.63
2021-03-09 10:40:52.571;Dn;1.253;0.63
2021-03-09 10:40:52.663;Dn;1.257;0.63
2021-03-09 10:40:52.980;Dn;1.265;0.63
2021-03-09 10:40:53.344;Dn;1.273;0.63
2021-03-09 10:40:53.397;Dn;1.274;0.63
2021-03-09 10:40:53.680;Dn;1.282;0.63
2021-03-09 10:40:53.999;Dn;1.290;0.63
2021-03-09 10:40:54.177;Dn;1.293;0.63
2021-03-09 10:40:54.328;Dn;1.298;0.63
2021-03-09 10:40:54.628;Dn;1.307;0.63
2021-03-09 10:40:54.927;Dn;1.315;0.63
2021-03-09 10:40:55.011;Dn;1.316;0.63
2021-03-09 10:40:55.266;Dn;1.324;0.63
2021-03-09 10:40:55.567;Dn;1.332;0.63
2021-03-09 10:40:55.810;Dn;1.338;0.63
2021-03-09 10:40:55.843;Dn;1.340;0.63
2021-03-09 10:40:56.128;Dn;1.348;0.63
2021-03-09 10:40:56.482;Dn;1.356;0.63
2021-03-09 10:40:57.281;Dn;1.359;0.57
2021-03-09 10:40:57.343;Dn;1.378;0.57
2021-03-09 10:40:57.424;Dn;1.380;0.57
2021-03-09 10:40:57.608;Dn;1.386;0.57
2021-03-09 10:40:57.975;Dn;1.394;0.57
2021-03-09 10:40:58.246;Dn;1.401;0.57
2021-03-09 10:40:58.290;Dn;1.402;0.57
2021-03-09 10:40:58.658;Dn;1.411;0.57
2021-03-09 10:40:58.976;Dn;1.419;0.57
2021-03-09 10:40:59.072;Dn;1.420;0.57
2021-03-09 10:40:59.275;Dn;1.427;0.57
2021-03-09 10:40:59.622;Dn;1.436;0.57
2021-03-09 10:40:59.877;Dn;1.441;0.57
2021-03-09 10:40:59.960;Dn;1.444;0.57
2021-03-09 10:41:00.287;Dn;1.452;0.57
2021-03-09 10:41:00.623;Dn;1.461;0.57
2021-03-09 10:41:00.696;Dn;1.461;0.57
2021-03-09 10:41:00.971;Dn;1.469;0.57
2021-03-09 10:41:01.265;Dn;1.477;0.57
2021-03-09 10:41:01.471;Dn;1.482;0.57
2021-03-09 10:41:01.652;Dn;1.486;0.57
2021-03-09 10:41:01.986;Dn;1.494;0.57
2021-03-09 10:41:02.311;Dn;1.501;0.57
2021-03-09 10:41:02.337;Dn;1.503;0.57
2021-03-09 10:41:02.671;Dn;1.511;0.57
2021-03-09 10:41:02.994;Dn;1.519;0.57
2021-03-09 10:41:03.138;Dn;1.521;0.57
2021-03-09 10:41:03.351;Dn;1.527;0.57
2021-03-09 10:41:03.704;Dn;1.536;0.57
2021-03-09 10:41:03.937;Dn;1.541;0.57
2021-03-09 10:41:04.016;Dn;1.544;0.57
2021-03-09 10:41:04.319;Dn;1.552;0.57
2021-03-09 10:41:04.657;Dn;1.560;0.57
2021-03-09 10:41:05.404;Dn;1.561;0.57
2021-03-09 10:41:05.449;Dn;1.577;0.57
2021-03-09 10:41:05.583;Dn;1.581;0.57
2021-03-09 10:41:05.614;Dn;1.585;0.57
2021-03-09 10:41:05.967;Dn;1.594;0.57
2021-03-09 10:41:06.303;Dn;1.602;0.57
2021-03-09 10:41:06.352;Dn;1.602;0.57
2021-03-09 10:41:06.705;Dn;1.610;0.57
2021-03-09 10:41:07.031;Dn;1.618;0.57
2021-03-09 10:41:07.199;Dn;1.621;0.57
2021-03-09 10:41:07.393;Dn;1.627;0.57
2021-03-09 10:41:07.680;Dn;1.635;0.57
2021-03-09 10:41:07.990;Dn;1.641;0.57
2021-03-09 10:41:08.046;Dn;1.643;0.57
2021-03-09 10:41:08.364;Dn;1.651;0.57
2021-03-09 10:41:08.657;Dn;1.659;0.57
2021-03-09 10:41:08.817;Dn;1.661;0.57
2021-03-09 10:41:08.963;Dn;1.667;0.57
2021-03-09 10:41:09.266;Dn;1.676;0.57
2021-03-09 10:41:09.649;Dn;1.685;0.57
2021-03-09 10:41:09.912;Dn;1.693;0.57
2021-03-09 10:41:10.160;Dn;1.701;0.57
2021-03-09 10:41:10.422;Dn;1.707;0.57
2021-03-09 10:41:10.447;Dn;1.710;0.57
2021-03-09 10:41:10.817;Dn;1.718;0.57
2021-03-09 10:41:11.061;Dn;1.726;0.57
2021-03-09 10:41:11.278;Dn;1.728;0.57
2021-03-09 10:41:11.411;Dn;1.734;0.57
2021-03-09 10:41:11.744;Dn;1.743;0.57
2021-03-09 10:41:11.993;Dn;1.751;0.57
2021-03-09 10:41:12.027;Dn;1.753;0.57
2021-03-09 10:41:12.208;Dn;1.760;0.57
2021-03-09 10:41:12.465;Dn;1.768;0.57
2021-03-09 10:41:13.515;Dn;1.775;0.57
2021-03-09 10:41:13.559;Dn;1.787;0.57
2021-03-09 10:41:13.680;Dn;1.800;0.57
2021-03-09 10:41:13.807;Dn;1.805;0.57
2021-03-09 10:41:14.096;Dn;1.813;0.57
2021-03-09 10:41:14.474;Dn;1.821;0.57
2021-03-09 10:41:14.725;Dn;1.831;0.57
2021-03-09 10:41:14.962;Dn;1.840;0.57
2021-03-09 10:41:15.295;Dn;1.847;0.57
2021-03-09 10:41:15.344;Dn;1.848;0.57
2021-03-09 10:41:15.617;Dn;1.856;0.57
2021-03-09 10:41:15.872;Dn;1.865;0.57
2021-03-09 10:41:16.103;Dn;1.871;0.57
2021-03-09 10:42:04.324;Dn;1.873;0.63
2021-03-09 10:42:04.419;Dn;1.875;0.57
2021-03-09 10:42:04.607;Dn;1.883;0.57
2021-03-09 10:42:04.787;Dn;1.886;0.57
2021-03-09 10:42:05.008;Dn;1.891;0.57
2021-03-09 10:42:05.207;Dn;1.899;0.57
2021-03-09 10:42:05.376;Dn;1.908;0.57
2021-03-09 10:42:05.593;Dn;1.914;0.57
2021-03-09 10:42:05.623;Dn;1.916;0.57
2021-03-09 10:42:05.761;Dn;1.925;0.57
2021-03-09 10:42:05.956;Dn;1.933;0.57
2021-03-09 10:42:06.107;Dn;1.941;0.57
2021-03-09 10:42:06.273;Dn;1.950;0.57
2021-03-09 10:42:06.423;Dn;1.954;0.57
2021-03-09 10:42:06.464;Dn;1.958;0.57
2021-03-09 10:42:06.673;Dn;1.966;0.57
2021-03-09 10:42:06.800;Dn;1.974;0.57
2021-03-09 10:42:07.007;Dn;1.983;0.57
2021-03-09 10:42:07.216;Dn;1.990;0.57
2021-03-09 10:42:07.216;Dn;1.993;0.57
2021-03-09 10:42:07.375;Dn;2.001;0.57
2021-03-09 10:42:07.590;Dn;2.010;0.57
2021-03-09 10:42:07.775;Dn;2.018;0.57
2021-03-09 10:42:07.938;Dn;2.027;0.57
2021-03-09 10:42:07.999;Dn;2.027;0.57
2021-03-09 10:42:08.203;Dn;2.035;0.57
2021-03-09 10:42:08.353;Dn;2.044;0.57
2021-03-09 10:42:08.562;Dn;2.052;0.57
2021-03-09 10:42:08.832;Dn;2.060;0.57
2021-03-09 10:42:08.853;Dn;2.061;0.57
2021-03-09 10:42:09.003;Dn;2.069;0.57
2021-03-09 10:42:09.153;Dn;2.078;0.57
2021-03-09 10:42:09.387;Dn;2.086;0.57
2021-03-09 10:42:09.579;Dn;2.094;0.57
2021-03-09 10:42:10.289;Dn;2.095;0.57
2021-03-09 10:42:10.319;Dn;2.107;0.57
2021-03-09 10:42:10.432;Dn;2.129;0.57
2021-03-09 10:42:10.511;Dn;2.134;0.57
2021-03-09 10:42:10.719;Dn;2.142;0.57
2021-03-09 10:42:10.926;Dn;2.151;0.57
2021-03-09 10:42:11.111;Dn;2.159;0.57
2021-03-09 10:42:11.236;Dn;2.164;0.57
2021-03-09 10:42:11.339;Dn;2.167;0.57
2021-03-09 10:42:11.503;Dn;2.175;0.57
2021-03-09 10:42:11.694;Dn;2.183;0.57
2021-03-09 10:42:11.935;Dn;2.192;0.57
2021-03-09 10:42:12.070;Dn;2.197;0.57
