DateTime;UpDn;Depth;SPMax
2021-03-09 09:27:11.176;Dn;0.004;427.63
2021-03-09 09:27:11.176;Dn;0.004;427.63
2021-03-09 09:27:11.329;Dn;0.013;424.43
2021-03-09 09:27:11.607;Dn;0.027;418.93
2021-03-09 09:27:11.610;Dn;0.029;418.23
2021-03-09 09:27:11.766;Dn;0.046;412.03
2021-03-09 09:27:11.864;Dn;0.054;408.93
2021-03-09 09:27:11.989;Dn;0.063;405.73
2021-03-09 09:27:12.087;Dn;0.071;402.5
2021-03-09 09:27:12.230;Dn;0.079;399.47
2021-03-09 09:27:12.373;Dn;0.087;396.7
2021-03-09 09:27:12.407;Dn;0.088;396.3
2021-03-09 09:27:12.499;Dn;0.096;393.2
2021-03-09 09:27:12.656;Dn;0.104;390.13
2021-03-09 09:27:12.822;Dn;0.112;387.07
2021-03-09 09:27:13.010;Dn;0.121;383.97
2021-03-09 09:27:13.206;Dn;0.129;380.9
2021-03-09 09:27:13.317;Dn;0.138;377.6
2021-03-09 09:27:13.449;Dn;0.146;374.53
2021-03-09 09:27:13.622;Dn;0.154;371.33
2021-03-09 09:27:13.721;Dn;0.163;368.23
2021-03-09 09:27:13.837;Dn;0.171;365.1
2021-03-09 09:27:14.013;Dn;0.177;362.9
2021-03-09 09:27:14.070;Dn;0.179;362
2021-03-09 09:27:14.213;Dn;0.187;358.97
2021-03-09 09:27:14.350;Dn;0.196;355.87
2021-03-09 09:27:14.502;Dn;0.204;352.73
2021-03-09 09:27:14.621;Dn;0.213;349.53
2021-03-09 09:27:14.831;Dn;0.221;346.43
2021-03-09 09:27:14.901;Dn;0.229;343.3
2021-03-09 09:27:15.029;Dn;0.238;340.17
2021-03-09 09:27:15.173;Dn;0.246;337.1
2021-03-09 09:27:15.301;Dn;0.254;333.97
2021-03-09 09:27:15.431;Dn;0.262;330.93
2021-03-09 09:27:15.674;Dn;0.270;327.83
2021-03-09 09:27:16.342;Dn;0.284;322.83
2021-03-09 09:27:16.439;Dn;0.318;309.93
2021-03-09 09:27:16.514;Dn;0.321;308.8
2021-03-09 09:27:16.589;Dn;0.330;305.47
2021-03-09 09:27:16.739;Dn;0.338;302.43
2021-03-09 09:27:16.875;Dn;0.346;299.37
2021-03-09 09:27:17.000;Dn;0.355;296.27
2021-03-09 09:27:17.146;Dn;0.363;293.07
2021-03-09 09:27:17.255;Dn;0.367;291.57
2021-03-09 09:27:17.302;Dn;0.371;289.97
2021-03-09 09:27:17.448;Dn;0.380;286.87
2021-03-09 09:27:17.575;Dn;0.388;283.67
2021-03-09 09:27:17.723;Dn;0.397;280.57
2021-03-09 09:27:17.877;Dn;0.405;277.53
2021-03-09 09:27:18.021;Dn;0.413;274.33
2021-03-09 09:27:18.102;Dn;0.414;273.97
2021-03-09 09:27:18.151;Dn;0.421;271.3
2021-03-09 09:27:18.276;Dn;0.430;268.17
2021-03-09 09:27:18.423;Dn;0.438;265.07
2021-03-09 09:27:18.550;Dn;0.446;262.03
2021-03-09 09:27:18.714;Dn;0.455;258.8
2021-03-09 09:27:18.903;Dn;0.462;256.13
2021-03-09 09:27:18.908;Dn;0.463;255.77
2021-03-09 09:27:19.017;Dn;0.471;252.63
2021-03-09 09:27:19.147;Dn;0.480;249.33
2021-03-09 09:27:19.304;Dn;0.488;246.2
2021-03-09 09:27:19.449;Dn;0.497;243.03
2021-03-09 09:27:19.591;Dn;0.505;239.73
2021-03-09 09:27:19.681;Dn;0.508;238.83
2021-03-09 09:27:19.736;Dn;0.514;236.57
2021-03-09 09:27:19.884;Dn;0.523;233.3
2021-03-09 09:27:20.032;Dn;0.531;230.27
2021-03-09 09:27:20.180;Dn;0.539;227.2
2021-03-09 09:27:20.328;Dn;0.547;224.17
2021-03-09 09:27:20.537;Dn;0.555;221.33
2021-03-09 09:27:20.550;Dn;0.555;221.13
2021-03-09 09:27:20.615;Dn;0.563;218.1
2021-03-09 09:27:20.760;Dn;0.572;214.87
2021-03-09 09:27:20.935;Dn;0.581;211.33
2021-03-09 09:27:21.106;Dn;0.589;208.3
2021-03-09 09:27:21.266;Dn;0.597;205.23
2021-03-09 09:27:21.359;Dn;0.598;205
2021-03-09 09:27:21.415;Dn;0.606;202.1
