DateTime;UpDn;Depth;SPMax
2021-03-09 09:57:18.288;Dn;0.001;452.5
2021-03-09 09:57:20.872;Dn;0.001;453.1
2021-03-09 09:57:21.528;Dn;0.010;449.2
2021-03-09 09:57:21.734;Dn;0.013;448.07
2021-03-09 09:57:21.834;Dn;0.018;446.17
2021-03-09 09:57:22.114;Dn;0.026;443.1
2021-03-09 09:57:22.406;Dn;0.034;440.03
2021-03-09 09:57:22.501;Dn;0.037;439.2
2021-03-09 09:57:22.633;Dn;0.043;436.97
2021-03-09 09:57:22.856;Dn;0.051;433.9
2021-03-09 09:57:23.096;Dn;0.059;430.7
2021-03-09 09:57:23.352;Dn;0.066;428.03
2021-03-09 09:57:24.023;Dn;0.083;421.8
2021-03-09 09:57:24.138;Dn;0.094;417.7
2021-03-09 09:57:24.217;Dn;0.100;415.4
2021-03-09 09:57:24.471;Dn;0.108;412.27
2021-03-09 09:57:24.742;Dn;0.117;409.03
2021-03-09 09:57:24.984;Dn;0.122;407.27
2021-03-09 09:57:25.032;Dn;0.125;406
2021-03-09 09:57:25.320;Dn;0.133;402.97
2021-03-09 09:57:25.649;Dn;0.141;399.9
2021-03-09 09:57:25.749;Dn;0.144;398.87
2021-03-09 09:57:25.895;Dn;0.150;396.7
2021-03-09 09:57:26.181;Dn;0.158;393.53
2021-03-09 09:57:26.423;Dn;0.167;390.3
2021-03-09 09:57:26.583;Dn;0.171;388.83
2021-03-09 09:57:26.682;Dn;0.176;387
2021-03-09 09:57:26.941;Dn;0.184;383.97
2021-03-09 09:57:27.250;Dn;0.192;380.93
2021-03-09 09:57:27.397;Dn;0.195;379.9
2021-03-09 09:57:27.481;Dn;0.200;377.83
2021-03-09 09:57:27.724;Dn;0.209;374.73
2021-03-09 09:57:27.975;Dn;0.217;371.5
2021-03-09 09:57:28.226;Dn;0.223;369.3
2021-03-09 09:57:28.246;Dn;0.225;368.47
2021-03-09 09:57:28.457;Dn;0.234;365.07
2021-03-09 09:57:28.680;Dn;0.243;361.9
2021-03-09 09:57:28.943;Dn;0.251;358.7
2021-03-09 09:57:29.014;Dn;0.252;358.53
2021-03-09 09:57:29.160;Dn;0.260;355.6
2021-03-09 09:57:29.400;Dn;0.268;352.53
2021-03-09 09:57:29.609;Dn;0.276;349.5
2021-03-09 09:57:29.830;Dn;0.282;347.27
2021-03-09 09:57:29.890;Dn;0.284;346.37
2021-03-09 09:57:30.104;Dn;0.293;343.1
2021-03-09 09:57:30.329;Dn;0.301;340
2021-03-09 09:57:30.654;Dn;0.309;337.07
2021-03-09 09:57:30.654;Dn;0.311;336.43
2021-03-09 09:57:30.835;Dn;0.319;333.2
2021-03-09 09:57:31.064;Dn;0.328;330.03
2021-03-09 09:57:31.306;Dn;0.336;327
2021-03-09 09:57:31.467;Dn;0.339;325.93
2021-03-09 09:57:32.122;Dn;0.345;323.57
2021-03-09 09:57:32.237;Dn;0.366;315.83
2021-03-09 09:57:32.358;Dn;0.371;313.8
2021-03-09 09:57:32.600;Dn;0.379;310.7
2021-03-09 09:57:32.840;Dn;0.387;307.67
2021-03-09 09:57:33.072;Dn;0.394;305.33
2021-03-09 09:57:33.126;Dn;0.396;304.57
2021-03-09 09:57:33.353;Dn;0.404;301.53
2021-03-09 09:57:33.575;Dn;0.412;298.43
2021-03-09 09:57:33.870;Dn;0.420;295.6
2021-03-09 09:57:33.908;Dn;0.421;295.27
2021-03-09 09:57:34.054;Dn;0.429;292.23
2021-03-09 09:57:34.280;Dn;0.437;289.2
2021-03-09 09:57:34.504;Dn;0.445;286.13
2021-03-09 09:57:34.664;Dn;0.449;284.73
2021-03-09 09:57:34.793;Dn;0.453;283.03
2021-03-09 09:57:35.006;Dn;0.461;280
2021-03-09 09:57:35.257;Dn;0.469;276.97
2021-03-09 09:57:35.512;Dn;0.476;274.5
2021-03-09 09:57:35.544;Dn;0.478;273.73
2021-03-09 09:57:35.744;Dn;0.486;270.6
2021-03-09 09:57:35.961;Dn;0.494;267.57
2021-03-09 09:57:36.215;Dn;0.503;264.33
2021-03-09 09:57:36.323;Dn;0.504;264.03
2021-03-09 09:57:36.478;Dn;0.511;261.27
2021-03-09 09:57:36.730;Dn;0.519;258.17
2021-03-09 09:57:37.000;Dn;0.528;255.03
2021-03-09 09:57:37.147;Dn;0.531;253.77
2021-03-09 09:57:37.190;Dn;0.536;252
2021-03-09 09:57:37.462;Dn;0.544;248.9
2021-03-09 09:57:37.697;Dn;0.552;245.83
2021-03-09 09:57:37.921;Dn;0.559;243.27
2021-03-09 09:57:37.983;Dn;0.561;242.63
2021-03-09 09:57:38.264;Dn;0.570;239.27
