DateTime;UpDn;Depth;TempMax
2021-03-09 09:57:18.305;Dn;0.001;0.34
2021-03-09 09:57:20.911;Dn;0.001;0.34
2021-03-09 09:57:21.528;Dn;0.010;0.34
2021-03-09 09:57:21.734;Dn;0.013;0.34
2021-03-09 09:57:21.887;Dn;0.018;0.34
2021-03-09 09:57:22.137;Dn;0.026;0.34
2021-03-09 09:57:22.430;Dn;0.034;0.34
2021-03-09 09:57:22.535;Dn;0.037;0.34
2021-03-09 09:57:22.668;Dn;0.043;0.34
2021-03-09 09:57:22.902;Dn;0.051;0.34
2021-03-09 09:57:23.096;Dn;0.059;0.34
2021-03-09 09:57:24.006;Dn;0.066;0.34
2021-03-09 09:57:24.040;Dn;0.083;0.34
2021-03-09 09:57:24.167;Dn;0.094;0.34
2021-03-09 09:57:24.235;Dn;0.100;0.34
2021-03-09 09:57:24.518;Dn;0.108;0.34
2021-03-09 09:57:24.742;Dn;0.117;0.34
2021-03-09 09:57:24.984;Dn;0.122;0.34
2021-03-09 09:57:25.032;Dn;0.125;0.34
2021-03-09 09:57:25.320;Dn;0.133;0.34
2021-03-09 09:57:25.682;Dn;0.141;0.34
2021-03-09 09:57:25.782;Dn;0.144;0.34
2021-03-09 09:57:25.895;Dn;0.150;0.34
2021-03-09 09:57:26.215;Dn;0.158;0.34
2021-03-09 09:57:26.465;Dn;0.167;0.34
2021-03-09 09:57:26.614;Dn;0.171;0.34
2021-03-09 09:57:26.723;Dn;0.176;0.34
2021-03-09 09:57:26.941;Dn;0.184;0.34
2021-03-09 09:57:27.289;Dn;0.192;0.34
2021-03-09 09:57:27.398;Dn;0.195;0.34
2021-03-09 09:57:27.526;Dn;0.200;0.34
2021-03-09 09:57:27.767;Dn;0.209;0.34
2021-03-09 09:57:28.027;Dn;0.217;0.34
2021-03-09 09:57:28.226;Dn;0.223;0.34
2021-03-09 09:57:28.246;Dn;0.225;0.34
2021-03-09 09:57:28.504;Dn;0.234;0.34
2021-03-09 09:57:28.730;Dn;0.243;0.34
2021-03-09 09:57:28.982;Dn;0.251;0.34
2021-03-09 09:57:29.014;Dn;0.252;0.34
2021-03-09 09:57:29.212;Dn;0.260;0.34
2021-03-09 09:57:29.448;Dn;0.268;0.34
2021-03-09 09:57:29.609;Dn;0.276;0.34
2021-03-09 09:57:29.862;Dn;0.282;0.34
2021-03-09 09:57:29.913;Dn;0.284;0.34
2021-03-09 09:57:30.104;Dn;0.293;0.34
2021-03-09 09:57:30.360;Dn;0.301;0.34
2021-03-09 09:57:30.654;Dn;0.309;0.34
2021-03-09 09:57:30.678;Dn;0.311;0.34
2021-03-09 09:57:30.835;Dn;0.319;0.34
2021-03-09 09:57:31.110;Dn;0.328;0.34
2021-03-09 09:57:31.306;Dn;0.336;0.34
2021-03-09 09:57:32.122;Dn;0.339;0.4
2021-03-09 09:57:32.138;Dn;0.345;0.4
2021-03-09 09:57:32.294;Dn;0.366;0.4
2021-03-09 09:57:32.360;Dn;0.371;0.4
2021-03-09 09:57:32.642;Dn;0.379;0.4
2021-03-09 09:57:32.840;Dn;0.387;0.4
2021-03-09 09:57:33.102;Dn;0.394;0.4
2021-03-09 09:57:33.126;Dn;0.396;0.4
2021-03-09 09:57:33.353;Dn;0.404;0.4
2021-03-09 09:57:33.608;Dn;0.412;0.4
2021-03-09 09:57:33.908;Dn;0.420;0.4
2021-03-09 09:57:33.928;Dn;0.421;0.4
2021-03-09 09:57:34.056;Dn;0.429;0.4
2021-03-09 09:57:34.298;Dn;0.437;0.4
2021-03-09 09:57:34.521;Dn;0.445;0.4
2021-03-09 09:57:34.733;Dn;0.449;0.4
2021-03-09 09:57:34.824;Dn;0.453;0.4
2021-03-09 09:57:35.055;Dn;0.461;0.4
2021-03-09 09:57:35.290;Dn;0.469;0.4
2021-03-09 09:57:35.519;Dn;0.476;0.4
2021-03-09 09:57:35.562;Dn;0.478;0.4
2021-03-09 09:57:35.788;Dn;0.486;0.4
2021-03-09 09:57:36.008;Dn;0.494;0.4
2021-03-09 09:57:36.256;Dn;0.503;0.4
2021-03-09 09:57:36.346;Dn;0.504;0.4
2021-03-09 09:57:36.522;Dn;0.511;0.4
2021-03-09 09:57:36.774;Dn;0.519;0.4
2021-03-09 09:57:37.048;Dn;0.528;0.4
2021-03-09 09:57:37.171;Dn;0.531;0.4
2021-03-09 09:57:37.222;Dn;0.536;0.4
2021-03-09 09:57:37.498;Dn;0.544;0.4
