DateTime;UpDn;Depth;RE1Max
2021-03-09 14:14:00.017;Dn;0.030;28
2021-03-09 14:14:00.017;Dn;0.030;28
2021-03-09 14:14:01.657;Dn;0.110;30.2
2021-03-09 14:14:03.254;Dn;0.177;20.9
2021-03-09 14:14:04.902;Dn;0.260;9.4
2021-03-09 14:14:06.500;Dn;0.335;20.2
2021-03-09 14:14:08.151;Dn;0.418;19.4
2021-03-09 14:14:09.762;Dn;0.495;137.9
2021-03-09 14:14:11.367;Dn;0.569;122.1
2021-03-09 14:14:13.013;Dn;0.635;141.9
2021-03-09 14:15:06.576;Dn;0.653;187.8
2021-03-09 14:15:08.181;Dn;0.679;177.1
2021-03-09 14:15:09.812;Dn;0.713;164.3
2021-03-09 14:15:11.429;Dn;0.764;129
2021-03-09 14:15:13.059;Dn;0.839;89.3
2021-03-09 14:15:14.677;Dn;0.910;56.6
2021-03-09 14:15:16.298;Dn;0.984;47.4
2021-03-09 14:15:17.924;Dn;1.051;124.9
2021-03-09 14:15:19.594;Dn;1.118;157.6
2021-03-09 14:15:21.173;Dn;1.177;133.1
2021-03-09 14:15:22.789;Dn;1.234;138.4
2021-03-09 14:15:24.421;Dn;1.284;126.7
2021-03-09 14:15:26.037;Dn;1.327;80
2021-03-09 14:15:27.669;Dn;1.377;53
2021-03-09 14:15:29.288;Dn;1.419;23.2
2021-03-09 14:15:30.900;Dn;1.465;-7.7
2021-03-09 14:15:32.549;Dn;1.509;-20.1
2021-03-09 14:15:34.163;Dn;1.552;-19.7
2021-03-09 14:15:35.764;Dn;1.595;-37.1
2021-03-09 14:15:37.397;Dn;1.646;-47.4
2021-03-09 14:15:39.015;Dn;1.700;-14.3
2021-03-09 14:15:40.659;Dn;1.751;-28.4
2021-03-09 14:15:42.275;Dn;1.801;-10.1
2021-03-09 14:15:43.876;Dn;1.844;-28.7
2021-03-09 14:16:30.922;Dn;1.869;-26.7
2021-03-09 14:16:32.501;Dn;1.873;53.1
2021-03-09 14:16:34.167;Dn;1.930;18.5
2021-03-09 14:16:35.764;Dn;2.003;-116.7
2021-03-09 14:16:37.387;Dn;2.079;-204.7
2021-03-09 14:16:39.034;Dn;2.163;-161.2
2021-03-09 14:16:40.628;Dn;2.237;-119.6
2021-03-09 14:16:42.245;Dn;2.312;-120.8
2021-03-09 14:16:43.861;Dn;2.387;-57.3
2021-03-09 14:16:45.477;Dn;2.446;-58.2
2021-03-09 14:16:47.106;Dn;2.488;-82.8
2021-03-09 14:16:48.725;Dn;2.521;-74
2021-03-09 14:16:50.354;Dn;2.563;-97.9
2021-03-09 14:16:51.972;Dn;2.606;-108
2021-03-09 14:16:53.621;Dn;2.659;-127.2
2021-03-09 14:16:55.205;Dn;2.702;-135.9
2021-03-09 14:16:56.834;Dn;2.753;-149.4
2021-03-09 14:16:58.452;Dn;2.804;-174.3
2021-03-09 14:17:00.068;Dn;2.855;-157.5
2021-03-09 14:17:01.698;Dn;2.898;-129.2
2021-03-09 14:17:03.314;Dn;2.947;-141.2
2021-03-09 14:17:04.969;Dn;2.997;-163.4
2021-03-09 14:17:06.603;Dn;3.039;-161.2
2021-03-09 14:17:08.180;Dn;3.076;-154.6
2021-03-09 14:17:50.389;Dn;3.100;-121.5
2021-03-09 14:17:52.004;Dn;3.103;-128.6
2021-03-09 14:17:53.636;Dn;3.137;-196.9
2021-03-09 14:17:55.252;Dn;3.172;-248.5
2021-03-09 14:17:56.898;Dn;3.209;-279.9
2021-03-09 14:17:58.514;Dn;3.252;-292
2021-03-09 14:18:00.116;Dn;3.286;-304.7
2021-03-09 14:18:01.748;Dn;3.328;-307.4
2021-03-09 14:18:03.417;Dn;3.378;-326.6
2021-03-09 14:18:04.996;Dn;3.416;-309.9
2021-03-09 14:18:06.612;Dn;3.466;-320.6
2021-03-09 14:18:08.295;Dn;3.516;-338.3
2021-03-09 14:18:09.860;Dn;3.560;-354
2021-03-09 14:18:11.504;Dn;3.612;-368.4
2021-03-09 14:18:13.107;Dn;3.666;-380.1
2021-03-09 14:18:14.741;Dn;3.718;-383.1
2021-03-09 14:18:16.356;Dn;3.762;-363.4
2021-03-09 14:18:17.984;Dn;3.812;-350.4
2021-03-09 14:18:19.618;Dn;3.862;-344.9
2021-03-09 14:18:21.266;Dn;3.917;-338.7
2021-03-09 14:18:22.868;Dn;3.958;-337.7
2021-03-09 14:18:24.484;Dn;4.008;-322.5
2021-03-09 14:18:26.102;Dn;4.050;-373.6
2021-03-09 14:18:27.732;Dn;4.093;-434.1
2021-03-09 14:18:29.349;Dn;4.135;-394.3
2021-03-09 14:18:31.006;Dn;4.177;-379.8
2021-03-09 14:18:32.597;Dn;4.210;-387.4
2021-03-09 14:18:34.213;Dn;4.252;-418.1
2021-03-09 14:18:35.845;Dn;4.285;-394.5
2021-03-09 14:18:37.471;Dn;4.311;-406.4
2021-03-09 14:19:22.973;Dn;4.332;-381.6
2021-03-09 14:19:24.533;Dn;4.337;-464.2
2021-03-09 14:19:26.166;Dn;4.353;-483.7
2021-03-09 14:19:27.786;Dn;4.386;-545.7
2021-03-09 14:19:29.426;Dn;4.429;-565.3
2021-03-09 14:19:31.042;Dn;4.479;-572.1
2021-03-09 14:19:32.691;Dn;4.537;-558.1
2021-03-09 14:19:34.290;Dn;4.591;-538.9
2021-03-09 14:19:35.906;Dn;4.642;-521.5
2021-03-09 14:19:37.538;Dn;4.700;-496.8
2021-03-09 14:19:39.154;Dn;4.759;-497.3
2021-03-09 14:19:40.821;Dn;4.825;-349.6
2021-03-09 14:19:42.402;Dn;4.888;-352.5
2021-03-09 14:19:44.036;Dn;4.948;-230.8
2021-03-09 14:19:45.648;Dn;5.009;-180.9
2021-03-09 14:19:47.284;Dn;5.066;-229.1
2021-03-09 14:19:48.900;Dn;5.125;-281.4
2021-03-09 14:19:50.546;Dn;5.191;-284
2021-03-09 14:19:52.132;Dn;5.241;-307.3
2021-03-09 14:19:53.780;Dn;5.292;-341.4
2021-03-09 14:19:55.379;Dn;5.352;-315.1
2021-03-09 14:19:57.010;Dn;5.411;-306.1
2021-03-09 14:19:58.674;Dn;5.479;-258.3
2021-03-09 14:20:00.245;Dn;5.529;-222.1
2021-03-09 14:21:00.325;Dn;5.547;-244.4
2021-03-09 14:21:01.955;Dn;5.565;-320.9
2021-03-09 14:21:03.604;Dn;5.623;-475.8
2021-03-09 14:21:05.203;Dn;5.674;-511.2
2021-03-09 14:21:06.819;Dn;5.725;-530.2
2021-03-09 14:21:08.440;Dn;5.776;-506.1
2021-03-09 14:21:10.054;Dn;5.827;-455.8
2021-03-09 14:21:11.683;Dn;5.893;-444.9
2021-03-09 14:21:13.302;Dn;5.952;-456.7
2021-03-09 14:21:14.949;Dn;6.019;-475.7
2021-03-09 14:21:16.563;Dn;6.070;-447
2021-03-09 14:21:18.170;Dn;6.137;-424.7
2021-03-09 14:21:19.845;Dn;6.201;-438.6
2021-03-09 14:21:21.414;Dn;6.259;-467.4
2021-03-09 14:21:23.046;Dn;6.318;-484.3
2021-03-09 14:21:24.662;Dn;6.378;-507.2
2021-03-09 14:21:26.293;Dn;6.437;-502.1
2021-03-09 14:21:27.968;Dn;6.498;-486.1
2021-03-09 14:21:29.525;Dn;6.548;-449.1
2021-03-09 14:21:31.172;Dn;6.599;-483.1
2021-03-09 14:21:32.804;Dn;6.651;-429.4
2021-03-09 14:21:34.417;Dn;6.694;-431.9
2021-03-09 14:21:36.022;Dn;6.729;-430.7
2021-03-09 14:22:24.741;Dn;6.754;-427.6
2021-03-09 14:22:26.397;Dn;6.759;-504.3
2021-03-09 14:22:27.988;Dn;6.792;-527.6
2021-03-09 14:22:29.603;Dn;6.842;-517
2021-03-09 14:22:31.222;Dn;6.892;-502.8
