DateTime;UpDn;Depth;SPMax
2021-03-09 14:13:59.383;Dn;0.005;444.97
2021-03-09 14:13:59.383;Dn;0.005;444.97
2021-03-09 14:13:59.572;Dn;0.014;441.87
2021-03-09 14:13:59.736;Dn;0.022;438.77
2021-03-09 14:13:59.922;Dn;0.030;435.7
2021-03-09 14:14:00.040;Dn;0.034;434.27
2021-03-09 14:14:00.756;Dn;0.052;427.5
2021-03-09 14:14:00.854;Dn;0.072;419.97
2021-03-09 14:14:00.893;Dn;0.077;418.03
2021-03-09 14:14:01.071;Dn;0.085;415
2021-03-09 14:14:01.252;Dn;0.094;411.9
2021-03-09 14:14:01.439;Dn;0.102;408.87
2021-03-09 14:14:01.604;Dn;0.110;405.8
2021-03-09 14:14:01.657;Dn;0.111;405.47
2021-03-09 14:14:01.796;Dn;0.118;402.63
2021-03-09 14:14:01.990;Dn;0.127;399.43
2021-03-09 14:14:02.218;Dn;0.135;396.4
2021-03-09 14:14:02.479;Dn;0.144;393.1
2021-03-09 14:14:02.586;Dn;0.152;389.87
2021-03-09 14:14:02.786;Dn;0.160;386.83
2021-03-09 14:14:02.948;Dn;0.169;383.8
2021-03-09 14:14:03.109;Dn;0.177;380.7
2021-03-09 14:14:03.254;Dn;0.182;378.63
2021-03-09 14:14:03.330;Dn;0.185;377.6
2021-03-09 14:14:03.475;Dn;0.193;374.47
2021-03-09 14:14:03.668;Dn;0.202;371.43
2021-03-09 14:14:03.797;Dn;0.210;368.37
2021-03-09 14:14:03.975;Dn;0.218;365.3
2021-03-09 14:14:04.070;Dn;0.221;364.1
2021-03-09 14:14:04.146;Dn;0.226;362.13
2021-03-09 14:14:04.308;Dn;0.235;359
2021-03-09 14:14:04.516;Dn;0.243;355.87
2021-03-09 14:14:04.692;Dn;0.252;352.7
2021-03-09 14:14:04.902;Dn;0.260;349.53
2021-03-09 14:14:05.030;Dn;0.268;346.4
2021-03-09 14:14:05.188;Dn;0.276;343.37
2021-03-09 14:14:05.348;Dn;0.285;340.27
2021-03-09 14:14:05.492;Dn;0.293;337.2
2021-03-09 14:14:05.749;Dn;0.300;334.43
2021-03-09 14:14:05.753;Dn;0.302;333.93
2021-03-09 14:14:05.846;Dn;0.310;330.83
2021-03-09 14:14:06.004;Dn;0.318;327.67
2021-03-09 14:14:06.180;Dn;0.327;324.57
2021-03-09 14:14:06.347;Dn;0.335;321.53
2021-03-09 14:14:06.500;Dn;0.340;319.5
2021-03-09 14:14:06.583;Dn;0.343;318.3
2021-03-09 14:14:06.706;Dn;0.351;315.27
2021-03-09 14:14:06.885;Dn;0.360;312.13
2021-03-09 14:14:07.048;Dn;0.368;309
2021-03-09 14:14:07.229;Dn;0.376;305.9
2021-03-09 14:14:07.316;Dn;0.379;305.03
2021-03-09 14:14:07.400;Dn;0.385;302.7
2021-03-09 14:14:07.556;Dn;0.393;299.57
2021-03-09 14:14:07.746;Dn;0.402;296.37
2021-03-09 14:14:07.908;Dn;0.410;293.3
2021-03-09 14:14:08.068;Dn;0.418;290.27
2021-03-09 14:14:08.151;Dn;0.419;290.03
2021-03-09 14:14:08.852;Dn;0.453;277
2021-03-09 14:14:08.965;Dn;0.458;275.27
2021-03-09 14:14:09.023;Dn;0.462;273.7
2021-03-09 14:14:09.172;Dn;0.470;270.67
2021-03-09 14:14:09.321;Dn;0.479;267.57
2021-03-09 14:14:09.506;Dn;0.487;264.47
2021-03-09 14:14:09.668;Dn;0.495;261.4
2021-03-09 14:14:09.762;Dn;0.497;260.77
2021-03-09 14:14:09.857;Dn;0.503;258.37
2021-03-09 14:14:10.050;Dn;0.512;255.23
2021-03-09 14:14:10.195;Dn;0.520;252.1
2021-03-09 14:14:10.375;Dn;0.528;249.07
2021-03-09 14:14:10.638;Dn;0.536;246.03
2021-03-09 14:14:10.693;Dn;0.544;242.97
2021-03-09 14:14:10.874;Dn;0.552;239.93
2021-03-09 14:14:11.075;Dn;0.560;236.9
2021-03-09 14:14:11.221;Dn;0.569;233.57
2021-03-09 14:14:11.412;Dn;0.575;231.6
2021-03-09 14:14:11.461;Dn;0.578;230.43
2021-03-09 14:14:11.593;Dn;0.586;227.33
2021-03-09 14:14:11.779;Dn;0.594;224.27
2021-03-09 14:14:11.941;Dn;0.602;221.2
2021-03-09 14:14:12.133;Dn;0.610;218.13
2021-03-09 14:14:12.228;Dn;0.611;217.87
2021-03-09 14:14:12.305;Dn;0.619;215
2021-03-09 14:14:12.510;Dn;0.627;211.97
2021-03-09 14:14:13.013;Dn;0.635;209.03
2021-03-09 14:14:13.828;Dn;0.638;207.67
2021-03-09 14:14:14.018;Dn;0.644;205.5
2021-03-09 14:15:05.891;Dn;0.653;723.87
2021-03-09 14:15:06.576;Dn;0.659;655.6
2021-03-09 14:15:07.395;Dn;0.659;655.4
2021-03-09 14:15:07.446;Dn;0.663;654.1
2021-03-09 14:15:07.559;Dn;0.671;651
2021-03-09 14:15:07.995;Dn;0.679;647.93
2021-03-09 14:15:08.246;Dn;0.680;647.57
2021-03-09 14:15:09.027;Dn;0.683;646.53
2021-03-09 14:15:09.187;Dn;0.688;644.57
2021-03-09 14:15:09.333;Dn;0.696;641.5
2021-03-09 14:15:09.432;Dn;0.705;638.37
2021-03-09 14:15:09.683;Dn;0.713;635.3
2021-03-09 14:15:09.812;Dn;0.715;634.53
2021-03-09 14:15:10.437;Dn;0.721;632.13
2021-03-09 14:15:10.677;Dn;0.727;629.93
2021-03-09 14:15:10.683;Dn;0.732;628.23
2021-03-09 14:15:10.802;Dn;0.740;625.17
2021-03-09 14:15:10.948;Dn;0.748;622.03
2021-03-09 14:15:11.109;Dn;0.756;619
2021-03-09 14:15:11.269;Dn;0.764;615.97
2021-03-09 14:15:11.477;Dn;0.771;613.6
2021-03-09 14:15:11.509;Dn;0.772;612.93
2021-03-09 14:15:11.683;Dn;0.781;609.6
2021-03-09 14:15:11.925;Dn;0.789;606.57
2021-03-09 14:15:12.117;Dn;0.798;603.47
2021-03-09 14:15:12.308;Dn;0.802;601.83
2021-03-09 14:15:12.339;Dn;0.806;600.2
2021-03-09 14:15:12.451;Dn;0.815;597.13
2021-03-09 14:15:12.629;Dn;0.823;594
2021-03-09 14:15:12.802;Dn;0.831;590.97
2021-03-09 14:15:12.965;Dn;0.839;587.93
2021-03-09 14:15:13.092;Dn;0.843;586.5
2021-03-09 14:15:13.779;Dn;0.862;579.2
2021-03-09 14:15:13.909;Dn;0.880;572.53
2021-03-09 14:15:13.931;Dn;0.885;570.73
2021-03-09 14:15:14.117;Dn;0.893;567.57
2021-03-09 14:15:14.322;Dn;0.902;564.5
2021-03-09 14:15:14.499;Dn;0.910;561.4
2021-03-09 14:15:14.723;Dn;0.917;558.87
2021-03-09 14:15:14.724;Dn;0.918;558.2
2021-03-09 14:15:14.898;Dn;0.927;555.1
2021-03-09 14:15:15.062;Dn;0.935;552.03
2021-03-09 14:15:15.262;Dn;0.943;549
2021-03-09 14:15:15.428;Dn;0.951;545.93
2021-03-09 14:15:15.555;Dn;0.953;545.2
2021-03-09 14:15:15.595;Dn;0.959;542.87
2021-03-09 14:15:15.797;Dn;0.968;539.57
2021-03-09 14:15:15.973;Dn;0.976;536.53
2021-03-09 14:15:16.165;Dn;0.984;533.5
2021-03-09 14:15:16.340;Dn;0.988;531.93
2021-03-09 14:15:16.371;Dn;0.992;530.47
2021-03-09 14:15:16.566;Dn;1.001;527.27
2021-03-09 14:15:16.800;Dn;1.010;524.03
2021-03-09 14:15:16.984;Dn;1.018;520.93
2021-03-09 14:15:17.156;Dn;1.021;519.6
2021-03-09 14:15:17.203;Dn;1.026;517.8
2021-03-09 14:15:17.399;Dn;1.034;514.73
2021-03-09 14:15:17.600;Dn;1.043;511.67
2021-03-09 14:15:17.801;Dn;1.051;508.57
