DateTime;UpDn;Depth;RE1Max
2021-03-09 16:09:26.201;Dn;0.001;-127.9
2021-03-09 16:09:27.817;Dn;0.001;-127.9
2021-03-09 16:09:29.444;Dn;0.001;-140.5
2021-03-09 16:09:31.050;Dn;0.006;-111.7
2021-03-09 16:09:32.711;Dn;0.049;-18.1
2021-03-09 16:09:34.299;Dn;0.092;-79.4
2021-03-09 16:09:35.934;Dn;0.126;-41.8
2021-03-09 16:09:37.547;Dn;0.168;39.5
2021-03-09 16:09:39.163;Dn;0.211;55.3
2021-03-09 16:09:40.795;Dn;0.246;39.7
2021-03-09 16:09:42.411;Dn;0.281;28.5
2021-03-09 16:09:44.052;Dn;0.334;-43.6
2021-03-09 16:09:45.672;Dn;0.376;-129.8
2021-03-09 16:09:47.305;Dn;0.414;-173.2
2021-03-09 16:09:48.906;Dn;0.456;-134.5
2021-03-09 16:09:50.539;Dn;0.486;-103.4
2021-03-09 16:09:52.154;Dn;0.530;-111.4
2021-03-09 16:09:53.800;Dn;0.573;-128
2021-03-09 16:09:55.416;Dn;0.614;-120.4
2021-03-09 16:09:57.048;Dn;0.648;-108.7
2021-03-09 16:10:42.475;Dn;0.681;-48
2021-03-09 16:10:44.116;Dn;0.700;-45
2021-03-09 16:10:45.797;Dn;0.774;-50.4
2021-03-09 16:10:47.387;Dn;0.841;-28.1
2021-03-09 16:10:48.985;Dn;0.899;-63.6
2021-03-09 16:10:50.623;Dn;0.966;-62.2
2021-03-09 16:10:52.219;Dn;1.015;-53.7
2021-03-09 16:10:53.834;Dn;1.069;-97.4
2021-03-09 16:10:55.505;Dn;1.128;-121.7
2021-03-09 16:10:57.106;Dn;1.180;-136.7
2021-03-09 16:10:58.715;Dn;1.230;-148.8
2021-03-09 16:11:00.347;Dn;1.282;-184.2
2021-03-09 16:11:01.963;Dn;1.325;-183.2
2021-03-09 16:11:03.578;Dn;1.375;-172.8
2021-03-09 16:11:05.284;Dn;1.434;-173.4
2021-03-09 16:11:06.841;Dn;1.484;-181.6
2021-03-09 16:11:08.458;Dn;1.538;-215
2021-03-09 16:11:10.075;Dn;1.589;-217.2
2021-03-09 16:11:11.721;Dn;1.647;-206.6
2021-03-09 16:11:13.322;Dn;1.699;-208.5
2021-03-09 16:11:15.004;Dn;1.757;-209.9
2021-03-09 16:11:16.584;Dn;1.807;-214.9
2021-03-09 16:11:18.216;Dn;1.858;-220.8
2021-03-09 16:12:00.410;Dn;1.884;-220.2
2021-03-09 16:12:02.040;Dn;1.901;-251.1
2021-03-09 16:12:03.672;Dn;1.959;-332.6
2021-03-09 16:12:05.283;Dn;2.015;-356.9
2021-03-09 16:12:06.891;Dn;2.066;-362
2021-03-09 16:12:08.556;Dn;2.125;-363.4
2021-03-09 16:12:10.139;Dn;2.176;-371.5
2021-03-09 16:12:11.771;Dn;2.228;-341.2
2021-03-09 16:12:13.387;Dn;2.279;-321.8
2021-03-09 16:12:15.036;Dn;2.340;-310.7
2021-03-09 16:12:16.730;Dn;2.401;-303.1
2021-03-09 16:12:18.271;Dn;2.452;-307.9
2021-03-09 16:12:19.882;Dn;2.502;-311.3
2021-03-09 16:12:21.521;Dn;2.562;-317.9
2021-03-09 16:12:23.251;Dn;2.622;-378.2
2021-03-09 16:12:24.763;Dn;2.674;-403.9
2021-03-09 16:12:26.419;Dn;2.734;-372.7
2021-03-09 16:12:28.015;Dn;2.785;-350.3
2021-03-09 16:12:29.627;Dn;2.840;-334.6
2021-03-09 16:12:31.244;Dn;2.900;-323.9
2021-03-09 16:12:32.874;Dn;2.952;-329.4
2021-03-09 16:12:34.490;Dn;3.004;-316
2021-03-09 16:12:36.127;Dn;3.055;-290.8
2021-03-09 16:12:37.753;Dn;3.089;-312
2021-03-09 16:13:24.828;Dn;3.108;-328.7
2021-03-09 16:13:26.446;Dn;3.114;-424.4
2021-03-09 16:13:28.172;Dn;3.166;-460.2
2021-03-09 16:13:29.706;Dn;3.210;-477.5
2021-03-09 16:13:31.389;Dn;3.270;-466.9
2021-03-09 16:13:32.942;Dn;3.320;-453.6
2021-03-09 16:13:34.572;Dn;3.375;-409.3
2021-03-09 16:13:36.203;Dn;3.425;-386.3
2021-03-09 16:13:37.819;Dn;3.468;-383.7
2021-03-09 16:13:39.528;Dn;3.518;-377.5
2021-03-09 16:13:41.054;Dn;3.561;-360.6
2021-03-09 16:13:42.742;Dn;3.610;-361.2
2021-03-09 16:13:44.322;Dn;3.652;-363.2
2021-03-09 16:13:45.945;Dn;3.695;-363.4
2021-03-09 16:13:47.614;Dn;3.738;-359.2
2021-03-09 16:13:49.261;Dn;3.780;-359.8
2021-03-09 16:13:50.821;Dn;3.822;-365.6
2021-03-09 16:13:52.413;Dn;3.854;-375
2021-03-09 16:13:54.064;Dn;3.904;-363
2021-03-09 16:13:55.675;Dn;3.945;-356.7
2021-03-09 16:13:57.293;Dn;3.980;-377.4
2021-03-09 16:13:58.937;Dn;4.017;-393.8
2021-03-09 16:14:00.555;Dn;4.043;-416.4
2021-03-09 16:14:02.249;Dn;4.078;-421
2021-03-09 16:14:03.790;Dn;4.102;-450.4
2021-03-09 16:14:05.431;Dn;4.128;-453.3
2021-03-09 16:14:07.090;Dn;4.155;-465.2
2021-03-09 16:14:08.665;Dn;4.180;-487.4
2021-03-09 16:14:10.298;Dn;4.214;-485.6
2021-03-09 16:14:11.902;Dn;4.239;-493.5
2021-03-09 16:14:13.518;Dn;4.265;-490.7
2021-03-09 16:14:15.150;Dn;4.288;-494.6
