DateTime;UpDn;Depth;TempMax
2021-03-09 16:09:24.604;Dn;0.001;3.35
2021-03-09 16:09:27.032;Dn;0.001;3.35
2021-03-09 16:09:30.297;Dn;0.001;3.35
2021-03-09 16:09:30.728;Dn;0.006;3.35
2021-03-09 16:09:31.155;Dn;0.011;3.35
2021-03-09 16:09:31.242;Dn;0.014;3.35
2021-03-09 16:09:31.531;Dn;0.023;3.35
2021-03-09 16:09:31.913;Dn;0.031;3.35
2021-03-09 16:09:31.969;Dn;0.032;3.35
2021-03-09 16:09:32.189;Dn;0.040;3.35
2021-03-09 16:09:32.637;Dn;0.049;3.35
2021-03-09 16:09:32.770;Dn;0.049;3.35
2021-03-09 16:09:33.020;Dn;0.057;3.35
2021-03-09 16:09:33.161;Dn;0.067;3.35
2021-03-09 16:09:33.470;Dn;0.076;3.35
2021-03-09 16:09:33.542;Dn;0.082;3.35
2021-03-09 16:09:33.598;Dn;0.084;3.35
2021-03-09 16:09:33.851;Dn;0.092;3.35
2021-03-09 16:09:34.347;Dn;0.098;3.35
2021-03-09 16:09:34.547;Dn;0.100;3.35
2021-03-09 16:09:34.921;Dn;0.108;3.35
2021-03-09 16:09:35.218;Dn;0.114;3.35
2021-03-09 16:09:35.286;Dn;0.117;3.35
2021-03-09 16:09:35.643;Dn;0.126;3.35
2021-03-09 16:09:35.976;Dn;0.133;3.35
2021-03-09 16:09:36.063;Dn;0.134;3.35
2021-03-09 16:09:36.337;Dn;0.142;3.35
2021-03-09 16:09:36.683;Dn;0.150;3.35
2021-03-09 16:09:36.785;Dn;0.156;3.35
2021-03-09 16:09:37.017;Dn;0.159;3.35
2021-03-09 16:09:37.349;Dn;0.168;3.35
2021-03-09 16:09:38.251;Dn;0.172;3.29
2021-03-09 16:09:38.297;Dn;0.185;3.29
2021-03-09 16:09:38.430;Dn;0.196;3.29
2021-03-09 16:09:38.619;Dn;0.202;3.29
2021-03-09 16:09:39.263;Dn;0.211;3.29
2021-03-09 16:09:39.626;Dn;0.219;3.29
2021-03-09 16:09:39.899;Dn;0.229;3.29
2021-03-09 16:09:40.062;Dn;0.232;3.29
2021-03-09 16:09:40.202;Dn;0.237;3.29
2021-03-09 16:09:40.529;Dn;0.246;3.29
2021-03-09 16:09:40.831;Dn;0.252;3.29
2021-03-09 16:09:41.085;Dn;0.256;3.29
2021-03-09 16:09:41.360;Dn;0.264;3.29
2021-03-09 16:09:41.647;Dn;0.270;3.29
2021-03-09 16:09:41.728;Dn;0.273;3.29
2021-03-09 16:09:42.171;Dn;0.281;3.29
2021-03-09 16:09:42.458;Dn;0.287;3.29
2021-03-09 16:09:42.563;Dn;0.292;3.29
2021-03-09 16:09:42.699;Dn;0.300;3.29
2021-03-09 16:09:43.094;Dn;0.308;3.29
2021-03-09 16:09:43.327;Dn;0.314;3.29
2021-03-09 16:09:43.417;Dn;0.317;3.29
2021-03-09 16:09:43.709;Dn;0.326;3.29
2021-03-09 16:09:43.952;Dn;0.334;3.29
2021-03-09 16:09:44.112;Dn;0.338;3.29
2021-03-09 16:09:44.252;Dn;0.342;3.29
2021-03-09 16:09:44.553;Dn;0.351;3.29
2021-03-09 16:09:44.842;Dn;0.359;3.29
2021-03-09 16:09:44.914;Dn;0.362;3.29
2021-03-09 16:09:45.125;Dn;0.368;3.29
2021-03-09 16:09:45.408;Dn;0.376;3.29
2021-03-09 16:09:46.376;Dn;0.382;3.29
2021-03-09 16:09:46.434;Dn;0.397;3.29
2021-03-09 16:09:46.540;Dn;0.399;3.29
