DateTime;UpDn;Depth;SPMax
2021-03-10 09:47:09.898;Dn;0.005;407.07
2021-03-10 09:47:09.898;Dn;0.005;407.07
2021-03-10 09:47:10.025;Dn;0.007;406.2
2021-03-10 09:47:10.442;Dn;0.015;403.13
2021-03-10 09:47:10.696;Dn;0.020;401.57
2021-03-10 09:47:10.764;Dn;0.024;400
2021-03-10 09:47:11.100;Dn;0.032;396.9
2021-03-10 09:47:11.529;Dn;0.040;394
2021-03-10 09:47:11.563;Dn;0.040;393.73
2021-03-10 09:47:11.897;Dn;0.049;390.67
2021-03-10 09:47:12.218;Dn;0.057;387.53
2021-03-10 09:47:12.328;Dn;0.058;386.97
2021-03-10 09:47:12.522;Dn;0.065;384.5
2021-03-10 09:47:12.759;Dn;0.073;381.4
2021-03-10 09:47:13.165;Dn;0.081;378.63
2021-03-10 09:47:13.848;Dn;0.087;376.4
2021-03-10 09:47:13.977;Dn;0.096;372.83
2021-03-10 09:47:14.170;Dn;0.103;370.17
2021-03-10 09:47:14.570;Dn;0.112;367.07
2021-03-10 09:47:14.761;Dn;0.114;366.03
2021-03-10 09:47:14.970;Dn;0.120;364.03
2021-03-10 09:47:15.327;Dn;0.128;361
2021-03-10 09:47:15.577;Dn;0.133;359.17
2021-03-10 09:47:15.661;Dn;0.136;357.93
2021-03-10 09:47:16.024;Dn;0.144;354.87
2021-03-10 09:47:16.392;Dn;0.151;352.27
2021-03-10 09:47:16.458;Dn;0.152;351.83
2021-03-10 09:47:16.809;Dn;0.160;348.73
2021-03-10 09:47:17.130;Dn;0.169;345.53
2021-03-10 09:47:17.234;Dn;0.169;345.4
2021-03-10 09:47:17.433;Dn;0.177;342.5
2021-03-10 09:47:17.757;Dn;0.186;339.27
2021-03-10 09:47:18.041;Dn;0.192;337.07
2021-03-10 09:47:18.143;Dn;0.194;336.2
2021-03-10 09:47:18.539;Dn;0.202;333.17
2021-03-10 09:47:18.810;Dn;0.207;331.27
2021-03-10 09:47:18.904;Dn;0.210;330.1
2021-03-10 09:47:19.178;Dn;0.219;326.77
2021-03-10 09:47:19.548;Dn;0.227;323.67
2021-03-10 09:47:19.656;Dn;0.234;321.23
2021-03-10 09:47:19.865;Dn;0.236;320.27
2021-03-10 09:47:20.225;Dn;0.253;314.17
2021-03-10 09:47:20.472;Dn;0.254;313.77
2021-03-10 09:47:20.520;Dn;0.261;310.97
2021-03-10 09:47:20.728;Dn;0.270;307.77
2021-03-10 09:47:20.962;Dn;0.278;304.67
2021-03-10 09:47:21.288;Dn;0.285;302.17
2021-03-10 09:47:21.976;Dn;0.300;296.47
2021-03-10 09:47:22.105;Dn;0.303;295.4
2021-03-10 09:47:22.120;Dn;0.309;293.17
2021-03-10 09:47:22.330;Dn;0.317;290.03
