DateTime;UpDn;Depth;RE1Max
2021-03-10 10:24:21.821;Dn;0.001;409.4
2021-03-10 10:24:21.821;Dn;0.001;409.4
2021-03-10 10:24:26.701;Dn;0.001;413.8
2021-03-10 10:24:28.316;Dn;0.051;382
2021-03-10 10:24:29.975;Dn;0.134;116
2021-03-10 10:24:31.579;Dn;0.209;189.7
2021-03-10 10:24:33.196;Dn;0.285;182.6
2021-03-10 10:24:34.812;Dn;0.360;191.2
2021-03-10 10:24:36.450;Dn;0.435;168.8
2021-03-10 10:24:38.081;Dn;0.517;137.4
2021-03-10 10:24:39.698;Dn;0.592;90.1
2021-03-10 10:25:17.020;Dn;0.636;111
2021-03-10 10:25:18.644;Dn;0.639;37.2
2021-03-10 10:25:20.266;Dn;0.698;8.9
2021-03-10 10:25:21.888;Dn;0.757;24.1
2021-03-10 10:25:23.516;Dn;0.828;79.8
2021-03-10 10:25:25.135;Dn;0.895;66.2
2021-03-10 10:25:26.767;Dn;0.974;114.8
2021-03-10 10:25:28.381;Dn;1.038;65.6
2021-03-10 10:25:30.011;Dn;1.108;84.3
2021-03-10 10:25:31.644;Dn;1.173;100.4
2021-03-10 10:25:33.259;Dn;1.241;100.5
2021-03-10 10:25:34.891;Dn;1.299;98.9
2021-03-10 10:25:36.506;Dn;1.358;92.8
2021-03-10 10:25:38.173;Dn;1.425;96.7
2021-03-10 10:25:39.803;Dn;1.490;125.2
2021-03-10 10:25:41.386;Dn;1.548;114.1
2021-03-10 10:25:43.035;Dn;1.605;116.7
2021-03-10 10:25:44.636;Dn;1.663;121.7
2021-03-10 10:25:46.237;Dn;1.720;115.5
2021-03-10 10:25:47.869;Dn;1.776;112.6
2021-03-10 10:25:49.485;Dn;1.835;126.1
2021-03-10 10:26:28.445;Dn;1.869;133.1
2021-03-10 10:26:30.071;Dn;1.878;14.8
2021-03-10 10:26:31.692;Dn;1.936;-53.3
2021-03-10 10:26:33.318;Dn;1.994;-58.6
2021-03-10 10:26:34.956;Dn;2.052;-109.5
2021-03-10 10:26:36.606;Dn;2.114;-46.6
2021-03-10 10:26:38.186;Dn;2.172;52.3
2021-03-10 10:26:39.813;Dn;2.238;95.6
2021-03-10 10:26:41.437;Dn;2.304;105.2
2021-03-10 10:26:43.059;Dn;2.379;120.7
2021-03-10 10:26:44.759;Dn;2.453;115.1
2021-03-10 10:26:46.306;Dn;2.513;116.2
2021-03-10 10:26:47.933;Dn;2.564;135
2021-03-10 10:26:49.602;Dn;2.640;151
2021-03-10 10:26:51.183;Dn;2.707;144.8
2021-03-10 10:26:52.806;Dn;2.780;116.6
2021-03-10 10:26:54.430;Dn;2.856;103.1
2021-03-10 10:26:56.045;Dn;2.922;138.9
2021-03-10 10:26:57.694;Dn;2.999;153.2
2021-03-10 10:26:59.308;Dn;3.059;186
2021-03-10 10:27:43.165;Dn;3.065;202.4
2021-03-10 10:27:44.829;Dn;3.083;159.7
2021-03-10 10:27:46.428;Dn;3.150;103.4
2021-03-10 10:27:48.043;Dn;3.233;89
2021-03-10 10:27:49.677;Dn;3.268;114.6
2021-03-10 10:27:51.290;Dn;3.313;145.1
2021-03-10 10:27:52.923;Dn;3.347;149.7
2021-03-10 10:27:54.525;Dn;3.363;163.1
2021-03-10 10:27:56.157;Dn;3.397;150.9
2021-03-10 10:27:57.784;Dn;3.431;129.5
2021-03-10 10:27:59.405;Dn;3.447;133.5
2021-03-10 10:28:01.020;Dn;3.471;165.5
2021-03-10 10:28:02.651;Dn;3.496;139.5
2021-03-10 10:28:04.269;Dn;3.513;62.4
2021-03-10 10:28:05.884;Dn;3.537;2.7
2021-03-10 10:28:07.501;Dn;3.553;-32.5
2021-03-10 10:28:09.131;Dn;3.570;-46.1
2021-03-10 10:28:10.785;Dn;3.594;-69.9
2021-03-10 10:28:12.364;Dn;3.611;-87.9
2021-03-10 10:28:13.981;Dn;3.629;-101.7
2021-03-10 10:28:15.613;Dn;3.645;-111.1
2021-03-10 10:28:17.232;Dn;3.661;-115.2
2021-03-10 10:28:18.864;Dn;3.677;-120
2021-03-10 10:28:20.490;Dn;3.694;-125.1
2021-03-10 10:28:22.122;Dn;3.710;-109.1
2021-03-10 10:28:23.726;Dn;3.727;-108.8
2021-03-10 10:28:25.360;Dn;3.744;-118.2
2021-03-10 10:28:26.988;Dn;3.760;-123.7
2021-03-10 10:28:28.604;Dn;3.777;-127.9
2021-03-10 10:28:30.235;Dn;3.795;-121.5
2021-03-10 10:28:31.866;Dn;3.811;-132.1
2021-03-10 10:28:33.482;Dn;3.819;-134.7
2021-03-10 10:28:35.115;Dn;3.836;-129.1
2021-03-10 10:28:36.716;Dn;3.852;-121.6
2021-03-10 10:28:38.363;Dn;3.863;-100.8
2021-03-10 10:28:39.965;Dn;3.879;-115.3
2021-03-10 10:28:41.608;Dn;3.895;-123.9
2021-03-10 10:28:43.227;Dn;3.911;-119.7
2021-03-10 10:28:44.844;Dn;3.919;-112.1
2021-03-10 10:28:46.461;Dn;3.930;-102.8
2021-03-10 10:28:48.093;Dn;3.946;-103.8
2021-03-10 10:28:49.717;Dn;3.954;-85.7
2021-03-10 10:28:51.341;Dn;3.971;-109.6
2021-03-10 10:28:52.964;Dn;3.979;-108
2021-03-10 10:28:54.587;Dn;3.987;-95.2
2021-03-10 10:28:56.205;Dn;4.003;-97.4
2021-03-10 10:28:57.821;Dn;4.012;-99.9
2021-03-10 10:28:59.453;Dn;4.029;-71.9
2021-03-10 10:29:01.072;Dn;4.045;-84.1
2021-03-10 10:29:02.704;Dn;4.054;-107.7
2021-03-10 10:29:04.319;Dn;4.070;-152
2021-03-10 10:29:05.963;Dn;4.086;-219.9
2021-03-10 10:29:07.569;Dn;4.095;-255.8
2021-03-10 10:29:09.200;Dn;4.111;-243.4
2021-03-10 10:29:10.828;Dn;4.119;-185.5
2021-03-10 10:29:12.460;Dn;4.136;-149.8
2021-03-10 10:29:14.075;Dn;4.144;-151.6
2021-03-10 10:29:15.707;Dn;4.160;-155.2
2021-03-10 10:29:17.322;Dn;4.168;-154.7
2021-03-10 10:29:18.955;Dn;4.189;-159.9
2021-03-10 10:29:20.557;Dn;4.197;-199.7
2021-03-10 10:29:22.173;Dn;4.207;-273.3
2021-03-10 10:29:23.805;Dn;4.222;-308.2
2021-03-10 10:29:25.435;Dn;4.230;-326.9
2021-03-10 10:29:27.053;Dn;4.241;-341.6
2021-03-10 10:29:28.683;Dn;4.256;-318.7
2021-03-10 10:29:30.301;Dn;4.264;-288.6
2021-03-10 10:29:31.917;Dn;4.272;-262
2021-03-10 10:30:17.373;Dn;4.277;-175.6
2021-03-10 10:30:19.014;Dn;4.286;-172
2021-03-10 10:30:20.621;Dn;4.287;-177.7
2021-03-10 10:30:22.237;Dn;4.294;-204.1
2021-03-10 10:30:23.868;Dn;4.311;-209.9
2021-03-10 10:30:25.490;Dn;4.328;-232.2
2021-03-10 10:30:27.121;Dn;4.344;-245.2
2021-03-10 10:30:28.740;Dn;4.360;-232
2021-03-10 10:30:30.367;Dn;4.377;-233
2021-03-10 10:30:31.982;Dn;4.396;-226.5
2021-03-10 10:30:33.614;Dn;4.413;-221
2021-03-10 10:30:35.229;Dn;4.429;-208.2
2021-03-10 10:30:36.863;Dn;4.446;-240.9
2021-03-10 10:30:38.492;Dn;4.462;-262.4
2021-03-10 10:30:40.107;Dn;4.481;-256.7
2021-03-10 10:30:41.738;Dn;4.490;-258.1
2021-03-10 10:30:43.341;Dn;4.506;-274.9
2021-03-10 10:30:44.988;Dn;4.522;-284.9
2021-03-10 10:30:46.592;Dn;4.539;-289.7
