DateTime;UpDn;Depth;SPMax
2021-03-10 10:24:20.218;Dn;0.001;437.8
2021-03-10 10:24:21.037;Dn;0.001;438
2021-03-10 10:24:25.915;Dn;0.001;438.03
2021-03-10 10:24:26.730;Dn;0.001;437.7
2021-03-10 10:24:27.421;Dn;0.009;434.6
2021-03-10 10:24:27.525;Dn;0.012;433.37
2021-03-10 10:24:27.594;Dn;0.018;431.4
2021-03-10 10:24:27.741;Dn;0.026;428.37
2021-03-10 10:24:27.885;Dn;0.034;425.17
2021-03-10 10:24:28.042;Dn;0.043;422.07
2021-03-10 10:24:28.191;Dn;0.051;419
2021-03-10 10:24:28.374;Dn;0.056;416.97
2021-03-10 10:24:28.385;Dn;0.059;415.97
2021-03-10 10:24:28.540;Dn;0.067;412.9
2021-03-10 10:24:28.685;Dn;0.076;409.67
2021-03-10 10:24:28.874;Dn;0.084;406.37
2021-03-10 10:24:29.036;Dn;0.093;403.3
2021-03-10 10:24:29.191;Dn;0.097;401.5
2021-03-10 10:24:29.194;Dn;0.101;400.2
2021-03-10 10:24:29.356;Dn;0.109;397.07
2021-03-10 10:24:29.549;Dn;0.118;393.93
2021-03-10 10:24:29.755;Dn;0.126;390.83
2021-03-10 10:24:29.908;Dn;0.134;387.77
2021-03-10 10:24:29.998;Dn;0.135;387.4
2021-03-10 10:24:30.089;Dn;0.142;384.63
2021-03-10 10:24:30.239;Dn;0.151;381.5
2021-03-10 10:24:30.397;Dn;0.159;378.3
2021-03-10 10:24:30.571;Dn;0.167;375.27
2021-03-10 10:24:30.716;Dn;0.176;372
2021-03-10 10:24:30.795;Dn;0.176;371.9
2021-03-10 10:24:30.878;Dn;0.184;368.97
2021-03-10 10:24:31.058;Dn;0.192;365.87
2021-03-10 10:24:31.227;Dn;0.201;362.8
2021-03-10 10:24:31.401;Dn;0.209;359.7
2021-03-10 10:24:31.629;Dn;0.216;357.1
2021-03-10 10:24:31.635;Dn;0.217;356.53
2021-03-10 10:24:31.787;Dn;0.226;353.17
2021-03-10 10:24:31.932;Dn;0.235;349.97
2021-03-10 10:24:32.138;Dn;0.244;346.67
2021-03-10 10:24:32.315;Dn;0.252;343.6
2021-03-10 10:24:32.428;Dn;0.255;342.33
2021-03-10 10:24:32.473;Dn;0.260;340.57
2021-03-10 10:24:32.638;Dn;0.268;337.43
2021-03-10 10:24:32.830;Dn;0.276;334.4
2021-03-10 10:24:33.019;Dn;0.285;331.2
2021-03-10 10:24:33.260;Dn;0.292;328.37
