DateTime;UpDn;Depth;RE1Max
2021-03-10 08:58:59.662;Dn;0.000;131.2
2021-03-10 08:58:59.662;Dn;0.000;131.2
2021-03-10 08:59:06.168;Dn;0.000;171.2
2021-03-10 08:59:07.787;Dn;0.002;217.5
2021-03-10 08:59:09.402;Dn;0.050;149.3
2021-03-10 08:59:11.050;Dn;0.100;177.6
2021-03-10 08:59:12.700;Dn;0.149;212.4
2021-03-10 08:59:14.297;Dn;0.191;230.8
2021-03-10 08:59:15.928;Dn;0.248;231.9
2021-03-10 08:59:17.531;Dn;0.301;226.3
2021-03-10 08:59:19.178;Dn;0.360;199.3
2021-03-10 08:59:20.779;Dn;0.417;164.5
2021-03-10 08:59:22.441;Dn;0.484;147.4
2021-03-10 08:59:24.038;Dn;0.541;155.4
2021-03-10 08:59:25.670;Dn;0.596;162.9
2021-03-10 09:00:12.721;Dn;0.654;177.6
2021-03-10 09:00:14.361;Dn;0.672;149.8
2021-03-10 09:00:15.973;Dn;0.721;119.2
2021-03-10 09:00:17.596;Dn;0.762;111.7
2021-03-10 09:00:19.237;Dn;0.803;70.4
2021-03-10 09:00:20.843;Dn;0.836;130.8
2021-03-10 09:00:22.459;Dn;0.872;132.9
2021-03-10 09:00:24.129;Dn;0.913;103.1
2021-03-10 09:00:25.706;Dn;0.946;95.8
2021-03-10 09:00:27.325;Dn;0.987;70.2
2021-03-10 09:00:28.957;Dn;1.029;103.4
2021-03-10 09:00:30.571;Dn;1.077;133
2021-03-10 09:00:32.208;Dn;1.127;145.1
2021-03-10 09:00:33.869;Dn;1.186;161.4
2021-03-10 09:00:35.452;Dn;1.235;171.9
2021-03-10 09:00:37.066;Dn;1.285;142.2
2021-03-10 09:00:38.713;Dn;1.333;109.4
2021-03-10 09:00:40.328;Dn;1.391;109.8
2021-03-10 09:00:41.962;Dn;1.450;106.1
2021-03-10 09:00:43.563;Dn;1.516;109.9
2021-03-10 09:00:45.210;Dn;1.582;154.4
2021-03-10 09:00:46.825;Dn;1.650;170.2
2021-03-10 09:00:48.455;Dn;1.717;173.1
2021-03-10 09:00:50.105;Dn;1.783;141.4
2021-03-10 09:00:51.691;Dn;1.833;134.3
