DateTime;UpDn;Depth;TempMax
2021-03-10 08:58:58.081;Dn;0.000;0.63
2021-03-10 08:58:58.873;Dn;0.000;0.63
2021-03-10 08:59:07.003;Dn;0.000;0.63
2021-03-10 08:59:07.605;Dn;0.002;0.63
2021-03-10 08:59:08.506;Dn;0.007;0.63
2021-03-10 08:59:08.521;Dn;0.012;0.63
2021-03-10 08:59:08.652;Dn;0.028;0.63
2021-03-10 08:59:08.745;Dn;0.034;0.63
2021-03-10 08:59:09.033;Dn;0.042;0.63
2021-03-10 08:59:09.321;Dn;0.050;0.63
2021-03-10 08:59:09.485;Dn;0.053;0.63
2021-03-10 08:59:09.603;Dn;0.058;0.63
2021-03-10 08:59:09.885;Dn;0.067;0.63
2021-03-10 08:59:10.169;Dn;0.075;0.63
2021-03-10 08:59:10.302;Dn;0.076;0.63
2021-03-10 08:59:10.435;Dn;0.084;0.63
2021-03-10 08:59:10.750;Dn;0.092;0.63
2021-03-10 08:59:11.001;Dn;0.100;0.63
2021-03-10 08:59:11.068;Dn;0.101;0.63
2021-03-10 08:59:11.307;Dn;0.108;0.63
2021-03-10 08:59:11.609;Dn;0.116;0.63
2021-03-10 08:59:11.883;Dn;0.122;0.63
2021-03-10 08:59:11.918;Dn;0.124;0.63
2021-03-10 08:59:12.121;Dn;0.133;0.63
2021-03-10 08:59:12.332;Dn;0.141;0.63
2021-03-10 08:59:12.667;Dn;0.149;0.63
2021-03-10 08:59:12.700;Dn;0.150;0.63
2021-03-10 08:59:13.067;Dn;0.157;0.63
2021-03-10 08:59:13.332;Dn;0.166;0.63
2021-03-10 08:59:13.516;Dn;0.170;0.63
2021-03-10 08:59:13.566;Dn;0.174;0.63
2021-03-10 08:59:13.849;Dn;0.182;0.63
2021-03-10 08:59:14.122;Dn;0.191;0.63
2021-03-10 08:59:14.349;Dn;0.195;0.63
2021-03-10 08:59:14.390;Dn;0.199;0.63
2021-03-10 08:59:14.664;Dn;0.207;0.63
2021-03-10 08:59:14.914;Dn;0.215;0.63
2021-03-10 08:59:15.181;Dn;0.223;0.63
2021-03-10 08:59:15.195;Dn;0.223;0.63
2021-03-10 08:59:15.346;Dn;0.232;0.63
2021-03-10 08:59:15.579;Dn;0.240;0.63
2021-03-10 08:59:15.796;Dn;0.248;0.63
2021-03-10 08:59:16.619;Dn;0.253;0.63
2021-03-10 08:59:16.649;Dn;0.277;0.63
2021-03-10 08:59:16.762;Dn;0.281;0.63
2021-03-10 08:59:16.844;Dn;0.285;0.63
2021-03-10 08:59:17.100;Dn;0.293;0.63
2021-03-10 08:59:17.323;Dn;0.301;0.63
2021-03-10 08:59:17.585;Dn;0.309;0.63
2021-03-10 08:59:17.626;Dn;0.310;0.63
2021-03-10 08:59:17.805;Dn;0.319;0.63
2021-03-10 08:59:18.060;Dn;0.327;0.63
2021-03-10 08:59:18.331;Dn;0.335;0.63
2021-03-10 08:59:18.409;Dn;0.337;0.63
2021-03-10 08:59:18.554;Dn;0.343;0.63
2021-03-10 08:59:18.809;Dn;0.352;0.63
2021-03-10 08:59:19.035;Dn;0.360;0.63
2021-03-10 08:59:19.226;Dn;0.364;0.63
2021-03-10 08:59:19.276;Dn;0.368;0.63
2021-03-10 08:59:19.527;Dn;0.376;0.63
2021-03-10 08:59:19.755;Dn;0.384;0.63
2021-03-10 08:59:19.931;Dn;0.393;0.63
2021-03-10 08:59:20.043;Dn;0.393;0.63
2021-03-10 08:59:20.193;Dn;0.401;0.63
2021-03-10 08:59:20.416;Dn;0.409;0.63
2021-03-10 08:59:20.642;Dn;0.417;0.63
2021-03-10 08:59:20.859;Dn;0.424;0.63
2021-03-10 08:59:20.859;Dn;0.426;0.63
2021-03-10 08:59:21.113;Dn;0.434;0.63
2021-03-10 08:59:21.290;Dn;0.442;0.63
2021-03-10 08:59:21.514;Dn;0.450;0.63
2021-03-10 08:59:21.660;Dn;0.453;0.63
2021-03-10 08:59:21.740;Dn;0.459;0.63
2021-03-10 08:59:21.974;Dn;0.467;0.63
2021-03-10 08:59:22.240;Dn;0.475;0.63
2021-03-10 08:59:22.379;Dn;0.484;0.63
2021-03-10 08:59:22.441;Dn;0.484;0.63
2021-03-10 08:59:22.645;Dn;0.492;0.63
2021-03-10 08:59:22.827;Dn;0.500;0.63
2021-03-10 08:59:23.051;Dn;0.509;0.63
2021-03-10 08:59:23.272;Dn;0.514;0.63
2021-03-10 08:59:23.290;Dn;0.517;0.63
2021-03-10 08:59:23.522;Dn;0.525;0.63
2021-03-10 08:59:23.728;Dn;0.533;0.63
2021-03-10 08:59:23.899;Dn;0.541;0.63
2021-03-10 08:59:24.731;Dn;0.545;0.63
2021-03-10 08:59:24.789;Dn;0.551;0.63
2021-03-10 08:59:24.905;Dn;0.574;0.63
2021-03-10 08:59:24.987;Dn;0.580;0.63
2021-03-10 08:59:25.238;Dn;0.588;0.63
2021-03-10 08:59:25.469;Dn;0.596;0.63
2021-03-10 08:59:25.706;Dn;0.603;0.63
2021-03-10 08:59:25.754;Dn;0.604;0.63
2021-03-10 08:59:25.936;Dn;0.613;0.63
2021-03-10 08:59:26.186;Dn;0.621;0.63
2021-03-10 08:59:26.441;Dn;0.630;0.63
2021-03-10 08:59:26.535;Dn;0.631;0.63
2021-03-10 08:59:26.685;Dn;0.638;0.63
2021-03-10 08:59:26.929;Dn;0.646;0.63
2021-03-10 09:00:13.472;Dn;0.654;0.63
2021-03-10 09:00:13.556;Dn;0.661;0.63
2021-03-10 09:00:13.639;Dn;0.663;0.63
2021-03-10 09:00:14.188;Dn;0.672;0.63
2021-03-10 09:00:14.377;Dn;0.676;0.63
2021-03-10 09:00:14.533;Dn;0.680;0.63
2021-03-10 09:00:14.777;Dn;0.688;0.63
2021-03-10 09:00:15.048;Dn;0.696;0.63
2021-03-10 09:00:15.224;Dn;0.699;0.63
2021-03-10 09:00:15.305;Dn;0.704;0.63
2021-03-10 09:00:15.587;Dn;0.713;0.63
2021-03-10 09:00:15.874;Dn;0.721;0.63
2021-03-10 09:00:16.053;Dn;0.724;0.63
2021-03-10 09:00:16.219;Dn;0.729;0.63
2021-03-10 09:00:16.475;Dn;0.737;0.63
2021-03-10 09:00:16.810;Dn;0.745;0.63
2021-03-10 09:00:16.853;Dn;0.745;0.63
2021-03-10 09:00:17.102;Dn;0.754;0.63
2021-03-10 09:00:17.402;Dn;0.762;0.63
2021-03-10 09:00:17.636;Dn;0.767;0.63
2021-03-10 09:00:17.817;Dn;0.770;0.63
2021-03-10 09:00:18.153;Dn;0.778;0.63
2021-03-10 09:00:18.450;Dn;0.784;0.63
2021-03-10 09:00:18.478;Dn;0.786;0.63
2021-03-10 09:00:18.793;Dn;0.795;0.63
2021-03-10 09:00:19.168;Dn;0.803;0.63
2021-03-10 09:00:19.252;Dn;0.803;0.63
2021-03-10 09:00:19.600;Dn;0.811;0.63
2021-03-10 09:00:19.983;Dn;0.820;0.63
2021-03-10 09:00:20.074;Dn;0.822;0.63
2021-03-10 09:00:20.251;Dn;0.828;0.63
2021-03-10 09:00:20.666;Dn;0.836;0.63
2021-03-10 09:00:21.561;Dn;0.841;0.63
2021-03-10 09:00:21.599;Dn;0.856;0.63
2021-03-10 09:00:21.715;Dn;0.858;0.63
2021-03-10 09:00:21.914;Dn;0.864;0.63
2021-03-10 09:00:22.249;Dn;0.872;0.63
2021-03-10 09:00:22.513;Dn;0.877;0.63
2021-03-10 09:00:22.682;Dn;0.881;0.63
2021-03-10 09:00:23.049;Dn;0.889;0.63
2021-03-10 09:00:23.313;Dn;0.894;0.63
2021-03-10 09:00:23.346;Dn;0.897;0.63
2021-03-10 09:00:23.691;Dn;0.905;0.63
2021-03-10 09:00:24.163;Dn;0.913;0.63
2021-03-10 09:00:24.505;Dn;0.922;0.63
2021-03-10 09:00:24.811;Dn;0.930;0.63
2021-03-10 09:00:24.961;Dn;0.932;0.63
2021-03-10 09:00:25.112;Dn;0.938;0.63
2021-03-10 09:00:25.461;Dn;0.946;0.63
2021-03-10 09:00:25.761;Dn;0.953;0.63
2021-03-10 09:00:25.812;Dn;0.954;0.63
2021-03-10 09:00:26.196;Dn;0.962;0.63
2021-03-10 09:00:26.558;Dn;0.970;0.63
2021-03-10 09:00:26.578;Dn;0.971;0.63
2021-03-10 09:00:26.843;Dn;0.979;0.63
2021-03-10 09:00:27.209;Dn;0.987;0.63
2021-03-10 09:00:27.401;Dn;0.991;0.63
2021-03-10 09:00:27.545;Dn;0.995;0.63
2021-03-10 09:00:27.867;Dn;1.004;0.63
2021-03-10 09:00:28.108;Dn;1.012;0.63
2021-03-10 09:00:28.169;Dn;1.013;0.63
2021-03-10 09:00:28.402;Dn;1.020;0.63
2021-03-10 09:00:28.650;Dn;1.029;0.63
2021-03-10 09:00:29.673;Dn;1.036;0.63
2021-03-10 09:00:29.690;Dn;1.052;0.63
2021-03-10 09:00:29.822;Dn;1.058;0.63
2021-03-10 09:00:29.841;Dn;1.061;0.63
2021-03-10 09:00:30.140;Dn;1.069;0.63
2021-03-10 09:00:30.393;Dn;1.077;0.63
2021-03-10 09:00:30.622;Dn;1.083;0.63
2021-03-10 09:00:30.721;Dn;1.086;0.63
2021-03-10 09:00:30.955;Dn;1.094;0.63
2021-03-10 09:00:31.242;Dn;1.102;0.63
2021-03-10 09:00:31.460;Dn;1.107;0.63
2021-03-10 09:00:31.489;Dn;1.110;0.63
2021-03-10 09:00:31.755;Dn;1.119;0.63
2021-03-10 09:00:32.009;Dn;1.127;0.63
2021-03-10 09:00:32.253;Dn;1.133;0.63
2021-03-10 09:00:32.285;Dn;1.135;0.63
2021-03-10 09:00:32.554;Dn;1.143;0.63
2021-03-10 09:00:32.821;Dn;1.152;0.63
2021-03-10 09:00:33.070;Dn;1.158;0.63
2021-03-10 09:00:33.120;Dn;1.161;0.63
2021-03-10 09:00:33.291;Dn;1.169;0.63
2021-03-10 09:00:33.562;Dn;1.177;0.63
2021-03-10 09:00:33.869;Dn;1.186;0.63
2021-03-10 09:00:34.138;Dn;1.194;0.63
2021-03-10 09:00:34.368;Dn;1.202;0.63
2021-03-10 09:00:34.636;Dn;1.211;0.63
2021-03-10 09:00:34.668;Dn;1.211;0.63
2021-03-10 09:00:34.869;Dn;1.219;0.63
2021-03-10 09:00:35.152;Dn;1.227;0.63
2021-03-10 09:00:35.419;Dn;1.235;0.63
2021-03-10 09:00:35.484;Dn;1.237;0.63
2021-03-10 09:00:35.689;Dn;1.244;0.63
2021-03-10 09:00:35.968;Dn;1.252;0.63
2021-03-10 09:00:36.235;Dn;1.260;0.63
2021-03-10 09:00:36.320;Dn;1.262;0.63
2021-03-10 09:00:36.483;Dn;1.269;0.63
2021-03-10 09:00:36.722;Dn;1.277;0.63
2021-03-10 09:00:37.022;Dn;1.285;0.63
2021-03-10 09:00:37.783;Dn;1.288;0.63
2021-03-10 09:00:37.834;Dn;1.309;0.63
