DateTime;UpDn;Depth;TempMax
2021-03-10 09:18:22.669;Dn;0.000;0.69
2021-03-10 09:18:30.799;Dn;0.000;0.69
2021-03-10 09:18:31.571;Dn;0.005;0.69
2021-03-10 09:18:31.708;Dn;0.009;0.69
2021-03-10 09:18:32.041;Dn;0.018;0.69
2021-03-10 09:18:32.389;Dn;0.026;0.69
2021-03-10 09:18:32.658;Dn;0.034;0.69
2021-03-10 09:18:32.974;Dn;0.042;0.69
2021-03-10 09:18:33.204;Dn;0.047;0.69
2021-03-10 09:18:33.362;Dn;0.050;0.69
2021-03-10 09:18:33.672;Dn;0.059;0.69
2021-03-10 09:18:34.022;Dn;0.065;0.69
2021-03-10 09:18:34.037;Dn;0.067;0.69
2021-03-10 09:18:34.366;Dn;0.075;0.69
2021-03-10 09:18:34.825;Dn;0.083;0.69
2021-03-10 09:18:34.870;Dn;0.083;0.69
2021-03-10 09:18:35.236;Dn;0.092;0.69
2021-03-10 09:18:35.653;Dn;0.098;0.69
2021-03-10 09:18:35.714;Dn;0.100;0.69
2021-03-10 09:18:36.078;Dn;0.108;0.69
2021-03-10 09:18:36.470;Dn;0.114;0.69
2021-03-10 09:18:36.560;Dn;0.117;0.69
2021-03-10 09:18:36.943;Dn;0.125;0.69
2021-03-10 09:18:37.269;Dn;0.132;0.69
2021-03-10 09:18:37.284;Dn;0.134;0.69
2021-03-10 09:18:37.423;Dn;0.142;0.69
2021-03-10 09:18:37.680;Dn;0.150;0.69
2021-03-10 09:18:38.749;Dn;0.158;0.69
2021-03-10 09:18:38.774;Dn;0.170;0.69
2021-03-10 09:18:38.915;Dn;0.183;0.69
2021-03-10 09:18:39.016;Dn;0.189;0.69
2021-03-10 09:18:39.293;Dn;0.197;0.69
2021-03-10 09:18:39.534;Dn;0.206;0.69
2021-03-10 09:18:39.715;Dn;0.210;0.69
2021-03-10 09:18:39.806;Dn;0.214;0.69
2021-03-10 09:18:40.083;Dn;0.223;0.69
2021-03-10 09:18:40.301;Dn;0.231;0.69
2021-03-10 09:18:40.509;Dn;0.237;0.69
2021-03-10 09:18:40.525;Dn;0.239;0.69
2021-03-10 09:18:40.767;Dn;0.247;0.69
2021-03-10 09:18:40.947;Dn;0.256;0.69
2021-03-10 09:18:41.166;Dn;0.264;0.69
2021-03-10 09:18:41.345;Dn;0.269;0.69
2021-03-10 09:18:41.398;Dn;0.272;0.69
2021-03-10 09:18:41.616;Dn;0.280;0.69
2021-03-10 09:18:41.847;Dn;0.288;0.69
2021-03-10 09:18:42.046;Dn;0.297;0.69
2021-03-10 09:18:42.131;Dn;0.298;0.69
2021-03-10 09:18:42.254;Dn;0.305;0.69
2021-03-10 09:18:42.497;Dn;0.313;0.69
2021-03-10 09:18:42.729;Dn;0.322;0.69
2021-03-10 09:18:42.963;Dn;0.328;0.69
2021-03-10 09:18:42.979;Dn;0.330;0.69
2021-03-10 09:18:43.195;Dn;0.338;0.69
2021-03-10 09:18:43.412;Dn;0.347;0.69
2021-03-10 09:18:43.631;Dn;0.355;0.69
2021-03-10 09:18:43.758;Dn;0.359;0.69
2021-03-10 09:18:43.822;Dn;0.363;0.69
2021-03-10 09:18:44.028;Dn;0.372;0.69
2021-03-10 09:18:44.223;Dn;0.380;0.69
2021-03-10 09:18:44.463;Dn;0.388;0.69
2021-03-10 09:18:44.570;Dn;0.392;0.69
2021-03-10 09:18:44.676;Dn;0.397;0.69
2021-03-10 09:18:44.878;Dn;0.405;0.69
2021-03-10 09:18:45.095;Dn;0.413;0.69
2021-03-10 09:18:45.262;Dn;0.421;0.69
2021-03-10 09:18:45.394;Dn;0.425;0.69
2021-03-10 09:18:45.461;Dn;0.430;0.69
2021-03-10 09:18:45.661;Dn;0.438;0.69
2021-03-10 09:18:45.876;Dn;0.447;0.69
2021-03-10 09:18:46.062;Dn;0.455;0.69
2021-03-10 09:18:46.858;Dn;0.459;0.69
2021-03-10 09:18:46.907;Dn;0.473;0.69
2021-03-10 09:18:47.019;Dn;0.492;0.69
2021-03-10 09:18:47.067;Dn;0.497;0.69
2021-03-10 09:18:47.247;Dn;0.505;0.69
2021-03-10 09:18:47.441;Dn;0.514;0.69
2021-03-10 09:18:47.674;Dn;0.522;0.69
2021-03-10 09:18:47.807;Dn;0.527;0.69
2021-03-10 09:18:47.858;Dn;0.530;0.69
2021-03-10 09:18:48.058;Dn;0.539;0.69
2021-03-10 09:18:48.240;Dn;0.547;0.69
2021-03-10 09:18:48.457;Dn;0.555;0.69
2021-03-10 09:18:48.640;Dn;0.562;0.69
2021-03-10 09:18:48.673;Dn;0.563;0.69
2021-03-10 09:18:48.825;Dn;0.572;0.69
2021-03-10 09:18:49.022;Dn;0.580;0.69
2021-03-10 09:18:49.184;Dn;0.589;0.69
2021-03-10 09:18:49.472;Dn;0.597;0.69
2021-03-10 09:18:49.654;Dn;0.605;0.69
2021-03-10 09:18:49.838;Dn;0.613;0.69
2021-03-10 09:18:50.038;Dn;0.621;0.69
2021-03-10 09:18:50.256;Dn;0.629;0.69
2021-03-10 09:18:50.288;Dn;0.631;0.69
2021-03-10 09:18:50.448;Dn;0.639;0.69
2021-03-10 09:18:51.056;Dn;0.647;0.69
2021-03-10 09:18:51.886;Dn;0.647;0.69
2021-03-10 09:18:52.302;Dn;0.656;0.69
2021-03-10 09:18:52.545;Dn;0.664;0.69
2021-03-10 09:18:52.714;Dn;0.667;0.69
2021-03-10 09:18:53.488;Dn;0.668;0.69
