DateTime;UpDn;Depth;RE3Max
2021-03-10 12:58:14.438;Dn;0.001;202.5
2021-03-10 12:58:16.071;Dn;0.001;206.8
2021-03-10 12:58:38.806;Dn;0.001;245.5
2021-03-10 12:58:40.438;Dn;0.048;294.6
2021-03-10 12:58:42.039;Dn;0.090;246.5
2021-03-10 12:58:43.660;Dn;0.165;271.2
2021-03-10 12:58:45.291;Dn;0.240;167.6
2021-03-10 12:58:46.906;Dn;0.315;151.6
2021-03-10 12:58:48.544;Dn;0.390;243.6
2021-03-10 12:58:50.153;Dn;0.458;295.4
2021-03-10 12:58:51.785;Dn;0.526;291
2021-03-10 12:58:53.416;Dn;0.594;253.1
2021-03-10 12:58:55.047;Dn;0.637;217
2021-03-10 12:59:38.885;Dn;0.638;233.3
2021-03-10 12:59:40.503;Dn;0.678;256.3
2021-03-10 12:59:42.120;Dn;0.744;278.6
2021-03-10 12:59:43.766;Dn;0.801;259.1
2021-03-10 12:59:45.383;Dn;0.861;235.1
2021-03-10 12:59:47.013;Dn;0.926;173.3
2021-03-10 12:59:48.630;Dn;0.965;166.5
2021-03-10 12:59:50.248;Dn;0.988;173.7
2021-03-10 12:59:51.864;Dn;1.013;139
2021-03-10 12:59:55.111;Dn;1.043;150.3
2021-03-10 12:59:56.745;Dn;1.047;126
2021-03-10 12:59:58.360;Dn;1.106;137.7
2021-03-10 12:59:59.991;Dn;1.175;109.7
2021-03-10 13:00:01.650;Dn;1.252;44.5
2021-03-10 13:00:03.232;Dn;1.319;60.8
2021-03-10 13:00:04.846;Dn;1.385;27.7
2021-03-10 13:00:06.478;Dn;1.455;25
2021-03-10 13:00:08.093;Dn;1.516;68
2021-03-10 13:00:09.725;Dn;1.566;84.5
2021-03-10 13:00:11.338;Dn;1.629;109.2
2021-03-10 13:00:12.967;Dn;1.665;111.8
2021-03-10 13:00:14.586;Dn;1.745;115.1
2021-03-10 13:00:16.201;Dn;1.805;85
2021-03-10 13:00:17.833;Dn;1.841;90.4
2021-03-10 13:01:13.015;Dn;1.845;82.8
2021-03-10 13:01:14.646;Dn;1.855;15.7
2021-03-10 13:01:16.264;Dn;1.914;-12.8
2021-03-10 13:01:17.894;Dn;1.961;-2.1
2021-03-10 13:01:19.507;Dn;2.031;22.7
2021-03-10 13:01:21.127;Dn;2.093;1.7
2021-03-10 13:01:22.790;Dn;2.162;15.5
2021-03-10 13:01:24.401;Dn;2.223;29.1
2021-03-10 13:01:26.000;Dn;2.270;27.4
2021-03-10 13:01:27.639;Dn;2.322;43.6
2021-03-10 13:01:29.255;Dn;2.383;71.2
2021-03-10 13:01:30.872;Dn;2.447;69.1
2021-03-10 13:01:32.548;Dn;2.527;105.3
2021-03-10 13:01:34.126;Dn;2.591;76.4
2021-03-10 13:01:35.749;Dn;2.658;61.4
2021-03-10 13:01:37.372;Dn;2.725;49
2021-03-10 13:01:38.983;Dn;2.792;72.9
2021-03-10 13:01:40.619;Dn;2.858;90
2021-03-10 13:01:42.250;Dn;2.921;126.4
2021-03-10 13:01:43.871;Dn;2.995;139
2021-03-10 13:01:45.497;Dn;3.053;158
2021-03-10 13:02:24.458;Dn;3.070;142.2
2021-03-10 13:02:26.073;Dn;3.074;89.4
2021-03-10 13:02:27.718;Dn;3.125;97.3
2021-03-10 13:02:29.321;Dn;3.185;-9
2021-03-10 13:02:30.935;Dn;3.227;-44.8
2021-03-10 13:02:32.585;Dn;3.329;-59.8
2021-03-10 13:02:34.219;Dn;3.413;-30.3
2021-03-10 13:02:35.856;Dn;3.505;-67.8
2021-03-10 13:02:37.462;Dn;3.606;-107.6
2021-03-10 13:02:39.061;Dn;3.669;-108.8
2021-03-10 13:02:40.664;Dn;3.802;-91.5
2021-03-10 13:02:42.356;Dn;3.919;-108.9
2021-03-10 13:02:43.923;Dn;4.019;-90.6
2021-03-10 13:02:45.554;Dn;4.122;-33.7
2021-03-10 13:02:47.157;Dn;4.198;-62.1
2021-03-10 13:02:48.777;Dn;4.287;-40.8
2021-03-10 13:03:32.599;Dn;4.291;7.9
2021-03-10 13:03:34.215;Dn;4.319;18.2
2021-03-10 13:03:35.832;Dn;4.367;-120.9
2021-03-10 13:03:37.455;Dn;4.440;-190.4
2021-03-10 13:03:39.096;Dn;4.501;-216.4
2021-03-10 13:03:40.700;Dn;4.560;-137.3
2021-03-10 13:03:42.332;Dn;4.621;-86.4
2021-03-10 13:03:43.947;Dn;4.675;-94.2
2021-03-10 13:03:45.568;Dn;4.746;-87.4
2021-03-10 13:03:47.193;Dn;4.806;-128.8
2021-03-10 13:03:48.861;Dn;4.865;-160.4
2021-03-10 13:03:50.441;Dn;4.908;-182.1
2021-03-10 13:03:52.070;Dn;4.954;-192.1
2021-03-10 13:03:53.727;Dn;5.015;-213.1
