DateTime;UpDn;Depth;SPMax
2021-03-10 12:58:13.642;Dn;0.001;439.97
2021-03-10 12:58:16.071;Dn;0.001;440.23
2021-03-10 12:58:38.014;Dn;0.001;440.3
2021-03-10 12:58:38.806;Dn;0.004;438.8
2021-03-10 12:58:38.874;Dn;0.006;437.87
2021-03-10 12:58:39.121;Dn;0.015;434.8
2021-03-10 12:58:39.415;Dn;0.023;431.5
2021-03-10 12:58:39.639;Dn;0.027;429.97
2021-03-10 12:58:39.739;Dn;0.031;428.47
2021-03-10 12:58:40.087;Dn;0.040;425.37
2021-03-10 12:58:40.462;Dn;0.048;422.23
2021-03-10 12:58:40.678;Dn;0.056;419.13
2021-03-10 12:58:40.952;Dn;0.065;416.03
2021-03-10 12:58:41.254;Dn;0.071;413.67
2021-03-10 12:58:41.270;Dn;0.073;412.97
2021-03-10 12:58:41.528;Dn;0.081;409.77
2021-03-10 12:58:41.813;Dn;0.090;406.5
2021-03-10 12:58:42.072;Dn;0.097;404
2021-03-10 12:58:42.085;Dn;0.099;403.17
2021-03-10 12:58:42.260;Dn;0.107;400.1
2021-03-10 12:58:42.448;Dn;0.116;396.9
2021-03-10 12:58:42.662;Dn;0.124;393.83
2021-03-10 12:58:42.943;Dn;0.133;390.5
2021-03-10 12:58:43.575;Dn;0.165;378.23
2021-03-10 12:58:43.687;Dn;0.168;377.4
2021-03-10 12:58:43.759;Dn;0.174;375.1
2021-03-10 12:58:43.958;Dn;0.182;371.93
2021-03-10 12:58:44.137;Dn;0.190;368.87
2021-03-10 12:58:44.325;Dn;0.199;365.77
2021-03-10 12:58:44.487;Dn;0.205;363.27
2021-03-10 12:58:44.538;Dn;0.207;362.53
2021-03-10 12:58:44.696;Dn;0.216;359.33
2021-03-10 12:58:44.869;Dn;0.224;356.27
2021-03-10 12:58:45.042;Dn;0.232;353.23
2021-03-10 12:58:45.207;Dn;0.240;350.2
2021-03-10 12:58:45.332;Dn;0.244;348.87
2021-03-10 12:58:45.358;Dn;0.249;347.03
