DateTime;UpDn;Depth;TempMax
2021-03-10 13:21:52.314;Dn;0.002;0.75
2021-03-10 13:21:52.314;Dn;0.002;0.75
2021-03-10 13:21:52.514;Dn;0.010;0.75
2021-03-10 13:21:52.640;Dn;0.012;0.75
2021-03-10 13:21:52.773;Dn;0.018;0.75
2021-03-10 13:21:52.940;Dn;0.026;0.75
2021-03-10 13:21:53.140;Dn;0.035;0.75
2021-03-10 13:21:53.315;Dn;0.043;0.75
2021-03-10 13:21:53.457;Dn;0.047;0.75
2021-03-10 13:21:53.555;Dn;0.051;0.75
2021-03-10 13:21:53.789;Dn;0.059;0.75
2021-03-10 13:21:53.989;Dn;0.067;0.75
2021-03-10 13:21:54.305;Dn;0.074;0.75
2021-03-10 13:21:54.324;Dn;0.076;0.75
2021-03-10 13:21:54.522;Dn;0.084;0.75
2021-03-10 13:21:54.774;Dn;0.093;0.75
2021-03-10 13:21:55.003;Dn;0.101;0.75
2021-03-10 13:21:55.107;Dn;0.101;0.75
2021-03-10 13:21:55.321;Dn;0.109;0.75
2021-03-10 13:21:55.570;Dn;0.118;0.75
2021-03-10 13:21:55.787;Dn;0.126;0.75
2021-03-10 13:21:55.906;Dn;0.129;0.75
2021-03-10 13:21:55.970;Dn;0.134;0.75
2021-03-10 13:21:56.193;Dn;0.142;0.75
2021-03-10 13:21:56.436;Dn;0.151;0.75
2021-03-10 13:21:56.670;Dn;0.159;0.75
2021-03-10 13:21:57.380;Dn;0.159;0.75
2021-03-10 13:21:57.407;Dn;0.170;0.75
2021-03-10 13:21:57.521;Dn;0.187;0.75
2021-03-10 13:21:57.601;Dn;0.193;0.75
2021-03-10 13:21:57.848;Dn;0.201;0.75
2021-03-10 13:21:58.068;Dn;0.209;0.75
2021-03-10 13:21:58.316;Dn;0.217;0.75
2021-03-10 13:21:58.372;Dn;0.218;0.75
2021-03-10 13:21:58.499;Dn;0.225;0.75
2021-03-10 13:21:58.689;Dn;0.234;0.75
2021-03-10 13:21:58.900;Dn;0.242;0.75
2021-03-10 13:21:59.163;Dn;0.250;0.75
2021-03-10 13:21:59.186;Dn;0.252;0.75
2021-03-10 13:21:59.340;Dn;0.260;0.75
2021-03-10 13:21:59.583;Dn;0.269;0.75
2021-03-10 13:21:59.783;Dn;0.277;0.75
2021-03-10 13:22:00.000;Dn;0.282;0.75
2021-03-10 13:22:00.018;Dn;0.285;0.75
2021-03-10 13:22:00.249;Dn;0.293;0.75
2021-03-10 13:22:00.447;Dn;0.301;0.75
2021-03-10 13:22:00.675;Dn;0.310;0.75
2021-03-10 13:22:00.825;Dn;0.312;0.75
2021-03-10 13:22:00.881;Dn;0.319;0.75
2021-03-10 13:22:01.124;Dn;0.327;0.75
2021-03-10 13:22:01.382;Dn;0.336;0.75
2021-03-10 13:22:01.608;Dn;0.342;0.75
2021-03-10 13:22:01.667;Dn;0.344;0.75
2021-03-10 13:22:01.848;Dn;0.353;0.75
2021-03-10 13:22:02.082;Dn;0.361;0.75
2021-03-10 13:22:02.305;Dn;0.370;0.75
2021-03-10 13:22:02.427;Dn;0.371;0.75
2021-03-10 13:22:02.530;Dn;0.378;0.75
2021-03-10 13:22:02.735;Dn;0.386;0.75
2021-03-10 13:22:02.980;Dn;0.394;0.75
2021-03-10 13:22:03.297;Dn;0.403;0.75
2021-03-10 13:22:03.413;Dn;0.411;0.75
2021-03-10 13:22:03.646;Dn;0.419;0.75
2021-03-10 13:22:03.829;Dn;0.428;0.75
2021-03-10 13:22:04.034;Dn;0.433;0.75
2021-03-10 13:22:04.072;Dn;0.436;0.75
2021-03-10 13:22:04.273;Dn;0.444;0.75
2021-03-10 13:22:04.511;Dn;0.453;0.75
2021-03-10 13:22:04.714;Dn;0.461;0.75
2021-03-10 13:22:05.517;Dn;0.464;0.75
2021-03-10 13:22:05.565;Dn;0.480;0.75
2021-03-10 13:22:05.665;Dn;0.494;0.75
2021-03-10 13:22:05.760;Dn;0.500;0.75
2021-03-10 13:22:05.954;Dn;0.508;0.75
2021-03-10 13:22:06.219;Dn;0.516;0.75
2021-03-10 13:22:06.509;Dn;0.525;0.75
2021-03-10 13:22:06.659;Dn;0.533;0.75
2021-03-10 13:22:06.909;Dn;0.541;0.75
2021-03-10 13:22:07.159;Dn;0.549;0.75
2021-03-10 13:22:07.297;Dn;0.552;0.75
2021-03-10 13:22:07.377;Dn;0.557;0.75
2021-03-10 13:22:07.692;Dn;0.566;0.75
2021-03-10 13:22:07.941;Dn;0.574;0.75
2021-03-10 13:22:08.108;Dn;0.577;0.75
2021-03-10 13:22:08.258;Dn;0.582;0.75
2021-03-10 13:22:08.482;Dn;0.590;0.75
2021-03-10 13:22:08.757;Dn;0.598;0.75
2021-03-10 13:22:08.942;Dn;0.600;0.75
2021-03-10 13:22:09.090;Dn;0.607;0.75
2021-03-10 13:22:09.332;Dn;0.615;0.75
2021-03-10 13:22:09.640;Dn;0.623;0.75
2021-03-10 13:22:09.756;Dn;0.624;0.75
2021-03-10 13:22:09.926;Dn;0.631;0.75
2021-03-10 13:22:10.272;Dn;0.640;0.75
2021-03-10 13:23:00.282;Dn;0.643;0.75
2021-03-10 13:23:00.386;Dn;0.644;0.75
2021-03-10 13:23:00.785;Dn;0.653;0.75
2021-03-10 13:23:00.872;Dn;0.655;0.75
2021-03-10 13:23:00.959;Dn;0.661;0.75
2021-03-10 13:23:01.171;Dn;0.669;0.75
2021-03-10 13:23:01.555;Dn;0.678;0.75
2021-03-10 13:23:02.349;Dn;0.681;0.75
2021-03-10 13:23:02.395;Dn;0.704;0.75
2021-03-10 13:23:02.486;Dn;0.710;0.75
2021-03-10 13:23:02.512;Dn;0.713;0.75
2021-03-10 13:23:02.705;Dn;0.721;0.75
2021-03-10 13:23:02.943;Dn;0.730;0.75
2021-03-10 13:23:03.137;Dn;0.738;0.75
2021-03-10 13:23:03.322;Dn;0.742;0.75
2021-03-10 13:23:03.404;Dn;0.746;0.75
