DateTime;UpDn;Depth;TempMax
2021-03-10 11:39:10.858;Dn;0.000;0.52
2021-03-10 11:39:11.670;Dn;0.000;0.52
2021-03-10 11:39:14.901;Dn;0.001;0.52
2021-03-10 11:39:15.720;Dn;0.001;0.52
2021-03-10 11:39:16.086;Dn;0.006;0.52
2021-03-10 11:39:16.357;Dn;0.014;0.52
2021-03-10 11:39:16.550;Dn;0.019;0.52
2021-03-10 11:39:16.582;Dn;0.022;0.52
2021-03-10 11:39:16.758;Dn;0.030;0.52
2021-03-10 11:39:17.005;Dn;0.039;0.52
2021-03-10 11:39:17.225;Dn;0.047;0.52
2021-03-10 11:39:17.333;Dn;0.049;0.52
2021-03-10 11:39:17.480;Dn;0.055;0.52
2021-03-10 11:39:17.707;Dn;0.063;0.52
2021-03-10 11:39:17.907;Dn;0.072;0.52
2021-03-10 11:39:18.197;Dn;0.080;0.52
2021-03-10 11:39:18.333;Dn;0.088;0.52
2021-03-10 11:39:18.530;Dn;0.097;0.52
2021-03-10 11:39:18.757;Dn;0.105;0.52
2021-03-10 11:39:18.975;Dn;0.113;0.52
2021-03-10 11:39:19.008;Dn;0.114;0.52
2021-03-10 11:39:19.208;Dn;0.122;0.52
2021-03-10 11:39:19.381;Dn;0.131;0.52
2021-03-10 11:39:19.630;Dn;0.139;0.52
2021-03-10 11:39:19.798;Dn;0.144;0.52
2021-03-10 11:39:19.817;Dn;0.147;0.52
2021-03-10 11:39:19.973;Dn;0.155;0.52
2021-03-10 11:39:20.231;Dn;0.163;0.52
2021-03-10 11:39:20.445;Dn;0.172;0.52
2021-03-10 11:39:21.254;Dn;0.174;0.46
2021-03-10 11:39:21.285;Dn;0.198;0.46
2021-03-10 11:39:21.417;Dn;0.207;0.46
2021-03-10 11:39:21.519;Dn;0.215;0.46
2021-03-10 11:39:21.717;Dn;0.223;0.46
2021-03-10 11:39:21.920;Dn;0.231;0.46
2021-03-10 11:39:22.149;Dn;0.240;0.46
2021-03-10 11:39:22.238;Dn;0.241;0.46
