DateTime;UpDn;Depth;RE3Max
2021-03-10 12:12:15.713;Dn;0.000;258.6
2021-03-10 12:12:18.953;Dn;0.000;258.6
2021-03-10 12:12:23.824;Dn;0.000;250.1
2021-03-10 12:12:25.456;Dn;0.011;270.3
2021-03-10 12:12:27.101;Dn;0.085;302
2021-03-10 12:12:28.705;Dn;0.151;263
2021-03-10 12:12:30.336;Dn;0.226;228.4
2021-03-10 12:12:31.968;Dn;0.300;253.6
2021-03-10 12:12:33.567;Dn;0.346;238.5
2021-03-10 12:12:35.201;Dn;0.437;189.2
2021-03-10 12:12:36.816;Dn;0.505;185.2
2021-03-10 12:12:38.433;Dn;0.571;172.2
2021-03-10 12:12:40.063;Dn;0.623;162.6
2021-03-10 12:13:28.752;Dn;0.625;170.3
2021-03-10 12:13:30.383;Dn;0.648;126.4
2021-03-10 12:13:32.001;Dn;0.729;118
2021-03-10 12:13:33.632;Dn;0.798;102.9
2021-03-10 12:13:35.314;Dn;0.873;91.6
2021-03-10 12:13:36.880;Dn;0.947;97.9
2021-03-10 12:13:38.495;Dn;1.000;103.9
2021-03-10 12:13:40.128;Dn;1.099;110.5
2021-03-10 12:13:41.744;Dn;1.182;132.1
2021-03-10 12:13:43.376;Dn;1.256;154.1
2021-03-10 12:13:44.991;Dn;1.331;174.7
2021-03-10 12:13:46.623;Dn;1.410;184
2021-03-10 12:13:48.240;Dn;1.485;204.9
2021-03-10 12:13:49.873;Dn;1.553;212.1
2021-03-10 12:13:51.503;Dn;1.619;213.4
2021-03-10 12:13:53.120;Dn;1.670;225.7
2021-03-10 12:13:54.735;Dn;1.722;236.9
2021-03-10 12:13:56.402;Dn;1.803;183.1
2021-03-10 12:13:57.985;Dn;1.854;148.5
2021-03-10 12:14:45.057;Dn;1.862;113.2
2021-03-10 12:14:46.672;Dn;1.884;-5
2021-03-10 12:14:48.305;Dn;1.960;-20.4
2021-03-10 12:14:49.921;Dn;2.027;44.3
2021-03-10 12:14:51.552;Dn;2.092;134.6
2021-03-10 12:14:53.168;Dn;2.178;174.8
2021-03-10 12:14:54.854;Dn;2.253;178.3
2021-03-10 12:14:56.416;Dn;2.319;180.1
2021-03-10 12:14:58.048;Dn;2.395;125.8
2021-03-10 12:14:59.664;Dn;2.461;101.5
2021-03-10 12:15:01.297;Dn;2.519;110.7
2021-03-10 12:15:02.911;Dn;2.546;66.7
2021-03-10 12:15:04.545;Dn;2.581;61.2
2021-03-10 12:15:06.161;Dn;2.634;65.4
2021-03-10 12:15:07.776;Dn;2.679;60.2
2021-03-10 12:15:09.425;Dn;2.732;48.4
2021-03-10 12:15:11.014;Dn;2.765;80.9
2021-03-10 12:15:12.655;Dn;2.816;81.9
2021-03-10 12:15:14.322;Dn;2.866;127.9
2021-03-10 12:15:15.903;Dn;2.908;120.9
2021-03-10 12:15:17.554;Dn;2.972;127.1
2021-03-10 12:15:19.153;Dn;3.016;146.1
2021-03-10 12:15:20.769;Dn;3.050;146.8
2021-03-10 12:16:04.609;Dn;3.058;183.2
2021-03-10 12:16:06.241;Dn;3.068;144.2
2021-03-10 12:16:07.855;Dn;3.084;136.6
2021-03-10 12:16:09.489;Dn;3.110;136.3
2021-03-10 12:16:11.105;Dn;3.144;148.6
2021-03-10 12:16:12.737;Dn;3.173;137.5
2021-03-10 12:16:14.351;Dn;3.218;150.8
2021-03-10 12:16:15.967;Dn;3.260;170.9
2021-03-10 12:16:17.600;Dn;3.302;188.7
2021-03-10 12:16:19.216;Dn;3.345;174.5
2021-03-10 12:16:20.834;Dn;3.380;196
2021-03-10 12:16:22.464;Dn;3.425;203.4
2021-03-10 12:16:24.096;Dn;3.467;222.6
2021-03-10 12:16:25.712;Dn;3.508;245.8
2021-03-10 12:16:27.328;Dn;3.550;256
2021-03-10 12:16:28.960;Dn;3.585;205
2021-03-10 12:16:30.576;Dn;3.639;199.1
2021-03-10 12:16:32.208;Dn;3.684;205.6
2021-03-10 12:16:33.824;Dn;3.726;221.4
2021-03-10 12:16:35.455;Dn;3.777;266.8
2021-03-10 12:16:37.088;Dn;3.815;243.3
2021-03-10 12:16:38.688;Dn;3.874;255
2021-03-10 12:16:40.335;Dn;3.916;271.1
2021-03-10 12:16:42.002;Dn;3.967;245.3
2021-03-10 12:16:43.584;Dn;4.001;233.2
2021-03-10 12:16:45.216;Dn;4.029;262.5
2021-03-10 12:16:46.833;Dn;4.074;309.8
2021-03-10 12:16:48.465;Dn;4.107;292.4
2021-03-10 12:16:50.097;Dn;4.149;219.5
2021-03-10 12:16:51.713;Dn;4.183;218.4
2021-03-10 12:16:53.344;Dn;4.211;196.7
2021-03-10 12:16:54.961;Dn;4.248;200.9
2021-03-10 12:17:42.096;Dn;4.267;221.9
2021-03-10 12:17:43.713;Dn;4.278;221.1
2021-03-10 12:17:45.345;Dn;4.294;168.8
2021-03-10 12:17:46.959;Dn;4.327;161.1
2021-03-10 12:17:48.592;Dn;4.370;183.9
2021-03-10 12:17:50.208;Dn;4.399;245.2
2021-03-10 12:17:51.841;Dn;4.444;210.4
2021-03-10 12:17:53.456;Dn;4.486;214.1
