DateTime;UpDn;Depth;SPMax
2021-03-10 12:12:14.911;Dn;0.000;441.57
2021-03-10 12:12:18.976;Dn;0.000;442.03
2021-03-10 12:12:24.656;Dn;0.000;441.97
2021-03-10 12:12:25.360;Dn;0.011;437.5
2021-03-10 12:12:25.488;Dn;0.021;433.67
2021-03-10 12:12:25.536;Dn;0.027;431.3
2021-03-10 12:12:25.697;Dn;0.036;428.23
2021-03-10 12:12:25.856;Dn;0.044;425.17
2021-03-10 12:12:26.016;Dn;0.052;422
2021-03-10 12:12:26.208;Dn;0.060;418.97
2021-03-10 12:12:26.303;Dn;0.062;418.43
2021-03-10 12:12:26.417;Dn;0.069;415.83
2021-03-10 12:12:26.719;Dn;0.077;412.7
2021-03-10 12:12:27.041;Dn;0.085;409.63
2021-03-10 12:12:27.101;Dn;0.086;409.3
2021-03-10 12:12:27.265;Dn;0.094;406.43
2021-03-10 12:12:27.441;Dn;0.102;403.4
2021-03-10 12:12:27.633;Dn;0.110;400.37
2021-03-10 12:12:27.809;Dn;0.118;397.3
2021-03-10 12:12:27.922;Dn;0.120;396.67
2021-03-10 12:12:28.031;Dn;0.126;394.23
2021-03-10 12:12:28.208;Dn;0.135;391.07
2021-03-10 12:12:28.447;Dn;0.143;388
2021-03-10 12:12:28.641;Dn;0.151;384.93
2021-03-10 12:12:28.705;Dn;0.153;384.27
2021-03-10 12:12:28.833;Dn;0.159;381.9
2021-03-10 12:12:29.008;Dn;0.168;378.67
2021-03-10 12:12:29.216;Dn;0.176;375.47
2021-03-10 12:12:29.393;Dn;0.185;372.4
2021-03-10 12:12:29.520;Dn;0.188;371.07
2021-03-10 12:12:29.583;Dn;0.193;369.3
2021-03-10 12:12:29.776;Dn;0.201;366.13
2021-03-10 12:12:29.937;Dn;0.209;363.1
2021-03-10 12:12:30.112;Dn;0.217;360.07
2021-03-10 12:12:30.353;Dn;0.226;356.9
2021-03-10 12:12:30.464;Dn;0.234;353.77
2021-03-10 12:12:30.639;Dn;0.243;350.63
2021-03-10 12:12:30.831;Dn;0.251;347.57
2021-03-10 12:12:31.008;Dn;0.259;344.53
2021-03-10 12:12:31.169;Dn;0.264;342.7
2021-03-10 12:12:31.202;Dn;0.267;341.5
2021-03-10 12:12:31.360;Dn;0.275;338.4
2021-03-10 12:12:31.536;Dn;0.283;335.33
2021-03-10 12:12:31.711;Dn;0.292;332.3
2021-03-10 12:12:31.903;Dn;0.300;329.17
2021-03-10 12:12:31.968;Dn;0.300;328.97
2021-03-10 12:12:32.063;Dn;0.308;326
2021-03-10 12:12:32.272;Dn;0.317;322.87
2021-03-10 12:12:32.463;Dn;0.325;319.7
2021-03-10 12:12:32.656;Dn;0.333;316.6
2021-03-10 12:12:32.784;Dn;0.337;315.13
2021-03-10 12:12:33.496;Dn;0.346;311.7
2021-03-10 12:12:33.600;Dn;0.374;301.57
2021-03-10 12:12:33.648;Dn;0.379;299.67
2021-03-10 12:12:33.855;Dn;0.387;296.63
2021-03-10 12:12:34.032;Dn;0.395;293.53
2021-03-10 12:12:34.208;Dn;0.403;290.5
2021-03-10 12:12:34.383;Dn;0.408;288.57
2021-03-10 12:12:34.449;Dn;0.412;287.23
2021-03-10 12:12:34.625;Dn;0.420;284.03
2021-03-10 12:12:34.801;Dn;0.428;280.97
2021-03-10 12:12:35.008;Dn;0.437;277.93
2021-03-10 12:12:35.201;Dn;0.444;275.1
2021-03-10 12:12:35.248;Dn;0.446;274.4
2021-03-10 12:12:35.425;Dn;0.454;271.23
2021-03-10 12:12:35.600;Dn;0.463;268.2
2021-03-10 12:12:35.807;Dn;0.471;265.13
2021-03-10 12:12:36.031;Dn;0.478;262.5
2021-03-10 12:12:36.032;Dn;0.479;261.93
2021-03-10 12:12:36.256;Dn;0.488;258.7
2021-03-10 12:12:36.465;Dn;0.496;255.57
2021-03-10 12:12:36.656;Dn;0.505;252.4
2021-03-10 12:12:36.866;Dn;0.511;250.13
2021-03-10 12:12:36.873;Dn;0.513;249.1
2021-03-10 12:12:37.023;Dn;0.522;246.07
2021-03-10 12:12:37.217;Dn;0.530;242.93
2021-03-10 12:12:37.402;Dn;0.538;239.87
2021-03-10 12:12:37.633;Dn;0.546;236.87
2021-03-10 12:12:37.700;Dn;0.546;236.8
2021-03-10 12:12:37.809;Dn;0.554;233.77
2021-03-10 12:12:38.017;Dn;0.562;230.73
2021-03-10 12:12:38.195;Dn;0.571;227.5
2021-03-10 12:12:38.467;Dn;0.578;224.97
2021-03-10 12:12:38.496;Dn;0.580;224.1
2021-03-10 12:12:38.640;Dn;0.588;221.03
2021-03-10 12:12:38.864;Dn;0.597;217.87
2021-03-10 12:12:39.073;Dn;0.605;214.83
2021-03-10 12:12:39.282;Dn;0.610;212.9
2021-03-10 12:12:39.311;Dn;0.613;211.67
2021-03-10 12:12:39.600;Dn;0.623;208.13
2021-03-10 12:13:28.944;Dn;0.625;708.97
2021-03-10 12:13:29.168;Dn;0.631;660.5
2021-03-10 12:13:29.377;Dn;0.640;657.3
2021-03-10 12:13:29.601;Dn;0.646;654.87
2021-03-10 12:13:30.307;Dn;0.648;654.13
2021-03-10 12:13:30.415;Dn;0.674;644.57
2021-03-10 12:13:30.463;Dn;0.679;642.47
2021-03-10 12:13:30.689;Dn;0.687;639.37
2021-03-10 12:13:30.881;Dn;0.696;636.23
2021-03-10 12:13:31.087;Dn;0.704;633.1
2021-03-10 12:13:31.216;Dn;0.706;632.33
2021-03-10 12:13:31.361;Dn;0.712;630.07
2021-03-10 12:13:31.553;Dn;0.720;627
2021-03-10 12:13:31.776;Dn;0.729;623.97
2021-03-10 12:13:32.016;Dn;0.736;621
2021-03-10 12:13:32.066;Dn;0.739;620.13
2021-03-10 12:13:32.225;Dn;0.747;617.07
2021-03-10 12:13:32.433;Dn;0.755;613.97
2021-03-10 12:13:32.657;Dn;0.764;610.83
2021-03-10 12:13:32.848;Dn;0.770;608.47
2021-03-10 12:13:32.897;Dn;0.772;607.77
2021-03-10 12:13:33.071;Dn;0.780;604.57
2021-03-10 12:13:33.297;Dn;0.789;601.43
2021-03-10 12:13:33.489;Dn;0.798;598.1
2021-03-10 12:13:33.648;Dn;0.802;596.43
2021-03-10 12:13:33.696;Dn;0.806;594.9
2021-03-10 12:13:33.873;Dn;0.814;591.87
2021-03-10 12:13:34.080;Dn;0.822;588.83
2021-03-10 12:13:34.273;Dn;0.831;585.7
2021-03-10 12:13:34.448;Dn;0.837;583.2
2021-03-10 12:13:34.524;Dn;0.839;582.57
2021-03-10 12:13:34.672;Dn;0.847;579.4
2021-03-10 12:13:34.865;Dn;0.856;576.33
2021-03-10 12:13:35.040;Dn;0.864;573.1
2021-03-10 12:13:35.314;Dn;0.873;569.97
2021-03-10 12:13:35.376;Dn;0.881;566.93
2021-03-10 12:13:35.568;Dn;0.889;563.67
2021-03-10 12:13:35.743;Dn;0.898;560.63
