DateTime;UpDn;Depth;RE1Max
2021-02-24 14:34:19.017;Dn;0.000;392.1
2021-02-24 14:34:20.663;Dn;0.000;397.7
2021-02-24 14:34:23.898;Dn;0.000;411.6
2021-02-24 14:34:25.562;Dn;0.047;220.5
2021-02-24 14:34:27.146;Dn;0.089;-31.2
2021-02-24 14:34:28.777;Dn;0.155;74.6
2021-02-24 14:34:30.407;Dn;0.221;345.2
2021-02-24 14:34:32.026;Dn;0.272;348.7
2021-02-24 14:34:33.659;Dn;0.321;379.7
2021-02-24 14:34:35.274;Dn;0.419;374.2
2021-02-24 14:34:36.905;Dn;0.460;354
2021-02-24 14:34:38.538;Dn;0.493;350.5
2021-02-24 14:34:40.184;Dn;0.534;361.4
2021-02-24 14:34:41.801;Dn;0.576;383
2021-02-24 14:34:43.417;Dn;0.626;388
2021-02-24 14:34:45.063;Dn;0.680;362
2021-02-24 14:34:46.680;Dn;0.721;409.1
2021-02-24 14:35:43.550;Dn;0.722;424.7
2021-02-24 14:35:45.178;Dn;0.730;388.8
2021-02-24 14:35:46.808;Dn;0.804;365.6
2021-02-24 14:35:48.424;Dn;0.882;354.7
2021-02-24 14:35:50.064;Dn;0.963;358.4
2021-02-24 14:35:51.682;Dn;1.048;389.1
2021-02-24 14:35:53.320;Dn;1.114;368
2021-02-24 14:35:54.952;Dn;1.199;320.2
2021-02-24 14:35:56.559;Dn;1.274;256.5
2021-02-24 14:35:58.186;Dn;1.351;129
2021-02-24 14:35:59.818;Dn;1.419;82
2021-02-24 14:36:01.482;Dn;1.489;6.4
2021-02-24 14:36:03.070;Dn;1.550;-65.5
2021-02-24 14:36:04.679;Dn;1.599;-112.1
2021-02-24 14:36:06.361;Dn;1.657;-105.3
2021-02-24 14:36:07.914;Dn;1.709;-133.5
2021-02-24 14:36:09.546;Dn;1.761;-160.2
2021-02-24 14:36:11.179;Dn;1.822;-200
2021-02-24 14:36:12.794;Dn;1.880;-228.2
2021-02-24 14:36:14.410;Dn;1.928;-254.5
2021-02-24 14:36:16.051;Dn;1.979;-283.3
2021-02-24 14:36:58.250;Dn;1.996;-320.4
2021-02-24 14:36:59.865;Dn;2.002;-338.7
2021-02-24 14:37:01.512;Dn;2.062;-364.9
2021-02-24 14:37:03.112;Dn;2.107;-392.5
2021-02-24 14:37:04.746;Dn;2.152;-373.3
2021-02-24 14:37:06.372;Dn;2.203;-345.5
2021-02-24 14:37:07.977;Dn;2.255;-335.2
2021-02-24 14:37:09.623;Dn;2.300;-340.5
2021-02-24 14:37:11.225;Dn;2.346;-371.4
2021-02-24 14:37:12.859;Dn;2.398;-389.6
2021-02-24 14:37:14.473;Dn;2.450;-407.3
2021-02-24 14:37:16.105;Dn;2.486;-410.5
2021-02-24 14:37:17.720;Dn;2.521;-424.3
2021-02-24 14:37:19.353;Dn;2.574;-397.3
2021-02-24 14:37:21.034;Dn;2.634;-388.1
2021-02-24 14:37:22.617;Dn;2.678;-430
2021-02-24 14:37:24.222;Dn;2.720;-410.8
2021-02-24 14:37:25.849;Dn;2.772;-386.1
2021-02-24 14:37:27.483;Dn;2.825;-385.9
2021-02-24 14:37:29.109;Dn;2.879;-390.9
2021-02-24 14:37:30.771;Dn;2.939;-367.8
2021-02-24 14:37:32.340;Dn;2.992;-380.3
2021-02-24 14:37:33.976;Dn;3.054;-372.6
2021-02-24 14:37:35.578;Dn;3.115;-402.1
2021-02-24 14:37:37.209;Dn;3.179;-410.2
2021-02-24 14:38:21.034;Dn;3.188;-416.4
2021-02-24 14:38:22.668;Dn;3.194;-427.5
2021-02-24 14:38:24.281;Dn;3.264;-423.7
2021-02-24 14:38:25.913;Dn;3.324;-423.1
2021-02-24 14:38:27.543;Dn;3.384;-410.8
2021-02-24 14:38:29.175;Dn;3.445;-426.2
2021-02-24 14:38:30.790;Dn;3.512;-402.7
2021-02-24 14:38:32.422;Dn;3.591;-390.8
2021-02-24 14:38:34.067;Dn;3.675;-373.8
2021-02-24 14:38:35.642;Dn;3.760;-367.8
2021-02-24 14:38:37.287;Dn;3.829;-364.3
2021-02-24 14:38:38.890;Dn;3.913;-354.4
2021-02-24 14:38:40.557;Dn;3.973;-369
2021-02-24 14:38:42.164;Dn;4.030;-363.9
2021-02-24 14:38:43.769;Dn;4.093;-347
2021-02-24 14:38:45.386;Dn;4.163;-367.2
2021-02-24 14:38:47.018;Dn;4.240;-380.3
2021-02-24 14:38:48.653;Dn;4.331;-346.9
2021-02-24 14:39:34.090;Dn;4.366;-340.4
2021-02-24 14:39:35.721;Dn;4.399;-367.1
2021-02-24 14:39:37.380;Dn;4.465;-378.1
