DateTime;UpDn;Depth;SPMax
2021-02-24 14:34:17.433;Dn;0.000;456.97
2021-02-24 14:34:19.850;Dn;0.000;457.2
2021-02-24 14:34:23.928;Dn;0.000;457.07
2021-02-24 14:34:24.478;Dn;0.005;455.2
2021-02-24 14:34:24.762;Dn;0.014;451.97
2021-02-24 14:34:24.858;Dn;0.022;448.93
2021-02-24 14:34:25.081;Dn;0.030;445.7
2021-02-24 14:34:25.280;Dn;0.039;442.63
2021-02-24 14:34:25.480;Dn;0.047;439.6
2021-02-24 14:34:25.562;Dn;0.049;438.9
2021-02-24 14:34:25.691;Dn;0.055;436.5
2021-02-24 14:34:25.916;Dn;0.064;433.23
2021-02-24 14:34:26.182;Dn;0.072;430
2021-02-24 14:34:26.346;Dn;0.075;428.83
2021-02-24 14:34:26.499;Dn;0.080;426.97
2021-02-24 14:34:26.849;Dn;0.089;423.9
2021-02-24 14:34:27.199;Dn;0.092;422.5
2021-02-24 14:34:27.880;Dn;0.113;414.8
2021-02-24 14:34:28.001;Dn;0.118;413
2021-02-24 14:34:28.007;Dn;0.121;411.77
2021-02-24 14:34:28.167;Dn;0.130;408.47
2021-02-24 14:34:28.314;Dn;0.138;405.37
2021-02-24 14:34:28.503;Dn;0.146;402.23
2021-02-24 14:34:28.667;Dn;0.155;399.03
2021-02-24 14:34:28.777;Dn;0.158;397.83
2021-02-24 14:34:28.884;Dn;0.163;396
2021-02-24 14:34:29.064;Dn;0.171;392.97
2021-02-24 14:34:29.235;Dn;0.179;389.93
2021-02-24 14:34:29.417;Dn;0.188;386.63
2021-02-24 14:34:29.641;Dn;0.195;384.03
2021-02-24 14:34:29.644;Dn;0.197;383.4
2021-02-24 14:34:29.787;Dn;0.205;380.37
2021-02-24 14:34:30.010;Dn;0.213;377.17
2021-02-24 14:34:30.234;Dn;0.221;374.13
2021-02-24 14:34:30.441;Dn;0.225;372.57
2021-02-24 14:34:30.473;Dn;0.229;371.1
2021-02-24 14:34:30.655;Dn;0.237;368.07
2021-02-24 14:34:30.912;Dn;0.246;365
2021-02-24 14:34:31.257;Dn;0.252;362.47
2021-02-24 14:34:31.287;Dn;0.254;361.73
2021-02-24 14:34:31.530;Dn;0.263;358.5
2021-02-24 14:34:31.817;Dn;0.272;355.27
2021-02-24 14:34:32.074;Dn;0.277;353.4
2021-02-24 14:34:32.109;Dn;0.280;352.17
2021-02-24 14:34:32.361;Dn;0.288;349.13
2021-02-24 14:34:32.610;Dn;0.296;346
2021-02-24 14:34:32.889;Dn;0.302;343.77
2021-02-24 14:34:32.911;Dn;0.305;342.9
2021-02-24 14:34:33.175;Dn;0.313;339.83
2021-02-24 14:34:33.464;Dn;0.321;336.77
2021-02-24 14:34:33.659;Dn;0.327;334.67
2021-02-24 14:34:33.758;Dn;0.330;333.47
2021-02-24 14:34:33.995;Dn;0.338;330.37
2021-02-24 14:34:34.280;Dn;0.346;327.33
2021-02-24 14:34:34.424;Dn;0.355;324.1
2021-02-24 14:34:34.497;Dn;0.359;322.33
2021-02-24 14:34:34.535;Dn;0.375;316.57
2021-02-24 14:34:34.682;Dn;0.403;306.13
2021-02-24 14:34:35.082;Dn;0.419;299.93
2021-02-24 14:34:35.317;Dn;0.424;298.07
2021-02-24 14:34:36.008;Dn;0.435;293.97
2021-02-24 14:34:36.139;Dn;0.441;291.7
2021-02-24 14:34:36.189;Dn;0.443;290.9
2021-02-24 14:34:36.491;Dn;0.452;287.8
2021-02-24 14:34:36.820;Dn;0.460;284.67
2021-02-24 14:34:36.956;Dn;0.461;284.1
2021-02-24 14:34:37.257;Dn;0.468;281.6
2021-02-24 14:34:37.642;Dn;0.477;278.43
2021-02-24 14:34:37.753;Dn;0.477;278.1
2021-02-24 14:34:38.039;Dn;0.485;275.4
2021-02-24 14:34:38.346;Dn;0.493;272.27
2021-02-24 14:34:38.568;Dn;0.496;271.2
2021-02-24 14:34:38.745;Dn;0.501;269.2
2021-02-24 14:34:39.127;Dn;0.509;266.17
2021-02-24 14:34:39.402;Dn;0.515;264.13
2021-02-24 14:34:39.438;Dn;0.517;263.13
2021-02-24 14:34:39.743;Dn;0.526;259.97
2021-02-24 14:34:40.058;Dn;0.534;256.87
2021-02-24 14:34:40.201;Dn;0.536;256
2021-02-24 14:34:40.361;Dn;0.542;253.83
2021-02-24 14:34:40.682;Dn;0.551;250.7
2021-02-24 14:34:41.000;Dn;0.558;247.77
2021-02-24 14:34:41.035;Dn;0.559;247.4
2021-02-24 14:34:41.310;Dn;0.568;244.33
2021-02-24 14:34:41.632;Dn;0.576;241.1
2021-02-24 14:34:41.801;Dn;0.580;239.77
2021-02-24 14:34:41.928;Dn;0.584;238
2021-02-24 14:34:42.234;Dn;0.592;234.97
2021-02-24 14:34:42.506;Dn;0.601;231.8
2021-02-24 14:34:42.663;Dn;0.603;231.1
2021-02-24 14:34:42.735;Dn;0.609;228.77
2021-02-24 14:34:43.000;Dn;0.617;225.67
2021-02-24 14:34:43.242;Dn;0.626;222.47
2021-02-24 14:34:43.479;Dn;0.633;219.97
2021-02-24 14:34:44.152;Dn;0.642;216.27
2021-02-24 14:34:44.282;Dn;0.658;210.5
2021-02-24 14:34:44.369;Dn;0.664;208.2
2021-02-24 14:34:44.631;Dn;0.672;205.17
2021-02-24 14:34:44.919;Dn;0.680;202.13
2021-02-24 14:34:45.114;Dn;0.683;201.17
2021-02-24 14:34:45.210;Dn;0.688;199
2021-02-24 14:34:45.548;Dn;0.697;195.97
2021-02-24 14:34:45.879;Dn;0.705;192.97
2021-02-24 14:34:45.915;Dn;0.705;192.77
2021-02-24 14:34:46.159;Dn;0.713;189.73
2021-02-24 14:34:46.697;Dn;0.721;186.87
