DateTime;UpDn;Depth;TempMax
2021-02-24 14:34:17.438;Dn;0.000;8.67
2021-02-24 14:34:19.913;Dn;0.000;8.73
2021-02-24 14:34:23.946;Dn;0.000;8.73
2021-02-24 14:34:24.520;Dn;0.005;8.73
2021-02-24 14:34:24.762;Dn;0.014;8.73
2021-02-24 14:34:24.925;Dn;0.022;8.73
2021-02-24 14:34:25.097;Dn;0.030;8.73
2021-02-24 14:34:25.280;Dn;0.039;8.73
2021-02-24 14:34:25.480;Dn;0.047;8.73
2021-02-24 14:34:25.562;Dn;0.049;8.73
2021-02-24 14:34:25.736;Dn;0.055;8.73
2021-02-24 14:34:25.966;Dn;0.064;8.73
2021-02-24 14:34:26.217;Dn;0.072;8.73
2021-02-24 14:34:26.382;Dn;0.075;8.73
2021-02-24 14:34:26.557;Dn;0.080;8.73
2021-02-24 14:34:26.882;Dn;0.089;8.73
2021-02-24 14:34:27.850;Dn;0.092;8.73
2021-02-24 14:34:27.934;Dn;0.113;8.73
2021-02-24 14:34:28.007;Dn;0.118;8.73
2021-02-24 14:34:28.025;Dn;0.121;8.73
2021-02-24 14:34:28.202;Dn;0.130;8.73
2021-02-24 14:34:28.378;Dn;0.138;8.73
2021-02-24 14:34:28.551;Dn;0.146;8.73
2021-02-24 14:34:28.718;Dn;0.155;8.73
2021-02-24 14:34:28.829;Dn;0.158;8.73
2021-02-24 14:34:28.904;Dn;0.163;8.73
2021-02-24 14:34:29.120;Dn;0.171;8.73
2021-02-24 14:34:29.280;Dn;0.179;8.73
2021-02-24 14:34:29.463;Dn;0.188;8.73
2021-02-24 14:34:29.644;Dn;0.195;8.73
2021-02-24 14:34:29.657;Dn;0.197;8.73
2021-02-24 14:34:29.850;Dn;0.205;8.73
2021-02-24 14:34:30.073;Dn;0.213;8.73
2021-02-24 14:34:30.264;Dn;0.221;8.73
2021-02-24 14:34:30.448;Dn;0.225;8.73
2021-02-24 14:34:30.495;Dn;0.229;8.73
2021-02-24 14:34:30.706;Dn;0.237;8.73
2021-02-24 14:34:30.961;Dn;0.246;8.73
2021-02-24 14:34:31.287;Dn;0.252;8.73
2021-02-24 14:34:31.311;Dn;0.254;8.73
2021-02-24 14:34:31.530;Dn;0.263;8.73
2021-02-24 14:34:31.833;Dn;0.272;8.73
2021-02-24 14:34:32.074;Dn;0.277;8.73
2021-02-24 14:34:32.138;Dn;0.280;8.73
2021-02-24 14:34:32.361;Dn;0.288;8.73
2021-02-24 14:34:32.650;Dn;0.296;8.73
2021-02-24 14:34:32.889;Dn;0.302;8.73
2021-02-24 14:34:32.947;Dn;0.305;8.73
2021-02-24 14:34:33.212;Dn;0.313;8.73
2021-02-24 14:34:33.497;Dn;0.321;8.73
2021-02-24 14:34:33.713;Dn;0.327;8.73
2021-02-24 14:34:33.776;Dn;0.330;8.73
2021-02-24 14:34:34.041;Dn;0.338;8.73
2021-02-24 14:34:34.315;Dn;0.346;8.73
2021-02-24 14:34:34.475;Dn;0.355;8.73
2021-02-24 14:34:34.512;Dn;0.359;8.73
2021-02-24 14:34:34.559;Dn;0.375;8.73
2021-02-24 14:34:34.682;Dn;0.403;8.73
2021-02-24 14:34:35.116;Dn;0.419;8.73
2021-02-24 14:34:35.991;Dn;0.424;8.73
2021-02-24 14:34:36.024;Dn;0.435;8.73
2021-02-24 14:34:36.169;Dn;0.441;8.73
2021-02-24 14:34:36.189;Dn;0.443;8.73
2021-02-24 14:34:36.544;Dn;0.452;8.73
2021-02-24 14:34:36.861;Dn;0.460;8.73
2021-02-24 14:34:36.978;Dn;0.461;8.73
2021-02-24 14:34:37.307;Dn;0.468;8.73
2021-02-24 14:34:37.672;Dn;0.477;8.73
2021-02-24 14:34:37.787;Dn;0.477;8.73
2021-02-24 14:34:38.073;Dn;0.485;8.73
2021-02-24 14:34:38.377;Dn;0.493;8.73
2021-02-24 14:34:38.585;Dn;0.496;8.73
2021-02-24 14:34:38.808;Dn;0.501;8.73
2021-02-24 14:34:39.128;Dn;0.509;8.73
2021-02-24 14:34:39.402;Dn;0.515;8.73
2021-02-24 14:34:39.481;Dn;0.517;8.73
2021-02-24 14:34:39.785;Dn;0.526;8.73
2021-02-24 14:34:40.058;Dn;0.534;8.73
2021-02-24 14:34:40.201;Dn;0.536;8.73
2021-02-24 14:34:40.411;Dn;0.542;8.73
2021-02-24 14:34:40.712;Dn;0.551;8.73
2021-02-24 14:34:41.018;Dn;0.558;8.73
2021-02-24 14:34:41.068;Dn;0.559;8.73
2021-02-24 14:34:41.357;Dn;0.568;8.73
2021-02-24 14:34:41.674;Dn;0.576;8.73
2021-02-24 14:34:41.866;Dn;0.580;8.73
2021-02-24 14:34:41.961;Dn;0.584;8.73
2021-02-24 14:34:42.284;Dn;0.592;8.73
2021-02-24 14:34:42.557;Dn;0.601;8.73
2021-02-24 14:34:42.687;Dn;0.603;8.73
2021-02-24 14:34:42.761;Dn;0.609;8.73
2021-02-24 14:34:43.036;Dn;0.617;8.73
2021-02-24 14:34:43.289;Dn;0.626;8.73
2021-02-24 14:34:44.137;Dn;0.633;8.73
2021-02-24 14:34:44.172;Dn;0.642;8.73
2021-02-24 14:34:44.292;Dn;0.658;8.73
2021-02-24 14:34:44.409;Dn;0.664;8.73
2021-02-24 14:34:44.649;Dn;0.672;8.73
2021-02-24 14:34:44.955;Dn;0.680;8.73
2021-02-24 14:34:45.114;Dn;0.683;8.73
2021-02-24 14:34:45.264;Dn;0.688;8.73
2021-02-24 14:34:45.576;Dn;0.697;8.73
2021-02-24 14:34:45.896;Dn;0.705;8.73
2021-02-24 14:34:45.947;Dn;0.705;8.73
2021-02-24 14:34:46.201;Dn;0.713;8.73
2021-02-24 14:34:46.730;Dn;0.721;8.73
2021-02-24 14:35:44.378;Dn;0.722;8.79
2021-02-24 14:35:44.605;Dn;0.730;8.79
2021-02-24 14:35:45.225;Dn;0.737;8.79
2021-02-24 14:35:45.273;Dn;0.738;8.79
2021-02-24 14:35:45.497;Dn;0.746;8.79
2021-02-24 14:35:45.721;Dn;0.754;8.79
2021-02-24 14:35:45.902;Dn;0.763;8.79
2021-02-24 14:35:46.036;Dn;0.768;8.79
2021-02-24 14:35:46.070;Dn;0.772;8.79
2021-02-24 14:35:46.220;Dn;0.780;8.79
2021-02-24 14:35:46.441;Dn;0.788;8.79
2021-02-24 14:35:46.603;Dn;0.796;8.79
2021-02-24 14:35:46.729;Dn;0.804;8.79
2021-02-24 14:35:46.856;Dn;0.806;8.79
2021-02-24 14:35:47.002;Dn;0.813;8.79
2021-02-24 14:35:47.146;Dn;0.821;8.79
2021-02-24 14:35:47.306;Dn;0.829;8.79
2021-02-24 14:35:47.502;Dn;0.838;8.79
2021-02-24 14:35:47.685;Dn;0.845;8.79
2021-02-24 14:35:47.702;Dn;0.847;8.79
2021-02-24 14:35:47.861;Dn;0.856;8.79
2021-02-24 14:35:48.024;Dn;0.865;8.79
2021-02-24 14:35:48.201;Dn;0.874;8.79
2021-02-24 14:35:48.330;Dn;0.882;8.79
2021-02-24 14:35:49.130;Dn;0.885;8.79
2021-02-24 14:35:49.176;Dn;0.922;8.79
2021-02-24 14:35:49.307;Dn;0.925;8.79
2021-02-24 14:35:49.353;Dn;0.930;8.79
2021-02-24 14:35:49.564;Dn;0.938;8.79
2021-02-24 14:35:49.664;Dn;0.946;8.79
2021-02-24 14:35:49.805;Dn;0.955;8.79
2021-02-24 14:35:49.983;Dn;0.963;8.79
2021-02-24 14:35:50.105;Dn;0.968;8.79
2021-02-24 14:35:50.158;Dn;0.972;8.79
2021-02-24 14:35:50.283;Dn;0.980;8.79
2021-02-24 14:35:50.442;Dn;0.989;8.79
2021-02-24 14:35:50.585;Dn;0.997;8.79
2021-02-24 14:35:50.799;Dn;1.005;8.79
2021-02-24 14:35:50.906;Dn;1.012;8.79
2021-02-24 14:35:50.968;Dn;1.013;8.79
2021-02-24 14:35:51.083;Dn;1.022;8.79
2021-02-24 14:35:51.210;Dn;1.030;8.79
2021-02-24 14:35:51.416;Dn;1.039;8.79
2021-02-24 14:35:51.616;Dn;1.048;8.79
2021-02-24 14:35:51.737;Dn;1.050;8.79
2021-02-24 14:35:51.834;Dn;1.056;8.79
2021-02-24 14:35:52.024;Dn;1.065;8.79
2021-02-24 14:35:52.169;Dn;1.074;8.79
2021-02-24 14:35:52.297;Dn;1.082;8.79
2021-02-24 14:35:52.522;Dn;1.090;8.79
2021-02-24 14:35:52.570;Dn;1.090;8.79
2021-02-24 14:35:52.715;Dn;1.098;8.79
2021-02-24 14:35:52.842;Dn;1.106;8.79
2021-02-24 14:35:53.147;Dn;1.114;8.79
2021-02-24 14:35:53.363;Dn;1.122;8.79
2021-02-24 14:35:53.388;Dn;1.123;8.79
2021-02-24 14:35:53.531;Dn;1.132;8.79
2021-02-24 14:35:53.641;Dn;1.140;8.79
2021-02-24 14:35:53.850;Dn;1.148;8.79
2021-02-24 14:35:54.026;Dn;1.157;8.79
2021-02-24 14:35:54.205;Dn;1.162;8.79
2021-02-24 14:35:54.205;Dn;1.166;8.79
2021-02-24 14:35:54.329;Dn;1.175;8.79
2021-02-24 14:35:54.527;Dn;1.183;8.79
2021-02-24 14:35:54.650;Dn;1.191;8.79
2021-02-24 14:35:54.848;Dn;1.199;8.79
2021-02-24 14:35:55.000;Dn;1.205;8.79
2021-02-24 14:35:55.006;Dn;1.208;8.79
2021-02-24 14:35:55.193;Dn;1.216;8.79
2021-02-24 14:35:55.375;Dn;1.224;8.79
2021-02-24 14:35:55.519;Dn;1.233;8.79
2021-02-24 14:35:55.642;Dn;1.241;8.79
2021-02-24 14:35:55.819;Dn;1.245;8.79
2021-02-24 14:35:55.835;Dn;1.249;8.79
2021-02-24 14:35:56.077;Dn;1.257;8.79
2021-02-24 14:35:56.260;Dn;1.266;8.79
2021-02-24 14:35:56.459;Dn;1.274;8.79
2021-02-24 14:35:57.259;Dn;1.279;8.79
2021-02-24 14:35:57.305;Dn;1.299;8.79
2021-02-24 14:35:57.433;Dn;1.329;8.79
2021-02-24 14:35:57.433;Dn;1.334;8.79
2021-02-24 14:35:57.608;Dn;1.343;8.79
2021-02-24 14:35:57.893;Dn;1.351;8.79
2021-02-24 14:35:58.250;Dn;1.363;8.79
2021-02-24 14:35:58.282;Dn;1.367;8.79
2021-02-24 14:35:58.624;Dn;1.376;8.79
2021-02-24 14:35:58.968;Dn;1.394;8.79
2021-02-24 14:35:59.050;Dn;1.397;8.79
2021-02-24 14:35:59.273;Dn;1.403;8.79
2021-02-24 14:35:59.546;Dn;1.411;8.79
2021-02-24 14:35:59.788;Dn;1.419;8.79
2021-02-24 14:35:59.847;Dn;1.426;8.79
2021-02-24 14:36:00.012;Dn;1.428;8.79
2021-02-24 14:36:00.187;Dn;1.437;8.79
2021-02-24 14:36:00.345;Dn;1.446;8.79
2021-02-24 14:36:00.616;Dn;1.455;8.79
2021-02-24 14:36:00.672;Dn;1.456;8.79
2021-02-24 14:36:00.808;Dn;1.463;8.79
2021-02-24 14:36:01.001;Dn;1.472;8.79
2021-02-24 14:36:01.209;Dn;1.480;8.79
2021-02-24 14:36:01.402;Dn;1.489;8.79
2021-02-24 14:36:01.513;Dn;1.490;8.79
2021-02-24 14:36:01.660;Dn;1.497;8.79
2021-02-24 14:36:01.892;Dn;1.505;8.79
2021-02-24 14:36:02.093;Dn;1.514;8.79
2021-02-24 14:36:02.301;Dn;1.521;8.79
2021-02-24 14:36:02.363;Dn;1.523;8.79
2021-02-24 14:36:02.474;Dn;1.531;8.79
2021-02-24 14:36:02.804;Dn;1.541;8.79
2021-02-24 14:36:03.040;Dn;1.550;8.79
2021-02-24 14:36:03.096;Dn;1.551;8.79
2021-02-24 14:36:03.354;Dn;1.558;8.79
2021-02-24 14:36:03.599;Dn;1.566;8.79
2021-02-24 14:36:03.755;Dn;1.575;8.79
2021-02-24 14:36:03.931;Dn;1.578;8.79
2021-02-24 14:36:04.057;Dn;1.583;8.79
2021-02-24 14:36:04.286;Dn;1.591;8.79
2021-02-24 14:36:04.543;Dn;1.599;8.79
2021-02-24 14:36:05.370;Dn;1.602;8.79
2021-02-24 14:36:05.416;Dn;1.623;8.79
2021-02-24 14:36:05.549;Dn;1.627;8.79
2021-02-24 14:36:05.575;Dn;1.631;8.79
2021-02-24 14:36:05.818;Dn;1.640;8.79
2021-02-24 14:36:06.068;Dn;1.649;8.79
2021-02-24 14:36:06.384;Dn;1.657;8.79
2021-02-24 14:36:06.527;Dn;1.666;8.79
2021-02-24 14:36:06.809;Dn;1.674;8.79
2021-02-24 14:36:07.048;Dn;1.683;8.79
2021-02-24 14:36:07.181;Dn;1.687;8.79
2021-02-24 14:36:07.232;Dn;1.691;8.79
2021-02-24 14:36:07.500;Dn;1.700;8.79
2021-02-24 14:36:07.730;Dn;1.709;8.79
2021-02-24 14:36:07.985;Dn;1.716;8.79
2021-02-24 14:36:08.048;Dn;1.717;8.79
2021-02-24 14:36:08.331;Dn;1.726;8.79
2021-02-24 14:36:08.521;Dn;1.735;8.79
2021-02-24 14:36:08.787;Dn;1.741;8.79
2021-02-24 14:36:08.809;Dn;1.745;8.79
2021-02-24 14:36:09.083;Dn;1.753;8.79
2021-02-24 14:36:09.333;Dn;1.761;8.79
2021-02-24 14:36:09.595;Dn;1.768;8.79
2021-02-24 14:36:09.630;Dn;1.770;8.79
2021-02-24 14:36:09.880;Dn;1.779;8.79
2021-02-24 14:36:10.123;Dn;1.787;8.79
2021-02-24 14:36:10.347;Dn;1.796;8.79
2021-02-24 14:36:10.412;Dn;1.797;8.79
2021-02-24 14:36:10.570;Dn;1.805;8.79
2021-02-24 14:36:10.857;Dn;1.813;8.79
2021-02-24 14:36:11.098;Dn;1.822;8.79
2021-02-24 14:36:11.210;Dn;1.825;8.79
2021-02-24 14:36:11.256;Dn;1.831;8.79
2021-02-24 14:36:11.498;Dn;1.839;8.79
2021-02-24 14:36:11.786;Dn;1.847;8.79
2021-02-24 14:36:11.958;Dn;1.855;8.79
2021-02-24 14:36:12.047;Dn;1.857;8.79
2021-02-24 14:36:12.201;Dn;1.864;8.79
2021-02-24 14:36:12.362;Dn;1.872;8.79
2021-02-24 14:36:12.601;Dn;1.880;8.79
2021-02-24 14:36:13.498;Dn;1.886;8.79
2021-02-24 14:36:13.528;Dn;1.895;8.79
2021-02-24 14:36:13.654;Dn;1.912;8.79
2021-02-24 14:36:13.760;Dn;1.920;8.79
2021-02-24 14:36:14.121;Dn;1.928;8.79
2021-02-24 14:36:14.459;Dn;1.936;8.79
2021-02-24 14:36:14.492;Dn;1.938;8.79
2021-02-24 14:36:14.680;Dn;1.946;8.79
2021-02-24 14:36:15.001;Dn;1.954;8.79
2021-02-24 14:36:15.273;Dn;1.959;8.79
2021-02-24 14:36:15.369;Dn;1.963;8.79
2021-02-24 14:36:15.610;Dn;1.971;8.79
2021-02-24 14:36:15.874;Dn;1.979;8.79
2021-02-24 14:36:16.072;Dn;1.986;8.79
2021-02-24 14:36:16.124;Dn;1.988;8.79
2021-02-24 14:36:58.040;Dn;1.996;8.85
2021-02-24 14:36:58.296;Dn;2.000;8.85
2021-02-24 14:36:59.131;Dn;2.001;8.85
2021-02-24 14:36:59.914;Dn;2.002;8.85
2021-02-24 14:37:00.234;Dn;2.011;8.85
2021-02-24 14:37:00.354;Dn;2.020;8.85
2021-02-24 14:37:00.481;Dn;2.028;8.85
