DateTime;UpDn;Depth;RE1Max
2021-02-24 15:31:15.477;Dn;0.060;416
2021-02-24 15:31:15.477;Dn;0.060;416
2021-02-24 15:31:17.109;Dn;0.140;287.6
2021-02-24 15:31:18.725;Dn;0.205;272.4
2021-02-24 15:31:20.357;Dn;0.300;270.6
2021-02-24 15:31:21.989;Dn;0.360;272.9
2021-02-24 15:31:23.606;Dn;0.402;287.8
2021-02-24 15:31:25.236;Dn;0.454;319.3
2021-02-24 15:31:26.853;Dn;0.495;350.3
2021-02-24 15:31:28.486;Dn;0.545;321
2021-02-24 15:31:30.118;Dn;0.613;355.5
2021-02-24 15:31:31.734;Dn;0.672;340.3
2021-02-24 15:31:33.397;Dn;0.728;341.6
2021-02-24 15:31:34.998;Dn;0.771;333.5
2021-02-24 15:32:31.878;Dn;0.790;377.9
2021-02-24 15:32:33.525;Dn;0.835;324.1
2021-02-24 15:32:35.158;Dn;0.893;392.5
2021-02-24 15:32:36.757;Dn;0.950;396.4
2021-02-24 15:32:38.389;Dn;1.003;322.8
2021-02-24 15:32:40.020;Dn;1.060;312.5
2021-02-24 15:32:41.638;Dn;1.118;321.9
2021-02-24 15:32:43.303;Dn;1.177;322.6
2021-02-24 15:32:44.885;Dn;1.245;317.5
2021-02-24 15:32:46.518;Dn;1.298;291.4
2021-02-24 15:32:48.133;Dn;1.359;215.1
2021-02-24 15:32:49.774;Dn;1.412;160.4
2021-02-24 15:32:51.412;Dn;1.465;93
2021-02-24 15:32:53.013;Dn;1.490;51.2
2021-02-24 15:32:54.660;Dn;1.531;15.2
2021-02-24 15:32:56.246;Dn;1.574;-9.6
2021-02-24 15:32:57.878;Dn;1.615;-41.3
2021-02-24 15:32:59.493;Dn;1.657;-68.6
2021-02-24 15:33:01.125;Dn;1.708;-115.8
2021-02-24 15:33:02.742;Dn;1.759;-145.9
2021-02-24 15:33:04.374;Dn;1.811;-166.9
2021-02-24 15:33:05.990;Dn;1.862;-167.1
2021-02-24 15:33:07.622;Dn;1.904;-185.9
2021-02-24 15:33:09.238;Dn;1.937;-176.2
2021-02-24 15:33:57.942;Dn;1.963;-203.4
2021-02-24 15:33:59.558;Dn;1.976;-296.4
2021-02-24 15:34:01.190;Dn;2.002;-318.1
2021-02-24 15:34:02.805;Dn;2.035;-340.4
2021-02-24 15:34:04.438;Dn;2.069;-355.1
2021-02-24 15:34:06.052;Dn;2.111;-365.4
2021-02-24 15:34:07.686;Dn;2.146;-366.7
2021-02-24 15:34:09.301;Dn;2.187;-339.8
2021-02-24 15:34:10.967;Dn;2.229;-324.2
2021-02-24 15:34:12.548;Dn;2.262;-314.2
2021-02-24 15:34:14.181;Dn;2.304;-307.1
2021-02-24 15:34:15.796;Dn;2.339;-310.2
2021-02-24 15:34:17.412;Dn;2.373;-305.2
2021-02-24 15:34:19.044;Dn;2.414;-324.4
2021-02-24 15:34:20.660;Dn;2.457;-340.4
2021-02-24 15:34:22.292;Dn;2.499;-348.9
2021-02-24 15:34:23.908;Dn;2.539;-363.9
2021-02-24 15:34:25.540;Dn;2.581;-364.6
2021-02-24 15:34:27.156;Dn;2.630;-358.2
2021-02-24 15:34:28.788;Dn;2.671;-329.1
