DateTime;UpDn;Depth;SPMax
2021-02-24 15:31:14.117;Dn;0.002;476.1
2021-02-24 15:31:14.117;Dn;0.002;476.1
2021-02-24 15:31:14.373;Dn;0.011;473.03
2021-02-24 15:31:14.533;Dn;0.019;469.97
2021-02-24 15:31:14.682;Dn;0.024;467.87
2021-02-24 15:31:14.725;Dn;0.027;466.8
2021-02-24 15:31:14.868;Dn;0.035;463.67
2021-02-24 15:31:15.024;Dn;0.044;460.57
2021-02-24 15:31:15.188;Dn;0.052;457.5
2021-02-24 15:31:15.364;Dn;0.060;454.43
2021-02-24 15:31:15.511;Dn;0.064;452.97
2021-02-24 15:31:16.198;Dn;0.076;448.47
2021-02-24 15:31:16.322;Dn;0.103;438.33
2021-02-24 15:31:16.341;Dn;0.107;436.97
2021-02-24 15:31:16.517;Dn;0.115;433.9
2021-02-24 15:31:16.694;Dn;0.123;430.83
2021-02-24 15:31:16.869;Dn;0.131;427.8
2021-02-24 15:31:17.045;Dn;0.140;424.63
2021-02-24 15:31:17.127;Dn;0.141;424.03
2021-02-24 15:31:17.238;Dn;0.148;421.6
2021-02-24 15:31:17.412;Dn;0.156;418.57
2021-02-24 15:31:17.606;Dn;0.164;415.43
2021-02-24 15:31:17.798;Dn;0.172;412.4
2021-02-24 15:31:17.924;Dn;0.177;410.6
2021-02-24 15:31:17.991;Dn;0.181;409.27
2021-02-24 15:31:18.149;Dn;0.189;406.1
2021-02-24 15:31:18.341;Dn;0.197;403.07
2021-02-24 15:31:18.532;Dn;0.205;400
2021-02-24 15:31:18.776;Dn;0.212;397.57
2021-02-24 15:31:18.789;Dn;0.214;396.83
2021-02-24 15:31:18.980;Dn;0.223;393.47
2021-02-24 15:31:19.221;Dn;0.231;390.2
2021-02-24 15:31:19.430;Dn;0.240;387.07
2021-02-24 15:31:19.559;Dn;0.243;385.87
2021-02-24 15:31:19.620;Dn;0.248;383.97
2021-02-24 15:31:19.829;Dn;0.256;380.9
2021-02-24 15:31:20.053;Dn;0.265;377.77
2021-02-24 15:31:20.198;Dn;0.283;371.03
2021-02-24 15:31:20.310;Dn;0.300;364.4
2021-02-24 15:31:20.375;Dn;0.305;362.77
2021-02-24 15:31:20.534;Dn;0.319;357.53
2021-02-24 15:31:20.821;Dn;0.327;354.33
2021-02-24 15:31:21.078;Dn;0.336;351.17
2021-02-24 15:31:21.189;Dn;0.337;350.5
2021-02-24 15:31:21.316;Dn;0.344;348.1
2021-02-24 15:31:21.573;Dn;0.352;345
2021-02-24 15:31:21.862;Dn;0.360;341.9
2021-02-24 15:31:21.989;Dn;0.362;341.1
2021-02-24 15:31:22.182;Dn;0.369;338.77
2021-02-24 15:31:22.502;Dn;0.377;335.6
2021-02-24 15:31:22.806;Dn;0.384;333
2021-02-24 15:31:22.855;Dn;0.385;332.5
2021-02-24 15:31:23.110;Dn;0.394;329.4
2021-02-24 15:31:23.382;Dn;0.402;326.33
2021-02-24 15:31:23.622;Dn;0.408;324.03
2021-02-24 15:31:24.341;Dn;0.429;316.13
2021-02-24 15:31:24.454;Dn;0.432;315.03
2021-02-24 15:31:24.533;Dn;0.437;313.07
2021-02-24 15:31:24.773;Dn;0.445;310
2021-02-24 15:31:25.062;Dn;0.454;306.93
2021-02-24 15:31:25.253;Dn;0.458;305.23
2021-02-24 15:31:25.366;Dn;0.462;303.87
2021-02-24 15:31:25.652;Dn;0.470;300.8
2021-02-24 15:31:25.926;Dn;0.478;297.7
2021-02-24 15:31:26.054;Dn;0.481;296.8
2021-02-24 15:31:26.230;Dn;0.486;294.63
2021-02-24 15:31:26.518;Dn;0.495;291.5
2021-02-24 15:31:26.869;Dn;0.502;288.8
2021-02-24 15:31:26.932;Dn;0.503;288.37
2021-02-24 15:31:27.190;Dn;0.511;285.27
2021-02-24 15:31:27.542;Dn;0.520;282.17
2021-02-24 15:31:27.720;Dn;0.522;281.3
2021-02-24 15:31:27.862;Dn;0.528;279.13
2021-02-24 15:31:28.213;Dn;0.536;276
2021-02-24 15:31:28.422;Dn;0.545;272.73
2021-02-24 15:31:28.502;Dn;0.550;270.7
2021-02-24 15:31:28.562;Dn;0.553;269.5
2021-02-24 15:31:28.678;Dn;0.571;262.73
2021-02-24 15:31:28.788;Dn;0.580;259.63
2021-02-24 15:31:29.078;Dn;0.588;256.47
2021-02-24 15:31:29.317;Dn;0.592;255.1
2021-02-24 15:31:29.396;Dn;0.597;253.33
2021-02-24 15:31:29.654;Dn;0.605;250.23
2021-02-24 15:31:29.910;Dn;0.613;247.13
2021-02-24 15:31:30.118;Dn;0.619;245
2021-02-24 15:31:30.183;Dn;0.621;244.07
2021-02-24 15:31:30.422;Dn;0.630;240.93
2021-02-24 15:31:30.645;Dn;0.638;237.87
2021-02-24 15:31:30.932;Dn;0.647;234.73
2021-02-24 15:31:31.110;Dn;0.655;231.27
2021-02-24 15:31:31.382;Dn;0.664;228.13
2021-02-24 15:31:31.622;Dn;0.672;224.93
2021-02-24 15:31:31.782;Dn;0.676;223.63
2021-02-24 15:31:32.469;Dn;0.695;216.43
2021-02-24 15:31:32.596;Dn;0.702;213.73
2021-02-24 15:31:32.597;Dn;0.703;213.33
2021-02-24 15:31:32.806;Dn;0.712;210.2
2021-02-24 15:31:33.094;Dn;0.720;207
