DateTime;UpDn;Depth;TempMax
2021-02-24 15:31:14.149;Dn;0.002;7.65
2021-02-24 15:31:14.149;Dn;0.002;7.65
2021-02-24 15:31:14.373;Dn;0.011;7.65
2021-02-24 15:31:14.584;Dn;0.019;7.65
2021-02-24 15:31:14.702;Dn;0.024;7.65
2021-02-24 15:31:14.725;Dn;0.027;7.65
2021-02-24 15:31:14.868;Dn;0.035;7.65
2021-02-24 15:31:15.047;Dn;0.044;7.65
2021-02-24 15:31:15.209;Dn;0.052;7.65
2021-02-24 15:31:15.365;Dn;0.060;7.65
2021-02-24 15:31:16.181;Dn;0.064;7.71
2021-02-24 15:31:16.232;Dn;0.076;7.71
2021-02-24 15:31:16.341;Dn;0.103;7.71
2021-02-24 15:31:16.347;Dn;0.107;7.71
2021-02-24 15:31:16.517;Dn;0.115;7.71
2021-02-24 15:31:16.740;Dn;0.123;7.71
2021-02-24 15:31:16.870;Dn;0.131;7.71
2021-02-24 15:31:17.061;Dn;0.140;7.71
2021-02-24 15:31:17.127;Dn;0.141;7.71
2021-02-24 15:31:17.280;Dn;0.148;7.71
2021-02-24 15:31:17.430;Dn;0.156;7.71
2021-02-24 15:31:17.628;Dn;0.164;7.71
2021-02-24 15:31:17.861;Dn;0.172;7.71
2021-02-24 15:31:17.957;Dn;0.177;7.71
2021-02-24 15:31:18.014;Dn;0.181;7.71
2021-02-24 15:31:18.178;Dn;0.189;7.71
2021-02-24 15:31:18.341;Dn;0.197;7.71
2021-02-24 15:31:18.551;Dn;0.205;7.71
2021-02-24 15:31:18.789;Dn;0.212;7.71
2021-02-24 15:31:18.814;Dn;0.214;7.71
2021-02-24 15:31:19.014;Dn;0.223;7.71
2021-02-24 15:31:19.242;Dn;0.231;7.71
2021-02-24 15:31:19.447;Dn;0.240;7.71
2021-02-24 15:31:19.591;Dn;0.243;7.71
2021-02-24 15:31:19.621;Dn;0.248;7.71
2021-02-24 15:31:19.861;Dn;0.256;7.71
2021-02-24 15:31:20.085;Dn;0.265;7.71
2021-02-24 15:31:20.215;Dn;0.283;7.71
2021-02-24 15:31:20.310;Dn;0.300;7.71
2021-02-24 15:31:20.392;Dn;0.305;7.71
2021-02-24 15:31:20.575;Dn;0.319;7.71
2021-02-24 15:31:20.821;Dn;0.327;7.71
2021-02-24 15:31:21.096;Dn;0.336;7.71
2021-02-24 15:31:21.189;Dn;0.337;7.71
2021-02-24 15:31:21.349;Dn;0.344;7.71
2021-02-24 15:31:21.617;Dn;0.352;7.71
2021-02-24 15:31:21.878;Dn;0.360;7.71
2021-02-24 15:31:22.005;Dn;0.362;7.71
2021-02-24 15:31:22.182;Dn;0.369;7.71
2021-02-24 15:31:22.502;Dn;0.377;7.71
2021-02-24 15:31:22.822;Dn;0.384;7.71
2021-02-24 15:31:22.857;Dn;0.385;7.71
2021-02-24 15:31:23.125;Dn;0.394;7.71
2021-02-24 15:31:23.421;Dn;0.402;7.71
2021-02-24 15:31:24.310;Dn;0.408;7.71
2021-02-24 15:31:24.355;Dn;0.429;7.71
2021-02-24 15:31:24.483;Dn;0.432;7.71
2021-02-24 15:31:24.565;Dn;0.437;7.71
2021-02-24 15:31:24.789;Dn;0.445;7.71
2021-02-24 15:31:25.077;Dn;0.454;7.71
2021-02-24 15:31:25.253;Dn;0.458;7.71
2021-02-24 15:31:25.399;Dn;0.462;7.71
2021-02-24 15:31:25.669;Dn;0.470;7.71
2021-02-24 15:31:25.943;Dn;0.478;7.71
2021-02-24 15:31:26.093;Dn;0.481;7.71
2021-02-24 15:31:26.230;Dn;0.486;7.71
2021-02-24 15:31:26.518;Dn;0.495;7.71
2021-02-24 15:31:26.902;Dn;0.502;7.71
2021-02-24 15:31:26.955;Dn;0.503;7.71
2021-02-24 15:31:27.223;Dn;0.511;7.71
2021-02-24 15:31:27.557;Dn;0.520;7.71
2021-02-24 15:31:27.739;Dn;0.522;7.71
2021-02-24 15:31:27.897;Dn;0.528;7.71
2021-02-24 15:31:28.229;Dn;0.536;7.71
2021-02-24 15:31:28.422;Dn;0.545;7.71
2021-02-24 15:31:28.534;Dn;0.550;7.71
2021-02-24 15:31:28.584;Dn;0.553;7.71
2021-02-24 15:31:28.717;Dn;0.571;7.71
2021-02-24 15:31:28.816;Dn;0.580;7.71
2021-02-24 15:31:29.120;Dn;0.588;7.71
2021-02-24 15:31:29.317;Dn;0.592;7.71
2021-02-24 15:31:29.434;Dn;0.597;7.71
2021-02-24 15:31:29.654;Dn;0.605;7.71
2021-02-24 15:31:29.910;Dn;0.613;7.71
2021-02-24 15:31:30.150;Dn;0.619;7.71
2021-02-24 15:31:30.202;Dn;0.621;7.71
2021-02-24 15:31:30.422;Dn;0.630;7.71
2021-02-24 15:31:30.666;Dn;0.638;7.71
2021-02-24 15:31:30.955;Dn;0.647;7.71
2021-02-24 15:31:31.110;Dn;0.655;7.71
2021-02-24 15:31:31.382;Dn;0.664;7.71
2021-02-24 15:31:31.638;Dn;0.672;7.71
2021-02-24 15:31:32.437;Dn;0.676;7.71
2021-02-24 15:31:32.479;Dn;0.695;7.71
2021-02-24 15:31:32.597;Dn;0.702;7.71
2021-02-24 15:31:32.597;Dn;0.703;7.71
2021-02-24 15:31:32.806;Dn;0.712;7.71
2021-02-24 15:31:33.109;Dn;0.720;7.71
2021-02-24 15:31:33.415;Dn;0.728;7.71
2021-02-24 15:31:33.728;Dn;0.737;7.71
2021-02-24 15:31:33.958;Dn;0.746;7.71
2021-02-24 15:31:34.197;Dn;0.751;7.71
2021-02-24 15:31:34.245;Dn;0.755;7.71
2021-02-24 15:31:34.535;Dn;0.763;7.71
2021-02-24 15:31:34.850;Dn;0.771;7.71
2021-02-24 15:31:35.022;Dn;0.777;7.71
2021-02-24 15:31:35.141;Dn;0.780;7.71
2021-02-24 15:31:35.397;Dn;0.788;7.71
2021-02-24 15:32:31.717;Dn;0.790;7.77
2021-02-24 15:32:31.909;Dn;0.793;7.77
2021-02-24 15:32:32.086;Dn;0.794;7.77
2021-02-24 15:32:32.261;Dn;0.802;7.77
2021-02-24 15:32:32.549;Dn;0.810;7.77
2021-02-24 15:32:32.737;Dn;0.813;7.77
2021-02-24 15:32:32.887;Dn;0.818;7.77
2021-02-24 15:32:33.200;Dn;0.827;7.77
2021-02-24 15:32:33.479;Dn;0.835;7.77
2021-02-24 15:32:33.525;Dn;0.836;7.77
2021-02-24 15:32:33.734;Dn;0.844;7.77
2021-02-24 15:32:33.989;Dn;0.852;7.77
2021-02-24 15:32:34.214;Dn;0.860;7.77
2021-02-24 15:32:34.381;Dn;0.863;7.77
2021-02-24 15:32:34.439;Dn;0.868;7.77
2021-02-24 15:32:34.662;Dn;0.876;7.77
2021-02-24 15:32:34.902;Dn;0.884;7.77
