DateTime;UpDn;Depth;TempMax
2021-02-24 12:42:56.701;Dn;0.006;8.31
2021-02-24 12:42:56.701;Dn;0.006;8.31
2021-02-24 12:42:56.807;Dn;0.014;8.31
2021-02-24 12:42:56.872;Dn;0.016;8.31
2021-02-24 12:42:56.998;Dn;0.023;8.31
2021-02-24 12:42:57.112;Dn;0.031;8.31
2021-02-24 12:42:57.334;Dn;0.039;8.31
2021-02-24 12:42:57.452;Dn;0.047;8.31
2021-02-24 12:42:57.599;Dn;0.056;8.31
2021-02-24 12:42:57.711;Dn;0.059;8.31
2021-02-24 12:42:57.758;Dn;0.065;8.31
2021-02-24 12:42:57.930;Dn;0.073;8.31
2021-02-24 12:42:58.072;Dn;0.082;8.31
2021-02-24 12:42:58.282;Dn;0.090;8.31
2021-02-24 12:42:58.465;Dn;0.098;8.31
2021-02-24 12:42:58.498;Dn;0.099;8.31
2021-02-24 12:42:58.597;Dn;0.106;8.31
2021-02-24 12:42:58.778;Dn;0.115;8.31
2021-02-24 12:42:58.950;Dn;0.123;8.31
2021-02-24 12:42:59.115;Dn;0.131;8.31
2021-02-24 12:42:59.242;Dn;0.140;8.31
2021-02-24 12:42:59.302;Dn;0.142;8.31
2021-02-24 12:42:59.383;Dn;0.148;8.31
2021-02-24 12:42:59.565;Dn;0.156;8.31
2021-02-24 12:42:59.721;Dn;0.164;8.31
2021-02-24 12:42:59.846;Dn;0.173;8.31
2021-02-24 12:43:00.027;Dn;0.181;8.31
2021-02-24 12:43:00.147;Dn;0.185;8.31
2021-02-24 12:43:00.168;Dn;0.189;8.31
2021-02-24 12:43:00.311;Dn;0.197;8.31
2021-02-24 12:43:00.497;Dn;0.206;8.31
2021-02-24 12:43:00.646;Dn;0.214;8.31
2021-02-24 12:43:00.812;Dn;0.223;8.31
2021-02-24 12:43:00.943;Dn;0.228;8.31
2021-02-24 12:43:00.963;Dn;0.231;8.31
2021-02-24 12:43:01.114;Dn;0.239;8.31
2021-02-24 12:43:01.304;Dn;0.247;8.31
2021-02-24 12:43:01.462;Dn;0.256;8.31
2021-02-24 12:43:01.628;Dn;0.264;8.31
2021-02-24 12:43:01.768;Dn;0.269;8.31
2021-02-24 12:43:01.788;Dn;0.272;8.31
2021-02-24 12:43:03.229;Dn;0.279;8.31
2021-02-24 12:43:03.256;Dn;0.289;8.31
2021-02-24 12:43:03.394;Dn;0.319;8.31
2021-02-24 12:43:03.420;Dn;0.323;8.31
2021-02-24 12:43:03.528;Dn;0.349;8.31
2021-02-24 12:43:04.176;Dn;0.374;8.31
