DateTime;UpDn;Depth;RE1Max
2021-02-24 13:24:01.514;Dn;0.001;430.3
2021-02-24 13:24:01.514;Dn;0.001;430.3
2021-02-24 13:24:04.778;Dn;0.001;430.1
2021-02-24 13:24:06.396;Dn;0.029;374.7
2021-02-24 13:24:08.025;Dn;0.079;389.3
2021-02-24 13:24:09.656;Dn;0.128;385.7
2021-02-24 13:24:11.289;Dn;0.178;371
2021-02-24 13:24:12.904;Dn;0.219;360.5
2021-02-24 13:24:14.538;Dn;0.245;352.8
2021-02-24 13:24:16.154;Dn;0.317;307.7
2021-02-24 13:24:17.785;Dn;0.362;312.7
2021-02-24 13:24:19.416;Dn;0.410;277.8
2021-02-24 13:24:21.034;Dn;0.445;261.6
2021-02-24 13:24:22.665;Dn;0.490;285.9
2021-02-24 13:24:24.296;Dn;0.531;331.2
2021-02-24 13:24:25.941;Dn;0.565;357.1
2021-02-24 13:24:27.564;Dn;0.597;372.7
2021-02-24 13:24:29.177;Dn;0.623;373.5
2021-02-24 13:25:21.241;Dn;0.644;415.1
2021-02-24 13:25:22.873;Dn;0.677;426.4
2021-02-24 13:25:24.505;Dn;0.743;424.8
2021-02-24 13:25:26.137;Dn;0.817;397
2021-02-24 13:25:27.770;Dn;0.893;265.5
2021-02-24 13:25:29.412;Dn;0.969;309
2021-02-24 13:25:31.001;Dn;1.035;374.3
2021-02-24 13:25:32.632;Dn;1.101;393.1
2021-02-24 13:25:34.282;Dn;1.167;410.5
2021-02-24 13:25:35.882;Dn;1.227;414
2021-02-24 13:25:37.513;Dn;1.285;428.8
2021-02-24 13:25:39.145;Dn;1.344;395.5
2021-02-24 13:25:40.776;Dn;1.413;372.9
2021-02-24 13:25:42.409;Dn;1.472;344.3
2021-02-24 13:25:44.024;Dn;1.530;106.1
2021-02-24 13:25:45.657;Dn;1.580;113.8
2021-02-24 13:25:47.273;Dn;1.606;90.3
2021-02-24 13:25:48.889;Dn;1.640;67.3
2021-02-24 13:25:50.520;Dn;1.701;46.5
2021-02-24 13:25:52.137;Dn;1.735;26.1
2021-02-24 13:25:53.753;Dn;1.777;-2.2
2021-02-24 13:25:55.385;Dn;1.828;-73
2021-02-24 13:26:44.057;Dn;1.849;-45.6
2021-02-24 13:26:45.690;Dn;1.891;-153.7
2021-02-24 13:26:47.305;Dn;1.950;-211.2
2021-02-24 13:26:48.937;Dn;2.024;-207.7
2021-02-24 13:26:50.553;Dn;2.091;-197.8
2021-02-24 13:26:52.169;Dn;2.149;-182.6
2021-02-24 13:26:53.788;Dn;2.209;-195.4
2021-02-24 13:26:55.417;Dn;2.259;-208.5
2021-02-24 13:26:57.032;Dn;2.326;-219.5
2021-02-24 13:26:58.664;Dn;2.393;-204.8
2021-02-24 13:27:00.298;Dn;2.460;-235.5
2021-02-24 13:27:01.913;Dn;2.504;-256.2
2021-02-24 13:27:03.529;Dn;2.581;-274.9
2021-02-24 13:27:05.161;Dn;2.648;-295.1
2021-02-24 13:27:06.808;Dn;2.714;-230.9
2021-02-24 13:27:08.409;Dn;2.780;-220.8
2021-02-24 13:27:10.025;Dn;2.875;-212.5
2021-02-24 13:27:11.657;Dn;2.942;-222.5
2021-02-24 13:27:13.273;Dn;3.011;-233.4
2021-02-24 13:28:10.089;Dn;3.040;-235.4
2021-02-24 13:28:11.721;Dn;3.040;-288
2021-02-24 13:28:13.337;Dn;3.082;-275.4
2021-02-24 13:28:14.968;Dn;3.146;-312.3
2021-02-24 13:28:16.588;Dn;3.213;-350.7
2021-02-24 13:28:18.216;Dn;3.270;-355
2021-02-24 13:28:19.832;Dn;3.330;-335.3
2021-02-24 13:28:21.518;Dn;3.389;-323.9
2021-02-24 13:28:23.097;Dn;3.440;-322.7
2021-02-24 13:28:24.713;Dn;3.498;-318.7
2021-02-24 13:28:26.328;Dn;3.583;-317
2021-02-24 13:28:27.961;Dn;3.650;-315.7
2021-02-24 13:28:29.577;Dn;3.708;-297.3
2021-02-24 13:28:31.193;Dn;3.765;-307.1
2021-02-24 13:28:32.825;Dn;3.823;-316.2
2021-02-24 13:28:34.457;Dn;3.865;-334.4
2021-02-24 13:28:36.073;Dn;3.916;-363.8
2021-02-24 13:28:37.705;Dn;4.024;-348.4
2021-02-24 13:28:39.321;Dn;4.094;-356
2021-02-24 13:28:40.937;Dn;4.162;-348.8
2021-02-24 13:28:42.573;Dn;4.230;-315.7
2021-02-24 13:28:44.185;Dn;4.274;-308.9
2021-02-24 13:29:34.520;Dn;4.279;-327.2
2021-02-24 13:29:36.137;Dn;4.297;-348.8
2021-02-24 13:29:37.769;Dn;4.346;-365.8
2021-02-24 13:29:39.384;Dn;4.396;-399.6
2021-02-24 13:29:41.017;Dn;4.446;-412.6
2021-02-24 13:29:42.633;Dn;4.505;-401.1
2021-02-24 13:29:44.265;Dn;4.570;-369.8
2021-02-24 13:29:45.881;Dn;4.620;-349.2
2021-02-24 13:29:47.512;Dn;4.678;-353.3
2021-02-24 13:29:49.129;Dn;4.737;-354.8
2021-02-24 13:29:50.792;Dn;4.794;-349.2
2021-02-24 13:29:52.436;Dn;4.850;-346.2
2021-02-24 13:29:54.009;Dn;4.900;-337
2021-02-24 13:29:55.625;Dn;4.958;-332.4
2021-02-24 13:29:57.273;Dn;5.024;-329
2021-02-24 13:29:58.873;Dn;5.083;-326.1
2021-02-24 13:30:00.522;Dn;5.150;-336.4
2021-02-24 13:30:02.154;Dn;5.209;-325.9
2021-02-24 13:30:03.753;Dn;5.267;-315.9
2021-02-24 13:30:05.385;Dn;5.334;-317.2
2021-02-24 13:30:06.984;Dn;5.392;-320.9
2021-02-24 13:30:08.646;Dn;5.456;-305.2
2021-02-24 13:30:10.232;Dn;5.489;-303.5
2021-02-24 13:31:02.185;Dn;5.497;-311.7
2021-02-24 13:31:03.801;Dn;5.546;-347.3
2021-02-24 13:31:05.432;Dn;5.613;-359.9
2021-02-24 13:31:07.049;Dn;5.662;-379.9
2021-02-24 13:31:08.680;Dn;5.720;-381.8
2021-02-24 13:31:10.296;Dn;5.787;-366.9
2021-02-24 13:31:11.929;Dn;5.845;-349.6
2021-02-24 13:31:13.592;Dn;5.912;-360.7
2021-02-24 13:31:15.176;Dn;5.971;-340.2
2021-02-24 13:31:16.826;Dn;6.045;-310.5
2021-02-24 13:31:18.442;Dn;6.112;-287.3
2021-02-24 13:31:20.041;Dn;6.178;-287.7
2021-02-24 13:31:21.657;Dn;6.248;-288
2021-02-24 13:31:23.289;Dn;6.323;-276.7
2021-02-24 13:31:24.940;Dn;6.396;-270.9
2021-02-24 13:31:26.537;Dn;6.455;-266
2021-02-24 13:31:28.163;Dn;6.530;-263.6
2021-02-24 13:31:29.784;Dn;6.610;-268.8
2021-02-24 13:31:31.400;Dn;6.678;-258.9
2021-02-24 13:32:18.489;Dn;6.722;-263.3
2021-02-24 13:32:20.105;Dn;6.728;-358.4
2021-02-24 13:32:21.737;Dn;6.769;-343.2
2021-02-24 13:32:23.353;Dn;6.834;-358.8
2021-02-24 13:32:25.004;Dn;6.901;-394.3
2021-02-24 13:32:26.665;Dn;6.963;-418.3
2021-02-24 13:32:28.252;Dn;7.030;-400.9
2021-02-24 13:32:29.849;Dn;7.096;-362.2
2021-02-24 13:32:31.465;Dn;7.171;-336.8
2021-02-24 13:32:33.097;Dn;7.247;-302.5
2021-02-24 13:32:34.712;Dn;7.321;-289.8
2021-02-24 13:32:36.377;Dn;7.395;-320.3
2021-02-24 13:32:37.961;Dn;7.472;-336.2
2021-02-24 13:32:39.593;Dn;7.548;-343.3
2021-02-24 13:32:41.209;Dn;7.623;-322
2021-02-24 13:32:42.841;Dn;7.698;-323.7
2021-02-24 13:32:44.456;Dn;7.772;-331.1
2021-02-24 13:32:46.088;Dn;7.847;-322.9
2021-02-24 13:32:47.705;Dn;7.913;-305.1
2021-02-24 13:33:36.409;Dn;7.917;-318.5
2021-02-24 13:33:38.025;Dn;7.944;-333.7
2021-02-24 13:33:39.657;Dn;8.013;-348.7
2021-02-24 13:33:41.273;Dn;8.080;-358.2
2021-02-24 13:33:42.905;Dn;8.139;-356.6
2021-02-24 13:33:44.537;Dn;8.197;-362.3
2021-02-24 13:33:46.153;Dn;8.213;-364.1
2021-02-24 13:33:47.803;Dn;8.258;-374.5
2021-02-24 13:33:49.401;Dn;8.365;-366.3
2021-02-24 13:33:51.016;Dn;8.415;-353.2
2021-02-24 13:33:52.648;Dn;8.473;-343.4
2021-02-24 13:33:54.314;Dn;8.532;-325.8
2021-02-24 13:33:55.896;Dn;8.594;-278.9
2021-02-24 13:33:57.513;Dn;8.653;-256.2
2021-02-24 13:33:59.131;Dn;8.721;-253.1
2021-02-24 13:34:00.761;Dn;8.787;-241.3
2021-02-24 13:34:02.441;Dn;8.862;-279.7
2021-02-24 13:34:04.009;Dn;8.913;-283.5
2021-02-24 13:34:05.638;Dn;8.980;-238.5
2021-02-24 13:34:07.256;Dn;9.039;-244.4
2021-02-24 13:34:08.872;Dn;9.100;-273
2021-02-24 13:35:00.825;Dn;9.133;-299.3
2021-02-24 13:35:02.473;Dn;9.144;-347.7
2021-02-24 13:35:04.072;Dn;9.209;-356.7
2021-02-24 13:35:05.707;Dn;9.293;-344
2021-02-24 13:35:07.319;Dn;9.375;-350.3
2021-02-24 13:35:08.953;Dn;9.456;-277.9
2021-02-24 13:35:10.569;Dn;9.532;-287.3
2021-02-24 13:35:12.198;Dn;9.615;-332
