DateTime;UpDn;Depth;RE1Max
2021-02-25 11:08:59.159;Dn;0.012;722.7
2021-02-25 11:08:59.159;Dn;0.012;722.7
2021-02-25 11:09:00.772;Dn;0.113;488.1
2021-02-25 11:09:02.394;Dn;0.204;449.8
2021-02-25 11:09:04.021;Dn;0.259;416.7
2021-02-25 11:09:05.692;Dn;0.336;358.9
2021-02-25 11:09:07.274;Dn;0.380;358.8
2021-02-25 11:09:08.891;Dn;0.430;300.1
2021-02-25 11:09:10.537;Dn;0.465;224.8
2021-02-25 11:09:12.139;Dn;0.503;175.9
2021-02-25 11:09:13.771;Dn;0.528;139.2
2021-02-25 11:09:15.401;Dn;0.554;80.2
2021-02-25 11:09:17.018;Dn;0.587;42.2
2021-02-25 11:09:18.645;Dn;0.623;128
2021-02-25 11:09:20.251;Dn;0.666;78.1
2021-02-25 11:10:12.202;Dn;0.691;-6.5
2021-02-25 11:10:13.846;Dn;0.700;-252.9
2021-02-25 11:10:15.450;Dn;0.735;-263.9
2021-02-25 11:10:17.104;Dn;0.779;-234
2021-02-25 11:10:18.699;Dn;0.814;-208.8
2021-02-25 11:10:20.331;Dn;0.848;-104.4
2021-02-25 11:10:21.947;Dn;0.881;-82.1
2021-02-25 11:10:23.577;Dn;0.906;-86.9
2021-02-25 11:10:25.195;Dn;0.936;-126.3
2021-02-25 11:10:26.811;Dn;0.980;-169.8
2021-02-25 11:10:28.443;Dn;1.023;-131.4
2021-02-25 11:10:30.059;Dn;1.077;-147.2
2021-02-25 11:10:31.709;Dn;1.137;-102.1
2021-02-25 11:10:33.349;Dn;1.203;-110.4
2021-02-25 11:10:34.935;Dn;1.246;-81.3
2021-02-25 11:10:36.568;Dn;1.298;-85.7
2021-02-25 11:10:38.184;Dn;1.349;-13.8
2021-02-25 11:10:39.812;Dn;1.410;-44.4
2021-02-25 11:10:41.447;Dn;1.475;-93.9
2021-02-25 11:10:43.051;Dn;1.535;-163.6
2021-02-25 11:10:44.680;Dn;1.595;-205.6
2021-02-25 11:10:46.312;Dn;1.655;-231.6
2021-02-25 11:10:47.928;Dn;1.724;-237.4
2021-02-25 11:10:49.546;Dn;1.786;-249.7
2021-02-25 11:10:51.179;Dn;1.846;-242.3
2021-02-25 11:10:52.807;Dn;1.900;-238.9
2021-02-25 11:13:15.643;Dn;1.900;-279.1
2021-02-25 11:13:17.321;Dn;1.961;-299.5
2021-02-25 11:13:18.904;Dn;2.035;-280.9
2021-02-25 11:13:20.524;Dn;2.118;-225.3
2021-02-25 11:13:22.139;Dn;2.210;-171.2
2021-02-25 11:13:23.780;Dn;2.304;-66.1
2021-02-25 11:13:25.386;Dn;2.388;54
2021-02-25 11:13:27.022;Dn;2.489;91.2
2021-02-25 11:13:28.659;Dn;2.581;116.6
2021-02-25 11:13:30.277;Dn;2.674;133.1
2021-02-25 11:13:31.883;Dn;2.760;217.4
2021-02-25 11:13:33.527;Dn;2.853;256.3
2021-02-25 11:13:35.161;Dn;2.945;283.6
2021-02-25 11:13:36.763;Dn;3.036;268.9
2021-02-25 11:14:30.382;Dn;3.104;246.8
2021-02-25 11:14:31.994;Dn;3.133;155.1
2021-02-25 11:14:33.657;Dn;3.235;99.1
2021-02-25 11:14:35.299;Dn;3.327;2.8
2021-02-25 11:14:36.873;Dn;3.412;84
2021-02-25 11:14:38.508;Dn;3.506;133.6
2021-02-25 11:14:40.156;Dn;3.599;281.3
2021-02-25 11:14:41.753;Dn;3.691;383.6
2021-02-25 11:14:43.368;Dn;3.791;395.4
2021-02-25 11:14:44.985;Dn;3.889;404.5
2021-02-25 11:14:46.633;Dn;3.989;398.6
2021-02-25 11:14:48.236;Dn;4.082;413.6
2021-02-25 11:14:49.866;Dn;4.175;413.9
2021-02-25 11:14:51.488;Dn;4.260;410.6
2021-02-25 11:14:53.128;Dn;4.336;407.1
2021-02-25 11:15:48.414;Dn;4.339;435.1
2021-02-25 11:15:50.054;Dn;4.418;396.4
2021-02-25 11:15:51.689;Dn;4.528;356.7
2021-02-25 11:15:53.332;Dn;4.638;369.5
2021-02-25 11:15:54.906;Dn;4.721;364.7
2021-02-25 11:15:56.537;Dn;4.795;369.5
2021-02-25 11:15:58.167;Dn;4.877;330.7
2021-02-25 11:15:59.791;Dn;4.952;355.4
2021-02-25 11:16:01.418;Dn;5.026;331.9
2021-02-25 11:16:03.092;Dn;5.109;337
2021-02-25 11:16:04.673;Dn;5.183;327.1
2021-02-25 11:16:06.306;Dn;5.255;307.9
2021-02-25 11:16:07.914;Dn;5.323;348.2
2021-02-25 11:16:09.547;Dn;5.391;335.5
2021-02-25 11:16:11.161;Dn;5.458;288
2021-02-25 11:16:12.801;Dn;5.516;291.5
2021-02-25 11:17:04.763;Dn;5.536;295.8
2021-02-25 11:17:06.393;Dn;5.578;127
2021-02-25 11:17:08.009;Dn;5.661;40
2021-02-25 11:17:09.652;Dn;5.744;-75.1
2021-02-25 11:17:11.250;Dn;5.810;-97.2
2021-02-25 11:17:12.875;Dn;5.868;-99.4
2021-02-25 11:17:14.504;Dn;5.926;-98.3
2021-02-25 11:17:16.137;Dn;5.984;-99.7
2021-02-25 11:17:17.783;Dn;6.042;-114.3
2021-02-25 11:17:19.370;Dn;6.099;-128.8
2021-02-25 11:17:21.073;Dn;6.157;-142.7
2021-02-25 11:17:22.619;Dn;6.198;-166.2
2021-02-25 11:17:24.249;Dn;6.247;-186.2
2021-02-25 11:17:25.924;Dn;6.297;-209.7
2021-02-25 11:17:27.491;Dn;6.338;-232.4
2021-02-25 11:17:29.113;Dn;6.387;-249.9
2021-02-25 11:17:30.756;Dn;6.437;-265.6
2021-02-25 11:17:32.368;Dn;6.479;-276.6
2021-02-25 11:17:33.979;Dn;6.529;-285.6
2021-02-25 11:17:35.609;Dn;6.579;-293
2021-02-25 11:17:37.227;Dn;6.619;-309
2021-02-25 11:17:38.843;Dn;6.662;-315.4
2021-02-25 11:17:40.489;Dn;6.686;-327.2
2021-02-25 11:17:42.092;Dn;6.711;-338.9
2021-02-25 11:17:43.722;Dn;6.756;-315.7
2021-02-25 11:18:35.674;Dn;6.757;-181.8
2021-02-25 11:18:37.290;Dn;6.762;-186.4
2021-02-25 11:18:38.907;Dn;6.779;-286.2
2021-02-25 11:18:40.538;Dn;6.816;-392.9
2021-02-25 11:18:42.154;Dn;6.849;-412.2
2021-02-25 11:18:43.786;Dn;6.890;-424.8
2021-02-25 11:18:45.402;Dn;6.922;-423.5
2021-02-25 11:18:47.043;Dn;6.947;-407.9
2021-02-25 11:18:48.665;Dn;6.978;-388.2
2021-02-25 11:18:50.317;Dn;7.004;-370.3
2021-02-25 11:18:51.898;Dn;7.021;-367.7
2021-02-25 11:18:58.408;Dn;7.038;-366.8
2021-02-25 11:19:00.010;Dn;7.039;-391.6
2021-02-25 11:19:01.642;Dn;7.040;-397
2021-02-25 11:19:03.258;Dn;7.041;-402.4
2021-02-25 11:19:04.893;Dn;7.042;-406.2
2021-02-25 11:19:06.506;Dn;7.042;-409.2
2021-02-25 11:19:09.754;Dn;7.043;-410.5
2021-02-25 11:19:13.004;Dn;7.044;-411.4
