DateTime;UpDn;Depth;TempMax
2021-02-25 14:26:54.035;Dn;0.004;7.65
2021-02-25 14:26:54.035;Dn;0.004;7.65
2021-02-25 14:26:54.070;Dn;0.006;7.65
2021-02-25 14:26:54.212;Dn;0.014;7.65
2021-02-25 14:26:54.356;Dn;0.022;7.65
2021-02-25 14:26:54.533;Dn;0.031;7.65
2021-02-25 14:26:54.708;Dn;0.039;7.65
2021-02-25 14:26:54.884;Dn;0.046;7.65
2021-02-25 14:26:54.884;Dn;0.048;7.65
2021-02-25 14:26:54.979;Dn;0.056;7.65
2021-02-25 14:26:55.156;Dn;0.064;7.65
2021-02-25 14:26:55.316;Dn;0.072;7.65
2021-02-25 14:26:55.514;Dn;0.080;7.65
2021-02-25 14:26:56.341;Dn;0.087;7.65
2021-02-25 14:26:56.371;Dn;0.091;7.65
2021-02-25 14:26:56.483;Dn;0.118;7.65
2021-02-25 14:26:56.531;Dn;0.122;7.65
2021-02-25 14:26:56.652;Dn;0.131;7.65
2021-02-25 14:26:56.843;Dn;0.139;7.65
2021-02-25 14:26:57.017;Dn;0.147;7.65
2021-02-25 14:26:57.188;Dn;0.155;7.65
2021-02-25 14:26:57.335;Dn;0.158;7.65
2021-02-25 14:26:57.381;Dn;0.164;7.65
2021-02-25 14:26:57.571;Dn;0.172;7.65
2021-02-25 14:26:57.731;Dn;0.181;7.65
2021-02-25 14:26:57.923;Dn;0.189;7.65
2021-02-25 14:26:58.121;Dn;0.197;7.65
2021-02-25 14:26:58.148;Dn;0.198;7.65
2021-02-25 14:26:58.244;Dn;0.207;7.65
2021-02-25 14:26:58.373;Dn;0.215;7.65
2021-02-25 14:26:58.591;Dn;0.223;7.65
2021-02-25 14:26:58.739;Dn;0.232;7.65
2021-02-25 14:26:58.931;Dn;0.240;7.65
2021-02-25 14:26:58.964;Dn;0.240;7.65
2021-02-25 14:26:59.059;Dn;0.249;7.65
2021-02-25 14:26:59.253;Dn;0.257;7.65
2021-02-25 14:26:59.423;Dn;0.266;7.65
2021-02-25 14:26:59.540;Dn;0.275;7.65
2021-02-25 14:26:59.749;Dn;0.282;7.65
2021-02-25 14:26:59.781;Dn;0.284;7.65
2021-02-25 14:26:59.883;Dn;0.293;7.65
2021-02-25 14:27:00.025;Dn;0.301;7.65
2021-02-25 14:27:00.212;Dn;0.310;7.65
2021-02-25 14:27:00.372;Dn;0.318;7.65
2021-02-25 14:27:00.522;Dn;0.326;7.65
2021-02-25 14:27:00.563;Dn;0.327;7.65
2021-02-25 14:27:00.675;Dn;0.334;7.65
2021-02-25 14:27:00.874;Dn;0.342;7.65
2021-02-25 14:27:01.006;Dn;0.351;7.65
2021-02-25 14:27:01.179;Dn;0.359;7.65
2021-02-25 14:27:01.398;Dn;0.367;7.65
2021-02-25 14:27:01.526;Dn;0.376;7.65
2021-02-25 14:27:01.668;Dn;0.384;7.65
2021-02-25 14:27:01.843;Dn;0.392;7.65
2021-02-25 14:27:01.955;Dn;0.401;7.65
2021-02-25 14:27:02.127;Dn;0.409;7.65
2021-02-25 14:27:02.179;Dn;0.410;7.65
2021-02-25 14:27:02.308;Dn;0.418;7.65
2021-02-25 14:27:02.487;Dn;0.427;7.65
2021-02-25 14:27:02.598;Dn;0.435;7.65
2021-02-25 14:27:02.787;Dn;0.443;7.65
2021-02-25 14:27:02.948;Dn;0.451;7.65
2021-02-25 14:27:03.012;Dn;0.453;7.65
2021-02-25 14:27:03.070;Dn;0.460;7.65
2021-02-25 14:27:03.236;Dn;0.468;7.65
2021-02-25 14:27:03.380;Dn;0.476;7.65
2021-02-25 14:27:03.522;Dn;0.485;7.65
2021-02-25 14:27:03.683;Dn;0.493;7.65
2021-02-25 14:27:04.468;Dn;0.497;7.65
2021-02-25 14:27:04.522;Dn;0.520;7.65
2021-02-25 14:27:04.633;Dn;0.541;7.65
2021-02-25 14:27:04.657;Dn;0.545;7.65
2021-02-25 14:27:04.802;Dn;0.553;7.65
2021-02-25 14:27:05.001;Dn;0.561;7.65
2021-02-25 14:27:05.140;Dn;0.570;7.65
2021-02-25 14:27:05.251;Dn;0.579;7.65
2021-02-25 14:27:05.463;Dn;0.586;7.65
2021-02-25 14:27:05.479;Dn;0.587;7.65
