DateTime;UpDn;Depth;SPMax
2021-03-03 11:18:40.409;Dn;0.001;440.1
2021-03-03 11:18:40.409;Dn;0.001;440.1
2021-03-03 11:18:42.060;Dn;0.003;439.97
2021-03-03 11:18:46.892;Dn;0.003;439.93
2021-03-03 11:18:51.786;Dn;0.003;439.77
2021-03-03 11:18:52.277;Dn;0.005;438.6
2021-03-03 11:18:53.401;Dn;0.009;437.73
2021-03-03 11:18:53.497;Dn;0.014;435.43
2021-03-03 11:18:54.240;Dn;0.022;432.97
2021-03-03 11:18:54.779;Dn;0.030;429.1
2021-03-03 11:18:54.933;Dn;0.039;426.07
2021-03-03 11:18:55.037;Dn;0.041;425.17
2021-03-03 11:18:55.097;Dn;0.047;423.03
2021-03-03 11:18:55.289;Dn;0.055;419.93
2021-03-03 11:18:55.483;Dn;0.064;416.7
2021-03-03 11:18:55.653;Dn;0.072;413.47
2021-03-03 11:18:55.769;Dn;0.080;410.43
2021-03-03 11:18:55.870;Dn;0.083;409.53
2021-03-03 11:18:55.933;Dn;0.088;407.4
2021-03-03 11:18:56.060;Dn;0.096;404.37
2021-03-03 11:18:56.249;Dn;0.105;401.27
2021-03-03 11:18:56.427;Dn;0.113;398.07
2021-03-03 11:18:56.672;Dn;0.122;395.07
2021-03-03 11:18:56.761;Dn;0.130;391.9
2021-03-03 11:18:56.970;Dn;0.139;388.5
2021-03-03 11:18:57.129;Dn;0.147;385.4
2021-03-03 11:18:57.321;Dn;0.155;382.37
2021-03-03 11:18:57.466;Dn;0.159;381.03
2021-03-03 11:18:57.587;Dn;0.163;379.3
2021-03-03 11:18:57.900;Dn;0.172;376.2
2021-03-03 11:18:58.153;Dn;0.180;373.13
2021-03-03 11:18:58.306;Dn;0.181;372.8
2021-03-03 11:18:59.018;Dn;0.188;370
2021-03-03 11:18:59.098;Dn;0.194;367.93
2021-03-03 11:18:59.820;Dn;0.216;359.4
2021-03-03 11:18:59.915;Dn;0.225;356.3
2021-03-03 11:19:00.152;Dn;0.234;352.93
2021-03-03 11:19:00.524;Dn;0.242;349.73
2021-03-03 11:19:00.714;Dn;0.243;349.37
2021-03-03 11:19:01.098;Dn;0.251;346.47
2021-03-03 11:19:01.467;Dn;0.260;343.23
2021-03-03 11:19:01.540;Dn;0.260;342.97
2021-03-03 11:19:01.824;Dn;0.268;339.93
2021-03-03 11:19:02.347;Dn;0.276;337.17
2021-03-03 11:19:02.410;Dn;0.277;336.73
2021-03-03 11:19:02.869;Dn;0.285;333.67
2021-03-03 11:19:03.183;Dn;0.291;331.57
2021-03-03 11:19:03.244;Dn;0.294;330.2
2021-03-03 11:19:03.650;Dn;0.303;327.07
2021-03-03 11:19:03.978;Dn;0.309;324.63
2021-03-03 11:19:04.043;Dn;0.311;324.03
2021-03-03 11:19:04.296;Dn;0.319;321
2021-03-03 11:19:04.828;Dn;0.327;318.1
2021-03-03 11:19:05.002;Dn;0.335;314.83
2021-03-03 11:19:05.353;Dn;0.343;311.77
2021-03-03 11:19:05.580;Dn;0.345;311.1
2021-03-03 11:19:05.818;Dn;0.352;308.73
2021-03-03 11:19:06.185;Dn;0.360;305.63
2021-03-03 11:19:06.413;Dn;0.362;304.87
2021-03-03 11:19:06.679;Dn;0.368;302.43
2021-03-03 11:19:07.177;Dn;0.377;299.3
2021-03-03 11:19:07.270;Dn;0.377;299.1
2021-03-03 11:19:08.074;Dn;0.385;296.2
2021-03-03 11:19:08.461;Dn;0.393;293.03
2021-03-03 11:19:08.876;Dn;0.397;291.6
2021-03-03 11:19:09.353;Dn;0.402;290
2021-03-03 11:19:09.675;Dn;0.404;288.97
2021-03-03 11:19:10.185;Dn;0.410;286.97
2021-03-03 11:19:10.474;Dn;0.412;286.07
2021-03-03 11:19:11.177;Dn;0.418;283.87
2021-03-03 11:19:11.305;Dn;0.421;282.57
2021-03-03 11:19:11.372;Dn;0.427;280.47
2021-03-03 11:19:11.465;Dn;0.435;277.33
2021-03-03 11:19:11.610;Dn;0.444;274.17
2021-03-03 11:19:11.773;Dn;0.452;271.1
2021-03-03 11:19:11.967;Dn;0.460;267.93
2021-03-03 11:19:12.124;Dn;0.466;265.87
2021-03-03 11:19:12.169;Dn;0.469;264.83
