DateTime;UpDn;Depth;SPMax
2021-03-04 08:50:45.004;Dn;0.001;447.5
2021-03-04 08:50:54.748;Dn;0.001;447.93
2021-03-04 08:50:55.420;Dn;0.002;447.17
2021-03-04 08:50:55.596;Dn;0.003;446.8
2021-03-04 08:50:55.722;Dn;0.010;444
2021-03-04 08:50:56.011;Dn;0.019;440.97
2021-03-04 08:50:56.268;Dn;0.027;437.9
2021-03-04 08:50:56.411;Dn;0.029;437.13
2021-03-04 08:50:56.571;Dn;0.035;434.87
2021-03-04 08:50:56.827;Dn;0.043;431.83
2021-03-04 08:50:57.100;Dn;0.051;428.8
2021-03-04 08:50:57.178;Dn;0.053;428.2
2021-03-04 08:50:57.371;Dn;0.059;425.67
2021-03-04 08:50:57.690;Dn;0.067;422.63
2021-03-04 08:50:58.011;Dn;0.074;420.07
2021-03-04 08:50:58.074;Dn;0.076;419.57
2021-03-04 08:50:58.651;Dn;0.084;416.43
2021-03-04 08:50:58.845;Dn;0.086;415.77
2021-03-04 08:50:59.291;Dn;0.092;413.37
2021-03-04 08:50:59.612;Dn;0.096;411.77
2021-03-04 08:50:59.931;Dn;0.100;410.33
2021-03-04 08:51:00.155;Dn;0.109;407.2
2021-03-04 08:51:00.347;Dn;0.125;400.9
2021-03-04 08:51:00.428;Dn;0.130;399.1
2021-03-04 08:51:00.475;Dn;0.134;397.7
2021-03-04 08:51:00.698;Dn;0.142;394.53
2021-03-04 08:51:00.826;Dn;0.151;391.23
2021-03-04 08:51:01.035;Dn;0.160;388.07
2021-03-04 08:51:01.274;Dn;0.168;384.97
2021-03-04 08:51:01.949;Dn;0.188;377.47
2021-03-04 08:51:02.059;Dn;0.200;372.93
2021-03-04 08:51:02.154;Dn;0.206;370.63
2021-03-04 08:51:02.379;Dn;0.214;367.57
2021-03-04 08:51:02.604;Dn;0.222;364.53
2021-03-04 08:51:02.859;Dn;0.230;361.53
2021-03-04 08:51:02.892;Dn;0.231;361.23
2021-03-04 08:51:03.131;Dn;0.240;358.03
2021-03-04 08:51:03.402;Dn;0.248;355
2021-03-04 08:51:03.675;Dn;0.254;352.87
2021-03-04 08:51:03.723;Dn;0.256;351.97
2021-03-04 08:51:04.091;Dn;0.264;348.9
2021-03-04 08:51:04.507;Dn;0.269;346.93
2021-03-04 08:51:04.715;Dn;0.272;345.87
2021-03-04 08:51:05.094;Dn;0.282;342.1
2021-03-04 08:51:05.339;Dn;0.288;339.9
2021-03-04 08:51:05.346;Dn;0.295;337.23
2021-03-04 08:51:05.466;Dn;0.304;334.13
2021-03-04 08:51:05.804;Dn;0.312;330.8
2021-03-04 08:51:06.010;Dn;0.321;327.7
2021-03-04 08:51:06.142;Dn;0.322;327.23
2021-03-04 08:51:06.427;Dn;0.329;324.53
2021-03-04 08:51:06.667;Dn;0.338;321.37
2021-03-04 08:51:06.940;Dn;0.343;319.33
2021-03-04 08:51:07.083;Dn;0.347;317.83
2021-03-04 08:51:07.339;Dn;0.355;314.8
2021-03-04 08:51:07.739;Dn;0.359;313.17
2021-03-04 08:51:07.787;Dn;0.364;311.57
2021-03-04 08:51:08.203;Dn;0.373;308.1
2021-03-04 08:51:08.572;Dn;0.381;305.33
2021-03-04 08:51:08.922;Dn;0.390;301.53
2021-03-04 08:51:09.356;Dn;0.396;299.37
2021-03-04 08:51:10.060;Dn;0.414;292.77
2021-03-04 08:51:10.188;Dn;0.416;292.03
2021-03-04 08:51:10.212;Dn;0.422;289.7
2021-03-04 08:51:10.475;Dn;0.431;286.53
2021-03-04 08:51:10.891;Dn;0.439;283.17
2021-03-04 08:51:11.012;Dn;0.445;281.17
2021-03-04 08:51:11.131;Dn;0.448;279.9
2021-03-04 08:51:11.388;Dn;0.458;276.2
2021-03-04 08:51:11.615;Dn;0.467;273
2021-03-04 08:51:11.819;Dn;0.467;272.9
2021-03-04 08:51:11.898;Dn;0.475;269.87
2021-03-04 08:51:12.331;Dn;0.483;266.67
2021-03-04 08:51:12.653;Dn;0.492;263.5
2021-03-04 08:51:12.812;Dn;0.501;260.23
2021-03-04 08:51:13.050;Dn;0.509;257
2021-03-04 08:51:13.308;Dn;0.518;253.83
2021-03-04 08:51:13.436;Dn;0.518;253.77
2021-03-04 08:51:13.564;Dn;0.526;250.77
