LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO₄²⁻ [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al³⁺ [mg/L],Ba²⁺ [mg/L],Ca²⁺ [mg/L],Fe²⁺ [mg/L],K⁺ [mg/L],Mg²⁺ [mg/L],Mn²⁺ [mg/L],Na⁺ [mg/L],Ni²⁺ [mg/L],Sr²⁺ [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-],GW_Al³⁺ [mg/L],GW_Ba²⁺ [mg/L],GW_Ca²⁺ [mg/L],GW_Fe²⁺ [mg/L],GW_K⁺ [mg/L],GW_Mg²⁺ [mg/L],GW_Mn²⁺ [mg/L],GW_Na⁺ [mg/L],GW_Ni²⁺ [mg/L],GW_Sr²⁺ [mg/L],GW_pH [-],GW_Cond [µS/cm],GW_DO [mg/L],GW_F⁻ [mg/L],GW_Cl⁻ [mg/L],GW_Br⁻ [mg/L],GW_NO₃⁻ [mg/L],GW_PO₄³⁻ [mg/L],GW_SO₄²⁻ [mg/L],GW_δ¹⁸O [‰],GW_δD [‰]
LOOP2,P1,GeoProbe,40.2054,1.07,,,,,,,,,,,,,,,,,,,,,,0.2,28.4,0.01,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,1.6,,,,,,,,,,,,,,,,,,,,,,1.1,162.5,0.01,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,1.78,0.97,832.49,-0.05,84.51,-0.05,39.56,6573.65,70.54,9.86,-7.06,-47.98,0.52,0.32,96.5,,4.37,39.35,0.52,429.93,0.05,0.78,,,,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,2.79,,,,,,,,,,,,,,,,,,,,,,10.5,207.1,0.05,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,2.94,0.4,141.45,0.33,78.38,-0.05,44.91,1362.46,61.68,,,,0.3,0.04,52.27,,1.74,15.55,0.03,70.3,0.03,0.38,,,,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,4.01,,,,,,,,,,,,,,,,,,,,,,18.2,205.9,0.09,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,4.16,3.03,55.15,0.27,37.43,-0.05,68.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,4.325,,,,,,,,,,,,,,,,,,,,,,11.7,150.8,0.08,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,5.23,,,,,,,,,,,,,,,,,,,,,,9.8,282.8,0.03,,,,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,5.38,1.05,35.71,0.12,45.67,-0.05,45.64,192.85,,,,,0.33,0.11,104.57,,2.2,9.94,0.02,41.52,0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,
