LOOPNr,ID,Depth,Redox_mV,Electrode_Label,Grounding,DateTime,UpDn
DEMO,6a,0.0,338.2,Pt2,,2021-10-14 10:36:13.923,Dn
DEMO,6a,0.0,338.2,Pt2,,2021-10-14 10:36:13.923,Dn
DEMO,6a,0.0,427.8,Pt1,,2021-10-14 10:36:14.739,Dn
DEMO,6a,0.0,427.8,Pt1,,2021-10-14 10:36:14.739,Dn
DEMO,6a,0.0,424.2,Pt1,,2021-10-14 10:36:17.987,Dn
DEMO,6a,0.0,337.2,Pt2,,2021-10-14 10:36:18.803,Dn
DEMO,6a,0.004,441.1,Pt1,,2021-10-14 10:36:19.618,Dn
DEMO,6a,0.046,584.0,Pt2,,2021-10-14 10:36:20.435,Dn
DEMO,6a,0.063,365.7,Pt1,,2021-10-14 10:36:21.260,Dn
DEMO,6a,0.096,605.5,Pt2,,2021-10-14 10:36:22.050,Dn
DEMO,6a,0.147,426.0,Pt1,,2021-10-14 10:36:22.907,Dn
DEMO,6a,0.189,561.8,Pt2,,2021-10-14 10:36:23.682,Dn
DEMO,6a,0.239,557.0,Pt1,,2021-10-14 10:36:24.499,Dn
DEMO,6a,0.281,355.0,Pt2,,2021-10-14 10:36:25.314,Dn
DEMO,6a,0.332,540.4,Pt1,,2021-10-14 10:36:26.131,Dn
DEMO,6a,0.382,324.2,Pt2,,2021-10-14 10:36:26.971,Dn
DEMO,6a,0.424,510.8,Pt1,,2021-10-14 10:36:27.763,Dn
DEMO,6a,0.458,331.1,Pt2,,2021-10-14 10:36:28.562,Dn
DEMO,6a,0.508,485.4,Pt1,,2021-10-14 10:36:29.378,Dn
DEMO,6a,0.55,319.7,Pt2,,2021-10-14 10:36:30.195,Dn
DEMO,6a,0.592,465.8,Pt1,,2021-10-14 10:36:31.010,Dn
DEMO,6a,0.6,330.4,Pt2,,2021-10-14 10:36:31.827,Dn
DEMO,6a,0.602,467.2,Pt1,,2021-10-14 10:36:32.642,Dn
DEMO,6a,0.603,343.7,Pt2,,2021-10-14 10:36:33.458,Dn
DEMO,6a,0.633,455.8,Pt1,,2021-10-14 10:36:34.274,Dn
DEMO,6a,0.667,302.6,Pt2,,2021-10-14 10:36:35.090,Dn
DEMO,6a,0.667,396.7,Pt1,,2021-10-14 10:37:23.123,Dn
DEMO,6a,0.667,307.2,Pt2,,2021-10-14 10:37:23.923,Dn
DEMO,6a,0.674,438.8,Pt1,,2021-10-14 10:37:24.738,Dn
DEMO,6a,0.687,373.3,Pt2,,2021-10-14 10:37:25.554,Dn
DEMO,6a,0.711,436.5,Pt1,,2021-10-14 10:37:26.355,Dn
DEMO,6a,0.736,311.0,Pt2,,2021-10-14 10:37:27.170,Dn
DEMO,6a,0.77,417.3,Pt1,,2021-10-14 10:37:27.985,Dn
DEMO,6a,0.794,291.5,Pt2,,2021-10-14 10:37:28.802,Dn
DEMO,6a,0.81,398.8,Pt1,,2021-10-14 10:37:29.619,Dn
DEMO,6a,0.836,295.3,Pt2,,2021-10-14 10:37:30.434,Dn
DEMO,6a,0.861,382.3,Pt1,,2021-10-14 10:37:31.250,Dn
DEMO,6a,0.877,279.2,Pt2,,2021-10-14 10:37:32.066,Dn
DEMO,6a,0.911,345.7,Pt1,,2021-10-14 10:37:32.883,Dn
DEMO,6a,0.959,206.8,Pt2,,2021-10-14 10:37:33.697,Dn
DEMO,6a,1.001,309.3,Pt1,,2021-10-14 10:37:34.504,Dn
DEMO,6a,1.042,230.1,Pt2,,2021-10-14 10:37:35.319,Dn
DEMO,6a,1.067,275.6,Pt1,,2021-10-14 10:37:36.131,Dn
DEMO,6a,1.101,159.1,Pt2,,2021-10-14 10:37:36.947,Dn
DEMO,6a,1.144,251.3,Pt1,,2021-10-14 10:37:37.762,Dn
DEMO,6a,1.178,113.8,Pt2,,2021-10-14 10:37:38.578,Dn
DEMO,6a,1.21,210.0,Pt1,,2021-10-14 10:37:39.394,Dn
DEMO,6a,1.244,124.2,Pt2,,2021-10-14 10:37:40.211,Dn
DEMO,6a,1.278,203.6,Pt1,,2021-10-14 10:37:41.027,Dn
DEMO,6a,1.296,170.5,Pt2,,2021-10-14 10:37:41.842,Dn
DEMO,6a,1.334,195.4,Pt1,,2021-10-14 10:37:42.659,Dn
DEMO,6a,1.359,118.5,Pt2,,2021-10-14 10:37:43.474,Dn
DEMO,6a,1.392,55.1,Pt1,,2021-10-14 10:37:44.277,Dn
DEMO,6a,1.417,155.8,Pt2,,2021-10-14 10:37:45.090,Dn
DEMO,6a,1.442,78.0,Pt1,,2021-10-14 10:37:45.907,Dn
DEMO,6a,1.467,186.1,Pt2,,2021-10-14 10:37:46.723,Dn
DEMO,6a,1.493,86.1,Pt1,,2021-10-14 10:37:47.539,Dn
DEMO,6a,1.518,193.6,Pt2,,2021-10-14 10:37:48.355,Dn
DEMO,6a,1.552,77.8,Pt1,,2021-10-14 10:37:49.187,Dn
DEMO,6a,1.569,192.2,Pt2,,2021-10-14 10:37:49.970,Dn
DEMO,6a,1.602,90.3,Pt1,,2021-10-14 10:37:50.786,Dn
DEMO,6a,1.628,175.3,Pt2,,2021-10-14 10:37:51.601,Dn
DEMO,6a,1.652,98.5,Pt1,,2021-10-14 10:37:52.419,Dn
DEMO,6a,1.677,186.0,Pt2,,2021-10-14 10:37:53.235,Dn
DEMO,6a,1.71,96.2,Pt1,,2021-10-14 10:37:54.034,Dn
DEMO,6a,1.735,188.3,Pt2,,2021-10-14 10:37:54.851,Dn
DEMO,6a,1.768,101.8,Pt1,,2021-10-14 10:37:55.683,Dn
DEMO,6a,1.794,183.2,Pt2,,2021-10-14 10:37:56.484,Dn
DEMO,6a,1.818,89.8,Pt1,,2021-10-14 10:37:57.299,Dn
DEMO,6a,1.838,173.3,Pt2,,2021-10-14 10:37:58.113,Dn
DEMO,6a,1.874,48.7,Pt1,,2021-10-14 10:37:58.931,Dn
DEMO,6a,1.898,193.2,Pt2,,2021-10-14 10:37:59.747,Dn
DEMO,6a,1.914,159.1,Pt2,,2021-10-14 10:38:45.220,Dn
DEMO,6a,1.914,84.0,Pt1,,2021-10-14 10:38:46.002,Dn
DEMO,6a,1.927,191.5,Pt2,,2021-10-14 10:38:46.818,Dn
DEMO,6a,1.952,30.5,Pt1,,2021-10-14 10:38:47.634,Dn
DEMO,6a,1.977,143.4,Pt2,,2021-10-14 10:38:48.451,Dn
DEMO,6a,2.01,4.0,Pt1,,2021-10-14 10:38:49.246,Dn
DEMO,6a,2.035,154.5,Pt2,,2021-10-14 10:38:50.067,Dn
DEMO,6a,2.068,40.2,Pt1,,2021-10-14 10:38:50.882,Dn
DEMO,6a,2.093,193.7,Pt2,,2021-10-14 10:38:51.699,Dn
DEMO,6a,2.126,48.6,Pt1,,2021-10-14 10:38:52.515,Dn
DEMO,6a,2.159,208.4,Pt2,,2021-10-14 10:38:53.330,Dn
DEMO,6a,2.193,70.4,Pt1,,2021-10-14 10:38:54.125,Dn
DEMO,6a,2.22,206.2,Pt2,,2021-10-14 10:38:54.946,Dn
DEMO,6a,2.236,84.1,Pt1,,2021-10-14 10:38:55.763,Dn
DEMO,6a,2.244,195.5,Pt2,,2021-10-14 10:39:01.458,Dn
DEMO,6a,2.244,67.5,Pt1,,2021-10-14 10:39:02.274,Dn
DEMO,6a,2.249,216.0,Pt2,,2021-10-14 10:39:03.091,Dn
DEMO,6a,2.257,85.8,Pt1,,2021-10-14 10:39:03.906,Dn
DEMO,6a,2.265,193.1,Pt2,,2021-10-14 10:39:04.722,Dn
DEMO,6a,2.29,44.5,Pt1,,2021-10-14 10:39:05.555,Dn
DEMO,6a,2.316,50.3,Pt1,,2021-10-14 10:39:07.155,Dn
DEMO,6a,2.316,192.4,Pt2,,2021-10-14 10:39:07.971,Dn
DEMO,6a,2.351,36.7,Pt1,,2021-10-14 10:39:08.787,Dn
DEMO,6a,2.385,185.1,Pt2,,2021-10-14 10:39:09.602,Dn
