Sounding,GWT,,,
DEMO Borehole 6,5.8,,,
DEMO Borehole 7,5.5,,,
LOOP2 Borehole 1,8,,,
LOOP2 Borehole 2,2.1,,,
LOOP2 Borehole 2A,1,,,
LOOP2 Borehole 3,1.8,,,
LOOP2 Borehole 4,5.8,,,
LOOP3 Borehole 1,3.8,,,
LOOP3 Borehole 2,3,,,
LOOP3 Borehole 3,2,,,
LOOP3 Borehole 5,3.5,,,
LOOP3 Borehole 6,0.7,,,
LOOP4 Borehole GW2,2.3,,,
LOOP4 Borehole MWS1,2.3,,,
LOOP4 Borehole MWS2,5.5,,,
LOOP4 Borehole TIL,1.8,,,
LOOP4 Borehole TIL2,0.8,,,
LOOP6 Borehole 2,1,,,
LOOP6 Borehole 6,1.8,,,
LOOP6 Borehole 7,1.8,,,
LOOP6 Borehole 1,0.8,,,
LOOP6 Borehole 2a,0.7,,,
LOOP6 Borehole 3,2.8,,,
LOOP 6 Borehole 4,4.8,,,
LOOP6 Borehole 5,6.5,,,
